,Unnamed: 0,Unnamed: 0.1,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,label,label_bin,Unnamed: 0.1.1,DNNlogits_modelpredicted,m-bert_cosim,xlm_cosim
0,0,2485,maquis,maquis,maquis*,maki,maquis,maquis,0.5714285714285714,0.3333333333333333,0.3090277777777777,0.3402777777777778,2.5,0.3402777777777778,0,loan,1,,4.269493,1.0,1.0
1,1,7720,fin de siècle,dépréciation,fɪn də siècle*,depʀesjasjɔ̃,end of century,depreciation,0.9285714285714286,0.4545454545454545,0.1420454545454545,0.1590909090909091,2.1931818181818183,0.1420454545454545,13,hard_negative,0,,-13.580923,0.3655543625354767,0.3484184145927429
2,2,3292,roman à thèse,roman à thèse,ˈroʊmən à* thèse*,ʀɔman a tə̀s,thesis novel,thesis novel,0.6470588235294118,0.4,0.2552083333333333,0.2916666666666667,2.15625,0.2847222222222222,0,loan,1,,4.820937000000001,1.0,0.999999463558197
3,3,2151,hausse,hausse,hausse*,os,rise,rise,0.8571428571428571,0.6666666666666666,0.6145833333333334,0.6805555555555557,5.0,0.6805555555555557,0,loan,1,,4.353779,1.0,1.0
4,4,4628,enfile,aspirant,enfile*,aspiʀɑ̃,put on,aspirant,0.8571428571428571,0.1666666666666666,0.1041666666666666,0.1180555555555555,1.5833333333333333,0.1041666666666666,7,hard_negative,0,,-5.8742056,0.41858163475990295,0.6070212721824646
5,5,4199,couchette,cassette,ˌkuˈʃɛt,kasɛt,couchette,cassette,0.5714285714285714,0.0,0.0583333333333333,0.0583333333333333,0.65,0.0583333333333333,4,hard_negative,0,,-3.5322489999999998,0.3600347936153412,0.7785406112670898
6,6,3397,senile,sénile,ˈsiˌnaɪl,senil,senile,senile,0.625,0.1666666666666666,0.1631944444444444,0.1805555555555555,1.3333333333333333,0.1805555555555555,1,loan,1,,2.6791487000000003,0.588327944278717,0.8008571863174438
7,7,4182,corrective,directif,kərˈɛktɪv,diʀɛktif,corrective,directive,0.6666666666666666,0.125,0.0755208333333333,0.0885416666666666,0.75,0.0755208333333333,5,hard_negative,0,,-3.6063452000000007,0.7107992172241211,0.6742420196533203
8,8,294,uncertain,brumeux,ənˈsərtən,bʀymœ,uncertain,foggy,1.0,0.75,0.4505208333333333,0.5052083333333333,4.546875,0.4947916666666666,9,synonym,0,,-7.395853999999999,0.291298508644104,0.1845521181821823
9,9,4273,croquis,bricolage,croquis*,bʀikɔlaʒ,sketch,do-it-yourself,1.0,0.25,0.2187499999999999,0.2395833333333333,2.015625,0.2291666666666666,7,hard_negative,0,,-11.281630999999999,0.4926852583885193,0.7890883684158325
10,10,9548,singerie,salariat,singerie*,salaʀja,singerie,employee,0.8888888888888888,0.2857142857142857,0.0773809523809523,0.0952380952380952,1.1785714285714286,0.0773809523809523,6,hard_negative,0,,-4.6301723,0.5246247053146362,0.7889586091041565
