,Unnamed: 0.1,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,label,label_bin,Unnamed: 0,DNNlogits_modelpredicted
0,689,café au lait,café au lait,café*é oʊ leɪ,kafe o lɛ,coffee with milk,coffee with milk,0.5384615384615384,0.25,0.2770833333333333,0.3083333333333333,2.25,0.3083333333333333,0,loan,1,,3.5775468
1,490,naive,non déguisé,naɪiv,nɔn deɡɥize,naive,undisguised,0.8181818181818182,0.6,0.4895833333333333,0.5416666666666667,4.0,0.5374999999999999,9,synonym,0,,-13.989276
2,1130,coprolalia,coprolalie,coprolalia*,kɔpʀɔlali,coprolalia,coprolalie,0.5454545454545454,0.2,0.11875,0.1375,1.0125,0.1291666666666666,1,loan,1,,0.64884907
3,615,brioche,brioche,ˌbriˈoʊʃ,bʀjɔʃ,brioche,brioche,0.75,0.3333333333333333,0.1979166666666666,0.2361111111111111,1.9583333333333333,0.2152777777777778,0,loan,1,,4.493984
4,474,broché,arbuste,broché*é,aʀbyst,brooch,shrub,1.0,0.6666666666666666,0.3363095238095238,0.3988095238095238,5.696428571428571,0.3571428571428571,6,random,0,837.0,-11.786663
5,10588,lucerne,lucarne,ˈlusərn,lykaʀn,lucerne,skylight,0.7142857142857143,0.1666666666666666,0.09375,0.1111111111111111,1.125,0.09375,1,hard_negative,0,,-2.848283
6,36,added,rejoint,ˈædɪd,ʀəʒɔɛ̃,added,joined,1.0,0.4,0.3125,0.35,4.05,0.3375,7,synonym,0,,-4.1067877
7,664,butte,butte,bjut,byt,butte,butte,0.5,0.25,0.234375,0.2604166666666667,1.9375,0.2604166666666667,0,loan,1,,4.497893
8,360,desert,désert,ˈdɛzərt,dezɛʀ,desert,desert,0.7142857142857143,0.1666666666666666,0.1944444444444444,0.2222222222222222,1.6458333333333333,0.2083333333333333,1,synonym,0,,-0.8328242
9,2438,macle,macle,macle*,makl,macle,macle,0.5,0.4,0.1875,0.2083333333333333,1.55,0.2083333333333333,0,loan,1,,4.2714453
10,730,campagnol,campagnol,campagnol*,kɑ̃paɲɔl,vole,vole,0.7,0.25,0.1536458333333333,0.171875,1.359375,0.1666666666666666,0,loan,1,,1.0751745
