,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,label,label_bin,Unnamed: 0.1.1.1,DNNlogits_modelpredicted,m-bert_cosim,xlm_cosim
0,0,0,4202,cougar,cafard,ˈkugər,kafaʀ,cougar,cockroach,0.8333333333333334,0.2,0.2833333333333333,0.3166666666666666,2.575,0.3,4,hard_negative,0,,-5.1549683,0.5544506907463074,0.6319951415061951
1,1,1,829,residue,résidu,ˈrɛzəˌdu,ʀezidy,residue,residue,0.75,0.0,0.0625,0.0763888888888889,0.6458333333333334,0.0625,2,synonym,0,,2.8459153,0.6414395570755005,0.42039042711257935
2,2,2,1984,galvanize,galvaniser,ˈgælvəˌnaɪz,ɡalvanizəʀ,galvanize,galvanize,0.8181818181818182,0.3,0.23125,0.2541666666666666,2.1625,0.25,2,loan,1,,-1.8574554,0.822514533996582,0.8904374241828918
3,3,3,9659,angélique,amunition,angélique*,amynisjɔ̃,angelic,ammunition,0.8,0.625,0.1145833333333333,0.125,1.609375,0.1145833333333333,8,hard_negative,0,,-9.178938,0.4564206600189209,0.7338707447052002
4,4,4,1181,deportment,déporter,dəˈpɔrtmənt,depɔʀtəʀ,deportment,deport,0.5454545454545454,0.3,0.23125,0.2625,2.05,0.25,4,hard_negative,0,,-3.5055895,0.7012007236480713,0.7071373462677002
5,5,5,8735,ricochet,nicotine,ˈrɪkəˌʃeɪ,nikɔtin,ricochet,nicotine,0.8888888888888888,0.2857142857142857,0.1041666666666666,0.125,1.7857142857142858,0.1041666666666666,5,hard_negative,0,,-4.618571299999998,0.43064817786216736,0.6057597398757935
6,6,6,2686,racloir,aligot,racloir*,aliɡo,scraper,aligot,0.625,0.5714285714285714,0.3452380952380953,0.4107142857142857,4.339285714285714,0.3839285714285714,6,hard_negative,0,,-10.519239,0.43579936027526855,0.6877219676971436
7,7,7,3939,champagne,sarbacane,ʃæmˈpeɪn,saʀbakan,champagne,sarbacane,0.875,0.25,0.1770833333333333,0.1927083333333333,1.65625,0.1901041666666666,6,hard_negative,0,,-8.799334,0.3987321257591248,0.6670350432395935
8,8,8,10044,contretemps,gastronome,ˈkɑntrəˌtɛmps,ɡastʀɔnɔm,setback,gastronome,0.8461538461538461,0.3636363636363636,0.2272727272727272,0.2537878787878788,2.3068181818181817,0.2443181818181818,8,hard_negative,0,,-12.387944,0.4233856499195099,0.6573314666748047
9,9,9,5190,lorgnette,religieuse,lɔrnˈjɛt,ʀəliʒjœz,lorgnette,religious,0.875,0.25,0.2005208333333333,0.2291666666666666,2.203125,0.2135416666666666,7,hard_negative,0,,-3.7445617,0.41679224371910095,0.7354916930198669
10,10,10,1667,enjamb,enjamber,enjamb*,ɑ̃ʒɑ̃bəʀ,when,climb over,0.875,0.8333333333333334,0.2395833333333333,0.2708333333333333,4.833333333333333,0.2395833333333333,2,loan,1,,-2.3051465,0.9557335376739502,0.5062528252601624
11,11,11,3767,brusque,brisque,brəsk,bʀisk,brusque,brisque,0.4,0.0,0.0583333333333333,0.075,0.625,0.0583333333333333,1,hard_negative,0,,0.8840029,0.8723602890968323,0.8381960391998291
12,12,12,1610,émeute,plural,éémeute*,plyʀal,riot,plural,1.0,0.6666666666666666,0.3244047619047619,0.36904761904761896,5.160714285714286,0.3392857142857143,6,loan,1,,2.6668139,0.2813138067722321,0.5847172737121582
13,13,13,7947,hors-texte,bénédictin,hors-texte*,benediktɛ̃,inset,Benedictine,0.9090909090909092,0.3333333333333333,0.1041666666666666,0.1203703703703703,1.9444444444444444,0.1041666666666666,10,hard_negative,0,,-20.554668,0.4329584836959839,0.6974135637283325
14,14,14,9163,a la minute,acétylène,ə lɑ ˈmɪnət,azetilə̀n,a minute,acetylene,0.9090909090909092,0.5,0.1041666666666666,0.1093749999999999,1.734375,0.1041666666666666,8,hard_negative,0,,-4.5662117,0.1962568461894989,0.5250419974327087
15,15,15,3033,ponce,alphonse,ˈpɑnseɪ,alfɔ̃s,ponce,alphonse,1.0,0.6666666666666666,0.28125,0.3194444444444445,3.458333333333333,0.2986111111111111,4,loan,1,,-13.268248000000002,0.3431906700134277,0.7565449476242065
