,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,label,label_bin,Unnamed: 0.1.1.1,DNNlogits_modelpredicted,m-bert_cosim,xlm_cosim
0,0,0,314,avoyer,avoyer,avoyer*,avwajəʀ,owner,owner,0.7142857142857143,0.2857142857142857,0.2053571428571428,0.23809523809523805,2.107142857142857,0.2202380952380952,0,loan,1,,-2.9756887,1.0,1.0
1,1,1,3787,voluptuary,voluptuaire,voluptuary*,vɔlyptɥɛʀ,voluptuary,voluptuaire,0.6363636363636364,0.2,0.1354166666666666,0.1583333333333333,1.3625,0.1458333333333333,2,loan,1,,2.2705548,0.8251947164535522,0.8888030052185059
2,2,2,2516,massif,massif,ˈmæsɪf,masif,massif,massif,0.5,0.0,0.0083333333333333,0.0083333333333333,0.05,0.0083333333333333,0,loan,1,,-2.7587347,1.0,1.0
3,3,3,2217,impermeability,imperméabilité,impermeability*,ɛ̃pɛʀmeabilite,impermeability,impermeability,0.4,0.0714285714285714,0.0967261904761905,0.1101190476190476,0.8660714285714286,0.1041666666666666,2,loan,1,,-11.277262,0.8030006885528564,0.4772033393383026
4,4,4,3746,vetiver,vétyver,vetiver*,vetivəʀ,vetiver,offense,0.375,0.0,0.0357142857142857,0.0476190476190476,0.375,0.0357142857142857,2,loan,1,,-2.5950363,0.4278972744941712,0.808229386806488
5,5,5,10365,façonné,chiffonnier,façonné*é,ʃifɔnjəʀ,shaped,chiffonnier,0.8888888888888888,0.625,0.1223958333333333,0.140625,1.953125,0.1223958333333333,8,hard_negative,0,,-6.104684400000001,0.4413944482803345,0.5422008633613586
6,6,6,2178,hors catégorie,hors catégorie,ɔr catégorie*,ɔʀs kateɡɔʀi,except category,except category,0.6923076923076923,0.3636363636363636,0.178030303030303,0.2196969696969697,2.386363636363636,0.1893939393939394,0,loan,1,,-2.129572,1.0,1.0
7,7,7,2015,gazon,gazon,gazon*,ɡazɔ̃,grass,grass,0.6666666666666666,0.5,0.3072916666666666,0.3645833333333333,3.8125,0.3072916666666666,0,loan,1,,0.012749076000000002,1.0,1.0
8,8,8,690,café noir,café noir,café*é nɔɪr,kafe nwaʀ,black coffee,black coffee,0.6363636363636364,0.375,0.1550925925925926,0.1805555555555555,1.5833333333333333,0.1666666666666666,0,loan,1,,-0.26963273,1.0,1.0
9,9,9,986,cinema,cinéma,ˈsɪnəmə,sinema,cinema,movie theater,0.5714285714285714,0.0,0.0416666666666666,0.0416666666666666,0.375,0.0416666666666666,1,loan,1,,-6.8800982999999984,0.8657966852188109,0.8365857601165771
