,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,label,label_bin,Unnamed: 0.1.1.1,DNNlogits_modelpredicted,m-bert_cosim,xlm_cosim
0,0,0,3573,bathyscaphe,bondieuserie,bathyscaphe*,bɔ̃djœzəʀi,bathyscaphe,bondieuserie,0.9166666666666666,0.1818181818181818,0.2367424242424242,0.2575757575757575,2.1818181818181817,0.2556818181818181,10,hard_negative,0,,-8.543133000000001,0.38034442067146296,0.8076146245002747
1,1,1,909,chatelain,châtelain,chatelain*,ʃatəlɛ̃,chatelain,châtelain,0.7,0.4444444444444444,0.3356481481481481,0.3703703703703703,2.875,0.3680555555555556,1,loan,1,,6.9102070000000015,0.6830332279205322,0.6758391857147217
2,2,2,601,bretessé,bretessé,bretessé*é,bʀətɛse,bretessé,bretessé,0.7,0.1428571428571428,0.2337962962962962,0.2638888888888889,1.930555555555556,0.2546296296296296,0,loan,1,,2.6737194,1.0,1.0
3,3,3,16,abaissé,abaissé,abaissé*é,abɛse,lowered,lowered,0.6666666666666666,0.3333333333333333,0.3489583333333333,0.3854166666666666,2.8125,0.3854166666666666,0,loan,1,,-4.003857,1.0,1.0
4,4,4,2607,powder-douce,débouché,powder-douce*,debuʃe,powder-soft,outlet,0.6923076923076923,0.6363636363636364,0.4242424242424242,0.4810606060606061,3.5909090909090917,0.4772727272727273,9,hard_negative,0,,-14.959972,0.3456103205680847,0.5987638831138611
5,5,5,2314,kilogram,kilogramme,ˈkɪləˌgræm,kilɔɡʀɑm,kilogram,kilogram,0.7,0.125,0.1510416666666666,0.1770833333333333,1.328125,0.1640625,2,loan,1,,-3.2930746,0.922754168510437,0.7397180199623108
6,6,6,10380,fitché,chaud-froid,fitché*é,ʃod-fʀwa,fitché,warm cold,1.0,0.5714285714285714,0.1309523809523809,0.1488095238095238,1.7142857142857142,0.1309523809523809,11,hard_negative,0,,-11.259618,0.566084086894989,0.645937979221344
7,7,7,1266,cubitiere,cubitière,cubitiere*,kybisjə̀ʀ,cubitiere,cubicière,0.8,0.3333333333333333,0.1458333333333333,0.1759259259259259,1.5833333333333333,0.162037037037037,1,loan,1,,2.4319732000000003,0.8573763966560364,0.8682210445404053
8,8,8,920,confinement,en famille,kənˈfaɪnmənt,ən famij,confinement,with family,0.5833333333333334,0.4545454545454545,0.3655303030303031,0.4015151515151514,3.2159090909090917,0.3996212121212121,10,hard_negative,0,,-9.779153,0.32713910937309265,0.1655389815568924
9,9,9,3479,spadassin,spadassin,spadassin*,spadasɛ̃,spadesin,spadesin,0.4,0.2222222222222222,0.2175925925925925,0.2361111111111111,1.75,0.2361111111111111,0,loan,1,,3.0764608,1.0,1.0
10,10,10,885,chapé,échapper,chapé*é,eʃapəʀ,escaped,escape,0.7142857142857143,0.6666666666666666,0.1111111111111111,0.1319444444444444,2.770833333333333,0.1111111111111111,4,loan,1,,-12.447406,0.280531644821167,0.7240471839904785
