loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
aba,ابن,ɑbɑ,abn,aba,Son,0.6666666666666666,0.3333333333333333,0.14583333333333334,0.18055555555555555,2.8333333333333335,0.14583333333333334,3,Latin,Arabic,hard_negative
abdal,بدل,ɑbdɑl,bdl,abdal,Change,0.4,0.4,0.35,0.4,2.9,0.4,5,Latin,Arabic,hard_negative
abidə,بد,ɑbɪdæ,bd,monument,Bad,0.6,0.6,0.5333333333333334,0.6,4.35,0.6,5,Latin,Arabic,hard_negative
aciz,جز,ɑd͡ʒɪz,d͡ʒz,helpless,except,0.3333333333333333,0.5,0.44270833333333337,0.5,3.625,0.5,4,Latin,Arabic,hard_negative
adam,ادم,ɑdɑm,adm,adam,human,0.5,0.25,0.234375,0.2708333333333333,2.0,0.265625,4,Latin,Arabic,hard_negative
adi,ادم,ɑdɪ,adm,adi,human,0.6666666666666666,0.3333333333333333,0.11805555555555557,0.13888888888888887,2.5416666666666665,0.11805555555555557,3,Latin,Arabic,hard_negative
adət,عندقت,ɑdæt,ʕndqt,habit,i watched,0.6,0.6,0.2875,0.325,4.5,0.30416666666666664,5,Latin,Arabic,hard_negative
adətən,كردستان,ɑdætæn,krdstaːn,usually,Kurdistan,0.625,0.42857142857142855,0.21428571428571433,0.255952380952381,3.0357142857142856,0.22916666666666669,7,Latin,Arabic,hard_negative
afət,تفتت,ɑfæt,tftt,disaster,fragmentation,0.5,0.5,0.19270833333333334,0.22916666666666669,4.5625,0.19270833333333334,4,Latin,Arabic,hard_negative
ahıl,بهل,ɑhɯl,bhl,old man,Bel,0.5,0.5,0.3125,0.3541666666666667,4.09375,0.3385416666666667,4,Latin,Arabic,hard_negative
Allah,الله,ɑllɑh,allh,Allah,God,0.4,0.2,0.1875,0.21666666666666665,1.6,0.2125,5,Latin,Arabic,hard_negative
Allah-təala,الله أعلم,ɑllɑh-tæɑlɑ,allh ʔaʕlm,God Almighty,God knows,0.6363636363636364,0.4,0.17083333333333334,0.2,2.7625,0.18333333333333335,11,Latin,Arabic,hard_negative
ali,ال,ɑlɪ,al,ali,The,0.6666666666666666,0.3333333333333333,0.3194444444444445,0.3611111111111111,2.6666666666666665,0.3541666666666667,3,Latin,Arabic,hard_negative
alim,بلسم,ɑlɪm,blsm,alim,balm,0.5,0.5,0.16666666666666669,0.19791666666666669,4.21875,0.16666666666666669,4,Latin,Arabic,hard_negative
aləm,بلسم,ɑlæm,blsm,world,balm,0.5,0.5,0.16666666666666669,0.19791666666666669,4.21875,0.16666666666666669,4,Latin,Arabic,hard_negative
alət,تلفت,ɑlæt,tlft,tool,draw,0.5,0.5,0.18229166666666669,0.21875,4.3125,0.18229166666666669,4,Latin,Arabic,hard_negative
amal,تمثل,ɑmɑl,tmθl,amal,represent,0.5,0.5,0.19791666666666669,0.23958333333333331,4.5,0.19791666666666669,4,Latin,Arabic,hard_negative
amil,تمثل,ɑmɪl,tmθl,factor,represent,0.5,0.5,0.18229166666666669,0.21875,4.3125,0.18229166666666669,4,Latin,Arabic,hard_negative
an,ان,ɑn,an,an,ان,0.5,0.0,0.03125,0.041666666666666664,0.375,0.03125,2,Latin,Arabic,hard_negative
ar,بر,ɑr,br,ar,On,0.5,0.5,0.17708333333333334,0.20833333333333334,4.5625,0.17708333333333334,2,Latin,Arabic,hard_negative
araq,اربد,ɑrɑɡ,arbd,vodka,Irbid,0.75,0.5,0.15104166666666669,0.17708333333333334,3.0,0.15104166666666669,4,Latin,Arabic,hard_negative
arvad,اربد,ɑrvɑd,arbd,wife,Irbid,0.6,0.2,0.2,0.23333333333333334,1.825,0.225,5,Latin,Arabic,hard_negative
Arifə,ارتفع,ɑrɪfæ,artfʕ,Arif,Has risen,0.6,0.4,0.125,0.15,3.275,0.125,5,Latin,Arabic,hard_negative
avam,آدم,ɑvɑm,aٓdm,commons,human,0.75,0.5,0.2760416666666667,0.3229166666666667,2.5625,0.3072916666666667,4,Latin,Arabic,hard_negative
axır,بخر,ɑxɯr,bxr,end,Buy,0.5,0.5,0.3125,0.3541666666666667,4.09375,0.3385416666666667,4,Latin,Arabic,hard_negative
axirət,خرت,ɑxɪræt,xrt,the hereafter,خرت,0.5,0.5,0.4444444444444445,0.5,3.625,0.5,6,Latin,Arabic,hard_negative
ayə,ء ب د,ɑjæ,ʔ b d,verse,A b d,1.0,1.0,0.2916666666666667,0.3333333333333333,6.708333333333333,0.2916666666666667,5,Latin,Arabic,hard_negative
ağıl,بغل,ɑɣɯl,bɣl,mind,Armpit,0.5,0.5,0.3125,0.35416666666666663,4.09375,0.3385416666666667,4,Latin,Arabic,hard_negative
ailə,آل,ɑɪlæ,aٓl,family,The,0.75,0.5,0.4635416666666667,0.5208333333333333,3.8125,0.515625,4,Latin,Arabic,hard_negative
babasil,باسل,bɑbɑsɪl,baːsl,babasil,intrepid,0.5714285714285714,0.42857142857142855,0.39583333333333337,0.44642857142857145,3.2857142857142856,0.44345238095238093,7,Latin,Arabic,hard_negative
bakir,بكر,bɑkɪr,bkr,Copper,Bakr,0.4,0.4,0.3541666666666667,0.4,2.9,0.4,5,Latin,Arabic,hard_negative
bakirə,بسكرة,bɑkɪræ,bskrة,virgin,Biskra,0.5,0.5,0.36111111111111116,0.40972222222222215,3.8333333333333335,0.3958333333333333,6,Latin,Arabic,hard_negative
bamiyə,برم,bɑmɪjæ,brm,okra,برم,0.6666666666666666,0.6666666666666666,0.4895833333333334,0.5625,4.583333333333333,0.5416666666666666,6,Latin,Arabic,hard_negative
bani,بثن,bɑnɪ,bθn,bani,بثن,0.5,0.5,0.31770833333333337,0.3645833333333333,3.9375,0.34375,4,Latin,Arabic,hard_negative
barıt,بيروت,bɑrɯt,biːruːt,gunpowder,Beirut,0.5714285714285714,0.0,0.07083333333333333,0.075,0.8,0.07083333333333333,5,Latin,Arabic,hard_negative
bariz,ب ر ز,bɑrɪz,b r z,obvious,b br gg,0.4,0.4,0.3541666666666667,0.4,2.9,0.4,5,Latin,Arabic,hard_negative
baytar,بتر,bɑjtɑr,btr,veterinarian,Amputation,0.5,0.5,0.44097222222222227,0.5,3.625,0.5,6,Latin,Arabic,hard_negative
beyt,بات,bejt,baːt,verse,Talk,0.5,0.25,0.24479166666666669,0.2708333333333333,2.0625,0.2708333333333333,4,Latin,Arabic,hard_negative
buxar,ب خ ر,buxɑr,b x r,steam,b kh,0.4,0.4,0.3541666666666667,0.4,2.9,0.4,5,Latin,Arabic,hard_negative
böhran,برن,bœhrɑn,brn,crisis,Bern,0.5,0.5,0.4444444444444445,0.5,3.625,0.5,6,Latin,Arabic,hard_negative
bürc,برج,byrd͡ʒ,brd͡ʒ,zodiac sign,horoscope,0.16666666666666666,0.25,0.22395833333333334,0.25,1.8125,0.25,4,Latin,Arabic,hard_negative
bilavasitə,السبت,bɪlɑvɑsɪtæ,alsbt,directly,Saturday,0.7,0.6,0.4875,0.5458333333333333,4.1375,0.5416666666666667,10,Latin,Arabic,hard_negative
bina,بثن,bɪnɑ,bθn,bina,بثن,0.5,0.5,0.296875,0.34375,3.75,0.328125,4,Latin,Arabic,hard_negative
bə's,بأس,bæ's,bʔas,bə's,okay,0.5,0.25,0.22395833333333334,0.25,1.8125,0.25,4,Latin,Arabic,hard_negative
bədii,ب د ل,bædɪɪ,b d l,artistic,instead,0.6,0.6,0.4125,0.4666666666666666,4.1,0.4541666666666666,5,Latin,Arabic,hard_negative
bədən,بدن,bædæn,bdn,body,Body,0.4,0.4,0.35833333333333334,0.4,2.9,0.4,5,Latin,Arabic,hard_negative
bəkarət,بركري,bækɑræt,brkriː,virginity,brake,0.5714285714285714,0.42857142857142855,0.3125,0.36309523809523814,3.142857142857143,0.3422619047619047,7,Latin,Arabic,hard_negative
bəla,بخل,bælɑ,bxl,trouble,Stingy,0.5,0.5,0.3020833333333333,0.34375,3.84375,0.3333333333333333,4,Latin,Arabic,hard_negative
bəlağət,ب ل غ,bælɑɣæt,b l ɣ,eloquence,reach,0.5714285714285714,0.5714285714285714,0.511904761904762,0.5714285714285714,4.142857142857143,0.5714285714285714,7,Latin,Arabic,hard_negative
bələd,ب ل د,bælæd,b l d,familiar,country,0.4,0.4,0.35833333333333334,0.4,2.9,0.4,5,Latin,Arabic,hard_negative
bələdiyyə,ب ل د,bælædɪjjæ,b l d,municipality,country,0.6666666666666666,0.6666666666666666,0.5972222222222222,0.6666666666666666,4.833333333333333,0.6666666666666666,9,Latin,Arabic,hard_negative
bənna,بشنونة,bænnɑ,bʃnuːnة,builder,Bushona,0.5714285714285714,0.6,0.23333333333333334,0.275,4.35,0.23333333333333334,6,Latin,Arabic,hard_negative
bəraət,بيروت,bærɑæt,biːruːt,acquittal,Beirut,0.5714285714285714,0.16666666666666666,0.20833333333333334,0.22916666666666666,1.9166666666666667,0.22569444444444442,6,Latin,Arabic,hard_negative
bərəkət,ب ر ك,bærækæt,b r k,blessing,b rk,0.5714285714285714,0.5714285714285714,0.5148809523809523,0.5714285714285714,4.142857142857143,0.5714285714285714,7,Latin,Arabic,hard_negative
bəsit,ب س ط,bæsɪt,b s tˤ,simple,b o i,0.5,0.4,0.375,0.4166666666666667,3.1,0.4166666666666667,5,Latin,Arabic,hard_negative
bətn,استن,bætn,astn,belly,استن,0.5,0.5,0.15104166666666669,0.17708333333333331,3.625,0.15104166666666669,4,Latin,Arabic,hard_negative
Bəşir,ب ش ر,bæʃɪr,b ʃ r,Bashir,b r,0.4,0.4,0.35833333333333334,0.4,2.9,0.4,5,Latin,Arabic,hard_negative
bəşər,ب ش ر,bæʃær,b ʃ r,human beings,b r,0.4,0.4,0.35833333333333334,0.4,2.9,0.4,5,Latin,Arabic,hard_negative
bəşəriyyət,ب ش ر,bæʃærɪjjæt,b ʃ r,humanity,b r,0.7,0.7,0.6291666666666667,0.7,5.075,0.7,10,Latin,Arabic,hard_negative
camaat,جمست,d͡ʒɑmɑɑt,d͡ʒmst,camaat,jest,0.375,0.5,0.3541666666666667,0.40972222222222215,3.8333333333333335,0.3958333333333333,6,Latin,Arabic,hard_negative
camış,ج م ر,d͡ʒɑmɯʃ,d͡ʒ m r,buffalo,JM R,0.42857142857142855,0.6,0.4041666666666667,0.4666666666666667,3.7,0.45,5,Latin,Arabic,hard_negative
casus,ج س س,d͡ʒɑsus,d͡ʒ s s,adventure,j xx,0.2857142857142857,0.4,0.3541666666666667,0.4,2.9,0.4,5,Latin,Arabic,hard_negative
cavab,ج ر ب,d͡ʒɑvɑb,d͡ʒ r b,answer,c rb,0.42857142857142855,0.6,0.4,0.475,3.75,0.45,5,Latin,Arabic,hard_negative
cehiz,جهز,d͡ʒehɪz,d͡ʒhz,cehiz,prepare,0.2857142857142857,0.4,0.35833333333333334,0.4,2.9,0.4,5,Latin,Arabic,hard_negative
cümlə,جمل,d͡ʒymlæ,d͡ʒml,sentence,camel,0.2857142857142857,0.4,0.35833333333333334,0.4,2.9,0.4,5,Latin,Arabic,hard_negative
cümə,جثم,d͡ʒymæ,d͡ʒθm,Friday,perch,0.3333333333333333,0.5,0.3229166666666667,0.3645833333333333,4.0,0.3489583333333333,4,Latin,Arabic,hard_negative
cüzi,جز,d͡ʒyzɪ,d͡ʒz,small,except,0.3333333333333333,0.5,0.4479166666666667,0.5,3.625,0.5,4,Latin,Arabic,hard_negative
ciddi,جدد,d͡ʒɪddɪ,d͡ʒdd,seriously,new ones,0.2857142857142857,0.4,0.35833333333333334,0.4,2.9,0.4,5,Latin,Arabic,hard_negative
cihaz,جهز,d͡ʒɪhɑz,d͡ʒhz,device,prepare,0.2857142857142857,0.4,0.3541666666666667,0.4,2.9,0.4,5,Latin,Arabic,hard_negative
cild,جلد,d͡ʒɪld,d͡ʒld,skin,Quick,0.16666666666666666,0.25,0.22395833333333334,0.25,1.8125,0.25,4,Latin,Arabic,hard_negative
