loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
Alcàntara,الكتاب,alkantaɾa,alktaːb,Alcantara,the book,0.4444444444444444,0.4444444444444444,0.3310185185185185,0.375,3.0416666666666665,0.3680555555555556,9,Latin,Arabic,hard_negative
alficòs,الإسكندر,alfikɔs,alʔiskndr,alficòs,Alexander,0.5555555555555556,0.4444444444444444,0.27314814814814814,0.31018518518518523,3.2916666666666665,0.3009259259259259,8,Latin,Arabic,hard_negative
almívar,أميبا,almibaɾ,aٔmiːbaː,syrup,amoeba,0.375,0.2857142857142857,0.2619047619047619,0.2976190476190476,2.2142857142857144,0.2976190476190476,7,Latin,Arabic,hard_negative
alqueria,الكويت,alkɛɾia,alkuːiːt,farmhouse,Kuwait,0.5,0.2857142857142857,0.21130952380952386,0.24404761904761907,2.75,0.23511904761904764,8,Latin,Arabic,hard_negative
assot,است,asɔt,ast,whip,Is,0.25,0.25,0.22395833333333334,0.25,1.8125,0.25,5,Latin,Arabic,hard_negative
barnús,فانوس,baɾnus,faːnuːs,bathrobe,فانوس,0.42857142857142855,0.16666666666666666,0.17013888888888892,0.20138888888888892,1.6041666666666667,0.19791666666666666,6,Latin,Arabic,hard_negative
barri,بابلي,baɾɾi,baːbliː,neighborhood,Babylonian,0.5714285714285714,0.2,0.09583333333333334,0.13333333333333333,1.525,0.09583333333333334,5,Latin,Arabic,hard_negative
catifa,اتفق,katifa,atfq,carpet,Agreed,0.5,0.5,0.3541666666666667,0.3958333333333333,3.8541666666666665,0.3888888888888889,6,Latin,Arabic,hard_negative
cofa,كافأ,kɔfa,kaːfʔa,cofa,reward,0.5,0.2,0.22083333333333335,0.24166666666666664,1.9,0.24166666666666664,4,Latin,Arabic,hard_negative
Eivissa,جبيز,ɛʒbisa,d͡ʒbiːz,Ibiza,gypsy,0.5714285714285714,0.5,0.3263888888888889,0.36111111111111116,2.7916666666666665,0.36111111111111116,7,Latin,Arabic,hard_negative
falca,فلك,falka,flk,jaw,Astronomy,0.4,0.4,0.35833333333333334,0.4,2.9,0.4,5,Latin,Arabic,hard_negative
falleba,فاسرا,faʎɛba,faːsraː,deceived,explainer,0.5714285714285714,0.5,0.2534722222222222,0.2916666666666667,2.9375,0.2708333333333333,7,Latin,Arabic,hard_negative
gessamí,إسلامي,ʒɛsami,aٕslaːmiː,Jasmine,Islami,0.5555555555555556,0.3333333333333333,0.12499999999999999,0.14583333333333331,2.7083333333333335,0.12499999999999999,7,Latin,Arabic,hard_negative
mancala,مانيلا,maŋkala,maːniːlaː,mancala,Manila,0.5555555555555556,0.14285714285714285,0.18452380952380953,0.20238095238095238,1.6964285714285714,0.19940476190476192,7,Latin,Arabic,hard_negative
marraixa,مفاجأة,maɾɾaʒʃa,mfaːd͡ʒʔaة,marraixa,a surprise,0.6,0.625,0.2916666666666667,0.34375,3.359375,0.33072916666666663,8,Latin,Arabic,hard_negative
quintar,بينتان,kintaɾ,biːntaːn,quintar,بینتان,0.5,0.3333333333333333,0.0763888888888889,0.09027777777777779,0.9583333333333334,0.0763888888888889,7,Latin,Arabic,hard_negative
ràfec,آنك,ɾafɛk,aٓnk,eaves,Ank,0.6,0.6,0.4041666666666667,0.4666666666666666,3.9,0.4541666666666667,5,Latin,Arabic,hard_negative
safata,سافانا,safata,saːfaːnaː,tray,savanna,0.4444444444444444,0.16666666666666666,0.041666666666666664,0.041666666666666664,0.7083333333333334,0.041666666666666664,6,Latin,Arabic,hard_negative
setra,صتأ,sɛtɾa,sˤtʔa,setra,صتأ,0.4,0.2,0.2666666666666667,0.3083333333333333,2.775,0.2875,5,Latin,Arabic,hard_negative
sumac,سواك,sumak,suːaːk,sumac,but you,0.3333333333333333,0.2,0.19583333333333333,0.2166666666666667,1.65,0.2166666666666667,5,Latin,Arabic,hard_negative
sura,سبأ,suɾa,sbʔa,sura,Sheba,0.5,0.25,0.171875,0.20833333333333331,3.625,0.171875,4,Latin,Arabic,hard_negative
taba,تأبد,taba,tʔabd,tobacco,perpetuate,0.4,0.4,0.2416666666666667,0.275,3.15,0.2625,4,Latin,Arabic,hard_negative
tabal,ابتل,tabal,abtl,table,wet,0.4,0.4,0.25416666666666665,0.2833333333333333,3.2,0.27083333333333337,5,Latin,Arabic,hard_negative
tarquim,تاكسي,taɾkim,taːksiː,tarquim,taxi,0.42857142857142855,0.5,0.2534722222222222,0.2916666666666667,2.7916666666666665,0.2708333333333333,7,Latin,Arabic,hard_negative
tassa,تأسف,tasa,tʔasf,fee,Regret,0.4,0.4,0.2416666666666667,0.275,3.0,0.2625,5,Latin,Arabic,hard_negative
tàvega,تنبأ,tabɛɡa,tnbʔa,tray,prophesy,0.5,0.5,0.23611111111111113,0.2708333333333333,3.0208333333333335,0.25347222222222227,6,Latin,Arabic,hard_negative
tova,تنبأ,tɔba,tnbʔa,tova,prophesy,0.4,0.4,0.25,0.2833333333333333,2.95,0.27083333333333337,4,Latin,Arabic,hard_negative
xauarma,شابانك,ʃabaɾma,ʃaːbaːnk,xauarma,Shapunk,0.5,0.42857142857142855,0.19940476190476192,0.23214285714285715,2.2142857142857144,0.22023809523809526,7,Latin,Arabic,hard_negative
Alcàntara,أرجنتيني,alkantaɾa,aٔrd͡ʒntiːniː,Alcantara,Argentine,0.7692307692307693,0.2222222222222222,0.1851851851851852,0.21759259259259262,1.8472222222222223,0.19675925925925924,9,Latin,Arabic,hard_negative
alficòs,البرجيس,alfikɔs,albrd͡ʒiːs,alficòs,Bargis,0.7,0.14285714285714285,0.11607142857142858,0.14285714285714285,1.7142857142857142,0.11607142857142858,7,Latin,Arabic,hard_negative
almívar,البوسفور,almibaɾ,albuːsfuːr,syrup,Bosphorus,0.8,0.25,0.19010416666666666,0.203125,2.015625,0.20052083333333334,8,Latin,Arabic,hard_negative
alqueria,بلغاريا,alkɛɾia,blɣaːriːaː,farmhouse,Bulgaria,0.7,0.14285714285714285,0.08333333333333333,0.08928571428571427,1.6964285714285714,0.08333333333333333,8,Latin,Arabic,hard_negative
assot,أثاث,asɔt,aٔθaːθ,whip,furniture,0.8333333333333334,0.0,0.08333333333333333,0.08333333333333333,0.9375,0.08333333333333333,5,Latin,Arabic,hard_negative
barnús,أرنؤد,baɾnus,aٔrnuːٔd,bathrobe,Arn'd,0.75,0.16666666666666666,0.17013888888888887,0.1875,1.5,0.1875,6,Latin,Arabic,hard_negative
barri,أهلا,baɾɾi,aٔhlaː,neighborhood,Hello,1.0,0.2,0.275,0.3333333333333333,2.525,0.29583333333333334,5,Latin,Arabic,hard_negative
catifa,كوسوفو,katifa,kuːsuːfuː,carpet,Kosovo,0.7777777777777778,0.0,0.11805555555555557,0.11805555555555557,1.5,0.11805555555555557,6,Latin,Arabic,hard_negative
cofa,جابية,kɔfa,d͡ʒaːbiːة,cofa,collector,0.8888888888888888,0.0,0.16666666666666666,0.17708333333333334,1.875,0.16666666666666666,5,Latin,Arabic,hard_negative
Eivissa,أسبيداج,ɛʒbisa,aٔsbiːdaːd͡ʒ,Ibiza,Speedage,0.75,0.14285714285714285,0.1845238095238095,0.19642857142857142,1.6071428571428572,0.19642857142857142,7,Latin,Arabic,hard_negative
falca,فالجي,falka,faːld͡ʒiː,jaw,falji,0.6666666666666666,0.0,0.07916666666666666,0.08333333333333334,0.875,0.07916666666666666,5,Latin,Arabic,hard_negative
falleba,بوليفيا,faʎɛba,buːliːfiːaː,deceived,Bolivia,0.9090909090909091,0.14285714285714285,0.2380952380952381,0.2619047619047619,2.3214285714285716,0.25297619047619047,7,Latin,Arabic,hard_negative
gessamí,إذا ما,ʒɛsami,aٕðaː maː,Jasmine,so what,0.7777777777777778,0.16666666666666666,0.20833333333333334,0.2222222222222222,1.75,0.2222222222222222,7,Latin,Arabic,hard_negative
mancala,أنغولا,maŋkala,aٔnɣuːlaː,mancala,Angola,0.7777777777777778,0.14285714285714285,0.20833333333333334,0.2261904761904762,2.017857142857143,0.22321428571428573,7,Latin,Arabic,hard_negative
marraixa,الأسد,maɾɾaʒʃa,alʔasd,marraixa,the lion,0.75,0.25,0.32031250000000006,0.36979166666666663,3.078125,0.3463541666666667,8,Latin,Arabic,hard_negative
quintar,جاودار,kintaɾ,d͡ʒaːuːdaːr,quintar,Javadar,0.9090909090909091,0.16666666666666666,0.15277777777777776,0.16666666666666666,2.2708333333333335,0.15277777777777776,7,Latin,Arabic,hard_negative
ràfec,أباع,ɾafɛk,aٔbaːʕ,eaves,sold,1.0,0.2,0.24583333333333335,0.2833333333333333,2.425,0.2791666666666667,5,Latin,Arabic,hard_negative
safata,سوفيتي,safata,suːfiːtiː,tray,Soviet,0.6666666666666666,0.0,0.08333333333333333,0.08333333333333333,1.0,0.08333333333333333,6,Latin,Arabic,hard_negative
setra,تودري,sɛtɾa,tuːdriː,setra,تودري,1.0,0.0,0.09166666666666667,0.09166666666666667,1.1,0.09166666666666667,5,Latin,Arabic,hard_negative
