loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
三克油,Sanjurjo,sankʰejou,sanjurjo*,Three grams of oil,Sanjurjo,0.4444444444444444,0.25,0.1171875,0.1354166666666666,2.125,0.1171875,8,Chinese,Latin,hard_negative
三味治,Sanhedrist,sanweiʈ͡ʂɻ̩,sanhedrist*,Osamu Mimi,Sanhedrist,0.6363636363636364,0.4,0.24375,0.275,2.925,0.26875,10,Chinese,Latin,hard_negative
三文治,sagenite,sanwenʈ͡ʂɻ̩,sagenite*,sandwich,sagenite,0.6363636363636364,0.5,0.2239583333333333,0.2604166666666666,2.953125,0.2421875,8,Chinese,Latin,hard_negative
三明治,sangivamycin,sanmiŋʈ͡ʂɻ̩,sangivamycin*,sandwich,concerted,0.6923076923076923,0.5454545454545454,0.3106060606060606,0.3522727272727273,2.886363636363636,0.3371212121212121,12,Chinese,Latin,hard_negative
三梅子,panosteitis,sanmeit͡si,panosteitis*,three plums,input,0.5,0.5454545454545454,0.2859848484848484,0.3143939393939394,2.5681818181818183,0.3106060606060605,11,Chinese,Latin,hard_negative
不列顛,Mussetian,pulietian,mussetian*,britain,Mussetian,0.4,0.3333333333333333,0.0625,0.0694444444444444,1.4722222222222223,0.0625,9,Chinese,Latin,hard_negative
丘吉爾,biopterin,t͡ɕʰiout͡ɕiɻ̩,biopterin*,Churchill,biopterin,0.6923076923076923,0.5555555555555556,0.3101851851851852,0.3425925925925925,3.388888888888889,0.3310185185185185,9,Chinese,Latin,hard_negative
乃掃,Bassano,naisao,bassano*,Nasau,Bassano,0.5,0.4285714285714285,0.2023809523809523,0.2261904761904762,2.6607142857142856,0.2142857142857142,7,Chinese,Latin,hard_negative
乃春,gaiatsu,naiʈ͡ʂʰun,gaiatsu*,Noharu,external pressure,0.6666666666666666,0.6666666666666666,0.2569444444444444,0.2986111111111111,4.25,0.2569444444444444,7,Chinese,Latin,hard_negative
亞伯達,Baphomet,japuota,baphomet*,Alberta,Baphomet,0.5555555555555556,0.5,0.2213541666666666,0.2395833333333333,3.09375,0.2317708333333333,8,Chinese,Latin,hard_negative
亞克力,jackeen,jakʰeli,jackeen*,Acrylic,jackeen,0.5,0.4285714285714285,0.2113095238095238,0.244047619047619,2.857142857142857,0.2261904761904762,7,Chinese,Latin,hard_negative
亞利桑那,jabisen,jalisaŋna,jabisen*,Arizona,jabisen,0.4444444444444444,0.3333333333333333,0.2291666666666666,0.2546296296296296,2.180555555555556,0.2523148148148147,7,Chinese,Latin,hard_negative
亞塞拜然,Cassegrainian,jasepaiɻan,cassegrainian*,Azerbaijan,Cassegrainian,0.5,0.4166666666666667,0.2048611111111111,0.2291666666666666,2.3854166666666665,0.2204861111111111,13,Chinese,Latin,hard_negative
亞士匹靈,Asiaphile,jaʂɻ̩pʰiliŋ,asiaphile*,aspirin,We are not healthy,0.6363636363636364,0.4444444444444444,0.224537037037037,0.2731481481481481,3.5277777777777777,0.224537037037037,9,Chinese,Latin,hard_negative
亞歷山大,blicant,jaliʂanta,blicant*,Alexander,blicant,0.4444444444444444,0.4444444444444444,0.2430555555555555,0.2685185185185185,2.5694444444444446,0.2662037037037036,7,Chinese,Latin,hard_negative
亞瑟,easle,jase,easle*,Arthur,easle,0.5,0.4,0.2083333333333333,0.2333333333333333,2.025,0.225,5,Chinese,Latin,hard_negative
亞美利加,kampylite,jameilit͡ɕia,kampylite*,America,curvilinear,0.5833333333333334,0.4,0.16875,0.1833333333333333,2.4375,0.1791666666666666,9,Chinese,Latin,hard_negative
亞里桑那,jabisen,jalisaŋna,jabisen*,Arizona,jabisen,0.4444444444444444,0.3333333333333333,0.2291666666666666,0.2546296296296296,2.180555555555556,0.2523148148148147,7,Chinese,Latin,hard_negative
亞非利加,palaeolongitudinal,jafeilit͡ɕia,palaeolongitudinal*,Africa,palaeolongitudinal,0.631578947368421,0.5882352941176471,0.420343137254902,0.4607843137254901,3.779411764705882,0.4583333333333333,18,Chinese,Latin,hard_negative
以太,Ihitha,itʰai,ihitha*,ether,Hitha,0.5714285714285714,0.5,0.3541666666666667,0.3958333333333333,3.4791666666666665,0.3888888888888889,6,Chinese,Latin,hard_negative
他莫昔芬,psammophile,tʰamuoɕifen,psammophile*,Tamoxifen,psammophile,0.5833333333333334,0.5454545454545454,0.2367424242424242,0.2727272727272727,3.4545454545454546,0.2462121212121212,11,Chinese,Latin,hard_negative
伊妹,limeric,imei,limeric*,Yimei,limerick,0.5,0.4285714285714285,0.3779761904761905,0.4285714285714285,3.107142857142857,0.4285714285714285,7,Chinese,Latin,hard_negative
伊妹兒,limeric,imeiɻ,limeric*,Yimeier,limerick,0.5,0.4285714285714285,0.2886904761904762,0.3273809523809524,2.982142857142857,0.3244047619047619,7,Chinese,Latin,hard_negative
伐木累,Jamul,famulei,jamul*,,Jamul,0.4285714285714285,0.4285714285714285,0.2946428571428571,0.3273809523809524,2.9107142857142856,0.3244047619047618,5,Chinese,Latin,hard_negative
伏特,Fumie,futʰe,fumie*,volt,Fumi-e,0.5,0.4,0.2333333333333333,0.2583333333333333,2.275,0.2541666666666666,5,Chinese,Latin,hard_negative
伊甸,Putian,itian,putian*,Eden,Putian,0.4285714285714285,0.1666666666666666,0.1701388888888889,0.1875,1.4583333333333333,0.1875,6,Chinese,Latin,hard_negative
伍茲,lutose,ut͡si,lutose*,Woods,lutose,0.5714285714285714,0.6666666666666666,0.4687499999999999,0.513888888888889,3.7916666666666665,0.513888888888889,6,Chinese,Latin,hard_negative
伊麗莎白,iliahi,iliʂapai,iliahi*,Elizabeth,iliahi,0.5,0.375,0.2473958333333333,0.2708333333333333,2.3125,0.2708333333333333,6,Chinese,Latin,hard_negative
伯利茲,autolithic,puolit͡si,autolithic*,Belize,autolithic,0.5454545454545454,0.5,0.3083333333333333,0.3416666666666667,3.0875,0.3375,10,Chinese,Latin,hard_negative
伸卡球,prenegotiation,ʂenkʰat͡ɕʰiou,prenegotiation*,card ball,prenegotiation,0.6666666666666666,0.5384615384615384,0.3525641025641026,0.3974358974358974,3.423076923076923,0.3894230769230768,14,Chinese,Latin,hard_negative
伯明翰,Europistan,puomiŋxan,europistan*,Birmingham,Europistan,0.5454545454545454,0.5,0.1833333333333333,0.2083333333333333,2.7125,0.2,10,Chinese,Latin,hard_negative
來復槍,caféteria,laifut͡ɕʰiaŋ,caféteria*,rifle,cafeteria,0.5833333333333334,0.5555555555555556,0.2777777777777778,0.3287037037037036,3.3194444444444446,0.2777777777777778,9,Chinese,Latin,hard_negative
佩斯,Keesey,pʰeisi,ˈkisi,Pace,Keesey,0.5,0.4,0.2208333333333333,0.2416666666666666,1.9,0.2416666666666666,6,Chinese,Latin,hard_negative
依格,vika,ike,vika*,Eagle,fault,0.6,0.25,0.2395833333333333,0.2604166666666667,1.9375,0.2604166666666667,4,Chinese,Latin,hard_negative
來福槍,caféteria,laifut͡ɕʰiaŋ,caféteria*,rifle,cafeteria,0.5833333333333334,0.5555555555555556,0.2777777777777778,0.3287037037037036,3.3194444444444446,0.2777777777777778,9,Chinese,Latin,hard_negative
保加利亞,sartorialism,paot͡ɕialija,sartorialism*,Bulgaria,sartorialism,0.5384615384615384,0.5,0.2291666666666666,0.2638888888888889,2.864583333333333,0.2499999999999999,12,Chinese,Latin,hard_negative
便士,perianth,pianʂɻ̩,perianth*,penny,perianth,0.5555555555555556,0.375,0.25,0.2864583333333333,2.609375,0.2838541666666667,8,Chinese,Latin,hard_negative
保齡,maoli,paoliŋ,maoli*,bowling,real,0.3333333333333333,0.3333333333333333,0.1701388888888889,0.1875,1.6666666666666667,0.1875,5,Chinese,Latin,hard_negative
倫敦,Yuan Tan,luntun,juɑn tæn,London,YuanTan,0.5,0.1428571428571428,0.1875,0.2083333333333333,1.9821428571428568,0.2053571428571428,8,Chinese,Latin,hard_negative
傑克,thiete,t͡ɕiekʰe,thiete*,Jack,thiete,0.625,0.5,0.2152777777777778,0.2361111111111111,1.8958333333333333,0.2326388888888889,6,Chinese,Latin,hard_negative
傑西卡,patientlike,t͡ɕieɕikʰa,patientlike*,Jessica,patientlike,0.6666666666666666,0.5454545454545454,0.3712121212121212,0.4053030303030303,3.113636363636364,0.4053030303030303,11,Chinese,Latin,hard_negative
優兔,yout,joutʰu,yout*,Yuu,yout,0.5,0.4,0.2208333333333333,0.25,2.175,0.2416666666666666,4,Chinese,Latin,hard_negative
優格,nouse,jouke,nouse*,Yogurt,rise,0.5,0.4,0.1,0.1083333333333333,1.65,0.1,5,Chinese,Latin,hard_negative
兀蘭,Fula,ulan,fula*,woodlands,Fula,0.4,0.5,0.3333333333333333,0.3958333333333333,3.625,0.3333333333333333,4,Chinese,Latin,hard_negative
先令,Jiangling,ɕianliŋ,jiangling*,shilling,Jiangling,0.5,0.1428571428571428,0.0595238095238095,0.0654761904761904,1.0714285714285714,0.0595238095238095,9,Chinese,Latin,hard_negative
克力架,kinesialgia,kʰelit͡ɕia,kinesialgia*,acrylic stand,kinesialgia,0.5833333333333334,0.5,0.3166666666666666,0.3458333333333333,2.775,0.3458333333333333,11,Chinese,Latin,hard_negative
克戟,acetalise,kʰet͡ɕi,acetalise*,halberd,acetalise,0.7,0.7777777777777778,0.5300925925925926,0.5833333333333334,4.305555555555555,0.5833333333333334,9,Chinese,Latin,hard_negative
克拉,kheema,kʰela,kheema*,carat,kheema,0.5714285714285714,0.5,0.34375,0.3819444444444445,2.9791666666666665,0.3784722222222222,6,Chinese,Latin,hard_negative
克林頓,Kirkliston,kʰelintun,kirkliston*,Clinton,Kirkliston,0.5454545454545454,0.3,0.20625,0.2333333333333333,2.0,0.2333333333333333,10,Chinese,Latin,hard_negative
免治,Wendish,wenʈ͡ʂɻ̩,wendish*,Immunity,Wendish,0.625,0.4285714285714285,0.306547619047619,0.3511904761904761,2.571428571428572,0.3333333333333333,7,Chinese,Latin,hard_negative
克洛伊,Kalu,kʰeluoi,kalu*,Chloe,Kalu,0.5714285714285714,0.3333333333333333,0.3125,0.3472222222222221,2.5416666666666665,0.3472222222222221,4,Chinese,Latin,hard_negative
免翁,hende,wenweŋ,hende*,Mion,her,0.5,0.3333333333333333,0.2569444444444444,0.2777777777777778,3.270833333333333,0.2743055555555555,5,Chinese,Latin,hard_negative
克賴斯特徹奇,elastometric,kʰelaisitʰeʈ͡ʂʰet͡ɕʰi,elastometric*,christchurch,elastomeric,0.6666666666666666,0.5384615384615384,0.2115384615384615,0.25,3.076923076923077,0.219551282051282,12,Chinese,Latin,hard_negative
克里奧爾語,Karelianness,kʰeliaoɻ̩ju,karelianness*,Creole,Karelianness,0.6153846153846154,0.4166666666666667,0.3177083333333333,0.3506944444444444,3.34375,0.3420138888888888,12,Chinese,Latin,hard_negative
克里米亞,Desimir,kʰelimija,desimir*,Crimea,Desimir,0.5555555555555556,0.375,0.1901041666666666,0.21875,2.09375,0.203125,7,Chinese,Latin,hard_negative
