loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
à bas,basse,à* bas*,bas,down,basse,0.5714285714285714,0.0,0.2239583333333333,0.25,1.8125,0.25,4,Latin,Latin,hard_negative
à bouche,en baver,à* baʊʧ,ən bavəʀ,mouth,drooling,0.625,0.5714285714285714,0.4166666666666666,0.4583333333333333,3.4285714285714284,0.4583333333333333,7,Latin,Latin,hard_negative
à contrecœur,à cette heure,à* contrecœur*,a sɛtə œʀ,unwillingly,at this hour,0.7857142857142857,0.4,0.3731060606060606,0.4242424242424242,3.227272727272727,0.4147727272727273,7,Latin,Latin,hard_negative
à deux,amadou,à* du,amadu,together,amadou,0.6,0.6,0.3583333333333333,0.4,2.9,0.4,5,Latin,Latin,hard_negative
a go-go,reine-claude,ə go-go*,ʀəinə-klod,a go-go,queen claude,0.7,0.6666666666666666,0.6111111111111112,0.675925925925926,4.916666666666667,0.675925925925926,11,Latin,Latin,hard_negative
à gogo,aumône,à* ˈgoʊˌgoʊ,omon,galore,alms,0.8181818181818182,0.5,0.3333333333333333,0.375,4.625,0.3541666666666666,6,Latin,Latin,hard_negative
à la carte,manquant,à* lɑ kɑrt,mɑ̃kɑ̃t,à la carte,missing,0.6,0.3333333333333333,0.2916666666666667,0.3333333333333333,2.6607142857142856,0.3303571428571428,8,Latin,Latin,hard_negative
a la minute,faire le ménage,ə lɑ ˈmɪnət,fɛʀə lə menaʒ,a minute,to do the housework,0.6153846153846154,0.2727272727272727,0.2878787878787878,0.3181818181818182,2.4318181818181817,0.3162878787878788,8,Latin,Latin,hard_negative
à la russe,par le menu,à* lɑ rəs,paʀ lə məny,Russian way,through the menu,0.6363636363636364,0.6666666666666666,0.3564814814814815,0.4074074074074074,3.3472222222222223,0.3935185185185185,9,Latin,Latin,hard_negative
à outrance,œuf tourné,à* outrance*,œf tuʀne,excessive,turned egg,0.6666666666666666,0.5,0.3125,0.3657407407407407,3.555555555555556,0.3356481481481481,8,Latin,Latin,hard_negative
à propos de bottes,champ de bataille,à* propos* də bottes*,ʃɑ̃p də batel,about boots,battlefield,0.6190476190476191,0.4285714285714285,0.3361111111111111,0.375,2.9916666666666667,0.3722222222222223,13,Latin,Latin,hard_negative
à trois,à toute,à* twɑ,a tut,at three,See you later,0.6666666666666666,0.75,0.125,0.15625,2.96875,0.125,4,Latin,Latin,hard_negative
abacost,aastais,abacost*,aastɛ,abacost,years,0.5,0.5714285714285714,0.3333333333333333,0.3749999999999999,3.767857142857143,0.3630952380952381,6,Latin,Latin,hard_negative
abaissé,abaïer,abaissé*é,abaiʀ,lowered,abayer,0.5555555555555556,0.3333333333333333,0.3645833333333333,0.40625,3.234375,0.3984375,4,Latin,Latin,hard_negative
abandon,bander,əˈbændən,bɑ̃dəʀ,abandon,gangs,0.625,0.4285714285714285,0.3095238095238095,0.3452380952380952,2.732142857142857,0.3363095238095238,3,Latin,Latin,hard_negative
abandonment,phænomene,əˈbændənmənt,fænɔmən,abandonment,phenomena,0.5833333333333334,0.3636363636363636,0.3446969696969696,0.3787878787878787,2.8068181818181817,0.3768939393939394,6,Latin,Latin,hard_negative
abaque,abaïer,abaque*,abaiʀ,abacus,abayer,0.5714285714285714,0.3333333333333333,0.2013888888888889,0.2291666666666666,2.3125,0.21875,3,Latin,Latin,hard_negative
abat-vent,bas-ventre,abat-vent*,bas-vɑ̃tʀ,abat-vent,lower abdomen,0.5,0.375,0.1875,0.2083333333333333,2.234375,0.2005208333333333,4,Latin,Latin,hard_negative
abat-voix,abaïer,abat-voix*,abaiʀ,sounding board,abayer,0.6,0.5,0.359375,0.3958333333333333,3.09375,0.3932291666666667,6,Latin,Latin,hard_negative
abatis,abaïer,abatis*,abaiʀ,abatis,abayer,0.4285714285714285,0.3333333333333333,0.1944444444444444,0.2152777777777778,1.8958333333333333,0.2083333333333333,3,Latin,Latin,hard_negative
abatjour,abatacept,abatjour*,abatazɛp,lampshade,abatacept,0.5555555555555556,0.375,0.125,0.1510416666666666,2.375,0.125,5,Latin,Latin,hard_negative
abatsons,abalone,abatsons*,abalɔn,abatsons,abalone,0.5555555555555556,0.375,0.25,0.2708333333333333,2.1875,0.2708333333333333,3,Latin,Latin,hard_negative
abattage,abatacept,abattage*,abatazɛp,slaughter,abatacept,0.4444444444444444,0.25,0.1692708333333333,0.1874999999999999,2.171875,0.1822916666666666,4,Latin,Latin,hard_negative
abattoir,abaïer,abattoir*,abaiʀ,abattoir,abayer,0.5555555555555556,0.375,0.3619791666666666,0.40625,2.953125,0.3958333333333333,4,Latin,Latin,hard_negative
abbé,babyboom,abbé*é,babibɔɔ̃,abbé,baby boom,0.625,0.5714285714285714,0.2976190476190476,0.3273809523809524,2.5,0.3273809523809524,5,Latin,Latin,hard_negative
Abbeville,Abeille,ˈæbvɪl,abɛjl,Abbeville,Bee,0.6666666666666666,0.4,0.0625,0.0833333333333333,1.875,0.0625,2,Latin,Latin,hard_negative
abduction,pet de nonne,əbˈdəkʃən,pət də nɔn,abduction,nun fart,0.6,0.5,0.1953125,0.21875,2.609375,0.1953125,10,Latin,Latin,hard_negative
abime,abigéat,abime*,abiʒea,abyss,abigéat,0.3333333333333333,0.3333333333333333,0.1944444444444444,0.2152777777777778,2.0625,0.2118055555555555,4,Latin,Latin,hard_negative
ablegate,ablatif,ablegate*,ablatif,ablegate,ablative,0.4444444444444444,0.2857142857142857,0.1458333333333333,0.1726190476190476,2.142857142857143,0.1458333333333333,4,Latin,Latin,hard_negative
ablet,ablette,ablet*,ablɛt,ablet,ablette,0.3333333333333333,0.0,0.0083333333333333,0.0083333333333333,0.05,0.0083333333333333,2,Latin,Latin,hard_negative
abonné,Abénaquise,abonné*é,abenakiz,subscriber,Abenaki,0.625,0.5,0.1953125,0.21875,2.578125,0.2083333333333333,8,Latin,Latin,hard_negative
abonnement,abdominal,abonnement*,abdɔminal,subscription,abdominal,0.6363636363636364,0.5,0.2041666666666666,0.2291666666666666,2.725,0.2125,7,Latin,Latin,hard_negative
abordage,Abdallah,abordage*,abdala,collision,Abdallah,0.5555555555555556,0.4285714285714285,0.2351190476190476,0.2797619047619047,3.1785714285714284,0.25,7,Latin,Latin,hard_negative
