loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
Aadolf,Rudolf,ɑːdolf,rʉːdɔlf,Adolph,Rudolf,0.428571428571429,0.166666666666667,0.180555555555556,0.208333333333333,1.66666666666667,0.208333333333333,2,Latin,Latin,hard_negative
aalloppi,alkemi,ɑːlloppi,ɑːlɕeːmiː,wave,alchemy,0.555555555555556,0.428571428571429,0.211309523809524,0.226190476190476,2.35714285714286,0.226190476190476,5,Latin,Latin,hard_negative
aaloe,al,ɑːloe,ɑːl,aloe,al,0.4,0.5,0.447916666666667,0.5,3.625,0.5,3,Latin,Latin,hard_negative
aari,Mari,ɑːri,mɑːriː,aari,Mari,0.333333333333333,0.25,0.234375,0.260416666666667,1.9375,0.260416666666667,1,Latin,Latin,hard_negative
aaria,Mari,ɑːriɑ,mɑːriː,aria,Mari,0.333333333333333,0.5,0.286458333333333,0.375,3.75,0.286458333333333,2,Latin,Latin,hard_negative
aarpora,agera,ɑːrporɑ,ɑːjeːrɑː,Arpara,act,0.5,0.166666666666667,0.215277777777778,0.243055555555556,2.22916666666667,0.232638888888889,4,Latin,Latin,hard_negative
aasa,basa,ɑːsɑ,bɑːsɑː,aasa,work,0.333333333333333,0.25,0.234375,0.260416666666667,1.9375,0.260416666666667,1,Latin,Latin,hard_negative
aateli,Aten,ɑːteli,ɑːteːn,nobility,Aten,0.333333333333333,0.4,0.2125,0.233333333333333,1.95,0.233333333333333,4,Latin,Latin,hard_negative
aatto,atoll,ɑːtto,ɑːtɔl,eve,atoll,0.4,0.5,0.177083333333333,0.208333333333333,3.6875,0.177083333333333,4,Latin,Latin,hard_negative
abortti,aorta,ɑbortti,ɑːɔrtɑː,abortion,aorta,0.571428571428571,0.285714285714286,0.297619047619048,0.327380952380952,2.5,0.324404761904762,3,Latin,Latin,hard_negative
adjektiivi,attraktiv,ɑtjektiːʋi,ɐtrɐktiːv,adjective,attractive,0.5,0.222222222222222,0.157407407407407,0.194444444444444,1.97222222222222,0.168981481481481,6,Latin,Latin,hard_negative
adressi,Ares,ɑtressi,ɑːreːs,petition,Ares,0.428571428571429,0.428571428571429,0.401785714285714,0.440476190476191,3.25,0.440476190476191,4,Latin,Latin,hard_negative
adventti,nattinatti,ɑtʋentti,nɐtiːnɐtiː,adventti,nattinatti,0.6,0.375,0.1953125,0.234375,3.1875,0.1953125,5,Latin,Latin,hard_negative
afääri,afar,ɑfæːri,ɑːfɑːr,affair,afar,0.5,0.2,0.2,0.225,1.7,0.220833333333333,3,Latin,Latin,hard_negative
agentuuri,Gunvor,ɑɡentuːri,ɡɵnvuːr,Agency,Gunvor,0.444444444444444,0.375,0.263020833333333,0.296875,2.28125,0.291666666666667,7,Latin,Latin,hard_negative
ahteri,Aten,ɑɦteri,ɑːteːn,stern,Aten,0.5,0.5,0.340277777777778,0.388888888888889,3.0,0.375,4,Latin,Latin,hard_negative
ahterikantti,amerikanska,ɑɦterikɑntti,ɑːmeːriːkɐnɧɑː,aftikantti,American,0.571428571428571,0.333333333333333,0.217013888888889,0.236111111111111,2.04166666666667,0.230902777777778,5,Latin,Latin,hard_negative
aksiisi,anis,ɑksiːsi,ɑːniːs,excise,anis,0.428571428571429,0.5,0.333333333333333,0.368055555555556,3.125,0.368055555555556,4,Latin,Latin,hard_negative
aladobi,illdåd,ɑlɑdobi,ɪldoːd,aladobi,atrocity,0.571428571428571,0.428571428571429,0.300595238095238,0.339285714285714,2.58928571428571,0.333333333333333,5,Latin,Latin,hard_negative
alatoopi,platå,ɑlɑtoːpi,plɑːtoː,subtype,plateau,0.5,0.428571428571429,0.318452380952381,0.357142857142857,3.48214285714286,0.348214285714286,5,Latin,Latin,hard_negative
Albertiina,abortera,ɑlbertiːnɑ,ɑːbɔrteːrɑː,Albertiina,abort,0.454545454545455,0.222222222222222,0.148148148148148,0.166666666666667,1.38888888888889,0.157407407407407,6,Latin,Latin,hard_negative
alkoholisti,sakpolitik,ɑlkoɦolisti,sɐkpuːliːtiːk,alcoholic,sakpolitik,0.615384615384615,0.545454545454545,0.240530303030303,0.272727272727273,3.80681818181818,0.25,6,Latin,Latin,hard_negative
alkovi,bakåt,ɑlkoʋi,bɑːkoːt,alcove,backwards,0.571428571428571,0.666666666666667,0.322916666666667,0.388888888888889,5.02083333333333,0.354166666666667,5,Latin,Latin,hard_negative
alpakka,alpkaja,ɑlpɑkkɑ,ɐlpkɑːjɑː,alpaca,alpkaja,0.555555555555556,0.428571428571429,0.151785714285714,0.172619047619048,3.07142857142857,0.151785714285714,3,Latin,Latin,hard_negative
altaani,Alban,ɑltɑːni,ɐlbɑːn,pool,Alban,0.428571428571429,0.333333333333333,0.184027777777778,0.208333333333333,1.5625,0.201388888888889,4,Latin,Latin,hard_negative
Alvari,anarki,ɑlʋɑri,ɑːnɑːrɕiː,Alvari,anarchy,0.555555555555556,0.5,0.15625,0.208333333333333,2.8125,0.15625,4,Latin,Latin,hard_negative
alvari,anarki,ɑlʋɑri,ɑːnɑːrɕiː,alvari,anarchy,0.555555555555556,0.5,0.15625,0.208333333333333,2.8125,0.15625,3,Latin,Latin,hard_negative
amiraali,aioli,ɑmirɑːli,ɑːiːuːliː,admiral,aioli,0.444444444444444,0.285714285714286,0.291666666666667,0.333333333333333,2.60714285714286,0.330357142857143,4,Latin,Latin,hard_negative
