loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
Abbé,apiéceur,apbeː́,apjezœʀ,Abbé,piecer,0.5714285714285714,0.5714285714285714,0.41964285714285715,0.47023809523809523,3.5892857142857144,0.46726190476190477,7,Latin,Latin,hard_negative
abjekt,apointé,apjɛkt,apɔɛ̃te,object,appointed,0.42857142857142855,0.5,0.125,0.14583333333333334,2.4583333333333335,0.125,5,Latin,Latin,hard_negative
Abonnement,à bon compte,ɑːbɔneːmənt,a bɔn kɔ̃pt,Subscription,cheaply,0.6363636363636364,0.3333333333333333,0.17824074074074076,0.19444444444444445,2.013888888888889,0.18981481481481483,8,Latin,Latin,hard_negative
abonnieren,adoniser,ɑːbɔniːʀən,adɔnizəʀ,subscribe to,adoniser,0.6,0.375,0.08854166666666667,0.10416666666666669,1.265625,0.08854166666666667,5,Latin,Latin,hard_negative
Absence,aperceveuse,apsəŋkə,apɛʀsəvœz,Absence,sighter,0.5555555555555556,0.5555555555555556,0.30324074074074076,0.3425925925925926,3.7083333333333335,0.3287037037037037,9,Latin,Latin,hard_negative
absentieren,activer,apsəntiːəʀən,aktivəʀ,absent,enable,0.5833333333333334,0.5454545454545454,0.37878787878787884,0.41666666666666663,3.25,0.41287878787878785,7,Latin,Latin,hard_negative
Absinth,absoute,apsɪnt,absut,absinthe,absoute,0.5,0.16666666666666666,0.1875,0.20138888888888887,1.5416666666666667,0.20138888888888887,4,Latin,Latin,hard_negative
Absolutismus,adultisme,apsoːluːtɪsmuːs,adyltism,absolutism,adultism,0.6666666666666666,0.3333333333333333,0.3246527777777778,0.35763888888888884,2.7083333333333335,0.35763888888888884,7,Latin,Latin,hard_negative
Accessoire,accessible,akkɛsoːiːʀə,aksɛsibl,Accessory,accessible,0.5454545454545454,0.3333333333333333,0.1851851851851852,0.20833333333333334,2.4027777777777777,0.19675925925925927,4,Latin,Latin,hard_negative
Accuratesse,accordiste,akkuːʀɑːtɛsə,akkɔʀdist,Accuracy,accordiste,0.5833333333333334,0.2,0.15208333333333335,0.17083333333333334,1.875,0.16458333333333336,6,Latin,Latin,hard_negative
Adele,pendouiller,ɑːdeːlə,pɑ̃dujləʀ,Adele,dangle,0.5555555555555556,0.375,0.3645833333333333,0.4114583333333333,3.15625,0.40624999999999994,8,Latin,Latin,hard_negative
adjustieren,abiotiquement,atjʊstiːəʀən,abjɔtikəmɑ̃,adjust,abiotically,0.5833333333333334,0.45454545454545453,0.20075757575757577,0.22348484848484845,2.625,0.20833333333333337,8,Latin,Latin,hard_negative
Adresse,stress,atʀɛsə,stʀɛs,Address,stress,0.3333333333333333,0.3333333333333333,0.20138888888888892,0.22916666666666666,2.5,0.21875,3,Latin,Latin,hard_negative
adressieren,agressivité,atʀɛsiːʀən,aɡʀɛsivite,address,aggressiveness,0.5,0.4,0.1625,0.17916666666666667,1.8,0.17291666666666666,5,Latin,Latin,hard_negative
adrett,ablette,atʀɛt,ablɛt,neat,ablette,0.4,0.2,0.07083333333333333,0.08333333333333333,0.75,0.07083333333333333,3,Latin,Latin,hard_negative
Affäre,Afar,afæːʀə,afaʀ,affair,Afar,0.5,0.2,0.1875,0.20833333333333334,1.55,0.20833333333333334,3,Latin,Latin,hard_negative
Affront,astronaute,afʀɔnt,astʀɔnot,Affront,astronaut,0.375,0.375,0.2421875,0.27083333333333337,1.96875,0.265625,6,Latin,Latin,hard_negative
agacieren,encoffrer,ɑːɡɑːkiːʀən,ɑ̃kɔfʀəʀ,agitate,encase,0.6363636363636364,0.375,0.2109375,0.23437500000000003,2.125,0.22395833333333331,7,Latin,Latin,hard_negative
Agent Provocateur,"dire tantôt blanc, tantôt noir",ɑːɡənt pʀoːfoːkɑːtoːyːʀ,"diʀə tɑ̃tot blɑ̃k, tɑ̃tot nwaʀ",Provocative factor,"say sometimes white, sometimes black",0.7333333333333333,0.5,0.3371212121212121,0.375,3.2386363636363638,0.3636363636363636,23,Latin,Latin,hard_negative
aggressiv,accessible,aɡkʀɛsiːf,aksɛsibl,aggressive,accessible,0.4444444444444444,0.375,0.20312499999999997,0.23958333333333334,2.46875,0.20312499999999997,6,Latin,Latin,hard_negative
Agiotage,antigang,ɑːɡiːoːtɑːɡə,ɑ̃tiɡɑ̃ɡ,loan shark,antigang,0.6666666666666666,0.5,0.3072916666666667,0.33854166666666663,2.71875,0.33333333333333337,7,Latin,Latin,hard_negative
Agioteur,antiparticule,ɑːɡiːoːtoːyːʀ,ɑ̃tipaʀtikyl,job seeker,antiparticule,0.6923076923076923,0.36363636363636365,0.3276515151515152,0.36363636363636365,2.9545454545454546,0.35795454545454547,10,Latin,Latin,hard_negative
Agoraphobie,anglophobie,ɑːɡoːʀɑːfoːbiːə,ɑ̃ɡlɔfɔbi,Agoraphobia,anglophobie,0.6666666666666666,0.2,0.23958333333333334,0.26666666666666666,2.1125,0.26041666666666663,5,Latin,Latin,hard_negative
Agraffe,parafer,akʀafə,paʀafəʀ,Agraffe,parafer,0.42857142857142855,0.42857142857142855,0.2261904761904762,0.255952380952381,3.107142857142857,0.24404761904761904,4,Latin,Latin,hard_negative
