loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
Abate,abbarbiccato,ɑːbɑːtə,abːarbikːato,Abate,clinging,0.6666666666666666,0.5,0.4708333333333334,0.5333333333333333,3.95,0.5291666666666666,9,Latin,Latin,hard_negative
Accuratesse,acqua pazza,akkuːʀɑːtɛsə,akkua pat͡sa,Accuracy,crazy water,0.5,0.3,0.14166666666666666,0.15833333333333333,1.3625,0.15416666666666667,9,Latin,Latin,hard_negative
Adige,radicchio,ɑːdiːçə,radikːio,Adige,radicchio,0.625,0.42857142857142855,0.2976190476190476,0.33928571428571436,2.7142857142857144,0.33630952380952384,7,Latin,Latin,hard_negative
al dente,bel canto,ɑːl dəntə,bel kanto,al dente,nice singing,0.5555555555555556,0.25,0.18489583333333334,0.203125,1.671875,0.19791666666666666,5,Latin,Latin,hard_negative
Alarm,afflato,ɑːlaʀm,afːlato,Alarm,afflato,0.5714285714285714,0.5,0.2743055555555555,0.3055555555555555,3.5,0.2881944444444445,5,Latin,Latin,hard_negative
albanesisch,albanella,albɑːneːsiːʃ,albanelːa,Albanian,harrier,0.5,0.2222222222222222,0.15046296296296294,0.16203703703703703,1.5277777777777777,0.1597222222222222,5,Latin,Latin,hard_negative
Aleppo,colpo,ɑːlɛpoː,kolpo,Aleppo,hit,0.5714285714285714,0.4,0.1958333333333333,0.23333333333333334,3.35,0.1958333333333333,4,Latin,Latin,hard_negative
Allegretto,acanto,alɛkʀɛtoː,akanto,Allegretto,acanthus,0.5555555555555556,0.5,0.2942708333333333,0.3333333333333333,3.125,0.3177083333333333,8,Latin,Latin,hard_negative
Alt,alt,alt,alt,Alt,alt,0.0,0.0,0.0,0.0,0.0,0.0,1,Latin,Latin,hard_negative
Amaretto,commento,ɑːmɑːʀɛtoː,komːento,Amaretto,comment,0.6,0.42857142857142855,0.2261904761904762,0.26785714285714285,3.1964285714285716,0.2261904761904762,5,Latin,Latin,hard_negative
Ambiente,ambrenti,ambɪntə,ambrenti,Environment,ambrenti,0.375,0.125,0.13020833333333334,0.15104166666666666,1.15625,0.15104166666666666,3,Latin,Latin,hard_negative
Annina,Aniene,aniːnɑː,aniene,Annina,Aniene,0.42857142857142855,0.16666666666666666,0.18055555555555555,0.20138888888888892,1.5833333333333333,0.19791666666666666,3,Latin,Latin,hard_negative
Aquarell,Achitofèl,akvɑːʀɛl,akitofɛl,watercolor,Ahithophel,0.5,0.375,0.1875,0.21354166666666669,1.953125,0.20052083333333331,7,Latin,Latin,hard_negative
Arie,ecclissi,ɑːʀiːə,ekːlisːi,Arie,eclipse,0.625,0.3333333333333333,0.3888888888888889,0.4305555555555555,3.3958333333333335,0.42013888888888884,7,Latin,Latin,hard_negative
Arno,ano,aʀnoː,ano,Arno,yes,0.4,0.25,0.22916666666666666,0.2604166666666667,1.9375,0.2604166666666667,2,Latin,Latin,hard_negative
Artischocke,articchiocco,aʀtiːʃɔkə,artikːiokːo,artichoke,articchiocco,0.5454545454545454,0.2222222222222222,0.16666666666666669,0.18981481481481483,1.5833333333333333,0.17824074074074076,5,Latin,Latin,hard_negative
Assassine,alsaziano,asasiːnə,alsasiano,Murder,Alsatian,0.3333333333333333,0.2222222222222222,0.21527777777777776,0.23611111111111116,1.75,0.23611111111111116,6,Latin,Latin,hard_negative
Baldachin,Baldassarre,baldɑːxiːn,baldasːarːe,Canopy,Baldassarre,0.45454545454545453,0.3333333333333333,0.1736111111111111,0.19907407407407407,1.7361111111111112,0.18518518518518517,6,Latin,Latin,hard_negative
Ballett,alt,balɛt,alt,ballet,alt,0.4,0.4,0.35833333333333334,0.4,2.9,0.4,4,Latin,Latin,hard_negative
