loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
अंगूर,اگر,ŋɡuːr,ɒɡr,Grape,If,0.6,0.5,0.3072916666666667,0.34375,3.65625,0.3333333333333333,5,Devanagari,Arabic,hard_negative
अंगूरी,اگر,ŋɡuːriː,ɒɡr,Angoori,If,0.7142857142857143,0.6,0.425,0.475,4.375,0.4666666666666666,6,Devanagari,Arabic,hard_negative
अंजाम,جام,ɲd͡ʒaːm,d͡ʒɒm,result,Cup,0.4285714285714285,0.25,0.2552083333333333,0.28125,2.1875,0.28125,5,Devanagari,Arabic,hard_negative
अंदर,پندار,ndər,pndɒr,Inside,پندار,0.4,0.2,0.2041666666666667,0.225,1.7,0.225,5,Devanagari,Arabic,hard_negative
अंदरुनी,دارنده,ndəruniː,dɒrndh,inside,Owner,0.625,0.5714285714285714,0.2589285714285714,0.2857142857142857,3.5892857142857144,0.2708333333333333,7,Devanagari,Arabic,hard_negative
अंदाज़,اندونزی,ndaːz,ɒndvnzj,style,Indonesia,0.5714285714285714,0.5714285714285714,0.431547619047619,0.4821428571428571,4.178571428571429,0.4732142857142857,7,Devanagari,Arabic,hard_negative
अंदेशा,پنداشتن,ndeʃaː,pndɒʃtn,suspect,پنداشتن,0.5714285714285714,0.4285714285714285,0.3273809523809524,0.3630952380952381,3.357142857142857,0.3541666666666666,7,Devanagari,Arabic,hard_negative
अक्स,اکثر,aksə,ɒksr,Aks,Often,0.5,0.25,0.0885416666666666,0.125,1.75,0.0885416666666666,4,Devanagari,Arabic,hard_negative
अख़बार,خبر,axbaːr,xbr,newspaper,خبر,0.5,0.4,0.3583333333333333,0.4,2.9,0.4,6,Devanagari,Arabic,hard_negative
अगर,اگیر,aɡər,ɒɡjr,If,اگر,0.5,0.25,0.0625,0.0729166666666666,1.09375,0.0625,4,Devanagari,Arabic,hard_negative
अगरचे,خرچنگ,aɡrət͡ʃe,xrt͡ʃŋ,even if,Crab,0.5,0.5,0.3611111111111111,0.4027777777777777,3.7708333333333335,0.3958333333333332,5,Devanagari,Arabic,hard_negative
