loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
abcúg,Zug,ɒbt͡suːɡ,t͡suːk,alphabetically,Zug,0.375,0.4,0.3666666666666670,0.4083333333333330,2.95,0.4083333333333330,4,Latin,Latin,hard_negative
abszint,Abstand,ɒbsint,abstant,absinthe,Distance,0.4285714285714290,0.1428571428571430,0.1547619047619050,0.1666666666666670,1.3214285714285700,0.1666666666666670,4,Latin,Latin,hard_negative
abszorpció,Bazi,ɒbsorpt͡sioː,bɑːt͡siː,absorption,Bases,0.5,0.5555555555555560,0.5138888888888890,0.5787037037037040,4.277777777777780,0.576388888888889,8,Latin,Latin,hard_negative
abszurditás,saudisch,ɒbsurditaːʃ,zaudiːʃ,absurdity,saudisch,0.5454545454545450,0.4,0.4041666666666670,0.45,3.45,0.45,7,Latin,Latin,hard_negative
adiabatikus,dörptisch,ɒdiɒbɒtikuʃ,dœʀptiːʃ,adiabatic,dopey,0.6363636363636360,0.4545454545454550,0.3655303030303030,0.4090909090909090,3.3295454545454500,0.4034090909090910,8,Latin,Latin,hard_negative
adszorpció,Endstation,ɒdsorpt͡sioː,əndstɑːt͡siːoːn,adsorption,final destination,0.4666666666666670,0.5,0.225,0.2541666666666670,3.1625,0.2333333333333330,9,Latin,Latin,hard_negative
affin,Caffein,ɒfːin,kafain,affin,Caffeine,0.5,0.3333333333333330,0.3194444444444450,0.3541666666666670,2.6666666666666700,0.3541666666666670,2,Latin,Latin,hard_negative
afrikanista,vergnügt,ɒfrikɒniʃtɒ,fəʀknʏɡt,Africanist,happy,0.6363636363636360,0.5454545454545450,0.3181818181818180,0.3674242424242420,3.363636363636360,0.3465909090909090,8,Latin,Latin,hard_negative
ágens,hegelsch,aːɡɛnʃ,heːɡɛlʃ,agent,hegelsch,0.4285714285714290,0.3333333333333330,0.1770833333333330,0.1944444444444440,1.625,0.1944444444444440,5,Latin,Latin,hard_negative
agitáció,Gizeh,ɒɡitaːt͡sioː,ɡiːt͡seː,agitation,Giza,0.4166666666666670,0.5,0.4661458333333330,0.515625,3.8125,0.515625,7,Latin,Latin,hard_negative
agresszió,desto,ɒɡrɛsːioː,dɛstoː,aggression,desto,0.5555555555555560,0.5714285714285710,0.3303571428571430,0.3809523809523810,3.696428571428570,0.3660714285714290,7,Latin,Latin,hard_negative
agronómus,ergonomisch,ɒɡronoːmuʃ,əʀɡoːnoːmiːʃ,agronomist,ergonomic,0.5,0.2222222222222220,0.0833333333333333,0.0972222222222222,1.4027777777777800,0.0833333333333333,7,Latin,Latin,hard_negative
