loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
aanwijzing,Matividiri,aanwid͡ʑziŋ,maːtiːvɪdiːriː,clue,Matividiri,0.7142857142857143,0.7,0.25,0.2916666666666667,4.125,0.2645833333333333,8,Latin,Latin,hard_negative
abakus,Haukes,abakus,hawʏkɛs,abacus,Haukes,0.5714285714285714,0.2857142857142857,0.2232142857142857,0.2380952380952381,2.607142857142857,0.2380952380952381,4,Latin,Latin,hard_negative
abatoar,aardhoop,abatoar,aːrtoːp,slaughterhouse,mound,0.5714285714285714,0.5714285714285714,0.3452380952380952,0.4047619047619047,3.7142857142857135,0.380952380952381,6,Latin,Latin,hard_negative
abdikasi,barkas,abdikasi,bɑrkɑs,abdikasi,barkas,0.625,0.5,0.3125,0.3697916666666666,3.8125,0.3385416666666666,4,Latin,Latin,hard_negative
abdomen,aankomen,abdomən,aːnkoːmɛn,abdomen,arrive,0.5555555555555556,0.2857142857142857,0.0773809523809523,0.0833333333333333,1.0714285714285714,0.0773809523809523,3,Latin,Latin,hard_negative
abduksi,ataxie,abduksi,aːtɑksiːeː,abduction,ataxia,0.6,0.2857142857142857,0.2232142857142857,0.2559523809523809,2.571428571428572,0.2232142857142857,6,Latin,Latin,hard_negative
aberasi,Austrasië,abərasi,awstraːsiː̈,aberration,Austrasia,0.5454545454545454,0.375,0.1901041666666667,0.2135416666666666,2.421875,0.203125,5,Latin,Latin,hard_negative
abiturien,aansterven,abituriən,aːnstɛrvɛn,high school,die,0.6,0.3333333333333333,0.1180555555555555,0.1342592592592592,2.458333333333333,0.1180555555555555,5,Latin,Latin,hard_negative
ablasi,Aalst,ablasi,aːlst,ablation,Aalst,0.5,0.5,0.3645833333333333,0.4097222222222222,3.8958333333333335,0.3993055555555556,4,Latin,Latin,hard_negative
abnormal,panorama,abnormal,paːnoːraːmaː,abnormal,panorama,0.5,0.5,0.2057291666666666,0.2343749999999999,3.78125,0.2057291666666666,4,Latin,Latin,hard_negative
