loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
آثار,بسر,ɒsɒr,bsr,Effects,Live,0.5,0.5,0.3177083333333333,0.3541666666666667,4.15625,0.34375,3,Arabic,Arabic,hard_negative
آجر,تجر,ɒd͡ʒr,td͡ʒr,Brick,drag,0.2,0.3333333333333333,0.1458333333333333,0.1666666666666666,3.25,0.1458333333333333,1,Arabic,Arabic,hard_negative
آخر,بخر,ɒxr,bxr,else,Buy,0.3333333333333333,0.3333333333333333,0.125,0.1388888888888889,3.125,0.125,1,Arabic,Arabic,hard_negative
آخرت,خرت,ɒxrt,xrt,The Hereafter,خرت,0.25,0.25,0.2239583333333333,0.25,1.8125,0.25,1,Arabic,Arabic,hard_negative
آداب,تدرب,ɒdɒb,tdrb,Etiquette,training,0.5,0.5,0.1875,0.2395833333333333,4.0625,0.1875,2,Arabic,Arabic,hard_negative
آفت,خفت,ɒft,xft,آفت,faint,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.125,2.708333333333333,0.1111111111111111,1,Arabic,Arabic,hard_negative
آلت,خلت,ɒlt,xlt,الت,nevertheless,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.125,2.708333333333333,0.1111111111111111,1,Arabic,Arabic,hard_negative
آمین,امتن,ɒmjn,amtn,Amen,,0.5,0.25,0.0989583333333333,0.1041666666666666,1.96875,0.0989583333333333,2,Arabic,Arabic,hard_negative
آیات,آت,ɒjɒt,aٓt,,at,0.75,0.5,0.46875,0.5208333333333333,3.875,0.5208333333333333,2,Arabic,Arabic,hard_negative
آیت‌الله,تالله,ɒjt‌ɒllh,taːllh,Ayatollah,God,0.5,0.2857142857142857,0.2738095238095238,0.3035714285714285,2.2857142857142856,0.3035714285714285,3,Arabic,Arabic,hard_negative
آیه,آه,ɒjh,aٓh,آیه,Ah,0.6666666666666666,0.3333333333333333,0.3263888888888889,0.3611111111111111,2.75,0.3611111111111111,1,Arabic,Arabic,hard_negative
ائتلاف,أتلف,ɒjʔtlɒf,aٔtlf,Coalition,destroy,0.5714285714285714,0.4285714285714285,0.3958333333333333,0.4404761904761904,3.25,0.4404761904761904,3,Arabic,Arabic,hard_negative
اب,تب,ɒb,tb,now,Then,0.5,0.5,0.21875,0.25,4.875,0.21875,1,Arabic,Arabic,hard_negative
ابتدا,ابتدأ,ɒbtdɒ,abtdʔa,First,start,0.5,0.1666666666666666,0.1770833333333333,0.1944444444444444,1.5416666666666667,0.1944444444444444,1,Arabic,Arabic,hard_negative
ابتکار,ابتسر,ɒbtkɒr,abtsr,innovation,ابتسر,0.5,0.3333333333333333,0.2013888888888889,0.2222222222222222,1.8958333333333333,0.21875,2,Arabic,Arabic,hard_negative
ابد,بد,ɒbd,bd,ابد,Bad,0.3333333333333333,0.3333333333333333,0.2986111111111111,0.3333333333333333,2.4166666666666665,0.3333333333333333,1,Arabic,Arabic,hard_negative
ابراهیم,إبرهم,ɒbrɒhjm,aٕbrhm,Ibrahim,their needle,0.5714285714285714,0.2857142857142857,0.2678571428571428,0.2976190476190475,2.2142857142857144,0.2976190476190475,3,Arabic,Arabic,hard_negative
ابریق,ابرغش,ɒbrjɣ,abrɣʃ,Cup,I'm sorry,0.6,0.4,0.0791666666666666,0.0833333333333333,1.475,0.0791666666666666,2,Arabic,Arabic,hard_negative
ابزیم,بزم,ɒbzjm,bzm,ابزیم,gathering,0.4,0.4,0.3583333333333333,0.4,2.9,0.4,2,Arabic,Arabic,hard_negative
ابله,أبله,ɒblh,aٔblh,Fool,sucker,0.4,0.0,0.0208333333333333,0.0208333333333333,0.25,0.0208333333333333,1,Arabic,Arabic,hard_negative
ابلیس,بلرس,ɒbljs,blrs,Iblis,بلرس,0.4,0.2,0.225,0.2666666666666666,2.275,0.2458333333333333,2,Arabic,Arabic,hard_negative
ابوبکر,اسبكر,ɒbvbkr,asbkr,Abu Bakr,asapkr,0.5,0.3333333333333333,0.1909722222222222,0.2152777777777777,1.625,0.2083333333333333,3,Arabic,Arabic,hard_negative
اتحاد,تهدد,ɒthɒd,thdd,Unity,threatening,0.4,0.4,0.2583333333333333,0.2916666666666666,3.35,0.2791666666666667,3,Arabic,Arabic,hard_negative
اتحادیه,تهج,ɒthɒdjh,thd͡ʒ,Union,spell,0.5714285714285714,0.7142857142857143,0.5297619047619048,0.5892857142857143,4.321428571428571,0.5892857142857143,6,Arabic,Arabic,hard_negative
اتصال,اتصل,ɒtsɒl,atsˤl,Connection,call,0.4,0.2,0.2125,0.2333333333333333,1.85,0.2333333333333333,1,Arabic,Arabic,hard_negative
اتفاق,تفرغ,ɒtfɒɣ,tfrɣ,Happening,free up,0.4,0.4,0.2416666666666667,0.2916666666666666,2.75,0.2625,3,Arabic,Arabic,hard_negative
اتفاقاً,تفرغ,ɒtfɒɣɒً,tfrɣ,By the way,free up,0.5714285714285714,0.5,0.3506944444444445,0.4097222222222221,3.5,0.3854166666666667,5,Arabic,Arabic,hard_negative
اتلاف,تلف,ɒtlɒf,tlf,Waste,ruin,0.4,0.4,0.3583333333333333,0.4,2.9,0.4,2,Arabic,Arabic,hard_negative
اتهام,اتهم,ɒthɒm,athm,Charge,accuse,0.4,0.2,0.1958333333333333,0.2166666666666666,1.65,0.2166666666666666,1,Arabic,Arabic,hard_negative
اثاث,دسس,ɒsɒs,dss,furniture,دسس,0.5,0.5,0.3229166666666667,0.3645833333333333,4.1875,0.3489583333333333,4,Arabic,Arabic,hard_negative
اثبات,إسبات,ɒsbɒt,aٕsbaːt,Proof,hibernate,0.5714285714285714,0.0,0.0416666666666666,0.0416666666666666,0.5,0.0416666666666666,2,Arabic,Arabic,hard_negative
اثر,بسر,ɒsr,bsr,Effect,Live,0.3333333333333333,0.3333333333333333,0.125,0.1388888888888889,3.125,0.125,2,Arabic,Arabic,hard_negative
اجازه,تجاه,ɒd͡ʒɒzh,td͡ʒaːh,Permission,towards,0.4285714285714285,0.4,0.2958333333333333,0.325,3.7,0.3125,2,Arabic,Arabic,hard_negative
اجتماع,اجتمع,ɒd͡ʒtmɒʔ,ad͡ʒtmʕ,Meeting,meet,0.375,0.3333333333333333,0.1979166666666666,0.2222222222222222,2.458333333333333,0.2152777777777778,1,Arabic,Arabic,hard_negative
اجتماعی,اجتماع,ɒd͡ʒtmɒʔj,ad͡ʒtmaːʕ,social,Meeting,0.4444444444444444,0.2857142857142857,0.1875,0.2023809523809523,2.1785714285714284,0.2023809523809523,1,Arabic,Arabic,hard_negative
اجمالی,تجمل,ɒd͡ʒmɒlj,td͡ʒml,Summary,Luxury,0.375,0.5,0.3715277777777778,0.4166666666666667,4.041666666666667,0.40625,3,Arabic,Arabic,hard_negative
اجناس,تجنس,ɒd͡ʒnɒs,td͡ʒns,Items,naturalize,0.2857142857142857,0.4,0.2666666666666667,0.3,3.4,0.2875,2,Arabic,Arabic,hard_negative
اجنبی,تجنب,ɒd͡ʒnbj,td͡ʒnb,Stranger,Avoid,0.2857142857142857,0.4,0.2666666666666667,0.3,3.4,0.2875,2,Arabic,Arabic,hard_negative
احترام,احترم,ɒhtrɒm,aħtrm,Respect,respect,0.5,0.3333333333333333,0.1840277777777778,0.2013888888888888,1.875,0.2013888888888888,1,Arabic,Arabic,hard_negative
احتلام,احتلم,ɒhtlɒm,aħtlm,wet dreams,have a dream,0.5,0.3333333333333333,0.1840277777777778,0.2013888888888888,1.875,0.2013888888888888,1,Arabic,Arabic,hard_negative
احتمال,احتمل,ɒhtmɒl,aħtml,Possibility,endure,0.5,0.3333333333333333,0.1840277777777778,0.2013888888888888,1.875,0.2013888888888888,1,Arabic,Arabic,hard_negative
احتمالا,احتمل,ɒhtmɒlɒ,aħtml,Likely,endure,0.5714285714285714,0.4285714285714285,0.2857142857142857,0.3154761904761904,2.642857142857143,0.3154761904761904,2,Arabic,Arabic,hard_negative
احتیاج,اهتاج,ɒhtjɒd͡ʒ,ahtaːd͡ʒ,need,Purpose,0.375,0.1666666666666666,0.1840277777777778,0.2013888888888888,1.625,0.2013888888888888,2,Arabic,Arabic,hard_negative
احساس,ء س س,ɒhsɒs,ʔ s s,Feeling,ء س,0.6,0.4,0.3833333333333334,0.425,3.55,0.425,3,Arabic,Arabic,hard_negative
احسان,أسبن,ɒhsɒn,aٔsbn,Favor,Aspen,0.6,0.4,0.2625,0.2916666666666667,2.75,0.2833333333333333,3,Arabic,Arabic,hard_negative
احمد,همد,ɒhmd,hmd,Ahmad,Hamd,0.25,0.25,0.2239583333333333,0.25,1.8125,0.25,2,Arabic,Arabic,hard_negative
احمر,انهمر,ɒhmr,anhmr,احمر,rained,0.4,0.2,0.2,0.2166666666666666,1.65,0.2166666666666666,2,Arabic,Arabic,hard_negative
احمق,بهمن,ɒhmɣ,bhmn,Stupid,Avalanche,0.5,0.5,0.171875,0.1875,3.75,0.171875,3,Arabic,Arabic,hard_negative
احیاناً,بهمن,ɒhjɒnɒً,bhmn,Possibly,Avalanche,0.7142857142857143,0.6666666666666666,0.4027777777777778,0.4444444444444445,4.8125,0.4375,6,Arabic,Arabic,hard_negative
اخبار,تخبر,ɒxbɒr,txbr,Newspaper,tell,0.4,0.4,0.2666666666666667,0.3,3.4,0.2875,2,Arabic,Arabic,hard_negative
اختراع,اخترع,ɒxtrɒʔ,axtrʕ,Invention,invented,0.5,0.3333333333333333,0.1979166666666666,0.2222222222222222,2.458333333333333,0.2152777777777778,1,Arabic,Arabic,hard_negative
اختیار,اختار,ɒxtjɒr,axtaːr,Option,Choose,0.5,0.1666666666666666,0.1840277777777778,0.2013888888888888,1.625,0.2013888888888888,1,Arabic,Arabic,hard_negative
اخذ,خز,ɒxz,xz,Acquisition,خز,0.3333333333333333,0.3333333333333333,0.2986111111111111,0.3333333333333333,2.4166666666666665,0.3333333333333333,2,Arabic,Arabic,hard_negative
اخراج,تخرج,ɒxrɒd͡ʒ,txrd͡ʒ,laying off,graduation,0.2857142857142857,0.4,0.2666666666666667,0.3,3.4,0.2875,2,Arabic,Arabic,hard_negative
اخیرا,اخترع,ɒxjrɒ,axtrʕ,most recently,invented,0.6,0.4,0.1208333333333333,0.1333333333333333,2.95,0.1208333333333333,2,Arabic,Arabic,hard_negative
ادا,ادم,ɒdɒ,adm,Pay,human,0.6666666666666666,0.3333333333333333,0.1527777777777777,0.1666666666666666,2.958333333333333,0.1527777777777777,1,Arabic,Arabic,hard_negative
اداره,أكره,ɒdɒrh,aٔkrh,office,I hate,0.6,0.4,0.2416666666666667,0.2666666666666666,2.125,0.2625,3,Arabic,Arabic,hard_negative
ادامه,ادم,ɒdɒmh,adm,Continuation,human,0.6,0.4,0.375,0.4166666666666666,3.1,0.4166666666666666,2,Arabic,Arabic,hard_negative
ادب,دب,ɒdb,db,Literature,دب,0.3333333333333333,0.3333333333333333,0.2986111111111111,0.3333333333333333,2.4166666666666665,0.3333333333333333,1,Arabic,Arabic,hard_negative
ادبیات,مضبوط,ɒdbjɒt,mdˤbuːtˤ,the literature,Strong,0.625,0.3333333333333333,0.2673611111111111,0.2916666666666667,3.1875,0.2847222222222222,5,Arabic,Arabic,hard_negative
ادرار,إدرار,ɒdrɒr,aٕdraːr,Urine,diuresis,0.5714285714285714,0.0,0.0416666666666666,0.0416666666666666,0.5,0.0416666666666666,1,Arabic,Arabic,hard_negative
