loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
santonină,anonyme,santoninə,anɔnim,santonine,anonymous,0.5555555555555556,0.4444444444444444,0.3194444444444444,0.35185185185185186,2.4930555555555554,0.349537037037037,5,Latin,Latin,hard_negative
octogonal,autographe,oktoɡonal,otɔɡʀaf,octagonal,autograph,0.5555555555555556,0.4444444444444444,0.2546296296296296,0.28703703703703703,2.0347222222222223,0.275462962962963,7,Latin,Latin,hard_negative
toxicoman,tsimané,toksikoman,tsimane,toxicoman,tsimané,0.5,0.5,0.3270833333333333,0.3583333333333333,2.56875,0.35624999999999996,5,Latin,Latin,hard_negative
repercusiune,bénédicité,reperkusiune,benedizite,repercussion,grace,0.6666666666666666,0.5,0.22916666666666666,0.2638888888888889,1.8697916666666667,0.24652777777777776,11,Latin,Latin,hard_negative
esperantist,adoptianiste,esperantist,adɔpsjanist,esperantist,adoptianiste,0.5454545454545454,0.2727272727272727,0.14204545454545456,0.16666666666666666,1.6079545454545454,0.14204545454545456,7,Latin,Latin,hard_negative
yen,thiétane,jen,tjetan,yen,thietane,0.5,0.5,0.4548611111111111,0.5,3.625,0.5,7,Latin,Latin,hard_negative
maniheist,manichéisme,maniheist,maniʃeism,maniheist,manicheism,0.2222222222222222,0.2222222222222222,0.037037037037037035,0.041666666666666664,0.3611111111111111,0.037037037037037035,4,Latin,Latin,hard_negative
cornier,cauri,kornier,koʀi,cornier,through,0.5714285714285714,0.42857142857142855,0.4017857142857143,0.4642857142857143,3.2410714285714284,0.45238095238095244,5,Latin,Latin,hard_negative
inervație,négatif,inervat͡sie,neɡatif,innervation,negative,0.5454545454545454,0.5555555555555556,0.2523148148148148,0.2916666666666667,2.2152777777777777,0.2824074074074074,6,Latin,Latin,hard_negative
princiar,pétéchial,print͡ʃiar,peteʃjal,princely,petechial,0.6,0.625,0.1484375,0.19791666666666666,1.6640625,0.1484375,5,Latin,Latin,hard_negative
loționa,Lætitia,lot͡siona,lætisja,lotion,Joy,0.5555555555555556,0.42857142857142855,0.11309523809523811,0.125,1.0982142857142858,0.11309523809523811,5,Latin,Latin,hard_negative
ohm,au mieux,ohm,o mjœ,ohm,the best,0.6,0.5,0.32812500000000006,0.3645833333333333,2.78125,0.3541666666666667,7,Latin,Latin,hard_negative
reptilă,dépatouiller,reptilə,depatujləʀ,crawler,unravel,0.5,0.4,0.2916666666666667,0.3375,2.45,0.32500000000000007,8,Latin,Latin,hard_negative
crampon,cachot,krampon,kaʃo,crampon,dungeon,0.5714285714285714,0.5714285714285714,0.40476190476190477,0.45833333333333337,3.294642857142857,0.45535714285714285,4,Latin,Latin,hard_negative
ileită,alité,ileitə,alite,ileitis,bedridden,0.5,0.16666666666666666,0.17708333333333334,0.19444444444444442,1.3541666666666667,0.19444444444444442,3,Latin,Latin,hard_negative
infiltrat,filasse,infiltrat,filas,infiltrate,tow,0.5555555555555556,0.4444444444444444,0.40046296296296297,0.4490740740740741,3.2777777777777777,0.4490740740740741,6,Latin,Latin,hard_negative
automat,adogmatique,automat,adɔɡmatik,automatic,adogmatique,0.5555555555555556,0.4444444444444444,0.3101851851851852,0.337962962962963,2.2847222222222223,0.3310185185185185,7,Latin,Latin,hard_negative
sistolă,ciste,sistolə,sist,systole,cake,0.42857142857142855,0.42857142857142855,0.3869047619047619,0.42857142857142855,3.107142857142857,0.42857142857142855,4,Latin,Latin,hard_negative
coregraf,autographe,koreɡraf,otɔɡʀaf,choreographer,autograph,0.5,0.25,0.17447916666666669,0.20833333333333334,1.3671875,0.1875,7,Latin,Latin,hard_negative
degazolina,déracinable,deɡazolina,deʀazinabl,degasoline,,0.5,0.4,0.09375,0.10416666666666666,0.89375,0.09375,8,Latin,Latin,hard_negative
antilogaritm,dactylographique,antiloɡaritm,daktilɔɡʀafik,antilogarithm,typist,0.5384615384615384,0.46153846153846156,0.20993589743589738,0.24358974358974358,2.019230769230769,0.21634615384615385,9,Latin,Latin,hard_negative
