loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
Alcàntara,اَلْقَنْطَرَة,alkantaɾa,aَlْqَnْtˤَrَة,Alcantara,Alkantara,0.7142857142857143,0.3333333333333333,0.3125,0.3472222222222222,2.5833333333333335,0.3472222222222222,13,Latin,Arabic,loan
alficòs,فَقُّوس,alfikɔs,fَqُّuːs,alficòs,succulents,0.875,0.42857142857142855,0.41666666666666663,0.4583333333333333,3.4285714285714284,0.4583333333333333,7,Latin,Arabic,loan
almívar,مَيْبَة,almibaɾ,mَiːْbَة,syrup,mba,0.875,0.5714285714285714,0.511904761904762,0.5773809523809523,4.214285714285714,0.5773809523809523,7,Latin,Arabic,loan
alqueria,الْقَارِيَة‎,alkɛɾia,alْqَaːrِiːَة‎,farmhouse,continental,0.7857142857142857,0.14285714285714285,0.15773809523809526,0.17261904761904762,1.3571428571428572,0.17261904761904762,12,Latin,Arabic,loan
assot,السَوْط,asɔt,alsَuːْtˤ,assot,whip,0.6666666666666666,0.2,0.2333333333333333,0.25,2.0,0.25,7,Latin,Arabic,loan
barnús,بُرْنُس,baɾnus,bُrْnُs,bathrobe,brons,0.5714285714285714,0.3333333333333333,0.2986111111111111,0.3333333333333333,2.4166666666666665,0.3333333333333333,7,Latin,Arabic,loan
barri,بَرِّيّ,baɾɾi,bَrِّiːّ,neighborhood,بّرِّيّ,0.75,0.4,0.3541666666666667,0.4083333333333333,3.0,0.4083333333333333,7,Latin,Arabic,loan
catifa,قطيفة,katifa,qtˤiːfة,carpet,amaranth,0.7142857142857143,0.3333333333333333,0.3263888888888889,0.36111111111111116,2.75,0.36111111111111116,6,Latin,Arabic,loan
cofa,قفة,kɔfa,qfة,cofa,basket,0.75,0.5,0.45833333333333337,0.5104166666666667,3.75,0.5104166666666667,4,Latin,Arabic,loan
Eivissa,يَابِسَة,ɛʒbisa,iːَaːbِsَة,Ibiza,land,0.8,0.5,0.37152777777777785,0.4166666666666667,3.9583333333333335,0.40625,8,Latin,Arabic,loan
falca,فَلْقَة,falka,fَlْqَة,jaw,lobe,0.7142857142857143,0.4,0.3666666666666667,0.4083333333333334,3.0,0.4083333333333334,7,Latin,Arabic,loan
gessamí,يَاسَمِين,ʒɛsami,iːَaːsَmِiːn,Jasmine,Jasmine,0.75,0.5,0.22916666666666666,0.2638888888888889,4.041666666666667,0.22916666666666666,9,Latin,Arabic,loan
mancala,مَنْقَلَة,maŋkala,mَnْqَlَة,mancala,protractor,0.7777777777777778,0.42857142857142855,0.4166666666666667,0.4642857142857143,3.482142857142857,0.46130952380952384,9,Latin,Arabic,loan
marraixa,مَرَشّ,maɾɾaʒʃa,mَrَʃّ,marraixa,sprinkler,0.75,0.625,0.5546875,0.625,4.53125,0.625,8,Latin,Arabic,loan
quintar,قِنْطَار,kintaɾ,qِnْtˤَaːr,quintar,kantar,0.7,0.16666666666666666,0.17708333333333334,0.19444444444444445,1.5416666666666667,0.19444444444444445,8,Latin,Arabic,loan
ràfec,رَفّ,ɾafɛk,rَfّ,eaves,رففّ,0.8,0.6,0.5375,0.6,4.35,0.6,5,Latin,Arabic,loan
safata,سَفَط,safata,sَfَtˤ,tray,aspirator,0.5,0.5,0.4618055555555556,0.513888888888889,3.7916666666666665,0.513888888888889,6,Latin,Arabic,loan
setra,سَطْلَة,sɛtɾa,sَtˤْlَة,setra,paillasse,0.75,0.4,0.4,0.4583333333333333,3.4,0.4416666666666666,7,Latin,Arabic,loan
sumac,سُمَّاق,sumak,sُmَّaːq,sumac,س .مَّاق,0.625,0.2,0.19583333333333333,0.2166666666666667,1.65,0.2166666666666667,7,Latin,Arabic,loan
sura,سُورَة,suɾa,sُuːrَة,sura,surah,0.7142857142857143,0.25,0.234375,0.2604166666666667,1.9375,0.2604166666666667,6,Latin,Arabic,loan
tabal,طَبْل,tabal,tˤَbْl,table,drum,0.5,0.4,0.375,0.41666666666666663,3.1,0.41666666666666663,5,Latin,Arabic,loan
tassa,طَاس,tasa,tˤَaːs,fee,bowl,0.6666666666666666,0.25,0.25520833333333337,0.28125,2.1875,0.28125,5,Latin,Arabic,loan
tàvega,طَبَقَة,tabɛɡa,tˤَbَqَة,tray,layer,0.75,0.5,0.4756944444444444,0.5277777777777778,3.9166666666666665,0.5277777777777778,7,Latin,Arabic,loan
tova,طُوب,tɔba,tˤُuːb,tova,Bricks,0.8333333333333334,0.25,0.28645833333333337,0.3125,2.5,0.3125,4,Latin,Arabic,loan
xauarma,شَاوِرْمَا,ʃabaɾma,ʃَaːuːِrْmَaː,xauarma,shawarma,0.6923076923076923,0.14285714285714285,0.1755952380952381,0.1904761904761905,1.6071428571428572,0.1904761904761905,10,Latin,Arabic,loan
