loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
à bas,à bas,à* bas*,a ba,down,down,0.5714285714285714,0.6666666666666666,0.22916666666666666,0.25,1.8125,0.25,0,Latin,Latin,loan
à bouche,à bouche,à* baʊʧ,a buʃ,mouth,mouth,0.7142857142857143,0.5,0.15104166666666666,0.16666666666666666,2.8125,0.15104166666666666,0,Latin,Latin,loan
à contrecœur,à contrecœur,à* contrecœur*,a kɔ̃tʀəkœʀ,unwillingly,unwillingly,0.7857142857142857,0.5,0.21780303030303028,0.25,1.8863636363636365,0.23484848484848486,0,Latin,Latin,loan
à deux,à deux,à* du,a dœ,together,together,0.6,0.3333333333333333,0.05555555555555555,0.05555555555555555,0.5833333333333334,0.05555555555555555,0,Latin,Latin,loan
a go-go,à gogo,ə go-go*,a ɡɔɡo,a go-go,galore,0.75,0.4,0.3916666666666667,0.4333333333333334,3.2,0.4333333333333334,2,Latin,Latin,loan
à gogo,à gogo,à* ˈgoʊˌgoʊ,a ɡɔɡo,galore,galore,0.8181818181818182,0.4,0.14166666666666666,0.15833333333333333,3.6,0.14166666666666666,0,Latin,Latin,loan
à la carte,à la carte,à* lɑ kɑrt,a la kaʀt,à la carte,à la carte,0.5,0.14285714285714285,0.041666666666666664,0.05952380952380952,0.48214285714285715,0.041666666666666664,0,Latin,Latin,loan
a la minute,à la minute,ə lɑ ˈmɪnət,a la minyt,a minute,Minute,0.45454545454545453,0.0,0.0546875,0.057291666666666664,0.5625,0.0546875,1,Latin,Latin,loan
à la russe,à la russe,à* lɑ rəs,a la ʀys,Russian way,Russian way,0.5555555555555556,0.16666666666666666,0.07291666666666667,0.09027777777777778,0.8125,0.07291666666666667,0,Latin,Latin,loan
à outrance,à outrance,à* outrance*,a utʀɑ̃s,excessive,excessive,0.75,0.375,0.34722222222222227,0.39351851851851855,3.0555555555555554,0.3819444444444444,0,Latin,Latin,loan
à propos de bottes,à propos de bottes,à* propos* də bottes*,a pʀɔpɔs də bɔt,about boots,about boots,0.5238095238095238,0.2857142857142857,0.20138888888888887,0.225,1.625,0.21944444444444444,0,Latin,Latin,loan
à trois,à trois,à* twɑ,a tʀwa,at three,at three,0.6666666666666666,0.4,0.1875,0.21666666666666665,1.6,0.2125,0,Latin,Latin,loan
abacost,à bas,abacost*,a ba,abacost,down,0.75,0.5714285714285714,0.5178571428571429,0.5714285714285714,4.142857142857143,0.5714285714285714,5,Latin,Latin,loan
abaissé,abaissé,abaissé*é,abɛse,lowered,lowered,0.6666666666666666,0.3333333333333333,0.34895833333333337,0.38541666666666663,2.8125,0.38541666666666663,0,Latin,Latin,loan
abandon,abandoner,əˈbændən,abɑ̃dɔnəʀ,abandon,abandon,0.7777777777777778,0.375,0.19270833333333334,0.21354166666666666,2.265625,0.20572916666666666,2,Latin,Latin,loan
