loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
Aadolf,Adolf,ɑːdolf,ɑːdɔlf,Adolph,Adolf,0.1666666666666666,0.0,0.0083333333333333,0.0083333333333333,0.05,0.0083333333333333,1,Latin,Latin,loan
aalloppi,avlopp,ɑːlloppi,ɐvlɔp,wave,drain,0.75,0.4285714285714285,0.306547619047619,0.3452380952380953,2.821428571428572,0.3363095238095238,3,Latin,Latin,loan
aaloe,aaloe,ɑːloe,ɑːɑːluːeː,aloe,aloe,0.5555555555555556,0.2,0.2083333333333333,0.2333333333333333,1.85,0.2333333333333333,0,Latin,Latin,loan
aari,ar,ɑːri,ɑːr,aari,ar,0.25,0.3333333333333333,0.2986111111111111,0.3333333333333333,2.4166666666666665,0.3333333333333333,2,Latin,Latin,loan
aaria,aria,ɑːriɑ,ɑːriːɑː,aria,aria,0.2857142857142857,0.0,0.0208333333333333,0.0208333333333333,0.25,0.0208333333333333,1,Latin,Latin,loan
aarpora,arborr,ɑːrporɑ,ɐrbɔr,Arpara,arborr,0.7142857142857143,0.1666666666666666,0.1770833333333333,0.2013888888888888,1.5,0.1979166666666666,3,Latin,Latin,loan
aasa,as,ɑːsɑ,ɑːs,aasa,as,0.25,0.3333333333333333,0.2916666666666667,0.3333333333333333,2.4166666666666665,0.3333333333333333,2,Latin,Latin,loan
aateli,adel,ɑːteli,ɑːdeːl,nobility,adel,0.5,0.2,0.1958333333333333,0.2166666666666666,1.6,0.2166666666666666,3,Latin,Latin,loan
aatto,afton,ɑːtto,ɐftuːn,eve,afton,0.8333333333333334,0.4,0.2625,0.2916666666666667,2.45,0.2791666666666667,3,Latin,Latin,loan
abortti,abort,ɑbortti,ɑːbɔrt,abortion,abort,0.5714285714285714,0.2857142857142857,0.2708333333333333,0.2976190476190475,2.1785714285714284,0.2976190476190475,2,Latin,Latin,loan
adjektiivi,adjektiv,ɑtjektiːʋi,ɐjɛktiːv,adjective,adjective,0.5,0.3333333333333333,0.2337962962962962,0.2685185185185185,2.2916666666666665,0.2546296296296296,2,Latin,Latin,loan
adressi,adress,ɑtressi,ɐdrɛs,petition,adress,0.7142857142857143,0.2857142857142857,0.2797619047619047,0.3095238095238096,2.25,0.306547619047619,1,Latin,Latin,loan
adventti,advent,ɑtʋentti,ɐdvɛnt,adventti,advent,0.75,0.375,0.2682291666666667,0.3072916666666667,2.609375,0.2916666666666666,2,Latin,Latin,loan
afääri,affär,ɑfæːri,ɐfɛːr,affair,business,0.5,0.2,0.2083333333333333,0.2333333333333333,1.75,0.2291666666666666,2,Latin,Latin,loan
agentuuri,agentur,ɑɡentuːri,ɑːjɛntʉːr,Agency,Agency,0.5555555555555556,0.25,0.1510416666666666,0.1666666666666666,1.78125,0.1640625,2,Latin,Latin,loan
ahteri,akter,ɑɦteri,ɐkteːr,stern,aft,0.6666666666666666,0.3333333333333333,0.2013888888888889,0.2222222222222222,2.125,0.21875,2,Latin,Latin,loan
ahterikantti,akterkant,ɑɦterikɑntti,ɐktɛrkɐnt,aftikantti,actor,0.5833333333333334,0.3333333333333333,0.2569444444444445,0.2847222222222222,2.3125,0.28125,4,Latin,Latin,loan
akseli,axel,ɑkseli,ɑːkseːl,Axel,axel,0.4285714285714285,0.1666666666666666,0.1631944444444444,0.1805555555555555,1.375,0.1805555555555555,3,Latin,Latin,loan
aksiisi,accis,ɑksiːsi,ɐksiːs,excise,accis,0.2857142857142857,0.1666666666666666,0.1597222222222222,0.1805555555555555,1.3333333333333333,0.1770833333333333,4,Latin,Latin,loan
aladobi,aladåb,ɑlɑdobi,ɑːlɑːdoːb,aladobi,aladåb,0.4444444444444444,0.1428571428571428,0.1458333333333333,0.1607142857142857,1.25,0.1607142857142857,2,Latin,Latin,loan
alatoopi,aladåb,ɑlɑtoːpi,ɑːlɑːdoːb,subtype,aladåb,0.5555555555555556,0.1428571428571428,0.1517857142857142,0.1666666666666666,1.25,0.1666666666666666,5,Latin,Latin,loan
Albertiina,Albertina,ɑlbertiːnɑ,ɐlbɛrtiːnɑː,Albertiina,albertine,0.2727272727272727,0.0,0.0162037037037037,0.0185185185185185,0.1666666666666666,0.0162037037037037,1,Latin,Latin,loan
alkoholisti,alkoholist,ɑlkoɦolisti,ɐlkuːhuːlɪst,alcoholic,alcoholic,0.6666666666666666,0.0909090909090909,0.1174242424242424,0.1287878787878787,1.0454545454545454,0.1268939393939394,1,Latin,Latin,loan
