loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
Abate,abate,ɑːbɑːtə,abate,Abate,abate,0.7142857142857143,0.0,0.058333333333333334,0.06666666666666667,0.65,0.058333333333333334,1,Latin,Latin,loan
Accuratesse,accuratezza,akkuːʀɑːtɛsə,akːuratet͡sa,Accuracy,accuracy,0.5833333333333334,0.2,0.15,0.17083333333333334,1.4375,0.1604166666666667,4,Latin,Latin,loan
Adige,Adige,ɑːdiːçə,adid͡ʒe,Adige,Adige,0.8571428571428571,0.2,0.09166666666666666,0.09999999999999999,1.075,0.09166666666666666,0,Latin,Latin,loan
al dente,al dente,ɑːl dəntə,al dente,al dente,al dente,0.4444444444444444,0.0,0.038690476190476185,0.041666666666666664,0.39285714285714285,0.038690476190476185,0,Latin,Latin,loan
Alarm,allarme,ɑːlaʀm,alːarme,Alarm,alarm,0.7142857142857143,0.16666666666666666,0.20138888888888892,0.23611111111111108,1.8125,0.21875,3,Latin,Latin,loan
albanesisch,albanese,albɑːneːsiːʃ,albanese,Albanian,albanese,0.5,0.1111111111111111,0.1273148148148148,0.1388888888888889,1.1111111111111112,0.13657407407407407,4,Latin,Latin,loan
Aleppo,Aleppo,ɑːlɛpoː,alepːo,Aleppo,Aleppo,0.7142857142857143,0.0,0.04583333333333333,0.049999999999999996,0.5,0.04583333333333333,0,Latin,Latin,loan
Allegretto,allegretto,alɛkʀɛtoː,alːeɡretːo,Allegretto,allegretto,0.7,0.0,0.052083333333333336,0.0625,0.515625,0.052083333333333336,1,Latin,Latin,loan
Alt,alto,alt,alto,Alt,alto,0.25,0.25,0.22395833333333334,0.25,1.8125,0.25,2,Latin,Latin,loan
Amaretto,amaretto,ɑːmɑːʀɛtoː,amaretːo,Amaretto,amaretto,0.8,0.0,0.07142857142857142,0.08928571428571427,0.8035714285714286,0.07142857142857142,1,Latin,Latin,loan
Ambiente,ambiente,ambɪntə,ambiente,Environment,environment,0.375,0.125,0.12760416666666666,0.140625,1.03125,0.140625,1,Latin,Latin,loan
Annina,Annina,aniːnɑː,anːina,Annina,Annina,0.5714285714285714,0.0,0.0375,0.041666666666666664,0.45,0.0375,0,Latin,Latin,loan
Aquarell,acquarella,akvɑːʀɛl,akkuarelːa,watercolor,acquarella,0.7,0.3333333333333333,0.26851851851851855,0.3055555555555556,2.4166666666666665,0.2916666666666667,3,Latin,Latin,loan
Arie,aria,ɑːʀiːə,aria,Arie,aria,0.8333333333333334,0.0,0.109375,0.13541666666666669,1.21875,0.109375,2,Latin,Latin,loan
Arno,Arno,aʀnoː,arno,Arno,Arno,0.4,0.0,0.05208333333333333,0.07291666666666667,0.59375,0.05208333333333333,0,Latin,Latin,loan
Artischocke,articiocco,aʀtiːʃɔkə,artit͡ʃokːo,artichoke,articiocco,0.5454545454545454,0.125,0.057291666666666664,0.06770833333333334,0.671875,0.057291666666666664,5,Latin,Latin,loan
Assassine,assassino,asasiːnə,asːasːino,Murder,murderer,0.4444444444444444,0.0,0.02976190476190476,0.02976190476190476,0.32142857142857145,0.02976190476190476,2,Latin,Latin,loan
Baldachin,baldacchino,baldɑːxiːn,baldakːino,Canopy,canopy,0.5,0.1111111111111111,0.125,0.1388888888888889,1.1666666666666667,0.13657407407407407,3,Latin,Latin,loan
Ballett,balletto,balɛt,balːetːo,ballet,ballet,0.5,0.16666666666666666,0.17013888888888892,0.1875,1.4166666666666667,0.1875,2,Latin,Latin,loan
