loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
aanwijzing,aanwijzing,aanwid͡ʑziŋ,aːnʋɛjzɪnx,clue,clue,0.8181818181818182,0.3333333333333333,0.2175925925925926,0.25925925925925924,2.9166666666666665,0.2175925925925926,0,Latin,Latin,loan
abakus,abacus,abakus,aːbɑcʏs,abacus,abacus,0.5714285714285714,0.16666666666666666,0.04513888888888889,0.048611111111111105,0.5,0.04513888888888889,1,Latin,Latin,loan
abatoar,abattoir,abatoar,aːbɑttɔjr,slaughterhouse,abattoir,0.5555555555555556,0.25,0.15364583333333334,0.171875,1.515625,0.16406250000000003,2,Latin,Latin,loan
abdikasi,abdicatie,abdikasi,ɑpdɪcaːtiːeː,abdikasi,abdication,0.75,0.2222222222222222,0.13425925925925927,0.14814814814814814,1.2222222222222223,0.14583333333333334,3,Latin,Latin,loan
abdomen,abdomen,abdomən,ɑpdoːmɛn,abdomen,abdomen,0.5,0.0,0.02678571428571428,0.02976190476190476,0.2857142857142857,0.02678571428571428,0,Latin,Latin,loan
abduksi,abductie,abduksi,ɑpdʏctiːeː,abduction,abduction,0.8,0.25,0.15625,0.171875,1.4375,0.16927083333333334,3,Latin,Latin,loan
aberasi,aberratie,abərasi,aːbɛrraːtiːeː,aberration,aberration,0.6153846153846154,0.2222222222222222,0.2152777777777778,0.24537037037037038,1.9444444444444444,0.24537037037037038,3,Latin,Latin,loan
abiturien,abituriënt,abituriən,aːbiːtyːriː̈nt,high school,apprentice,0.5,0.2222222222222222,0.07175925925925924,0.07870370370370369,1.3611111111111112,0.07175925925925924,2,Latin,Latin,loan
ablasi,ablatie,ablasi,ɑplaːtiːeː,ablation,ablation,0.7,0.14285714285714285,0.16071428571428573,0.17857142857142858,1.4642857142857142,0.17559523809523808,2,Latin,Latin,loan
abnormal,abnormaal,abnormal,ɑpnɔrmaːl,abnormal,abnormal,0.4444444444444444,0.0,0.023437499999999997,0.026041666666666664,0.21875,0.023437499999999997,1,Latin,Latin,loan
abolisi,abolitie,abolisi,aːboːliːtiːeː,abolition,abolition,0.5384615384615384,0.125,0.13802083333333334,0.15104166666666666,1.28125,0.15104166666666666,2,Latin,Latin,loan
abone,abonnee,abonə,aːbɔnneːeː,subscriber,subscriber,0.7,0.2857142857142857,0.2886904761904762,0.3154761904761904,2.357142857142857,0.3154761904761904,2,Latin,Latin,loan
abonemen,abonnement,abonəmən,aːbɔnneːmɛnt,subscription,subscription,0.5833333333333334,0.2,0.20833333333333334,0.225,1.7,0.225,2,Latin,Latin,loan
