loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
абажур,абажу́р,ɑbɑʒwr,abaʒúr,lampshade,lampshade,0.5,0.16666666666666666,0.03472222222222222,0.048611111111111105,0.6458333333333334,0.03472222222222222,1,Cyrillic,Cyrillic,loan
абак,аба́к,ɑbɑk,abák,prison,abacus,0.5,0.25,0.03125,0.041666666666666664,0.375,0.03125,1,Cyrillic,Cyrillic,loan
абакавир,абакавир,ɑbɑkɑvijr,abakavʲir,abacavir,abacavir,0.5555555555555556,0.1111111111111111,0.125,0.14351851851851852,1.1111111111111112,0.13657407407407407,0,Cyrillic,Cyrillic,loan
абандон,абандо́н,ɑbɑndon,abandón,abandon,abandon,0.42857142857142855,0.14285714285714285,0.017857142857142856,0.023809523809523808,0.21428571428571427,0.017857142857142856,1,Cyrillic,Cyrillic,loan
аббревиатура,аббревиату́ра,ɑbbrjevijɑtwrɑ,abbrʲevʲiatúra,abbreviation,abbreviation,0.5,0.21428571428571427,0.15327380952380953,0.1785714285714286,1.4375,0.16815476190476192,1,Cyrillic,Cyrillic,loan
абдикация,абдика́ция,ɑbdijkɑtsijjɑ,abdʲikát͡sia,abdication,abdication,0.6153846153846154,0.46153846153846156,0.29807692307692313,0.3333333333333333,2.480769230769231,0.3285256410256411,1,Cyrillic,Cyrillic,loan
абдоминопластика,абдо̀минопла́стика,ɑbdomijnoplɑstijkɑ,abdòmʲinoplástʲika,abdominoplasty,abdominoplasty,0.4444444444444444,0.2222222222222222,0.11458333333333333,0.12962962962962965,0.9861111111111112,0.1261574074074074,2,Cyrillic,Cyrillic,loan
абиссаль,абисса́ль,ɑbijssɑlь,abʲissálʲ,abyssal,abyssal,0.5555555555555556,0.25,0.13802083333333334,0.15625,1.21875,0.15104166666666669,1,Cyrillic,Cyrillic,loan
абонемент,абонеме́нт,ɑbonjemjent,abonemʲént,subscription,subscription,0.36363636363636365,0.2727272727272727,0.17234848484848486,0.19318181818181818,1.4318181818181819,0.1912878787878788,1,Cyrillic,Cyrillic,loan
абонент,абоне́нт,ɑbonjent,abonént,subscriber,subscriber,0.375,0.25,0.11979166666666667,0.13541666666666666,1.0,0.1328125,1,Cyrillic,Cyrillic,loan
абордаж,аборда́ж,ɑbordɑʒ,abordáʒ,loading,boarding,0.2857142857142857,0.14285714285714285,0.017857142857142856,0.023809523809523808,0.21428571428571427,0.017857142857142856,1,Cyrillic,Cyrillic,loan
абсолют,абсолю́т,ɑbsoljuwt,absolʲút,absolute,absolute,0.4444444444444444,0.3333333333333333,0.21064814814814817,0.2361111111111111,1.75,0.23379629629629634,1,Cyrillic,Cyrillic,loan
абсолютизм,абсолюти́зм,ɑbsoljuwtijzm,absolʲutʲízm,absolutism,absolutism,0.38461538461538464,0.3076923076923077,0.21794871794871795,0.24358974358974358,1.8076923076923077,0.2419871794871795,1,Cyrillic,Cyrillic,loan
абстракция,абстра́кция,ɑbstrɑktsijjɑ,abstrákt͡sia,abstraction,abstraction,0.46153846153846156,0.38461538461538464,0.22596153846153846,0.2532051282051282,1.8846153846153846,0.24839743589743593,1,Cyrillic,Cyrillic,loan
авангард,аванга́рд,ɑvɑnɡɑrd,avanɡárd,avant-garde,avant-garde,0.375,0.125,0.0234375,0.03125,0.28125,0.0234375,1,Cyrillic,Cyrillic,loan
аванс,ава́нс,ɑvɑns,aváns,advance,advance,0.4,0.2,0.025,0.03333333333333333,0.3,0.025,1,Cyrillic,Cyrillic,loan
Август,А́вгуст,ɑvɡwst,ávɡust,August,August,0.3333333333333333,0.3333333333333333,0.024305555555555552,0.03472222222222222,0.5208333333333334,0.024305555555555552,1,Cyrillic,Cyrillic,loan
