loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
آثار,آثَار,ɒsɒr,aٓθَaːr,Effects,Effects,0.8571428571428571,0.0,0.0625,0.0625,0.6875,0.0625,1,Arabic,Arabic,loan
آجر,آجُرّ,ɒd͡ʒr,aٓd͡ʒُrّ,Brick,Today,0.5,0.0,0.027777777777777776,0.027777777777777776,0.3333333333333333,0.027777777777777776,2,Arabic,Arabic,loan
آخر,آخَر,ɒxr,aٓxَr,else,else,0.6,0.0,0.027777777777777776,0.027777777777777776,0.3333333333333333,0.027777777777777776,1,Arabic,Arabic,loan
آخرت,اَلْآخِرَة,ɒxrt,aَlْʔaːxِrَt,The Hereafter,hereafter,0.75,0.42857142857142855,0.39880952380952384,0.4404761904761904,3.25,0.4404761904761904,7,Arabic,Arabic,loan
آداب,آدَاب,ɒdɒb,aٓdَaːb,Etiquette,etiquette,0.7142857142857143,0.0,0.05208333333333333,0.05208333333333333,0.625,0.05208333333333333,1,Arabic,Arabic,loan
آدم,آدَم,ɒdm,aٓdَm,human,آدَم,0.6,0.0,0.027777777777777776,0.027777777777777776,0.3333333333333333,0.027777777777777776,1,Arabic,Arabic,loan
آفت,آفَة,ɒft,aٓfَt,آفت,lesion,0.6,0.0,0.027777777777777776,0.027777777777777776,0.3333333333333333,0.027777777777777776,2,Arabic,Arabic,loan
آلت,آلَة,ɒlt,aٓlَt,الت,Machine,0.6,0.0,0.027777777777777776,0.027777777777777776,0.3333333333333333,0.027777777777777776,2,Arabic,Arabic,loan
آمین,آمِينَ,ɒmjn,aٓmِiːnَ,Amen,Trustworthy,0.75,0.25,0.05208333333333333,0.0625,0.96875,0.05208333333333333,3,Arabic,Arabic,loan
آیات,آيَات,ɒjɒt,aٓiːَaːt,,Verses,0.875,0.25,0.08333333333333333,0.09375,1.34375,0.08333333333333333,2,Arabic,Arabic,loan
آیت‌الله,آيَةُ اللّٰه,ɒjt‌ɒllh,aٓiːَtُ aːllّٰh,Ayatollah,Ayatollah,0.7333333333333333,0.14285714285714285,0.047619047619047616,0.05357142857142857,0.7678571428571429,0.047619047619047616,7,Arabic,Arabic,loan
آیه,آيَة,ɒjh,aٓiːَt,آیه,any,1.0,0.6666666666666666,0.13194444444444445,0.1527777777777778,2.6666666666666665,0.13194444444444445,3,Arabic,Arabic,loan
ائتلاف,اِئْتِلَاف,ɒjʔtlɒf,aِiːْٔtِlَaːf,Coalition,coalition,0.7692307692307693,0.2857142857142857,0.1755952380952381,0.19642857142857142,1.8035714285714286,0.19047619047619047,4,Arabic,Arabic,loan
اب,أب,ɒb,aٔb,now,dad,0.6666666666666666,0.0,0.041666666666666664,0.041666666666666664,0.5,0.041666666666666664,1,Arabic,Arabic,loan
ابتدا,اِبْتِدَاء,ɒbtdɒ,aِbْtِdَaːʔ,First,beginning,0.7272727272727273,0.16666666666666666,0.1840277777777778,0.20138888888888887,1.625,0.20138888888888887,5,Arabic,Arabic,loan
ابتکار,اِبْتِكَار,ɒbtkɒr,aِbْtِkَaːr,innovation,innovation,0.6363636363636364,0.0,0.03472222222222222,0.03472222222222222,0.4166666666666667,0.03472222222222222,5,Arabic,Arabic,loan
ابد,أَبَد,ɒbd,aَٔbَd,ابد,forever,0.6666666666666666,0.0,0.027777777777777776,0.027777777777777776,0.3333333333333333,0.027777777777777776,3,Arabic,Arabic,loan
ابراهیم,إِبْرَاهِيم,ɒbrɒhjm,aِٕbْrَaːhِiːm,Ibrahim,Ibrahim,0.7142857142857143,0.14285714285714285,0.047619047619047616,0.05357142857142857,0.7678571428571429,0.047619047619047616,6,Arabic,Arabic,loan
ابریق,إِبْرِيق,ɒbrjɣ,aِٕbْrِiːq,Cup,kettle,0.8,0.2,0.06666666666666667,0.075,1.125,0.06666666666666667,5,Arabic,Arabic,loan
ابزیم,إِبْزِيم,ɒbzjm,aِٕbْzِiːm,ابزیم,buckle,0.7,0.2,0.041666666666666664,0.05,0.775,0.041666666666666664,5,Arabic,Arabic,loan
ابله,أَبْلَه,ɒblh,aَٔbْlَh,Fool,sucker,0.625,0.0,0.020833333333333332,0.020833333333333332,0.25,0.020833333333333332,4,Arabic,Arabic,loan
ابلیس,إِبْلِيس,ɒbljs,aِٕbْlِiːs,Iblis,The devil,0.7,0.2,0.041666666666666664,0.05,0.775,0.041666666666666664,5,Arabic,Arabic,loan
ابن رشد,اِبْن رُشْد,ɒbn rʃd,aِbْn rُʃْd,Ibn Rushd,Ibn Rushd,0.45454545454545453,0.0,0.013888888888888888,0.013888888888888888,0.16666666666666666,0.013888888888888888,4,Arabic,Arabic,loan
ابن سینا,اِبْن سِينَا,ɒbn sjnɒ,aِbْn sِiːnَaː,Ibn Sina,Avicenna,0.6428571428571429,0.14285714285714285,0.047619047619047616,0.05357142857142857,0.7678571428571429,0.047619047619047616,5,Arabic,Arabic,loan
ابوبکر,أَبُو بَكْر,ɒbvbkr,aَٔbُuː bَkْr,Abu Bakr,Abu Bakr,0.6923076923076923,0.16666666666666666,0.07291666666666667,0.08333333333333333,1.5833333333333333,0.07291666666666667,7,Arabic,Arabic,loan
اتحاد,اِتِّحَاد,ɒthɒd,aِtِّħَaːd,Unity,union,0.8,0.2,0.06666666666666667,0.06666666666666667,1.1,0.06666666666666667,4,Arabic,Arabic,loan
اتحادیه,اِتِّحَادِيَّة,ɒthɒdjh,aِtِّħَaːdِiːَّt,Union,Federal,0.875,0.42857142857142855,0.09226190476190475,0.10119047619047619,1.7857142857142858,0.09226190476190475,9,Arabic,Arabic,loan
اتصال,اِتِّصَال,ɒtsɒl,aِtِّsˤَaːl,Connection,Contact,0.7272727272727273,0.0,0.05833333333333333,0.05833333333333333,0.7,0.05833333333333333,4,Arabic,Arabic,loan
اتفاق,اِتِّفَاق,ɒtfɒɣ,aِtِّfَaːq,Happening,an agreement,0.8,0.0,0.06666666666666667,0.06666666666666667,0.85,0.06666666666666667,4,Arabic,Arabic,loan
اتفاقاً,اِتِّفَاقًا‎,ɒtfɒɣɒً,aِtِّfَaːqًaː‎,By the way,by agreement,0.7857142857142857,0.0,0.07638888888888888,0.07638888888888888,0.9583333333333334,0.07638888888888888,6,Arabic,Arabic,loan
اتلاف,إِتْلَاف,ɒtlɒf,aِٕtْlَaːf,Waste,spoil,0.7,0.0,0.041666666666666664,0.041666666666666664,0.5,0.041666666666666664,4,Arabic,Arabic,loan
اتهام,اِتِّهَام,ɒthɒm,aِtِّhَaːm,Charge,accusation,0.7,0.0,0.041666666666666664,0.041666666666666664,0.5,0.041666666666666664,4,Arabic,Arabic,loan
اثاث,أَثَاث,ɒsɒs,aَٔθَaːθ,furniture,furniture,1.0,0.0,0.07291666666666667,0.07291666666666667,0.75,0.07291666666666667,3,Arabic,Arabic,loan
اثبات,إِثْبَات,ɒsbɒt,aِٕθْbَaːt,Proof,Proof,0.8,0.0,0.05,0.05,0.55,0.05,4,Arabic,Arabic,loan
اثر,أَثَر,ɒsr,aَٔθَr,Effect,Effect,0.8333333333333334,0.0,0.041666666666666664,0.041666666666666664,0.4166666666666667,0.041666666666666664,3,Arabic,Arabic,loan
اجازه,إِجَازَة,ɒd͡ʒɒzh,aِٕd͡ʒَaːzَt,Permission,vacation,0.6666666666666666,0.2,0.07916666666666666,0.08333333333333333,1.325,0.07916666666666666,5,Arabic,Arabic,loan
اجتماع,اِجْتِمَاع,ɒd͡ʒtmɒʔ,aِd͡ʒْtِmَaːʕ,Meeting,Meeting,0.6153846153846154,0.16666666666666666,0.08333333333333333,0.08333333333333333,1.5,0.08333333333333333,4,Arabic,Arabic,loan
اجتماعی,اِجْتِمَاعِيّ,ɒd͡ʒtmɒʔj,aِd͡ʒْtِmَaːʕِiːّ,social,social,0.7058823529411765,0.2857142857142857,0.08928571428571429,0.09523809523809523,1.6964285714285714,0.08928571428571429,7,Arabic,Arabic,loan
اجمالی,اجمالی,ɒd͡ʒmɒlj,ad͡ʒmaːlی,Summary,Summary,0.4444444444444444,0.16666666666666666,0.1840277777777778,0.20138888888888887,1.625,0.20138888888888887,0,Arabic,Arabic,loan
اجناس,أَجْنَاس,ɒd͡ʒnɒs,aَٔd͡ʒْnَaːs,Items,races,0.5833333333333334,0.0,0.041666666666666664,0.041666666666666664,0.5,0.041666666666666664,4,Arabic,Arabic,loan
اجنبی,أَجْنَبِيّ,ɒd͡ʒnbj,aَٔd͡ʒْnَbِiːّ,Stranger,Foreigner,0.6428571428571429,0.2,0.041666666666666664,0.05,0.775,0.041666666666666664,7,Arabic,Arabic,loan
احترام,اِحْتِرَام,ɒhtrɒm,aِħْtِrَaːm,Respect,respect,0.7272727272727273,0.16666666666666666,0.05555555555555555,0.05555555555555555,0.9166666666666666,0.05555555555555555,4,Arabic,Arabic,loan
احتلام,اِحْتِلَام,ɒhtlɒm,aِħْtِlَaːm,wet dreams,wet,0.7272727272727273,0.16666666666666666,0.05555555555555555,0.05555555555555555,0.9166666666666666,0.05555555555555555,4,Arabic,Arabic,loan
احتمال,اِحْتِمَال,ɒhtmɒl,aِħْtِmَaːl,Possibility,Prospect,0.7272727272727273,0.16666666666666666,0.05555555555555555,0.05555555555555555,0.9166666666666666,0.05555555555555555,4,Arabic,Arabic,loan
احتمالا,اِحْتِمَالاً,ɒhtmɒlɒ,aِħْtِmَaːlaːً,Likely,possible,0.7857142857142857,0.14285714285714285,0.06547619047619048,0.06547619047619048,1.0,0.06547619047619048,5,Arabic,Arabic,loan
احتیاج,اِحْتِيَاج,ɒhtjɒd͡ʒ,aِħْtِiːَaːd͡ʒ,need,need,0.7142857142857143,0.3333333333333333,0.07638888888888888,0.08333333333333333,1.3958333333333333,0.07638888888888888,5,Arabic,Arabic,loan
احساس,إِحْسَاس,ɒhsɒs,aِٕħْsَaːs,Feeling,feeling,0.8,0.2,0.06666666666666667,0.06666666666666667,1.1,0.06666666666666667,4,Arabic,Arabic,loan
احسان,إِحْسَان,ɒhsɒn,aِٕħْsَaːn,Favor,Ihsan,0.8,0.2,0.06666666666666667,0.06666666666666667,1.1,0.06666666666666667,4,Arabic,Arabic,loan
احمد,أَحْمَد,ɒhmd,aَٔħْmَd,Ahmad,Ahmad,0.75,0.25,0.05208333333333333,0.05208333333333333,1.0,0.05208333333333333,4,Arabic,Arabic,loan
احمر,أحمر,ɒhmr,aٔħmr,احمر,red,0.6,0.25,0.05208333333333333,0.05208333333333333,1.0,0.05208333333333333,1,Arabic,Arabic,loan
احمق,أَحْمَق,ɒhmɣ,aَٔħْmَq,Stupid,Foolish,0.875,0.25,0.08333333333333333,0.08333333333333333,1.4375,0.08333333333333333,4,Arabic,Arabic,loan
احیاناً,أَحْيَانًا,ɒhjɒnɒً,aَٔħْiːَaːnًaː,Possibly,Sometimes,0.9285714285714286,0.3333333333333333,0.09722222222222221,0.10416666666666667,1.6458333333333333,0.09722222222222221,7,Arabic,Arabic,loan
اخبار,أَخْبَار,ɒxbɒr,aَٔxْbَaːr,Newspaper,News,0.7,0.0,0.041666666666666664,0.041666666666666664,0.5,0.041666666666666664,4,Arabic,Arabic,loan
اختراع,اِخْتِرَاع,ɒxtrɒʔ,aِxْtِrَaːʕ,Invention,invention,0.7272727272727273,0.16666666666666666,0.08333333333333333,0.08333333333333333,1.5,0.08333333333333333,4,Arabic,Arabic,loan
اختیار,اِخْتِيَار,ɒxtjɒr,aِxْtِiːَaːr,Option,to choose,0.75,0.16666666666666666,0.05555555555555555,0.0625,0.8958333333333334,0.05555555555555555,5,Arabic,Arabic,loan
اخذ,أَخْذ,ɒxz,aَٔxْð,Acquisition,Taking,0.8333333333333334,0.0,0.041666666666666664,0.041666666666666664,0.4166666666666667,0.041666666666666664,3,Arabic,Arabic,loan
اخراج,إِخْرَاج,ɒxrɒd͡ʒ,aِٕxْrَaːd͡ʒ,laying off,Directed by,0.5833333333333334,0.0,0.041666666666666664,0.041666666666666664,0.5,0.041666666666666664,4,Arabic,Arabic,loan
اخیرا,أَخِيرًا,ɒxjrɒ,aَٔxِiːrًaː,most recently,finally,0.8181818181818182,0.2,0.06666666666666667,0.075,1.075,0.06666666666666667,5,Arabic,Arabic,loan
ادا,أَدَاء,ɒdɒ,aَٔdَaːʔ,Pay,performance,0.875,0.25,0.2760416666666667,0.3020833333333333,2.4375,0.3020833333333333,4,Arabic,Arabic,loan
اداره,إِدَارَة,ɒdɒrh,aِٕdَaːrَt,office,Management,0.8,0.2,0.07916666666666666,0.08333333333333333,1.325,0.07916666666666666,5,Arabic,Arabic,loan
ادامه,إِدَامَة,ɒdɒmh,aِٕdَaːmَt,Continuation,perpetuate,0.8,0.2,0.07916666666666666,0.08333333333333333,1.325,0.07916666666666666,5,Arabic,Arabic,loan
ادب,أَدَب,ɒdb,aَٔdَb,Literature,literature,0.6666666666666666,0.0,0.027777777777777776,0.027777777777777776,0.3333333333333333,0.027777777777777776,3,Arabic,Arabic,loan
ادبیات,أَدَبِيَّات,ɒdbjɒt,aَٔdَbِiːَّaːt,the literature,literature,0.7857142857142857,0.16666666666666666,0.05555555555555555,0.0625,0.8958333333333334,0.05555555555555555,7,Arabic,Arabic,loan
ادرار,إِدْرَار,ɒdrɒr,aِٕdْrَaːr,Urine,diuresis,0.7,0.0,0.041666666666666664,0.041666666666666664,0.5,0.041666666666666664,4,Arabic,Arabic,loan
ادغام,إِدْغَام,ɒdɣɒm,aِٕdْɣَaːm,merge,diphthong,0.7,0.0,0.041666666666666664,0.041666666666666664,0.5,0.041666666666666664,4,Arabic,Arabic,loan
