loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
abandon,abandoner,abandɔn,abɑ̃dɔnəʀ,abandon,abandon,0.4444444444444444,0.375,0.18229166666666669,0.203125,2.171875,0.1953125,2,Latin,Latin,loan
abażur,abat-jour,abaʐur,abat-ʒuʀ,shade,lampshade,0.5,0.14285714285714285,0.16071428571428573,0.18452380952380953,1.3392857142857142,0.17261904761904764,4,Latin,Latin,loan
abonować,abonner,abɔnɔvat͡ɕ,abɔnəʀ,subscribe,subscribe,0.6,0.375,0.2578125,0.28645833333333337,2.359375,0.28125,4,Latin,Latin,loan
abordaż,abordage,abɔrdaʂ,abɔʀdaʒ,boarding,collision,0.2857142857142857,0.0,0.03571428571428571,0.047619047619047616,0.3392857142857143,0.03571428571428571,2,Latin,Latin,loan
absenteista,absentéiste,apsɛntɛjsta,absɑ̃teist,absentee,absentéiste,0.5454545454545454,0.2727272727272727,0.19696969696969696,0.21969696969696972,1.7613636363636365,0.21401515151515155,2,Latin,Latin,loan
absenteizm,absentéisme,apsɛntɛjzm,absɑ̃teism,absenteeism,absenteeism,0.6,0.2,0.13125,0.14583333333333334,1.2375,0.13958333333333334,3,Latin,Latin,loan
absentować,absenter,apsɛntɔvat͡ɕ,absɑ̃təʀ,absent,absent,0.75,0.4,0.3208333333333333,0.3541666666666667,2.8375,0.3479166666666667,4,Latin,Latin,loan
absolutysta,absolutiste,apsɔlutɨsta,absɔlytist,absolutism,absolutist,0.36363636363636365,0.09090909090909091,0.09280303030303032,0.10227272727272728,0.7727272727272727,0.10227272727272728,2,Latin,Latin,loan
absolutyzm,absolutisme,apsɔlutɨzm,absɔlytism,absolutism,absolutism,0.4,0.0,0.016666666666666666,0.016666666666666666,0.15,0.016666666666666666,3,Latin,Latin,loan
absolutyzować,absolutiser,apsɔlutɨzɔvat͡ɕ,absɔlytizəʀ,absolutize,absolutiser,0.6,0.23076923076923078,0.16826923076923078,0.18589743589743588,1.5480769230769231,0.18269230769230768,6,Latin,Latin,loan
