loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
Abram,Ábrány,abram,aːbraːɲ,Abram,Illustration,0.42857142857142855,0.2,0.041666666666666664,0.041666666666666664,0.5,0.041666666666666664,4,Latin,Latin,loan
Abucea,Abucsa,abut͡ʃea,ɒbut͡ʃɒ,Abucea,Abucsa,0.375,0.16666666666666666,0.17708333333333334,0.19444444444444442,1.5416666666666667,0.19444444444444442,1,Latin,Latin,loan
Abuș,Abos,abuʃ,ɒboʃ,Abuş,Abos,0.5,0.0,0.041666666666666664,0.041666666666666664,0.5,0.041666666666666664,2,Latin,Latin,loan
acaț,akác,akat͡s,ɒkaːt͡s,a cat,acacia,0.2857142857142857,0.0,0.03125,0.03125,0.375,0.03125,3,Latin,Latin,loan
Acâș,Ákos,akɨʃ,aːkoʃ,Acas,Ákos,0.4,0.0,0.03125,0.03125,0.375,0.03125,4,Latin,Latin,loan
Aciliu,Ecsellő,at͡ʃiliu,ɛt͡ʃɛlːøː,Acilium,Brilliant,0.5555555555555556,0.16666666666666666,0.20486111111111113,0.2222222222222222,1.7916666666666667,0.2222222222222222,5,Latin,Latin,loan
Aciu,Ács,at͡ʃiu,aːt͡ʃ,thank you,Carpenter,0.5,0.5,0.45833333333333337,0.5104166666666667,3.75,0.5104166666666667,3,Latin,Latin,loan
Acmariu,Otmár,akmariu,otmaːr,Aquarius,Otmár,0.7142857142857143,0.42857142857142855,0.30654761904761907,0.3392857142857143,2.6607142857142856,0.33630952380952384,5,Latin,Latin,loan
Adămuș,Ádámos,adəmuʃ,aːdaːmoʃ,Adamus,adamos,0.5,0.0,0.048611111111111105,0.048611111111111105,0.5416666666666666,0.048611111111111105,4,Latin,Latin,loan
Adea,Agya,adea,ɒɟɒ,Adea,Brain,1.0,0.5,0.3020833333333333,0.3333333333333333,2.71875,0.328125,2,Latin,Latin,loan
Adjud,Egyd,adʒud,ɛɟd,Adjud,Egyd,0.8,0.6,0.4083333333333333,0.45,3.375,0.4458333333333333,4,Latin,Latin,loan
Adorian,Adorján,adorian,ɒdorjaːn,Adorian,Adorjan,0.375,0.14285714285714285,0.02976190476190476,0.03571428571428571,0.5535714285714286,0.02976190476190476,2,Latin,Latin,loan
Adrian,Adorján,adrian,ɒdorjaːn,Adrian,Adorjan,0.5,0.2857142857142857,0.15773809523809526,0.17857142857142858,1.5892857142857142,0.17261904761904762,3,Latin,Latin,loan
Agăș,Ágas,aɡəʃ,aːɡɒʃ,Agas,Branches,0.4,0.0,0.041666666666666664,0.041666666666666664,0.4375,0.041666666666666664,3,Latin,Latin,loan
Agârbiciu,Egerbegy,aɡɨrbit͡ʃiu,ɛɡɛrbɛɟ,Agârbiciu,Egerbegy,0.7272727272727273,0.3333333333333333,0.2523148148148148,0.2777777777777778,2.125,0.27546296296296297,6,Latin,Latin,loan
Aghireș,égeres,aɡireʃ,eːɡɛrɛʃ,Aghireş,light,0.5714285714285714,0.0,0.03472222222222222,0.03472222222222222,0.3333333333333333,0.03472222222222222,4,Latin,Latin,loan
Aghireșu,Egeres,aɡireʃu,ɛɡɛrɛʃ,Aghireşu,you lacked,0.5714285714285714,0.14285714285714285,0.15773809523809526,0.17261904761904762,1.2857142857142858,0.17261904761904762,5,Latin,Latin,loan
Agrieș,Egres,aɡrieʃ,ɛɡrɛʃ,Agrieș,Gooseberry,0.5,0.16666666666666666,0.17013888888888892,0.1875,1.375,0.1875,3,Latin,Latin,loan
Agrij,Egregy,aɡriʒ,ɛɡrɛɟ,pioneer,Egregy,0.6,0.2,0.0625,0.06666666666666667,0.725,0.0625,4,Latin,Latin,loan
agriș,egres,aɡriʃ,ɛɡrɛʃ,agriș,gooseberry,0.4,0.0,0.03333333333333333,0.03333333333333333,0.3,0.03333333333333333,3,Latin,Latin,loan
Agrișteu,Egrestő,aɡriʃteu,ɛɡrɛʃtøː,Agristeu,Egrestő,0.5,0.125,0.14322916666666669,0.15625,1.21875,0.15625,5,Latin,Latin,loan
