,loan_word,original_word,loan_word_epitran,original_word_epitran,Fast Levenshtein,Dolgo Prime Distance,Feature Edit Distance,Hamming Feature Distance,Weighted Feature Distance,Fast Levenshtein Distance Div Maxlen,xlm_cos_similarity,mbert_cos_similarity
227,कम करना,کوتاه کردن,kəmə kərnaː,kvtɒh krdn,0.7272727272727273,0.5454545454545454,0.13825757575757575,0.1553030303030303,3.1590909090909087,0.7272727272727273,0.8191139101982117,0.6446335315704346
486,चिपकी,ببندید,t͡ʃipkiː,bbndjd,1.0,0.75,0.25260416666666663,0.28125,3.390625,1.0,0.6863292455673218,0.6020606756210327
531,पकड़,پیوستن,pəkəɽ,پjvstn,1.0,0.8333333333333334,0.2256944444444444,0.2638888888888889,4.791666666666667,1.0,0.75249183177948,0.6492069363594055
927,महान,خوش,məɦaːn,xvʃ,1.0,0.8333333333333334,0.40625,0.4513888888888889,4.645833333333333,1.0,0.7941539287567139,0.6728740334510803
973,स्पष्ट,واضح,spəʂʈə,vɒzh,1.0,0.5,0.37847222222222215,0.4166666666666667,3.583333333333333,1.0,0.7267916202545166,0.6407291293144226
1046,बयाना,غیور,bəjaːnaː,ɣjvr,0.875,0.625,0.30989583333333337,0.35416666666666663,3.5,0.875,0.7810730934143066,0.6082244515419006
1330,विश्वास,ایمان,viʃvaːs,ɒjmɒn,1.0,0.5714285714285714,0.25,0.2678571428571429,3.3571428571428568,1.0,0.6860891580581665,0.6497276425361633
1331,विश्वास,حقیقت,viʃvaːs,hɣjɣt,1.0,0.7142857142857143,0.2500000000000001,0.2797619047619048,3.7142857142857135,1.0,0.7492793202400208,0.6044279932975769
1355,नीचे,زیر,niːt͡ʃe,zjr,1.0,0.5714285714285714,0.2053571428571428,0.2380952380952381,2.6607142857142856,1.0,0.8258697390556335,0.6056194305419922
1370,नीचे,زیر,niːt͡ʃe,zjr,1.0,0.5714285714285714,0.2053571428571428,0.2380952380952381,2.6607142857142856,1.0,0.8258697390556335,0.6056194305419922
1375,नीचे,زیر,niːt͡ʃe,zjr,1.0,0.5714285714285714,0.2053571428571428,0.2380952380952381,2.6607142857142856,1.0,0.8258697390556335,0.6056194305419922
1404,बेनिसन,اوریسون,benisən,ɒvrjsvn,0.7142857142857143,0.7142857142857143,0.16071428571428573,0.2023809523809524,4.0,0.7142857142857143,0.8253782391548157,0.6025455594062805
1556,साहस,شجاعت,saːɦəs,ʃd͡ʒɒʔt,1.0,0.2857142857142857,0.14583333333333331,0.16666666666666669,3.0357142857142856,1.0,0.7323795557022095,0.6078281998634338
1562,साहस,شجاعت,saːɦəs,ʃd͡ʒɒʔt,1.0,0.2857142857142857,0.14583333333333331,0.16666666666666669,3.0357142857142856,1.0,0.7323795557022095,0.6078281998634338
1601,साहस,شجاعت,saːɦəs,ʃd͡ʒɒʔt,1.0,0.2857142857142857,0.14583333333333331,0.16666666666666669,3.0357142857142856,1.0,0.7323795557022095,0.6078281998634338
1607,साहस,شجاعت,saːɦəs,ʃd͡ʒɒʔt,1.0,0.2857142857142857,0.14583333333333331,0.16666666666666669,3.0357142857142856,1.0,0.7323795557022095,0.6078281998634338
1628,साहस,شجاعت,saːɦəs,ʃd͡ʒɒʔt,1.0,0.2857142857142857,0.14583333333333331,0.16666666666666669,3.0357142857142856,1.0,0.7323795557022095,0.6078281998634338
1634,साहस,شجاعت,saːɦəs,ʃd͡ʒɒʔt,1.0,0.2857142857142857,0.14583333333333331,0.16666666666666669,3.0357142857142856,1.0,0.7323795557022095,0.6078281998634338
1787,तबाही,تراژدی,təbaːɦiː,trɒʒdj,0.875,0.5,0.15885416666666666,0.19791666666666669,3.171875,0.875,0.7184337973594666,0.6083714962005615
2546,लड़ाई,نبرد,ləɽaːiː,nbrd,1.0,0.5714285714285714,0.2440476190476191,0.27380952380952384,3.875,1.0,0.6947171688079834,0.6721506714820862
2567,लड़ाई,نبرد,ləɽaːiː,nbrd,1.0,0.5714285714285714,0.2440476190476191,0.27380952380952384,3.875,1.0,0.6947171688079834,0.6721506714820862
2586,शोक,تسلیت,ʃok,tsljt,1.0,0.8,0.4625,0.5083333333333333,4.25,1.0,0.8054381012916565,0.6199532747268677
2604,सहानुभूति,تسلیت,səɦaːnub̤uːti,tsljt,0.9230769230769232,0.5384615384615384,0.3878205128205128,0.4326923076923077,3.5769230769230766,0.9230769230769232,0.7005292773246765,0.6241804957389832
2624,उपज,مجوز,upəd͡ʒ,md͡ʒvz,0.8333333333333334,0.6666666666666666,0.16666666666666666,0.1875,3.25,0.8333333333333334,0.7631232738494873,0.63544100522995
2836,समूह,گروه,səmuːɦ,ɡrvh,1.0,0.6666666666666666,0.27083333333333337,0.3194444444444445,3.4166666666666665,1.0,0.8052694201469421,0.7049972414970398
2904,परिणाम,نتیجه,pəriɳaːm,ntjd͡ʒh,1.0,0.75,0.3333333333333333,0.38020833333333337,3.859375,1.0,0.809518039226532,0.6046618819236755
3179,धोखा,تقلب,d̤okʰaː,tɣlb,1.0,0.42857142857142855,0.15178571428571427,0.16666666666666669,3.2678571428571432,1.0,0.7064936757087708,0.6380589008331299
3181,धोखा,فریب,d̤okʰaː,frjb,1.0,0.5714285714285714,0.1636904761904762,0.19642857142857145,3.375,1.0,0.7896289229393005,0.6185543537139893
3251,अभाव,ناقص,ab̤aːv,nɒɣs,1.0,0.6666666666666666,0.20486111111111116,0.2361111111111111,3.375,1.0,0.7051278352737427,0.6155646443367004
3456,निराशाजनक,ناراضی,niraːʃaːd͡ʒnək,nɒrɒzj,0.8571428571428571,0.35714285714285715,0.3005952380952381,0.3303571428571428,2.633928571428572,0.8571428571428571,0.6849589943885803,0.6375437378883362
3479,बेदिल,بی روح,bedil,bj rvh,0.8333333333333334,0.5,0.125,0.15972222222222224,2.708333333333333,0.8333333333333334,0.7010664343833923,0.6138107776641846
3556,पॉलिश,نفیس,pɔliʃ,nfjs,1.0,0.6,0.3083333333333333,0.35,3.65,1.0,0.742102324962616,0.6004012227058411
3580,सुंदर,نفیس,sundər,nfjs,0.8333333333333334,0.8333333333333334,0.3923611111111111,0.4513888888888889,3.9375,0.8333333333333334,0.7366018295288086,0.6045196056365967
