loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
aba,إِذْن,ɑbɑ,aِٕðْn,aba,Ear,1.0,0.6666666666666666,0.19444444444444445,0.23611111111111108,3.5416666666666665,0.19444444444444445,5,Latin,Arabic,random
abdal,لَوْحَة,ɑbdɑl,lَuːْħَة,abdal,painting,1.0,0.8,0.4875,0.5416666666666667,5.125,0.5333333333333333,7,Latin,Arabic,random
abidə,مَقْصَد,ɑbɪdæ,mَqْsˤَd,monument,destination,1.0,0.8,0.3541666666666667,0.4,5.075,0.37916666666666665,7,Latin,Arabic,random
aciz,قَهْوَة,ɑd͡ʒɪz,qَhْuːَة,helpless,coffee,1.0,0.75,0.41666666666666663,0.45833333333333337,5.5625,0.4375,7,Latin,Arabic,random
adam,فَائِدَة,ɑdɑm,fَaːiːِٔdَة,adam,benefit,0.9090909090909091,0.75,0.2760416666666667,0.32291666666666663,5.40625,0.2760416666666667,8,Latin,Arabic,random
adi,مَتْن,ɑdɪ,mَtْn,adi,singular,1.0,0.6666666666666666,0.23611111111111113,0.2777777777777778,4.958333333333333,0.23611111111111113,5,Latin,Arabic,random
adət,نُطْق,ɑdæt,nُtˤْq,habit,pronunciation,1.0,0.75,0.3645833333333333,0.4166666666666667,4.46875,0.3958333333333333,5,Latin,Arabic,random
adətən,اِسْتِفَادَة,ɑdætæn,aِsْtِfَaːdَة,usually,take advantage,0.9230769230769231,0.5,0.13194444444444445,0.1527777777777778,2.6666666666666665,0.13194444444444445,12,Latin,Arabic,random
afət,نَغْمَة,ɑfæt,nَɣْmَة,disaster,Tune,1.0,1.0,0.42187500000000006,0.47916666666666663,5.3125,0.45312500000000006,7,Latin,Arabic,random
ahıl,مَأْخَذ,ɑhɯl,mَaːْٔxَð,old man,inlet,1.0,1.0,0.23437500000000003,0.27083333333333337,5.375,0.23437500000000003,7,Latin,Arabic,random
Allah,ضَعِيف,ɑllɑh,dˤَʕِiːf,Allah,weak,1.0,0.8,0.33749999999999997,0.375,4.35,0.36249999999999993,6,Latin,Arabic,random
Allah-təala,مُبَادَلة,ɑllɑh-tæɑlɑ,mُbَaːdَlة,God Almighty,exchange,0.9090909090909091,0.7,0.5020833333333334,0.5666666666666667,4.55,0.5604166666666666,11,Latin,Arabic,random
ali,أدوية,ɑlɪ,aٔduːiːة,ali,Drugs,1.0,0.5,0.2916666666666667,0.32291666666666663,3.0625,0.3177083333333333,5,Latin,Arabic,random
alim,مَنْفِيّ,ɑlɪm,mَnْfِiːّ,alim,exile,1.0,1.0,0.28125,0.3229166666666667,6.1875,0.28125,8,Latin,Arabic,random
aləm,سَاحِل,ɑlæm,sَaːħِl,world,coast,1.0,1.0,0.2916666666666667,0.34375,5.21875,0.2916666666666667,6,Latin,Arabic,random
alət,إِصْلَاح,ɑlæt,aِٕsˤْlَaːħ,tool,Repair,0.9090909090909091,0.4,0.25,0.275,2.325,0.2666666666666667,8,Latin,Arabic,random
amal,حِكْمَة,ɑmɑl,ħِkْmَة,amal,wisdom,0.8571428571428571,1.0,0.40625000000000006,0.45833333333333337,5.5,0.43750000000000006,7,Latin,Arabic,random
amil,غَالِب,ɑmɪl,ɣَaːlِb,factor,predominant,0.8571428571428571,0.75,0.2760416666666667,0.32291666666666663,5.4375,0.2760416666666667,6,Latin,Arabic,random
an,اِعْتِرَاف,ɑn,aِʕْtِrَaːf,an,recognition,1.0,0.8333333333333334,0.6215277777777778,0.7013888888888888,5.375,0.6979166666666666,10,Latin,Arabic,random
ar,حُسَيْن,ɑr,ħُsَiːْn,ar,Hussain,1.0,0.75,0.5416666666666666,0.6145833333333334,4.8125,0.5885416666666666,7,Latin,Arabic,random
araq,اللَّهُ تَعَالَى,ɑrɑɡ,allَّhُ tَʕَaːlَى,vodka,God,1.0,0.625,0.5286458333333333,0.5937499999999999,4.765625,0.5729166666666666,16,Latin,Arabic,random
arvad,نَقَرَات‎,ɑrvɑd,nَqَrَaːt‎,wife,clicks,0.9,0.6,0.2166666666666667,0.2833333333333333,3.775,0.2166666666666667,9,Latin,Arabic,random
Arifə,تَحْرِيف,ɑrɪfæ,tَħْrِiːf,Arif,twist,0.8888888888888888,0.6,0.325,0.4166666666666667,4.425,0.325,8,Latin,Arabic,random
avam,مُهَاجِر,ɑvɑm,mُhَaːd͡ʒِr,commons,immigrant,1.0,0.8,0.35,0.4083333333333334,4.625,0.38333333333333336,8,Latin,Arabic,random
axır,مُذَاكَرَة,ɑxɯr,mُðَaːkَrَة,end,Revision,0.9090909090909091,0.6,0.3375,0.375,3.9,0.35833333333333334,10,Latin,Arabic,random
axirət,تَخْلِيَة‎,ɑxɪræt,tَxْlِiːَة‎,the hereafter,abdication,0.9090909090909091,0.5,0.4131944444444444,0.47222222222222215,4.5,0.4444444444444445,10,Latin,Arabic,random
ayə,حَكَم,ɑjæ,ħَkَm,verse,to rule,1.0,1.0,0.24305555555555558,0.27777777777777773,6.5,0.24305555555555558,5,Latin,Arabic,random
ağıl,لُغَة,ɑɣɯl,lُɣَة,mind,language,0.8,0.75,0.5364583333333334,0.6041666666666667,5.3125,0.5833333333333333,5,Latin,Arabic,random
ailə,جُمْلَة,ɑɪlæ,d͡ʒُmْlَة,family,sentence,0.8888888888888888,0.75,0.390625,0.44791666666666663,5.84375,0.4166666666666667,7,Latin,Arabic,random
babasil,خَطّ,bɑbɑsɪl,xَtˤّ,babasil,a letter,1.0,0.8571428571428571,0.6904761904761906,0.7678571428571429,5.928571428571429,0.7678571428571429,7,Latin,Arabic,random
bakir,نَعْل,bɑkɪr,nَʕْl,Copper,Shoe,1.0,0.6,0.45,0.5166666666666667,4.375,0.4958333333333334,5,Latin,Arabic,random
