loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
Alcàntara,مَرَشّ,alkantaɾa,mَrَʃّ,Alcantara,sprinkler,1.0,0.7777777777777778,0.6481481481481481,0.7222222222222222,5.652777777777778,0.712962962962963,9,Latin,Arabic,random
alficòs,قطيفة,alfikɔs,qtˤiːfة,alficòs,amaranth,0.8571428571428571,0.8571428571428571,0.48809523809523814,0.5416666666666667,4.285714285714286,0.5297619047619048,7,Latin,Arabic,random
almívar,رَفّ,almibaɾ,rَfّ,syrup,رففّ,1.0,0.7142857142857143,0.6636904761904763,0.7619047619047619,5.589285714285714,0.7470238095238094,7,Latin,Arabic,random
alqueria,سَفَط,alkɛɾia,sَfَtˤ,farmhouse,aspirator,1.0,1.0,0.5922619047619049,0.6666666666666666,5.589285714285714,0.6517857142857143,8,Latin,Arabic,random
assot,الْقَارِيَة‎,asɔt,alْqَaːrِiːَة‎,whip,continental,0.9285714285714286,0.6666666666666666,0.3888888888888889,0.4375,3.9375,0.4236111111111111,12,Latin,Arabic,random
barnús,سَطْلَة,baɾnus,sَtˤْlَة,bathrobe,paillasse,1.0,0.8333333333333334,0.5243055555555557,0.5902777777777778,5.0625,0.5833333333333334,7,Latin,Arabic,random
barri,بُرْنُس,baɾɾi,bُrْnُs,neighborhood,brons,0.8571428571428571,0.6,0.275,0.325,3.5,0.29583333333333334,7,Latin,Arabic,random
catifa,مَنْقَلَة,katifa,mَnْqَlَة,carpet,protractor,1.0,1.0,0.4444444444444445,0.49305555555555564,5.104166666666667,0.47916666666666674,9,Latin,Arabic,random
cofa,شَاوِرْمَا,kɔfa,ʃَaːuːِrْmَaː,cofa,shawarma,0.9230769230769231,0.6666666666666666,0.3854166666666667,0.4375,3.875,0.4305555555555556,10,Latin,Arabic,random
Eivissa,السَوْط,ɛʒbisa,alsَuːْtˤ,Ibiza,whip,1.0,0.5,0.2708333333333333,0.2916666666666667,2.9375,0.2881944444444444,7,Latin,Arabic,random
falca,يَاسَمِين,falka,iːَaːsَmِiːn,jaw,Jasmine,0.9166666666666666,0.6666666666666666,0.30902777777777773,0.3333333333333333,4.166666666666667,0.3229166666666667,9,Latin,Arabic,random
falleba,طَبْل,faʎɛba,tˤَbْl,deceived,drum,1.0,0.8333333333333334,0.5347222222222223,0.6041666666666667,5.166666666666667,0.5868055555555556,7,Latin,Arabic,random
gessamí,فَقُّوس,ʒɛsami,fَqُّuːs,Jasmine,succulents,1.0,0.8333333333333334,0.4513888888888889,0.5,4.5,0.4861111111111111,7,Latin,Arabic,random
mancala,سُورَة,maŋkala,sُuːrَة,mancala,surah,1.0,0.7142857142857143,0.5982142857142857,0.6726190476190477,5.232142857142857,0.6577380952380951,7,Latin,Arabic,random
marraixa,بَرِّيّ,maɾɾaʒʃa,bَrِّiːّ,marraixa,بّرِّيّ,1.0,0.75,0.5833333333333333,0.6510416666666666,5.03125,0.6510416666666666,8,Latin,Arabic,random
quintar,اَلْقَنْطَرَة,kintaɾ,aَlْqَnْtˤَrَة,quintar,Alkantara,0.8571428571428571,0.6666666666666666,0.23263888888888887,0.2638888888888889,4.354166666666667,0.23263888888888887,13,Latin,Arabic,random
ràfec,سُمَّاق,ɾafɛk,sُmَّaːq,eaves,س .مَّاق,1.0,0.6,0.2833333333333333,0.325,3.225,0.3041666666666667,7,Latin,Arabic,random
safata,قِنْطَار,safata,qِnْtˤَaːr,tray,kantar,0.8,0.8333333333333334,0.31597222222222227,0.3680555555555555,4.145833333333333,0.3333333333333333,8,Latin,Arabic,random
setra,طُوب,sɛtɾa,tˤُuːb,setra,Bricks,1.0,0.6,0.45,0.5083333333333333,4.125,0.5041666666666667,5,Latin,Arabic,random
sumac,فَلْقَة,sumak,fَlْqَة,sumac,lobe,1.0,0.8,0.4375,0.4916666666666667,3.875,0.4791666666666667,7,Latin,Arabic,random
sura,طَاس,suɾa,tˤَaːs,sura,bowl,0.8333333333333334,0.5,0.359375,0.40625,3.875,0.38541666666666663,4,Latin,Arabic,random
taba,قفة,taba,qfة,tobacco,basket,1.0,0.75,0.5104166666666667,0.5729166666666667,4.375,0.5625,4,Latin,Arabic,random
tabal,plural,tabal,plural,table,plural,0.6666666666666666,0.5,0.24999999999999997,0.2847222222222222,2.6666666666666665,0.2638888888888889,4,Latin,Arabic,random
tarquim,يَابِسَة,taɾkim,iːَaːbِsَة,tarquim,land,0.9,0.8333333333333334,0.44097222222222227,0.49999999999999994,4.9375,0.4861111111111111,8,Latin,Arabic,random
tassa,plural,tasa,plural,fee,plural,0.8333333333333334,0.6666666666666666,0.3854166666666667,0.4305555555555555,3.5625,0.4131944444444445,5,Latin,Arabic,random
tàvega,طَبَقَة,tabɛɡa,tˤَbَqَة,tray,layer,0.75,0.5,0.4756944444444444,0.5277777777777778,3.9166666666666665,0.5277777777777778,7,Latin,Arabic,random
tova,plural,tɔba,plural,tova,plural,0.8333333333333334,0.6666666666666666,0.38888888888888884,0.4375,3.6666666666666665,0.4166666666666667,5,Latin,Arabic,random
xauarma,مَيْبَة,ʃabaɾma,mَiːْbَة,xauarma,mba,1.0,0.7142857142857143,0.5476190476190477,0.6130952380952381,5.071428571428571,0.6130952380952381,7,Latin,Arabic,random
