loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
三克油,Mozilla,sankʰejou,mozilla*,Three grams of oil,Mozilla,1.0,0.5,0.2760416666666667,0.3020833333333333,3.84375,0.2890625,7,Chinese,Latin,random
三味治,number,sanweiʈ͡ʂɻ̩,ˈnəmbər,Osamu Mimi,number,0.9090909090909092,0.75,0.3411458333333333,0.375,4.046875,0.3697916666666666,6,Chinese,Latin,random
三文治,Ushuaia,sanwenʈ͡ʂɻ̩,ushuaia*,sandwich,Ushuaia,1.0,0.5,0.3020833333333333,0.359375,4.5,0.3203125,7,Chinese,Latin,random
三明治,Beowulf,sanmiŋʈ͡ʂɻ̩,ˈbeɪəˌwʊlf,sandwich,Beowulf,1.0,0.875,0.2421874999999999,0.28125,4.90625,0.2421874999999999,7,Chinese,Latin,random
三梅子,America,sanmeit͡si,əˈmɛrɪkə,three plums,America,0.9,0.375,0.2578125,0.296875,3.265625,0.2682291666666667,7,Chinese,Latin,random
不列顛,Grenada,pulietian,grɪˈnɑdə,britain,Grenada,1.0,0.5555555555555556,0.3981481481481481,0.4444444444444444,3.736111111111111,0.4305555555555556,7,Chinese,Latin,random
丘吉爾,Lego,t͡ɕʰiout͡ɕiɻ̩,ˈlɛgoʊ,Churchill,Lego,0.9230769230769232,0.5714285714285714,0.4672619047619047,0.5059523809523809,4.142857142857143,0.5059523809523809,4,Chinese,Latin,random
乃掃,Trump,naisao,trəmp,Nasau,Trump,1.0,0.8333333333333334,0.3368055555555555,0.3888888888888889,5.125,0.3541666666666667,5,Chinese,Latin,random
乃春,Wallace,naiʈ͡ʂʰun,ˈwɔlɪs,Noharu,Wallace,1.0,0.6666666666666666,0.3368055555555556,0.375,4.1875,0.3576388888888889,7,Chinese,Latin,random
亞伯達,Maria,japuota,mərˈiə,Alberta,Maria,1.0,0.5714285714285714,0.3869047619047619,0.4285714285714285,4.053571428571429,0.4136904761904762,5,Chinese,Latin,random
亞克力,azine,jakʰeli,azine*,Acrylic,Asia,0.8571428571428571,0.5,0.2361111111111111,0.2569444444444445,2.3125,0.2534722222222222,5,Chinese,Latin,random
亞利桑那,curry,jalisaŋna,ˈkəri,Arizona,curry,1.0,0.6666666666666666,0.5532407407407408,0.6157407407407408,4.902777777777778,0.6064814814814815,5,Chinese,Latin,random
亞塞拜然,Austen,jasepaiɻan,ˈɔstɪn,Azerbaijan,Austen,0.8,0.6,0.48125,0.5333333333333334,3.9375,0.53125,6,Chinese,Latin,random
亞士匹靈,Messiah,jaʂɻ̩pʰiliŋ,məˈsaɪə,aspirin,Messiah,1.0,0.4444444444444444,0.3819444444444445,0.4212962962962963,3.5,0.4143518518518518,7,Chinese,Latin,random
亞歷山大,aspartame,jaliʂanta,ˈæspərˌteɪm,Alexander,aspartame,0.9090909090909092,0.7777777777777778,0.261574074074074,0.3101851851851852,4.291666666666667,0.261574074074074,9,Chinese,Latin,random
亞瑟,sister,jase,ˈsɪstər,Arthur,sister,0.8571428571428571,0.5,0.3715277777777777,0.4166666666666667,3.7291666666666665,0.4131944444444444,6,Chinese,Latin,random
亞美利加,a cappella,jameilit͡ɕia,ə kɑˈpɛlə,America,a cappella,1.0,0.6,0.3979166666666667,0.4375,4.1375,0.4270833333333333,10,Chinese,Latin,random
亞里桑那,bit,jalisaŋna,bɪt,Arizona,bit,1.0,0.7777777777777778,0.6342592592592592,0.7037037037037037,5.486111111111111,0.7013888888888888,4,Chinese,Latin,random
亞非利加,shellac,jafeilit͡ɕia,ˈʃɛˌlæk,Africa,shellac,0.9166666666666666,0.6,0.4916666666666667,0.55,4.0875,0.54375,7,Chinese,Latin,random
以太,naira,itʰai,ˈnɛrə,ether,naira,1.0,0.75,0.265625,0.3333333333333333,4.875,0.265625,5,Chinese,Latin,random
他莫昔芬,commission,tʰamuoɕifen,kəˈmɪʃən,Tamoxifen,commission,0.8181818181818182,0.5,0.3354166666666666,0.3708333333333333,2.8125,0.3645833333333333,10,Chinese,Latin,random
伊妹,Victoria,imei,vɪkˈtɔriə,Yimei,Victoria,0.8888888888888888,0.625,0.4921875,0.5520833333333334,4.296875,0.5494791666666667,8,Chinese,Latin,random
伊妹兒,Lusaka,imeiɻ,luˈsɑkə,Yimeier,Lusaka,1.0,0.6666666666666666,0.3159722222222222,0.3541666666666667,4.416666666666667,0.3298611111111111,6,Chinese,Latin,random
伐木累,America,famulei,əˈmɛrɪkə,,America,0.875,0.2857142857142857,0.2767857142857143,0.3333333333333333,3.071428571428572,0.2767857142857143,7,Chinese,Latin,random
伏特,formalin,futʰe,formalin*,volt,formalin,0.8888888888888888,0.625,0.484375,0.5416666666666666,4.3125,0.5416666666666666,8,Chinese,Latin,random
伊甸,punk,itian,pəŋk,Eden,punk,1.0,0.8,0.3541666666666666,0.3916666666666666,4.375,0.375,4,Chinese,Latin,random
伍茲,cheese,ut͡si,ʧiz,Woods,cheese,1.0,0.6666666666666666,0.3819444444444445,0.4166666666666667,3.5,0.4166666666666667,6,Chinese,Latin,random
伊麗莎白,motor,iliʂapai,ˈmoʊtər,Elizabeth,motor,1.0,0.625,0.359375,0.40625,3.71875,0.3828125,5,Chinese,Latin,random
伯利茲,Arabella,puolit͡si,ˌærəˈbɛlə,Belize,Arabella,1.0,0.5714285714285714,0.2023809523809523,0.2321428571428571,3.892857142857143,0.2023809523809523,8,Chinese,Latin,random
伸卡球,violin,ʂenkʰat͡ɕʰiou,vaɪəˈlɪn,card ball,violin,0.9230769230769232,0.6666666666666666,0.3611111111111111,0.4027777777777778,4.305555555555555,0.3842592592592592,6,Chinese,Latin,random
伯明翰,Elizabeth,puomiŋxan,ɪˈlɪzəbɪθ,Birmingham,Elizabeth,1.0,0.6666666666666666,0.3032407407407407,0.3287037037037037,4.388888888888889,0.3148148148148148,9,Chinese,Latin,random
來復槍,morphine,laifut͡ɕʰiaŋ,ˈmɔrfin,rifle,morphine,0.9166666666666666,0.5555555555555556,0.3958333333333333,0.449074074074074,3.861111111111111,0.4282407407407407,8,Chinese,Latin,random
佩斯,Coventry,pʰeisi,ˈkəvəntri,Pace,Coventry,0.8888888888888888,0.5,0.390625,0.4322916666666667,3.375,0.4322916666666667,8,Chinese,Latin,random
依格,draft beer,ike,dræft bɪr,Eagle,draft beer,1.0,0.75,0.59375,0.671875,5.015625,0.6692708333333334,10,Chinese,Latin,random
來福槍,Guyana,laifut͡ɕʰiaŋ,ˌgaɪˈɑnə,rifle,Guyana,1.0,0.5555555555555556,0.4791666666666667,0.5231481481481483,4.166666666666667,0.5185185185185186,6,Chinese,Latin,random
保加利亞,sergeant,paot͡ɕialija,ˈsɑrʤənt,Bulgaria,sergeant,1.0,0.7,0.4645833333333334,0.5208333333333333,4.7,0.5041666666666667,8,Chinese,Latin,random
便士,amoxicillin,pianʂɻ̩,əˈmɔksəˌsɪlɪn,penny,amoxicillin,1.0,0.7272727272727273,0.4924242424242424,0.5416666666666667,4.590909090909091,0.5359848484848485,11,Chinese,Latin,random
保齡,trouble,paoliŋ,ˈtrəbəl,bowling,trouble,1.0,0.6666666666666666,0.1875,0.2222222222222222,2.9791666666666665,0.1875,7,Chinese,Latin,random
倫敦,Chile,luntun,ˈʧɪli,London,Chile,1.0,0.6666666666666666,0.5277777777777778,0.5694444444444445,4.5,0.5694444444444445,5,Chinese,Latin,random
傑克,Smith,t͡ɕiekʰe,smɪθ,Jack,Smith,1.0,0.8,0.35,0.3833333333333333,4.2,0.3708333333333333,5,Chinese,Latin,random
傑西卡,Finland,t͡ɕieɕikʰa,ˈfɪnˌlænd,Jessica,Finland,1.0,0.7142857142857143,0.2351190476190476,0.2619047619047619,4.232142857142857,0.2351190476190476,7,Chinese,Latin,random
優兔,Johnny,joutʰu,ˈʤɑni,Yuu,Johnny,1.0,0.6,0.4375,0.4833333333333333,4.05,0.4791666666666667,6,Chinese,Latin,random
優格,score,jouke,skɔr,Yogurt,score,1.0,0.8,0.3791666666666666,0.4416666666666667,5.675,0.3999999999999999,5,Chinese,Latin,random
兀蘭,Poland,ulan,ˈpoʊlənd,woodlands,Poland,0.75,0.4285714285714285,0.4166666666666666,0.4583333333333333,3.392857142857143,0.4583333333333333,6,Chinese,Latin,random
先令,googolplex,ɕianliŋ,googolplex*,shilling,googolplex,0.9090909090909092,0.5,0.2395833333333333,0.2604166666666667,3.21875,0.2526041666666667,10,Chinese,Latin,random
克力架,bowling,kʰelit͡ɕia,ˈboʊlɪŋ,acrylic stand,bowling,1.0,0.5714285714285714,0.2976190476190476,0.3154761904761904,3.5892857142857144,0.3095238095238095,7,Chinese,Latin,random
克戟,-caine,kʰet͡ɕi,-keɪn,halberd,-caine,0.8571428571428571,0.5,0.1770833333333333,0.2083333333333333,3.75,0.1770833333333333,6,Chinese,Latin,random
克拉,elegant,kʰela,ˈɛləgənt,carat,elegant,1.0,0.6666666666666666,0.4513888888888889,0.5,5.083333333333333,0.4826388888888889,7,Chinese,Latin,random
克林頓,luminol,kʰelintun,ˌlumɪˈnɔl,Clinton,luminol,1.0,0.5,0.25,0.265625,2.75,0.2604166666666666,7,Chinese,Latin,random
免治,Muse,wenʈ͡ʂɻ̩,mjuz,Immunity,Muse,1.0,0.8,0.375,0.425,5.425,0.4041666666666667,4,Chinese,Latin,random
克洛伊,aspirin,kʰeluoi,ˈæsprɪn,Chloe,aspirin,1.0,0.8333333333333334,0.2986111111111111,0.3541666666666667,5.583333333333333,0.2986111111111111,7,Chinese,Latin,random
免翁,upazila,wenweŋ,upazila*,Mion,upazila,1.0,0.7142857142857143,0.2738095238095238,0.3154761904761905,4.339285714285714,0.2886904761904762,7,Chinese,Latin,random
克賴斯特徹奇,Albania,kʰelaisitʰeʈ͡ʂʰet͡ɕʰi,ælˈbeɪniə,christchurch,Albania,0.9047619047619048,0.5384615384615384,0.3990384615384614,0.4423076923076923,3.605769230769231,0.4391025641025641,7,Chinese,Latin,random
克里奧爾語,YouTube,kʰeliaoɻ̩ju,ˈjuˌtub,Creole,YouTube,1.0,0.6666666666666666,0.5023148148148148,0.5462962962962963,5.361111111111111,0.5462962962962963,7,Chinese,Latin,random
克里米亞,file,kʰelimija,faɪl,Crimea,file,0.8888888888888888,0.625,0.5234375,0.578125,4.53125,0.5729166666666666,4,Chinese,Latin,random
兔爸,unit,tʰupa,ˈjunɪt,Daddy Rabbit,unit,0.8333333333333334,0.6,0.325,0.35,3.9,0.3416666666666667,4,Chinese,Latin,random
冧巴,litas,linpa,litas*,jumba,litas,0.6666666666666666,0.6,0.1541666666666666,0.175,3.125,0.1541666666666666,5,Chinese,Latin,random
冬甩,aspirin,toŋʂuai,ˈæsprɪn,winter throw,aspirin,1.0,0.7142857142857143,0.3392857142857143,0.3869047619047618,4.642857142857143,0.3511904761904762,7,Chinese,Latin,random
凡士林,Merlin,fanʂɻ̩lin,ˈmərlɪn,Vaseline,Merlin,0.7777777777777778,0.5,0.2942708333333333,0.328125,2.796875,0.3151041666666666,6,Chinese,Latin,random
凡爾丁,Analgin,fanɻ̩tiŋ,analgin*,Verdin,Analgin,0.75,0.2857142857142857,0.2023809523809523,0.2261904761904762,2.0892857142857144,0.2142857142857142,7,Chinese,Latin,random
凱恩斯,Kennedy,kʰaiensi,ˈkɛnədi,Cairns,Kennedy,0.875,0.2857142857142857,0.2172619047619047,0.2380952380952381,2.4642857142857144,0.2291666666666666,7,Chinese,Latin,random
凱文,Brisbane,kʰaiwen,ˈbrɪzˌbeɪn,Kevin,Brisbane,0.8,0.625,0.3333333333333333,0.375,3.546875,0.3567708333333333,8,Chinese,Latin,random
切克鬧,quinine,t͡ɕʰiekʰenao,kˈwaɪˌnaɪn,check,quinine,0.9166666666666666,0.375,0.2291666666666666,0.265625,2.90625,0.2291666666666666,7,Chinese,Latin,random
