loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
Abelmann,Abend,abelmann*,ɑːbənt,Abelmann,Abend,0.8888888888888888,0.5,0.3776041666666667,0.41666666666666663,3.3125,0.4140625,4,Latin,Latin,random
Abeln,Nassau,ˈæbɪln,nasau,Abeln,Nassau,1.0,0.8,0.325,0.3833333333333333,5.125,0.325,6,Latin,Latin,random
Abend,Koy,ˈæbɛnd,koːyː,Abend,Koy,1.0,0.8,0.525,0.575,5.4,0.5625,5,Latin,Latin,random
abendmusik,Fräulein,abendmusik*,fʀoːyːlain,evening music,young lady,0.9090909090909091,0.7,0.35625,0.3916666666666667,4.75,0.375,9,Latin,Latin,random
Abgesang,Klatsch,abgesang*,klɑːt͡ʃ,farewell,gossip,1.0,0.8333333333333334,0.4131944444444444,0.45138888888888884,4.125,0.4479166666666666,7,Latin,Latin,random
abgeschmackt,Haacker,abgeschmackt*,hakɐ,tasteless,hacker,0.7692307692307693,0.7272727272727273,0.6041666666666666,0.6704545454545454,5.181818181818182,0.6666666666666667,10,Latin,Latin,random
Abitur,Reisdorf,abitur*,ʀaɪsdɔʀf,Abitur,Reisdorf,0.875,0.5,0.3411458333333333,0.38541666666666663,4.015625,0.36197916666666663,6,Latin,Latin,random
Abiturient,Neiss,abiturient*,naɪs,Abiturient,Neiss,1.0,0.7,0.5666666666666667,0.6333333333333333,4.875,0.6333333333333333,9,Latin,Latin,random
ablaut,Wurlitzer,ablaut*,vʊʀliːt͡sɐ,ablaut,Wurlitzer,0.8,0.5714285714285714,0.318452380952381,0.36309523809523814,4.392857142857143,0.33333333333333337,8,Latin,Latin,random
Abler,Marohn,ˈeɪbələr,mɑːʀoːn,Abler,Marohn,1.0,0.5714285714285714,0.3601190476190476,0.4107142857142857,3.517857142857143,0.38988095238095244,6,Latin,Latin,random
abraum,Hauer,abraum*,hauɐ,,Hauer,0.7142857142857143,0.5,0.37152777777777773,0.4236111111111111,3.9583333333333335,0.4166666666666666,5,Latin,Latin,random
abseil,Karl,abseil*,kaʀl,abseil,Karl,0.8571428571428571,0.6666666666666666,0.3819444444444444,0.423611111111111,3.8125,0.41319444444444436,5,Latin,Latin,random
abstand,Erlenmeyer,abstand*,əʀlənmaiɐ,distance,Erlenmeyer,1.0,0.7777777777777778,0.33564814814814814,0.375,4.611111111111111,0.3587962962962963,10,Latin,Latin,random
accordion,Hänni,əˈkɔrdiən,hæːniː,accordion,Tail,0.8888888888888888,0.75,0.5052083333333334,0.5625,4.78125,0.5625,8,Latin,Latin,random
ach-laut,Kneer,ach-laut*,kneːʀ,Oh loud,Kneer,1.0,0.8571428571428571,0.46130952380952384,0.511904761904762,4.339285714285714,0.5029761904761906,8,Latin,Latin,random
Ackert,Enz,ˈækərt,ənt͡s,Ackert,Enz,1.0,0.8,0.4,0.4583333333333333,3.5,0.4416666666666666,6,Latin,Latin,random
acra,Tübingen,acra*,tyːbiːŋən,acra,Tübingen,1.0,0.7142857142857143,0.5,0.5535714285714286,4.410714285714286,0.5386904761904762,8,Latin,Latin,random
