loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
Aadolf,såpa,ɑːdolf,soːpɑː,Adolph,soap,1.0,0.6,0.3375,0.38333333333333336,4.575,0.3625,6,Latin,Latin,random
aalloppi,abort,ɑːlloppi,ɑːbɔrt,wave,abort,0.75,0.7142857142857143,0.35714285714285715,0.40476190476190477,3.6964285714285716,0.38392857142857145,6,Latin,Latin,random
aaloe,lins,ɑːloe,lɪns,aloe,lins,1.0,0.75,0.3177083333333333,0.38541666666666663,5.6875,0.3177083333333333,5,Latin,Latin,random
aari,rackare,ɑːri,rɐkɑːreː,aari,rascal,0.625,0.5,0.4513888888888889,0.513888888888889,3.7916666666666665,0.513888888888889,4,Latin,Latin,random
aaria,murare,ɑːriɑ,mʉːrɑːreː,aria,bricklayer,0.6666666666666666,0.3333333333333333,0.37847222222222227,0.4305555555555555,3.5,0.4236111111111111,5,Latin,Latin,random
aarpora,zink,ɑːrporɑ,sɪnk,Arpara,zink,1.0,0.8333333333333334,0.4236111111111111,0.49999999999999994,4.958333333333333,0.47222222222222215,7,Latin,Latin,random
aasa,mortel,ɑːsɑ,mɔrteːl,aasa,mortal,1.0,0.5,0.5034722222222222,0.5694444444444443,4.416666666666667,0.5625,6,Latin,Latin,random
aateli,ålderman,ɑːteli,ɔldɛrmɑːn,nobility,alderman,1.0,0.375,0.4140625,0.4635416666666667,3.5,0.4479166666666667,7,Latin,Latin,random
aatto,väckare,ɑːtto,vɛkɑːreː,eve,alarm clock,0.75,0.6666666666666666,0.4166666666666667,0.47222222222222215,4.0625,0.4513888888888889,7,Latin,Latin,random
abortti,tutt,ɑbortti,tɵt,abortion,tutt,0.8571428571428571,0.7142857142857143,0.5297619047619048,0.6011904761904763,4.375,0.5982142857142857,5,Latin,Latin,random
adjektiivi,omstart,ɑtjektiːʋi,ɔmstɐrt,adjective,restart,0.9,0.5555555555555556,0.33564814814814814,0.37499999999999994,4.041666666666667,0.3587962962962963,9,Latin,Latin,random
adressi,kotlett,ɑtressi,kɔtlɛt,petition,kotlett,1.0,0.42857142857142855,0.34226190476190477,0.40476190476190477,3.7142857142857144,0.35714285714285715,7,Latin,Latin,random
adventti,marmor,ɑtʋentti,mɐrmuːr,adventti,marble,1.0,0.875,0.3932291666666667,0.4739583333333333,5.21875,0.4296875,8,Latin,Latin,random
afääri,makare,ɑfæːri,mɑːkɑːreː,affair,makare,0.6666666666666666,0.3333333333333333,0.21875,0.24305555555555555,2.1041666666666665,0.23611111111111113,5,Latin,Latin,random
