loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
Abbé,commandeur,apbeː́,kɔmɑ̃dœʀ,Abbé,commander,1.0,0.7142857142857143,0.4523809523809524,0.505952380952381,4.089285714285714,0.5029761904761905,10,Latin,Latin,random
abjekt,jargon,apjɛkt,ʒaʀɡɔ̃,object,jargon,1.0,0.6666666666666666,0.3263888888888889,0.375,4.770833333333333,0.34375,6,Latin,Latin,random
Abonnement,désastreux,ɑːbɔneːmənt,dezastʀœ,Subscription,disastrous,1.0,0.7777777777777778,0.2824074074074074,0.3194444444444444,4.430555555555555,0.2962962962962963,9,Latin,Latin,random
abonnieren,redoute,ɑːbɔniːʀən,ʀədut,subscribe to,dreads,1.0,0.75,0.4114583333333333,0.4583333333333333,4.25,0.45312499999999994,9,Latin,Latin,random
Absence,productif,apsəŋkə,pʀɔdyktif,Absence,productive,0.8888888888888888,0.6666666666666666,0.349537037037037,0.3796296296296296,4.194444444444445,0.37037037037037035,8,Latin,Latin,random
absentieren,ocelot,apsəntiːəʀən,ɔzəlo,absent,ocelot,0.9166666666666666,0.5454545454545454,0.5284090909090909,0.5833333333333334,4.386363636363637,0.5833333333333331,10,Latin,Latin,random
Absinth,ampélographie,apsɪnt,ɑ̃pelɔɡʀafi,absinthe,ampelography,0.9090909090909091,0.7,0.4354166666666666,0.4875,4.0125,0.4770833333333334,12,Latin,Latin,random
Absolutismus,Ponton,apsoːluːtɪsmuːs,pɔ̃tɔ̃,absolutism,Pontoon,0.8666666666666667,0.6666666666666666,0.6284722222222222,0.6909722222222223,5.104166666666667,0.6909722222222223,10,Latin,Latin,random
Accessoire,tribune,akkɛsoːiːʀə,tʀibyn,Accessory,tribune,0.9090909090909091,0.7777777777777778,0.41203703703703703,0.4583333333333333,3.986111111111111,0.44675925925925924,9,Latin,Latin,random
Accuratesse,corvette,akkuːʀɑːtɛsə,kɔʀvɛt,Accuracy,corvette,0.75,0.5,0.3979166666666667,0.4458333333333333,3.425,0.4416666666666666,7,Latin,Latin,random
Adele,notification,ɑːdeːlə,nɔtifikasjɔ̃,Adele,notification,1.0,0.5454545454545454,0.5397727272727272,0.5946969696969696,4.590909090909091,0.5928030303030303,12,Latin,Latin,random
adjustieren,barricade,atjʊstiːəʀən,baʀʀikad,adjust,barricade,0.9166666666666666,0.7272727272727273,0.35795454545454547,0.40151515151515144,3.897727272727273,0.384469696969697,10,Latin,Latin,random
Adresse,alerte,atʀɛsə,alɛʀt,Address,alert,0.6666666666666666,0.5,0.24652777777777776,0.2847222222222222,3.7083333333333335,0.2638888888888889,5,Latin,Latin,random
