loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
Abate,belcanto,ɑːbɑːtə,belkanto,Abate,nice singing,0.875,0.5,0.4088541666666667,0.44791666666666674,3.46875,0.4427083333333333,6,Latin,Latin,random
Accuratesse,ambiente,akkuːʀɑːtɛsə,ambiente,Accuracy,environment,0.8333333333333334,0.5,0.2833333333333333,0.3083333333333333,2.975,0.30625,9,Latin,Latin,random
Adige,gabbione,ɑːdiːçə,ɡabːione,Adige,gabion,0.875,0.5714285714285714,0.3541666666666667,0.3928571428571429,3.4285714285714284,0.3839285714285715,6,Latin,Latin,random
al dente,columbus,ɑːl dəntə,kolumbus,al dente,columbus,0.8888888888888888,0.625,0.29166666666666663,0.3229166666666667,3.6875,0.3020833333333333,8,Latin,Latin,random
Alarm,modello,ɑːlaʀm,modelːo,Alarm,template,1.0,0.5,0.2986111111111111,0.3333333333333333,3.875,0.3159722222222222,7,Latin,Latin,random
albanesisch,Ganassi,albɑːneːsiːʃ,ɡanasːi,Albanian,Ganassi,0.75,0.4444444444444444,0.35185185185185186,0.38425925925925924,3.0,0.3819444444444444,7,Latin,Latin,random
Aleppo,chiaroscuro,ɑːlɛpoː,kiaroʃuro,Aleppo,chiaroscuro,1.0,0.5555555555555556,0.45601851851851855,0.5231481481481483,4.013888888888889,0.5092592592592592,10,Latin,Latin,random
Allegretto,busto,alɛkʀɛtoː,busto,Allegretto,bust,0.7777777777777778,0.625,0.421875,0.46874999999999994,4.03125,0.4635416666666667,8,Latin,Latin,random
Alt,basta,alt,basta,Alt,basta,0.6,0.6,0.3833333333333334,0.425,3.45,0.425,4,Latin,Latin,random
Amaretto,lacca,ɑːmɑːʀɛtoː,lakːa,Amaretto,lacquer,0.9,0.5714285714285714,0.4761904761904762,0.5297619047619048,4.214285714285714,0.5208333333333334,7,Latin,Latin,random
Ambiente,commediante,ambɪntə,komːediante,Environment,comedian,0.7272727272727273,0.4,0.30833333333333335,0.3416666666666667,2.5875,0.33958333333333335,6,Latin,Latin,random
Annina,tempo,aniːnɑː,tempo,Annina,tempo,1.0,0.8,0.26666666666666666,0.30833333333333335,4.225,0.26666666666666666,6,Latin,Latin,random
Aquarell,contrabasso,akvɑːʀɛl,kontrabasːo,watercolor,contrabass,1.0,0.7,0.38541666666666663,0.4333333333333333,3.9625,0.4145833333333333,10,Latin,Latin,random
Arie,strapazzare,ɑːʀiːə,strapat͡sare,Arie,scramble,1.0,0.7,0.5854166666666666,0.6624999999999999,5.2,0.6541666666666666,9,Latin,Latin,random
Arno,pizza,aʀnoː,pit͡sa,Arno,pizza,1.0,0.75,0.22395833333333331,0.25,4.875,0.22395833333333331,5,Latin,Latin,random
