loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,label,loan_unicode,original_unicode
अंगूर,اصلی,ŋɡuːr,ɒslj,Grape,Main,1.0,0.75,0.3177083333333333,0.375,5.71875,0.3177083333333333,5,random,Devanagari,Arabic
अंगूरी,دستاویز,ŋɡuːriː,dstɒvjz,Angoori,Document,1.0,0.7142857142857143,0.4107142857142857,0.4642857142857143,4.375,0.4345238095238096,7,random,Devanagari,Arabic
अंजाम,خراش,ɲd͡ʒaːm,xrɒʃ,result,Scratch,1.0,0.75,0.2239583333333333,0.25,3.96875,0.2239583333333333,5,random,Devanagari,Arabic
अंदर,غصه,ndər,ɣsh,Inside,Grief,1.0,0.5,0.359375,0.4166666666666666,4.125,0.4010416666666666,4,random,Devanagari,Arabic
अंदरुनी,جائز,ndəruniː,d͡ʒɒjʔz,inside,Valid,0.875,0.7142857142857143,0.3988095238095238,0.4464285714285714,4.357142857142857,0.4255952380952381,7,random,Devanagari,Arabic
अंदाज़,کلف,ndaːz,klf,style,Cliff,1.0,1.0,0.375,0.4166666666666666,4.28125,0.4010416666666667,6,random,Devanagari,Arabic
अंदेशा,ایمان دار,ndeʃaː,ɒjmɒn dɒr,suspect,Believer,1.0,0.625,0.4401041666666667,0.4895833333333333,4.4375,0.4843749999999999,9,random,Devanagari,Arabic
अक्स,غلط,aksə,ɣlt,Aks,Wrong,1.0,0.75,0.3645833333333333,0.40625,5.0,0.390625,4,random,Devanagari,Arabic
अख़बार,لایق,axbaːr,lɒjɣ,newspaper,Worthy,1.0,0.8,0.3875,0.4583333333333333,5.875,0.4083333333333333,6,random,Devanagari,Arabic
अगर,رئیس,aɡər,rjʔjs,If,boss,1.0,0.8,0.3166666666666667,0.3833333333333333,4.55,0.35,4,random,Devanagari,Arabic
अगरचे,کور,aɡrət͡ʃe,kvr,even if,blind,0.875,0.8333333333333334,0.5381944444444445,0.6111111111111112,5.208333333333333,0.59375,5,random,Devanagari,Arabic
अचार,ایران,at͡ʃaːr,ɒjrɒn,Pickle,ایران,1.0,0.6,0.3041666666666667,0.3583333333333333,3.45,0.3333333333333333,5,random,Devanagari,Arabic
अजनबी,اثر,ad͡ʒnəbiː,ɒsr,Stranger,Effect,1.0,0.8333333333333334,0.5243055555555556,0.5902777777777778,4.625,0.576388888888889,5,random,Devanagari,Arabic
अज़दहा,نفرت,azdəɦaː,nfrt,azadaha,Hate,1.0,0.8333333333333334,0.4375,0.5069444444444445,5.145833333333333,0.4722222222222221,6,random,Devanagari,Arabic
अज़ान,پهلو,azaːn,phlv,azaan,پهلو,1.0,1.0,0.2708333333333333,0.3125,5.8125,0.2708333333333333,5,random,Devanagari,Arabic
अज़ाब,منحوس,azaːb,mnhvs,punishment,inauspicious,1.0,0.8,0.3291666666666667,0.3666666666666667,4.875,0.3458333333333333,5,random,Devanagari,Arabic
अज़ीज़,تنبو,aziːz,tnbv,Aziz,Tent,1.0,1.0,0.234375,0.2708333333333333,5.59375,0.234375,6,random,Devanagari,Arabic
अज़ीम,ارسطو,aziːm,ɒrstv,Azeem,Aristotle,1.0,0.6,0.3,0.35,4.275,0.3333333333333333,5,random,Devanagari,Arabic
अजीब,ابابیل,ad͡ʒiːb,ɒbɒbjl,Strange,ابابیل,1.0,0.5,0.3819444444444444,0.4166666666666667,3.3541666666666665,0.4131944444444444,6,random,Devanagari,Arabic
