loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
aanwijzing,dop,aanwid͡ʑziŋ,dɔp,clue,dop,0.9090909090909090,0.7777777777777780,0.648148148148148,0.7175925925925930,5.569444444444450,0.7152777777777780,10,Latin,Latin,random
abakus,synode,abakus,sjnoːdeː,abacus,synod,1.0,0.8333333333333330,0.3333333333333330,0.3819444444444450,4.645833333333330,0.3333333333333330,6,Latin,Latin,random
abatoar,urine,abatoar,yːriːneː,slaughterhouse,urine,1.0,0.5714285714285710,0.3630952380952380,0.4166666666666670,3.9107142857142900,0.4017857142857140,7,Latin,Latin,random
abdikasi,anomalie,abdikasi,aːnoːmaːliːeː,abdikasi,anomalies,0.7692307692307690,0.625,0.25520833333333300,0.29166666666666700,3.5,0.25520833333333300,6,Latin,Latin,random
abdomen,plastisch,abdomən,plɑstɪs,abdomen,plastic,1.0,0.7142857142857140,0.2529761904761910,0.2857142857142860,4.017857142857140,0.2529761904761910,8,Latin,Latin,random
abduksi,dictum,abduksi,dɪctʏm,abduction,dictum,1.0,0.5714285714285710,0.36011904761904800,0.4107142857142860,3.6785714285714300,0.375,7,Latin,Latin,random
aberasi,isolator,abərasi,iːsoːlaːtɔr,aberration,isolator,0.9090909090909090,0.25,0.20572916666666700,0.23958333333333300,2.140625,0.2265625,7,Latin,Latin,random
abiturien,amber,abituriən,ɑmbɛr,high school,amber,0.8888888888888890,0.6666666666666670,0.4467592592592590,0.5046296296296300,3.986111111111110,0.5,7,Latin,Latin,random
ablasi,olie,ablasi,oːliːeː,ablation,oil,0.8571428571428570,0.3333333333333330,0.3645833333333330,0.3958333333333330,3.1666666666666700,0.3958333333333330,5,Latin,Latin,random
abnormal,militair,abnormal,miːlɪtɑjr,abnormal,military,1.0,0.75,0.22135416666666700,0.265625,4.53125,0.22135416666666700,8,Latin,Latin,random
abolisi,attaché,abolisi,ɑttaːxɛ́,abolition,attaché,1.0,0.5714285714285710,0.2380952380952380,0.2619047619047620,2.5,0.25297619047619000,6,Latin,Latin,random
abone,atol,abonə,aːtɔl,subscriber,atoll,0.8,0.6,0.25,0.275,2.275,0.2708333333333330,3,Latin,Latin,random
abonemen,beton,abonəmən,beːtɔn,subscription,concrete,0.75,0.5,0.37239583333333300,0.4114583333333330,3.3125,0.4114583333333330,5,Latin,Latin,random
aborsi,adempauze,aborsi,aːdɛmpawʏzeː,abortion,breather,0.9166666666666670,0.4,0.425,0.475,3.675,0.4645833333333330,8,Latin,Latin,random
abortus,definitief,abortus,deːfiːnɪtiːf,abortion,final,0.9166666666666670,0.4444444444444440,0.2916666666666670,0.32870370370370400,2.736111111111110,0.3125,9,Latin,Latin,random
abrasi,aniline,abrasi,aːniːlɪneː,abrasion,aniline,0.9,0.42857142857142900,0.23214285714285700,0.2619047619047620,2.6964285714285700,0.24702380952381000,6,Latin,Latin,random
absen,kompas,absən,kɔmpɑs,roll call,compass,1.0,0.6666666666666670,0.2604166666666670,0.28472222222222200,3.0625,0.2777777777777780,6,Latin,Latin,random
absensi,lanceer,absənsi,lɑnseːr,attendance,launch,1.0,0.5714285714285710,0.34821428571428600,0.41071428571428600,3.7857142857142900,0.3630952380952380,6,Latin,Latin,random
