loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
абажур,гаплоти́п,ɑbɑʒwr,ɡaplotʲíp,lampshade,haplotype,1.0,0.5714285714285714,0.34375,0.390625,3.5625,0.36718750000000006,8,Cyrillic,Cyrillic,random
абак,барме́н,ɑbɑk,barmʲén,prison,bartender,1.0,0.8,0.3888888888888889,0.4444444444444444,4.0625,0.43402777777777773,6,Cyrillic,Cyrillic,random
абакавир,тими́н,ɑbɑkɑvijr,tʲimʲín,abacavir,timin,1.0,0.8888888888888888,0.4652777777777779,0.5324074074074073,4.333333333333333,0.5162037037037037,8,Cyrillic,Cyrillic,random
абандон,кинкажу́,ɑbɑndon,kʲinkaʒú,abandon,kinkajou,0.875,0.5714285714285714,0.3482142857142857,0.4047619047619047,3.732142857142857,0.3482142857142857,8,Cyrillic,Cyrillic,random
аббревиатура,уроло́гия,ɑbbrjevijɑtwrɑ,urolóɡia,abbreviation,urology,0.9285714285714286,0.6428571428571429,0.45089285714285715,0.5059523809523809,4.196428571428571,0.49851190476190477,11,Cyrillic,Cyrillic,random
абдикация,парфюме́рия,ɑbdijkɑtsijjɑ,parfʲumʲérʲia,abdication,perfumery,1.0,0.5384615384615384,0.3141025641025641,0.3589743589743591,3.355769230769231,0.33653846153846156,8,Cyrillic,Cyrillic,random
абдоминопластика,граммема,ɑbdomijnoplɑstijkɑ,ɡrammʲema,abdominoplasty,gramme,0.9444444444444444,0.7777777777777778,0.5474537037037037,0.6111111111111112,4.784722222222222,0.6041666666666666,14,Cyrillic,Cyrillic,random
абиссаль,рентге́ний,ɑbijssɑlь,rʲentɡénij,abyssal,X-ray,1.0,0.625,0.2777777777777778,0.31481481481481477,4.458333333333333,0.2916666666666667,10,Cyrillic,Cyrillic,random
абонемент,гита́ра,ɑbonjemjent,ɡitára,subscription,guitar,1.0,0.7272727272727273,0.4753787878787879,0.5303030303030304,4.284090909090909,0.5208333333333333,9,Cyrillic,Cyrillic,random
абонент,ма́ршал,ɑbonjent,márʂal,subscriber,marshal,1.0,0.875,0.32031250000000006,0.359375,3.609375,0.3463541666666667,7,Cyrillic,Cyrillic,random
абордаж,нобе́лий,ɑbordɑʒ,nobʲélʲij,loading,nobel,0.8888888888888888,0.5714285714285714,0.2648809523809524,0.3154761904761905,3.6607142857142856,0.2648809523809524,7,Cyrillic,Cyrillic,random
абсолют,бор,ɑbsoljuwt,bor,absolute,bor,0.7777777777777778,0.6666666666666666,0.613425925925926,0.6898148148148149,5.0,0.6805555555555556,5,Cyrillic,Cyrillic,random
абсолютизм,сапони́н,ɑbsoljuwtijzm,saponín,absolutism,сапони́н,0.9230769230769231,0.7692307692307693,0.46794871794871795,0.5192307692307693,4.211538461538462,0.5160256410256411,8,Cyrillic,Cyrillic,random
абстракция,альдеги́д,ɑbstrɑktsijjɑ,alʲdʲeɡíd,abstraction,aldehyde,1.0,0.6153846153846154,0.4663461538461538,0.5224358974358975,4.336538461538462,0.5176282051282051,9,Cyrillic,Cyrillic,random
авангард,крахма́л,ɑvɑnɡɑrd,kraxmál,avant-garde,starch,1.0,0.625,0.28645833333333337,0.33854166666666663,4.21875,0.3072916666666667,6,Cyrillic,Cyrillic,random
аванс,тополо́гия,ɑvɑns,topolóɡia,advance,topology,1.0,0.625,0.4791666666666667,0.5324074074074073,4.25,0.5231481481481483,10,Cyrillic,Cyrillic,random
Август,бупивакаин,ɑvɡwst,bupʲivakain,August,bupivacaine,0.9090909090909091,0.7,0.45,0.5041666666666667,4.6375,0.4916666666666668,9,Cyrillic,Cyrillic,random
авиация,револю́ция,ɑvijɑtsijjɑ,rʲevolʲút͡sia,aviation,the revolution,0.8461538461538461,0.5454545454545454,0.2916666666666667,0.32954545454545453,3.534090909090909,0.3106060606060606,6,Cyrillic,Cyrillic,random
авогадрит,интерфе́йс,ɑvoɡɑdrijt,intʲerfʲéjs,avogadrite,interface,0.9090909090909091,0.5,0.2125,0.25416666666666665,2.6875,0.22291666666666665,10,Cyrillic,Cyrillic,random
авокадо,траге́дия,ɑvokɑdo,traɡédʲia,avocado,tragedy,0.8888888888888888,0.5714285714285714,0.25,0.2916666666666667,3.25,0.2630208333333333,8,Cyrillic,Cyrillic,random
автобус,фатализм,ɑvtobws,fatalʲizm,bus,fatalism,0.8888888888888888,0.625,0.2734375,0.3125,4.09375,0.2864583333333333,7,Cyrillic,Cyrillic,random
автокефалия,синтои́зм,ɑvtokjefɑlijjɑ,sʲintoízm,autocephaly,Shintoism,1.0,0.7857142857142857,0.46875000000000006,0.5238095238095238,4.678571428571429,0.5133928571428572,10,Cyrillic,Cyrillic,random
автоклав,ста́нция,ɑvtoklɑv,stánt͡sia,autoclave,station,1.0,0.625,0.2630208333333333,0.296875,3.578125,0.2786458333333333,8,Cyrillic,Cyrillic,random
автолиз,тролле́йбус,ɑvtolijz,trollʲéjbus,autolysis,trolleybus,0.8181818181818182,0.6666666666666666,0.3125,0.3541666666666667,3.65,0.3375,10,Cyrillic,Cyrillic,random
автомат,оппортуни́зм,ɑvtomɑt,opportunízm,automatic,opportunism,0.9090909090909091,0.5,0.37689393939393945,0.4280303030303031,3.340909090909091,0.42045454545454547,11,Cyrillic,Cyrillic,random
автомобиль,саркома,ɑvtomobijlь,sarkoma,automobile,sarcoma,0.9090909090909091,0.7,0.3979166666666667,0.4458333333333333,4.2625,0.4291666666666667,8,Cyrillic,Cyrillic,random
автономия,атеи́зм,ɑvtonomijjɑ,atʲeízm,autonomy,atheism,0.9090909090909091,0.6363636363636364,0.4696969696969697,0.5189393939393939,4.465909090909091,0.5151515151515151,7,Cyrillic,Cyrillic,random
автор,диа́гноз,ɑvtor,dʲiáɡnoz,author,diagnosis,0.875,0.6666666666666666,0.3363095238095238,0.380952380952381,3.4464285714285716,0.3630952380952381,6,Cyrillic,Cyrillic,random
автоспорт,бюрокра́т,ɑvtosport,bʲurokrát,motorsport,bureaucrat,0.8888888888888888,0.5555555555555556,0.2685185185185185,0.3240740740740741,4.180555555555555,0.287037037037037,7,Cyrillic,Cyrillic,random
