loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
abandon,fixation,abandɔn,fiɡzasjɔ̃,abandon,fixation,0.7777777777777778,0.625,0.2942708333333333,0.3333333333333333,4.40625,0.3046875,5,Latin,Latin,random
abażur,prairie,abaʐur,pʀɛʀi,shade,prairie,1.0,0.6666666666666666,0.2951388888888889,0.34027777777777785,4.375,0.3229166666666667,6,Latin,Latin,random
abonować,fluctuer,abɔnɔvat͡ɕ,flyktyʀ,subscribe,fluctuate,0.9,0.75,0.32291666666666663,0.359375,4.484375,0.33593749999999994,8,Latin,Latin,random
abordaż,minaret,abɔrdaʂ,minaʀɛ,boarding,minaret,1.0,0.5714285714285714,0.30357142857142866,0.35714285714285715,4.392857142857143,0.318452380952381,7,Latin,Latin,random
absenteista,arabesque,apsɛntɛjsta,aʀabɛsk,absentee,arabesque,0.7272727272727273,0.6363636363636364,0.3882575757575758,0.4318181818181818,3.397727272727273,0.4242424242424242,9,Latin,Latin,random
absenteizm,ouragan,apsɛntɛjzm,uʀaɡɑ̃,absenteeism,hurricane,1.0,0.7,0.5479166666666666,0.6041666666666666,4.8,0.5958333333333333,10,Latin,Latin,random
absentować,contrôler,apsɛntɔvat͡ɕ,kɔ̃tʀoləʀ,absent,control,0.9166666666666666,0.7,0.31875,0.35000000000000003,3.625,0.3375,9,Latin,Latin,random
absolutysta,Armagnac,apsɔlutɨsta,aʀmaɲak,absolutism,Armagnac,0.9090909090909091,0.7272727272727273,0.4393939393939394,0.4848484848484848,4.25,0.47348484848484856,11,Latin,Latin,random
absolutyzm,caractéristique,apsɔlutɨzm,kaʀakteʀistik,absolutism,characteristic,0.9230769230769231,0.5384615384615384,0.33333333333333337,0.37179487179487175,3.7115384615384617,0.3589743589743589,13,Latin,Latin,random
absolutyzować,tatouer,apsɔlutɨzɔvat͡ɕ,tatuʀ,absolutize,tattoo,0.8,0.6923076923076923,0.594551282051282,0.657051282051282,5.048076923076923,0.6522435897435896,11,Latin,Latin,random
absorber,passionner,apsɔrbɛr,pasjɔnəʀ,absorber,passionate,0.875,0.625,0.19791666666666669,0.24479166666666666,3.421875,0.19791666666666669,5,Latin,Latin,random
absorbować,manipuler,apsɔrbɔvat͡ɕ,manipyləʀ,absorb,manipulate,1.0,0.6,0.2625,0.2958333333333333,3.9375,0.2791666666666667,10,Latin,Latin,random
acetylen,torse,at͡sɛtɨlɛn,tɔʀs,acetylene,torso,0.9,0.625,0.5078125,0.5625,4.546875,0.5546875,7,Latin,Latin,random
adaptacja,verbaliser,adaptat͡sja,vɛʀbalizəʀ,adaptation,verbalize,0.9090909090909091,0.7,0.24791666666666662,0.2875,3.9,0.2583333333333333,10,Latin,Latin,random
adaptator,accordéoniste,adaptatɔr,akkɔʀdeɔnist,adapter,accordionist,0.8333333333333334,0.5833333333333334,0.3263888888888889,0.36111111111111116,3.28125,0.3506944444444444,11,Latin,Latin,random
adekwatny,périphérie,adɛkfatnɨ,peʀifeʀi,adequate,periphery,0.8888888888888888,0.5555555555555556,0.25925925925925924,0.2962962962962962,3.5277777777777777,0.2685185185185185,10,Latin,Latin,random
