loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
santonină,urticant,santoninə,yʀtikɑ̃,santonine,stinging,0.8888888888888888,0.5555555555555556,0.4004629629629629,0.4398148148148148,3.0694444444444446,0.4305555555555556,7,Latin,Latin,random
octogonal,métabolisme,oktoɡonal,metabɔlism,octagonal,metabolism,0.9,0.6,0.2229166666666666,0.2416666666666667,2.0,0.2333333333333333,9,Latin,Latin,random
toxicoman,desinhibition,toksikoman,dəzinibisjɔ̃,toxicoman,desinhibition,0.9166666666666666,0.5454545454545454,0.231060606060606,0.2537878787878788,1.8920454545454544,0.240530303030303,11,Latin,Latin,random
repercusiune,diamant,reperkusiune,djamɑ̃,repercussion,diamond,1.0,0.75,0.564236111111111,0.642361111111111,4.567708333333333,0.6319444444444444,11,Latin,Latin,random
esperantist,ingénu,esperantist,ɛ̃ʒeny,esperantist,ingenuous,0.8181818181818182,0.5454545454545454,0.5151515151515151,0.5719696969696969,4.079545454545454,0.5719696969696969,10,Latin,Latin,random
yen,préexistence,jen,pʀeɡzistɑ̃s,yen,pre-existence,0.9090909090909092,0.8,0.6583333333333334,0.7291666666666667,5.375,0.7270833333333333,10,Latin,Latin,random
maniheist,phénoménologie,maniheist,fenɔmenɔlɔʒi,maniheist,phenomenology,0.8333333333333334,0.5,0.3142361111111111,0.3402777777777778,2.453125,0.3385416666666667,12,Latin,Latin,random
cornier,accompagnateur,kornier,akkɔ̃paɲatœʀ,cornier,guide,0.9166666666666666,0.4545454545454545,0.403409090909091,0.4621212121212121,3.153409090909091,0.4393939393939394,9,Latin,Latin,random
inervație,hypoglosse,inervat͡sie,ipɔɡlɔs,innervation,hypoglosse,0.8181818181818182,0.5555555555555556,0.3194444444444444,0.3611111111111111,2.5694444444444446,0.3425925925925925,9,Latin,Latin,random
princiar,polynucléaire,print͡ʃiar,pɔljnykleɛʀ,princely,polynuclear,0.8181818181818182,0.3636363636363636,0.3087121212121211,0.356060606060606,2.3920454545454546,0.3352272727272727,8,Latin,Latin,random
loționa,atténuer,lot͡siona,atenyʀ,lotion,mitigate,0.8888888888888888,0.5714285714285714,0.3005952380952381,0.3392857142857143,2.7232142857142856,0.3125,8,Latin,Latin,random
ohm,contraperformance,ohm,kɔ̃tʀapɛʀfɔʀmɑ̃s,ohm,contraperformance,0.9375,0.7857142857142857,0.7142857142857142,0.7976190476190476,5.741071428571429,0.7961309523809523,15,Latin,Latin,random
reptilă,imaginable,reptilə,imaʒinabl,crawler,imaginable,0.8888888888888888,0.6666666666666666,0.337962962962963,0.3842592592592593,2.798611111111111,0.3611111111111111,8,Latin,Latin,random
crampon,absurdité,krampon,absyʀdite,crampon,absurdity,1.0,0.7777777777777778,0.3287037037037037,0.3657407407407407,2.520833333333333,0.3518518518518518,9,Latin,Latin,random
ileită,vivisection,ileitə,vivizɛksjɔ̃,ileitis,vivisection,0.9090909090909092,0.5,0.4083333333333333,0.45,3.25,0.4458333333333333,8,Latin,Latin,random
infiltrat,maillot,infiltrat,melo,infiltrate,jersey,0.8888888888888888,0.6666666666666666,0.5277777777777778,0.5879629629629629,4.201388888888889,0.5856481481481483,6,Latin,Latin,random
automat,salle,automat,sal,automatic,salle,0.8571428571428571,0.7142857142857143,0.5416666666666667,0.6011904761904762,4.482142857142857,0.6011904761904762,7,Latin,Latin,random
sistolă,afficheur,sistolə,afiʃœʀ,systole,display,1.0,0.5714285714285714,0.3154761904761905,0.3630952380952381,3.044642857142857,0.3273809523809524,8,Latin,Latin,random
coregraf,tournesol,koreɡraf,tuʀnəzɔl,choreographer,sunflower,1.0,0.625,0.1875,0.2291666666666666,1.7578125,0.1875,7,Latin,Latin,random
degazolina,néphrose,deɡazolina,nefʀɔz,degasoline,nephrosis,0.9,0.7,0.4291666666666666,0.475,3.48125,0.46875,9,Latin,Latin,random
antilogaritm,letton,antiloɡaritm,lɛtɔ̃,antilogarithm,Latvian,0.9166666666666666,0.75,0.626736111111111,0.7013888888888888,5.078125,0.6979166666666665,10,Latin,Latin,random
stupefia,cachexie,stupefia,kaʃəɡzi,stupefia,cachexia,0.875,0.625,0.2760416666666666,0.3020833333333333,2.1484375,0.2864583333333333,6,Latin,Latin,random
lizeuză,variolique,lizeuzə,vaʀjɔlik,lysis,smallpox,1.0,0.625,0.2317708333333333,0.2604166666666666,1.9375,0.2447916666666666,9,Latin,Latin,random
manufacturier,papamobile,manufakturier,papamɔbil,manufacturer,papamobile,0.7692307692307693,0.5384615384615384,0.3493589743589744,0.3974358974358974,2.831730769230769,0.3798076923076923,10,Latin,Latin,random
polar,sénatorial,polar,senatɔʀjal,polar,senatorial,0.9,0.6,0.4958333333333333,0.5583333333333333,3.8875,0.5479166666666667,8,Latin,Latin,random
uzurpa,immémorial,uzurpa,ɛmemɔʀjal,usurp,immemorial,0.8888888888888888,0.5555555555555556,0.4097222222222221,0.4537037037037036,3.333333333333333,0.4421296296296295,8,Latin,Latin,random
obscen,dynamique,obst͡ʃen,dinamik,obscene,dynamic,1.0,0.7142857142857143,0.3154761904761904,0.3452380952380952,2.6875,0.3273809523809524,9,Latin,Latin,random
pensă,indicateur,pensə,ɛ̃dikatœʀ,forceps,indicator,1.0,0.625,0.4114583333333333,0.4583333333333333,3.265625,0.453125,10,Latin,Latin,random
papaverină,cylindroïde,papaverinə,silɛ̃dʀoid,papaverine,cylindrical,1.0,0.6,0.2270833333333333,0.2666666666666666,2.00625,0.2375,10,Latin,Latin,random
apidă,pionnier,apidə,pjɔnjəʀ,aPID,pioneer,0.8571428571428571,0.7142857142857143,0.3779761904761905,0.4166666666666667,3.4732142857142856,0.4107142857142857,7,Latin,Latin,random
epodă,dystrophique,epodə,distʀɔfik,EPODE,dystrophic,1.0,0.6666666666666666,0.4583333333333333,0.5092592592592593,3.5347222222222223,0.5023148148148149,11,Latin,Latin,random
blocaj,radiolarite,blokaʒ,ʀadjɔlaʀit,jam,radiolarite,0.9,0.6,0.4229166666666667,0.4708333333333333,3.38125,0.4666666666666666,9,Latin,Latin,random
produce,cordial,produt͡ʃe,kɔʀdjal,produce,cordial,0.8888888888888888,0.8571428571428571,0.2142857142857142,0.2678571428571428,2.3035714285714284,0.2142857142857142,6,Latin,Latin,random
antigripal,physiologue,antiɡripal,fisjɔlɔɡ,anti-flu,physiologue,0.9,0.6,0.3354166666666666,0.3791666666666666,2.6375,0.3541666666666667,10,Latin,Latin,random
contraperformanță,autopropulsion,kontraperformant͡sə,otɔpʀɔpylsjɔ̃,counterper-,autopropulsion,0.8421052631578947,0.5294117647058824,0.3517156862745098,0.4044117647058823,2.919117647058824,0.3823529411764705,14,Latin,Latin,random
ajur,dipodie,aʒur,dipɔdi,destruction,dipodie,1.0,0.6666666666666666,0.4027777777777778,0.4513888888888888,3.177083333333333,0.4340277777777778,7,Latin,Latin,random
continua,dermique,kontinua,dɛʀmik,continues,dermal,0.875,0.75,0.3671875,0.40625,2.796875,0.3932291666666666,6,Latin,Latin,random
ileus,décoration,ileus,dekɔʀasjɔ̃,ileus,decoration,0.9,0.5555555555555556,0.4791666666666667,0.5277777777777778,3.7847222222222223,0.525462962962963,10,Latin,Latin,random
destaliniza,agronomie,destaliniza,aɡʀɔnɔmi,destalinizes,agronomy,0.9090909090909092,0.4545454545454545,0.3503787878787878,0.3825757575757575,2.6306818181818183,0.375,10,Latin,Latin,random
parcurs,encastelure,parkurs,ɑ̃kastəlyʀ,route,recessed,0.9,0.6666666666666666,0.3148148148148148,0.3657407407407407,2.430555555555556,0.3402777777777778,8,Latin,Latin,random
alimentație,conformer,alimentat͡sie,kɔ̃fɔʀməʀ,food,conformer,1.0,0.7272727272727273,0.3977272727272726,0.4393939393939394,3.198863636363636,0.4242424242424242,10,Latin,Latin,random
insurmontabil,hydrographe,insurmontabil,idʀɔɡʀaf,insurmontabil,hydrographe,0.8461538461538461,0.5384615384615384,0.421474358974359,0.4711538461538461,3.3461538461538463,0.4583333333333332,10,Latin,Latin,random
cistoplegie,myogène,t͡ʃistopled͡ʒie,miɔʒə̀n,cistoplegia,myogenic,0.9333333333333332,0.7272727272727273,0.4848484848484848,0.5303030303030303,3.863636363636364,0.5284090909090909,9,Latin,Latin,random
tragedian,possessif,trad͡ʒedian,pɔsɛsif,tragedy,possessive,0.9090909090909092,0.5555555555555556,0.2916666666666667,0.3287037037037037,2.270833333333333,0.3217592592592593,8,Latin,Latin,random
diatermie,dégasoliner,diatermie,deɡazɔlinəʀ,diatermie,degassing,0.8181818181818182,0.3636363636363636,0.2348484848484848,0.2689393939393939,1.8636363636363635,0.2537878787878788,8,Latin,Latin,random
cifoză,handball,t͡ʃifozə,ɑ̃dbal,kyphosis,handball,1.0,0.6666666666666666,0.3298611111111111,0.375,3.1979166666666665,0.3472222222222221,8,Latin,Latin,random
bipolar,filamenteux,bipolar,filamɑ̃tœ,bipolar,filamentous,0.8888888888888888,0.5,0.2421875,0.2760416666666667,1.9296875,0.2552083333333333,10,Latin,Latin,random
regn,protium,reɡn,pʀɔsjœ̃,rain,protium,1.0,0.6666666666666666,0.4236111111111111,0.4791666666666667,3.3854166666666665,0.4548611111111111,6,Latin,Latin,random
mastic,virologie,mastik,viʀɔlɔʒi,mastic,virology,1.0,0.75,0.3541666666666667,0.390625,2.8828125,0.3802083333333333,8,Latin,Latin,random
inanalizabil,continent,inanalizabil,kɔ̃tinɑ̃,unanalyzable,continent,0.9166666666666666,0.6666666666666666,0.5243055555555555,0.5763888888888888,4.213541666666667,0.5711805555555555,10,Latin,Latin,random
izolator,particule,izolator,paʀtikyl,isolating,PARTICLE,1.0,0.5,0.1848958333333333,0.2187499999999999,1.9453125,0.1848958333333333,9,Latin,Latin,random
sodic,virilité,sodik,viʀilite,SODIUM,virility,0.875,0.75,0.4088541666666667,0.4583333333333333,3.2578125,0.4505208333333333,7,Latin,Latin,random
hipoderm,réverbération,hipoderm,ʀevɛʀbeʀasjɔ̃,hipoderm,reverberation,0.9230769230769232,0.5,0.3697916666666667,0.4201388888888888,2.9166666666666665,0.4079861111111111,12,Latin,Latin,random
expurga,typhose,ekspurɡa,tifɔz,purge,typhose,1.0,0.75,0.4375,0.5,3.671875,0.4765625,6,Latin,Latin,random
rafinaj,dalmatien,rafinaʒ,dalmasjɛ̃,refining,Dalmatia,0.8888888888888888,0.75,0.2447916666666666,0.28125,2.375,0.2552083333333333,8,Latin,Latin,random
temporiza,révocabilité,temporiza,ʀevɔkabilite,timed,revocability,0.8333333333333334,0.4166666666666667,0.2951388888888889,0.3333333333333333,2.375,0.3211805555555555,11,Latin,Latin,random
zincografie,manufacturier,zinkoɡrafie,manyfaktyʀjəʀ,zincography,manufacturer,0.9230769230769232,0.5384615384615384,0.2516025641025641,0.2852564102564102,2.0384615384615383,0.2692307692307693,10,Latin,Latin,random
emanație,diathèse,emanat͡sie,djatə̀s,emanation,diathèse,0.8,0.75,0.3255208333333333,0.3645833333333333,2.8125,0.3489583333333333,6,Latin,Latin,random
reglementar,étalon,reɡlementar,etalɔ̃,regular,standard,0.9090909090909092,0.7272727272727273,0.5284090909090909,0.5946969696969696,4.278409090909091,0.5946969696969696,9,Latin,Latin,random
rotație,blocage,rotat͡sie,blɔkaʒ,rotation,blockage,1.0,0.5714285714285714,0.2916666666666667,0.3333333333333333,2.5535714285714284,0.306547619047619,5,Latin,Latin,random
sportsmen,diachronie,sportsmen,djaʃʀɔni,sportsmen,diachrony,1.0,0.5555555555555556,0.2731481481481481,0.3055555555555556,2.388888888888889,0.2824074074074074,9,Latin,Latin,random
grația,changeant,ɡrat͡sia,ʃɑ̃ʒəɑ̃,pardon,changing,1.0,0.5,0.2673611111111111,0.3055555555555555,1.96875,0.2951388888888889,7,Latin,Latin,random
gazifer,hébraïque,ɡazifer,ebʀaik,gazifer,Hebrew,1.0,0.7142857142857143,0.2827380952380952,0.3333333333333333,2.5982142857142856,0.2976190476190476,8,Latin,Latin,random
telemetrie,instructif,telemetrie,ɛ̃stʀyktif,telemetry,instructive,0.9,0.6,0.2458333333333333,0.2791666666666667,2.23125,0.2541666666666667,9,Latin,Latin,random
luș,sexologie,luʃ,səɡzɔlɔʒi,luş,sexology,0.8888888888888888,0.6666666666666666,0.6203703703703703,0.6851851851851852,4.916666666666667,0.6851851851851852,8,Latin,Latin,random
epiteliu,lobectomie,epiteliu,lɔbɛktɔmi,epithelium,lobectomie,0.8888888888888888,0.4444444444444444,0.2662037037037036,0.2962962962962963,2.333333333333333,0.2754629629629629,8,Latin,Latin,random
spinal,kilohertz,spinal,kilɔɛʀt,spinal,kilohertz,1.0,0.7142857142857143,0.3184523809523809,0.3571428571428571,2.8660714285714284,0.3333333333333333,9,Latin,Latin,random
sibilin,contondant,sibilin,kɔ̃tɔ̃dɑ̃,sibilin,contondant,1.0,0.5714285714285714,0.2886904761904762,0.3095238095238096,2.0892857142857144,0.3005952380952381,9,Latin,Latin,random
monitor,préposition,monitor,pʀepɔzisjɔ̃,monitor,preposition,0.9090909090909092,0.5,0.35625,0.4083333333333333,2.94375,0.3895833333333333,7,Latin,Latin,random
disponibil,villaneile,disponibil,vijanəj,available,villaneile,0.8,0.5,0.3479166666666667,0.3875,2.8375,0.3770833333333333,7,Latin,Latin,random
intradermic,Croate,intradermik,kʀɔat,intradermic,Croatian,0.9090909090909092,0.7272727272727273,0.5549242424242423,0.6249999999999999,4.3352272727272725,0.6136363636363635,9,Latin,Latin,random
lexicografie,tachylalique,leksikoɡrafie,taʃilalik,lexicography,tachylalic,0.7692307692307693,0.5384615384615384,0.3525641025641025,0.3974358974358974,2.923076923076923,0.3846153846153845,10,Latin,Latin,random
bobinaj,dragon,bobinaʒ,dʀaɡɔ̃,winding,dragon,1.0,0.7142857142857143,0.3809523809523809,0.4226190476190475,3.0535714285714284,0.4077380952380952,7,Latin,Latin,random
malacologie,militariste,malakolod͡ʒie,militaʀist,malacologie,militarist,0.8461538461538461,0.3636363636363636,0.2026515151515151,0.2234848484848484,1.5795454545454546,0.2121212121212121,8,Latin,Latin,random
carburant,régularité,karburant,ʀeɡlaʀite,fuel,regularity,1.0,0.5555555555555556,0.1805555555555555,0.2129629629629629,1.7013888888888888,0.1805555555555555,8,Latin,Latin,random
heliocentrism,portique,heliot͡ʃentrism,pɔʀtik,heliocentrism,gantry,0.8666666666666667,0.6923076923076923,0.530448717948718,0.592948717948718,4.283653846153846,0.5865384615384616,11,Latin,Latin,random
congregaționist,alimentation,konɡreɡat͡sionist,alimɑ̃tasjɔ̃,congregationist,food,0.8823529411764706,0.6,0.3902777777777778,0.436111111111111,3.208333333333333,0.4263888888888889,11,Latin,Latin,random
microcristalin,anamnèse,mikrokristalin,anɑnə̀s,microcristalin,anamnesis,0.9285714285714286,0.7142857142857143,0.5535714285714286,0.6220238095238094,4.446428571428571,0.6175595238095237,13,Latin,Latin,random
osc,surdité,osk,syʀdite,osc,deafness,1.0,0.7142857142857143,0.5684523809523809,0.630952380952381,4.491071428571429,0.6279761904761906,7,Latin,Latin,random
regională,hypersensible,red͡ʒionalə,ipɛʀsɑ̃sibl,regional,hypersensitive,1.0,0.7,0.2625,0.3083333333333333,2.46875,0.2729166666666666,10,Latin,Latin,random
pulmonar,passeriformes,pulmonar,pasəʀifɔʀm,pulmonary,passerines,0.9,0.5,0.3104166666666667,0.3458333333333333,2.38125,0.33125,11,Latin,Latin,random
dispersa,fournaliste,dispersa,fuʀnalist,scattered,supplier,0.8888888888888888,0.5555555555555556,0.2476851851851851,0.287037037037037,2.0694444444444446,0.2592592592592592,10,Latin,Latin,random
hidromasaj,sténotype,hidromasaʒ,stenɔtip,hydromassage,stone type,1.0,0.5,0.2625,0.2958333333333333,2.05625,0.2895833333333333,9,Latin,Latin,random
increat,kasside,inkreat,kasid,increat,cats,0.8571428571428571,0.5714285714285714,0.3541666666666667,0.4107142857142857,3.107142857142857,0.380952380952381,7,Latin,Latin,random
rima,vicomte,rima,vikɔ̃t,rima,viscount,0.8333333333333334,0.6,0.3333333333333333,0.375,2.575,0.35,5,Latin,Latin,random
irenism,versatilité,irenism,vɛʀsatilite,irenism,versatility,0.9090909090909092,0.5454545454545454,0.3920454545454545,0.4393939393939394,3.2045454545454546,0.428030303030303,9,Latin,Latin,random
independență,simple,independent͡sə,sɛ̃pl,independence,simple,0.9285714285714286,0.75,0.6284722222222222,0.6909722222222223,5.0,0.6909722222222223,10,Latin,Latin,random
patiser,psychiatre,patiser,psiʃjatʀ,pastry,psychiatrist,0.875,0.375,0.25,0.2916666666666666,2.34375,0.2604166666666666,7,Latin,Latin,random
sabat,gaur,sabat,ɡoʀ,sabat,today,1.0,0.8,0.4791666666666667,0.525,3.7625,0.5166666666666666,4,Latin,Latin,random
virologie,budget,virolod͡ʒie,bydʒɛ,virology,budget,0.8181818181818182,0.6666666666666666,0.4351851851851852,0.4907407407407407,3.6319444444444446,0.4884259259259259,8,Latin,Latin,random
gera,inhumain,d͡ʒera,inymɛ̃,gera,inhuman,1.0,0.6,0.325,0.3666666666666666,2.4625,0.3458333333333333,7,Latin,Latin,random
excitabilitate,biotine,ekst͡ʃitabilitate,bjɔtin,excitability,biotin,0.8823529411764706,0.6666666666666666,0.5736111111111111,0.6333333333333333,4.6125,0.6305555555555554,10,Latin,Latin,random
pentapetal,anagogique,pentapetal,anaɡɔʒik,pentapetal,anagogique,0.8,0.4,0.2791666666666667,0.3,2.09375,0.2979166666666667,10,Latin,Latin,random
rupicol,menestrel,rupikol,mənɛstʀəl,rupicol,minstrel,0.8888888888888888,0.5555555555555556,0.3125,0.3518518518518518,2.326388888888889,0.3356481481481481,8,Latin,Latin,random
mezomer,omnidirectionnel,mezomer,ɔnidiʀɛksjɔnəl,mezomer,omnidirectionnel,1.0,0.6428571428571429,0.4866071428571428,0.5476190476190476,3.8125,0.5386904761904762,12,Latin,Latin,random
carameliza,catapulte,karameliza,katapylt,caramelize,catapult,0.6,0.4,0.2333333333333333,0.2625,1.9375,0.2541666666666667,6,Latin,Latin,random
agavă,écologique,aɡavə,ekɔlɔʒik,agave,ecological,1.0,0.5,0.4010416666666667,0.4427083333333333,3.0625,0.4375,9,Latin,Latin,random
incisiv,conduplication,int͡ʃisiv,kɔ̃dyplikasjɔ̃,incisive,conduplication,0.8571428571428571,0.6666666666666666,0.4513888888888888,0.5034722222222222,3.5416666666666665,0.4930555555555555,11,Latin,Latin,random
hiperbolă,terrarium,hiperbolə,tɛʀʀaʀjœ̃,hyperbole,terrarium,1.0,0.5555555555555556,0.261574074074074,0.3055555555555556,2.520833333333333,0.2731481481481481,9,Latin,Latin,random
chimografie,exacerber,kimoɡrafie,əɡzazɛʀbəʀ,chemography,exacerbate,1.0,0.6,0.2041666666666667,0.2458333333333333,2.23125,0.2041666666666667,10,Latin,Latin,random
monocrom,délicatesse,monokrom,delikatɛs,monochrome,delicacy,0.8888888888888888,0.5555555555555556,0.224537037037037,0.25,1.8333333333333333,0.2361111111111111,10,Latin,Latin,random
diverticul,tabulaire,divertikul,tabylɛʀ,diverticulum,tabular,1.0,0.3,0.3395833333333333,0.3791666666666666,2.6,0.3708333333333333,9,Latin,Latin,random
bucraniu,polysynthétique,bukraniu,pɔljsɛ̃tetik,bucraniu,polysynthétique,0.9166666666666666,0.4545454545454545,0.3352272727272727,0.3674242424242424,2.727272727272727,0.3598484848484848,12,Latin,Latin,random
rial,sécréteur,rial,sekʀetœʀ,rial,secretory,1.0,0.5,0.4947916666666667,0.5625,4.0,0.5520833333333333,8,Latin,Latin,random
spectrometru,brochure,spektrometru,bʀɔʃyʀ,spectrometer,brochure,1.0,0.5833333333333334,0.5208333333333334,0.5833333333333334,4.088541666666667,0.5711805555555557,9,Latin,Latin,random
