loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
Abram,Gyanta,abram,ɟɒntɒ,Abram,Resin,1.0,0.8,0.3125,0.3666666666666667,4.875,0.3125,6,Latin,Latin,random
Abucea,Hálós,abut͡ʃea,haːloːʃ,Abucea,Mesh,0.875,0.6666666666666666,0.34722222222222227,0.375,4.791666666666667,0.3645833333333333,6,Latin,Latin,random
Abuș,Bedecs,abuʃ,bɛdɛt͡ʃ,Abuş,Bedecs,0.8571428571428571,0.6,0.275,0.29999999999999993,2.575,0.2958333333333333,6,Latin,Latin,random
acaț,Nyíres,akat͡s,ɲiːrɛʃ,a cat,It's open,1.0,0.6,0.3166666666666667,0.35833333333333334,3.425,0.3375,6,Latin,Latin,random
Acâș,katona,akɨʃ,kɒtonɒ,Acas,soldier,1.0,0.6666666666666666,0.3993055555555556,0.4375,3.8541666666666665,0.43402777777777773,6,Latin,Latin,random
Aciliu,Csergó,at͡ʃiliu,t͡ʃɛrɡoː,Acilium,Csergó,0.75,0.3333333333333333,0.2465277777777778,0.2847222222222222,3.1458333333333335,0.2638888888888889,6,Latin,Latin,random
Aciu,Farkas,at͡ʃiu,fɒrkɒʃ,thank you,Farkas,1.0,0.5,0.4375,0.4861111111111111,4.8125,0.46527777777777785,6,Latin,Latin,random
Acmariu,Árkos,akmariu,aːrkoʃ,Aquarius,Trench,0.8571428571428571,0.7142857142857143,0.4017857142857143,0.4583333333333333,4.375,0.43154761904761907,7,Latin,Latin,random
Adămuș,Olaszi,adəmuʃ,olɒsi,Adamus,Olaszi,1.0,0.5,0.28125,0.2986111111111111,3.3125,0.2951388888888889,6,Latin,Latin,random
Adea,Csohaj,adea,t͡ʃohɒj,Adea,Csohaj,1.0,0.6,0.3125,0.3416666666666667,3.6,0.3291666666666667,5,Latin,Latin,random
Adjud,drót,adʒud,droːt,Adjud,wire,1.0,0.4,0.2541666666666667,0.2916666666666667,2.55,0.275,4,Latin,Latin,random
Adorian,Tófalva,adorian,toːfɒlvɒ,Adorian,Lake village,1.0,0.5714285714285714,0.3363095238095238,0.41071428571428575,4.214285714285714,0.3363095238095238,7,Latin,Latin,random
Adrian,Tormák,adrian,tormaːk,Adrian,Horseradish,0.7142857142857143,0.6666666666666666,0.22569444444444445,0.2569444444444445,4.5,0.22569444444444445,5,Latin,Latin,random
Agăș,Sárd,aɡəʃ,ʃaːrd,Agas,Sárd,0.8,0.75,0.28125,0.34375000000000006,5.28125,0.28125,4,Latin,Latin,random
Agârbiciu,Ant,aɡɨrbit͡ʃiu,ɒnt,Agârbiciu,Ant,0.9090909090909091,0.8888888888888888,0.6342592592592592,0.7129629629629629,5.361111111111111,0.7083333333333334,8,Latin,Latin,random
Aghireș,Hodos,aɡireʃ,hodoʃ,Aghireş,Hodos,0.8333333333333334,0.5,0.2465277777777778,0.27777777777777773,3.0,0.2638888888888889,7,Latin,Latin,random
Aghireșu,Illés,aɡireʃu,ilːeːʃ,Aghireşu,Elijah,0.8571428571428571,0.42857142857142855,0.4136904761904762,0.47023809523809523,3.4642857142857144,0.4583333333333333,8,Latin,Latin,random
Agrieș,Kuldó,aɡrieʃ,kuldoː,Agrieș,Kuldó,1.0,0.6666666666666666,0.3576388888888889,0.40972222222222227,5.166666666666667,0.37152777777777785,6,Latin,Latin,random
Agrij,Gyarak,aɡriʒ,ɟɒrɒk,pioneer,Factories,0.8,0.6,0.20416666666666666,0.225,3.975,0.20416666666666666,5,Latin,Latin,random
agriș,Farkasaszó,aɡriʃ,fɒrkɒʃɒsoː,agriș,Wolf word,0.8,0.5555555555555556,0.462962962962963,0.5231481481481481,4.111111111111111,0.5138888888888888,9,Latin,Latin,random
Agrișteu,Pócs,aɡriʃteu,poːt͡ʃ,Agristeu,Dick,0.875,0.875,0.6119791666666666,0.6822916666666666,5.21875,0.6822916666666666,8,Latin,Latin,random
Aiton,Árdány,aiton,aːrdaːɲ,Grandpa,Devil,0.8571428571428571,0.2,0.13333333333333336,0.16666666666666666,2.075,0.13333333333333336,5,Latin,Latin,random
Aiud,Gábris,aiud,ɡaːbriʃ,Aiud,Gábris,0.8571428571428571,0.5,0.3923611111111111,0.4444444444444444,4.083333333333333,0.43402777777777785,6,Latin,Latin,random
Alămor,Lugozó,aləmor,luɡozoː,Alam,Lugozo,0.8571428571428571,0.6666666666666666,0.3194444444444445,0.38888888888888884,3.9583333333333335,0.3194444444444445,6,Latin,Latin,random
Albiș,Karács,albiʃ,kɒraːt͡ʃ,Albiș,Christmas,0.75,0.6,0.24166666666666664,0.2833333333333333,4.0,0.24166666666666664,6,Latin,Latin,random
alcătui,fedeles,alkətui,fɛdɛlɛʃ,compose,covered,1.0,0.7142857142857143,0.21428571428571425,0.24404761904761904,4.267857142857143,0.21428571428571425,7,Latin,Latin,random
aldămaș,Gyákos,aldəmaʃ,ɟaːkoʃ,alderman,Gyákos,0.8571428571428571,0.5714285714285714,0.3630952380952381,0.3928571428571428,3.4464285714285716,0.3898809523809524,7,Latin,Latin,random
alean,Bazéd,alean,bɒzeːd,issue,Bazéd,0.8333333333333334,0.8,0.20833333333333334,0.24166666666666664,4.2,0.20833333333333334,5,Latin,Latin,random
Aleșd,Almás,aleʃd,ɒlmaːʃ,Aleşd,Apples,0.8333333333333334,0.4,0.17083333333333334,0.19166666666666668,3.3,0.17083333333333334,3,Latin,Latin,random
Aleuș,Báránykút,aleuʃ,baːraːɲkuːt,bleus,Lamb's well,0.8181818181818182,0.375,0.3880208333333333,0.43749999999999994,3.375,0.4270833333333333,9,Latin,Latin,random
Alma,Ispánlaka,alma,iʃpaːnlɒkɒ,Alma,Ispánlaka,0.8,0.6666666666666666,0.5486111111111112,0.6018518518518517,4.722222222222222,0.6018518518518517,7,Latin,Latin,random
Almaș,Kocsárd,almaʃ,kot͡ʃaːrd,Almas,Kocsárd,0.8888888888888888,0.6666666666666666,0.34027777777777773,0.3888888888888889,4.854166666666667,0.3645833333333333,7,Latin,Latin,random
Almaș-Săliște,Szemes,almaʃ-səliʃte,sɛmɛʃ,Almas-Saliste,Eyes,0.8461538461538461,0.6666666666666666,0.5572916666666667,0.6145833333333334,4.59375,0.6128472222222222,12,Latin,Latin,random
Almașu,Szentimre,almaʃu,sɛntimrɛ,Almaşu,St. Imre,1.0,0.625,0.34895833333333337,0.3854166666666667,3.546875,0.3723958333333333,9,Latin,Latin,random
Almașu de Mijloc,Albis,almaʃu de miʒlok,ɒlbiʃ,Middle Almașu,Whites,0.875,0.7142857142857143,0.5952380952380952,0.6577380952380951,4.830357142857143,0.6577380952380951,13,Latin,Latin,random
Almașu Mic,apród,almaʃu mik,ɒproːd,Almașu Mic,page,1.0,0.6666666666666666,0.4861111111111111,0.5416666666666666,4.513888888888889,0.5300925925925926,9,Latin,Latin,random
