loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
放弃,Give up,faŋt͡ɕʰi,gɪv əp,give up,Give up,1.0,0.8,0.4,0.4583333333333333,5.225,0.4208333333333333,7,Chinese,Latin,synonym
放弃,Reject,faŋt͡ɕʰi,ˈriʤɛkt,give up,Reject,1.0,0.6,0.2416666666666667,0.2916666666666666,4.6,0.2416666666666667,6,Chinese,Latin,synonym
放弃,Renounce,faŋt͡ɕʰi,rɪˈnaʊns,give up,Renounce,1.0,0.5714285714285714,0.4166666666666667,0.4761904761904762,4.803571428571429,0.4553571428571428,8,Chinese,Latin,synonym
放弃,Drop,faŋt͡ɕʰi,drɔp,give up,Drop,1.0,1.0,0.3875,0.4583333333333333,5.1,0.4083333333333333,4,Chinese,Latin,synonym
放弃,Desert,faŋt͡ɕʰi,ˈdɛzərt,give up,Desert,1.0,0.8333333333333334,0.3576388888888888,0.4097222222222221,4.916666666666667,0.3715277777777777,6,Chinese,Latin,synonym
放弃,Quit,faŋt͡ɕʰi,kwɪt,give up,Quit,0.875,1.0,0.375,0.4166666666666666,4.725,0.3958333333333333,4,Chinese,Latin,synonym
放弃,Forsake,faŋt͡ɕʰi,fɔrˈseɪk,give up,Forsake,0.875,0.5714285714285714,0.3601190476190476,0.4047619047619047,3.3035714285714284,0.3898809523809524,7,Chinese,Latin,synonym
放弃,Leave,faŋt͡ɕʰi,liv,give up,Leave,1.0,0.8,0.4833333333333334,0.5416666666666666,4.75,0.5208333333333333,5,Chinese,Latin,synonym
放弃,Forgo,faŋt͡ɕʰi,fɔrˈgoʊ,give up,Forgo,0.875,0.4,0.2166666666666667,0.25,3.425,0.2166666666666667,5,Chinese,Latin,synonym
放弃,Surrender,faŋt͡ɕʰi,sərˈɛndər,give up,Surrender,1.0,0.625,0.4166666666666667,0.4791666666666667,3.671875,0.4713541666666667,9,Chinese,Latin,synonym
放弃,Vacate,faŋt͡ɕʰi,ˈveɪkeɪt,give up,Vacate,1.0,0.4285714285714285,0.3392857142857143,0.375,3.392857142857143,0.3660714285714285,6,Chinese,Latin,synonym
降低,Give up,t͡ɕiaŋti,gɪv əp,reduce,Give up,1.0,0.8333333333333334,0.4131944444444444,0.4652777777777778,4.958333333333333,0.4444444444444445,7,Chinese,Latin,synonym
降低,Reject,t͡ɕiaŋti,ˈriʤɛkt,reduce,Reject,0.875,0.5,0.2326388888888889,0.2638888888888889,2.625,0.25,6,Chinese,Latin,synonym
降低,Renounce,t͡ɕiaŋti,rɪˈnaʊns,reduce,Renounce,0.875,0.5714285714285714,0.2767857142857143,0.3154761904761905,4.196428571428571,0.2886904761904762,8,Chinese,Latin,synonym
降低,Drop,t͡ɕiaŋti,drɔp,reduce,Drop,1.0,0.8333333333333334,0.4236111111111111,0.4861111111111111,4.229166666666667,0.4583333333333333,4,Chinese,Latin,synonym
降低,Desert,t͡ɕiaŋti,ˈdɛzərt,reduce,Desert,0.875,0.6666666666666666,0.2291666666666666,0.2708333333333333,3.6875,0.2291666666666666,6,Chinese,Latin,synonym
降低,Quit,t͡ɕiaŋti,kwɪt,reduce,Quit,0.875,0.5,0.3784722222222222,0.4236111111111111,3.5416666666666665,0.4131944444444445,4,Chinese,Latin,synonym
降低,Forsake,t͡ɕiaŋti,fɔrˈseɪk,reduce,Forsake,1.0,0.7142857142857143,0.3333333333333333,0.3869047619047619,4.589285714285714,0.3482142857142857,7,Chinese,Latin,synonym
降低,Leave,t͡ɕiaŋti,liv,reduce,Leave,0.875,0.8333333333333334,0.5381944444444445,0.5972222222222222,4.958333333333333,0.5902777777777778,5,Chinese,Latin,synonym
降低,Forgo,t͡ɕiaŋti,fɔrˈgoʊ,reduce,Forgo,1.0,0.6666666666666666,0.34375,0.3958333333333333,4.479166666666667,0.3576388888888889,5,Chinese,Latin,synonym
降低,Surrender,t͡ɕiaŋti,sərˈɛndər,reduce,Surrender,1.0,0.375,0.3046875,0.3489583333333333,2.859375,0.3463541666666667,9,Chinese,Latin,synonym
降低,Vacate,t͡ɕiaŋti,ˈveɪkeɪt,reduce,Vacate,1.0,0.5714285714285714,0.2708333333333333,0.2976190476190476,3.4642857142857144,0.2827380952380952,6,Chinese,Latin,synonym
