loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,label,loan_unicode,original_unicode
moderate,modéré,ˈmɑdərˌeɪt,mɔdeʀe,moderate,moderate,0.7,0.25,0.2760416666666667,0.3125,2.328125,0.2994791666666667,4,synonym,Latin,Latin
moderate,diminuer,ˈmɑdərˌeɪt,diminyʀ,moderate,decrease,0.9,0.625,0.2604166666666667,0.296875,3.296875,0.2708333333333333,8,synonym,Latin,Latin
decrease,modéré,ˈdiˌkris,mɔdeʀe,decrease,moderate,1.0,0.6666666666666666,0.2256944444444444,0.2777777777777778,4.104166666666667,0.2256944444444444,8,synonym,Latin,Latin
decrease,diminuer,ˈdiˌkris,diminyʀ,decrease,decrease,0.75,0.5714285714285714,0.2410714285714285,0.2738095238095238,2.8035714285714284,0.255952380952381,7,synonym,Latin,Latin
despicable,méprisable,dɪˈspɪkəbəl,mepʀizabl,despicable,contemptible,0.8181818181818182,0.5,0.2020833333333333,0.2208333333333333,2.3625,0.2125,5,synonym,Latin,Latin
despicable,servile,dɪˈspɪkəbəl,sɛʀvil,despicable,servile,0.8181818181818182,0.5,0.3979166666666667,0.4458333333333332,3.5875,0.4374999999999999,6,synonym,Latin,Latin
servile,méprisable,ˈsərvəl,mepʀizabl,servile,contemptible,0.8888888888888888,0.5555555555555556,0.3842592592592593,0.4351851851851852,3.5277777777777777,0.4189814814814814,7,synonym,Latin,Latin
servile,servile,ˈsərvəl,sɛʀvil,servile,servile,0.5714285714285714,0.0,0.0555555555555555,0.0694444444444444,0.6041666666666666,0.0555555555555555,0,synonym,Latin,Latin
forsake,abandonner,fɔrˈseɪk,abɑ̃dɔnəʀ,forsake,to give up,1.0,0.5,0.28125,0.328125,4.078125,0.2942708333333333,9,synonym,Latin,Latin
forsake,renoncer,fɔrˈseɪk,ʀənɔ̃səʀ,forsake,to renouncer,1.0,0.7142857142857143,0.1994047619047619,0.238095238095238,3.767857142857143,0.1994047619047619,7,synonym,Latin,Latin
