loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
Luovuttaa,Ge upp,luoʋuttɑː,jeː ɵp,Alienate,Give up,1.0,0.625,0.5104166666666666,0.578125,4.59375,0.5703125,8,Latin,Latin,synonym
Luovuttaa,Avvisa,luoʋuttɑː,ɐviːsɑː,Alienate,Warn,0.7777777777777778,0.5,0.3958333333333333,0.44270833333333326,3.796875,0.42968749999999994,7,Latin,Latin,synonym
Luovuttaa,Avsäga sig,luoʋuttɑː,ɐvsɛːɡɑː siːɡ,Alienate,Renounce,0.9230769230769231,0.6666666666666666,0.3310185185185185,0.3796296296296296,5.055555555555555,0.34027777777777773,10,Latin,Latin,synonym
Luovuttaa,Släppa,luoʋuttɑː,slɛpɑː,Alienate,Drop,0.7777777777777778,0.625,0.42187499999999994,0.47916666666666663,4.0625,0.4635416666666667,8,Latin,Latin,synonym
Luovuttaa,Öken,luoʋuttɑː,øːɕeːn,Alienate,Desert,1.0,0.75,0.546875,0.609375,5.265625,0.5963541666666667,9,Latin,Latin,synonym
Luovuttaa,Sluta med,luoʋuttɑː,slʉːtɑː meːd,Alienate,Quit,0.8333333333333334,0.625,0.28645833333333337,0.3333333333333333,4.90625,0.28645833333333337,9,Latin,Latin,synonym
Luovuttaa,Överge,luoʋuttɑː,øːvɛrjeː,Alienate,Abandon,0.8888888888888888,0.625,0.3645833333333333,0.4166666666666667,4.40625,0.38802083333333337,8,Latin,Latin,synonym
Luovuttaa,Lämna,luoʋuttɑː,lɛmnɑː,Alienate,Leave,0.6666666666666666,0.625,0.3854166666666667,0.4375,3.703125,0.43229166666666663,7,Latin,Latin,synonym
Luovuttaa,Avstå från,luoʋuttɑː,ɐvstoː froːn,Alienate,Abstain from,0.8333333333333334,0.7777777777777778,0.3125,0.37037037037037035,5.125,0.3217592592592593,10,Latin,Latin,synonym
Luovuttaa,Överlämna,luoʋuttɑː,øːvɛrlɛmnɑː,Alienate,Submit,0.8181818181818182,0.5555555555555556,0.2638888888888889,0.29166666666666674,3.6944444444444446,0.27314814814814814,8,Latin,Latin,synonym
Luovuttaa,Utrymma,luoʋuttɑː,ɵtrʏmɑː,Alienate,Vacate,0.7777777777777778,0.5,0.35677083333333326,0.390625,4.15625,0.37760416666666663,8,Latin,Latin,synonym
Hylätä,Ge upp,hylætæ,jeː ɵp,Reject,Give up,1.0,0.5,0.3958333333333333,0.4305555555555555,3.6875,0.4270833333333333,6,Latin,Latin,synonym
Hylätä,Avvisa,hylætæ,ɐviːsɑː,Reject,Warn,1.0,0.3333333333333333,0.2569444444444445,0.28472222222222227,2.7916666666666665,0.2743055555555556,6,Latin,Latin,synonym
Hylätä,Avsäga sig,hylætæ,ɐvsɛːɡɑː siːɡ,Reject,Renounce,1.0,0.5555555555555556,0.3958333333333333,0.4444444444444444,4.055555555555555,0.4305555555555555,9,Latin,Latin,synonym
Hylätä,Släppa,hylætæ,slɛpɑː,Reject,Drop,1.0,0.5,0.22222222222222224,0.25,2.25,0.23958333333333334,5,Latin,Latin,synonym
Hylätä,Öken,hylætæ,øːɕeːn,Reject,Desert,1.0,0.6666666666666666,0.40277777777777785,0.4375,4.041666666666667,0.4375,6,Latin,Latin,synonym
Hylätä,Sluta med,hylætæ,slʉːtɑː meːd,Reject,Quit,0.9166666666666666,0.5,0.328125,0.359375,3.375,0.34895833333333337,8,Latin,Latin,synonym
Hylätä,Överge,hylætæ,øːvɛrjeː,Reject,Abandon,1.0,0.6666666666666666,0.23611111111111108,0.2916666666666667,4.25,0.23611111111111108,6,Latin,Latin,synonym
Hylätä,Lämna,hylætæ,lɛmnɑː,Reject,Leave,1.0,0.5,0.2847222222222222,0.3125,3.0,0.3020833333333333,6,Latin,Latin,synonym
Hylätä,Avstå från,hylætæ,ɐvstoː froːn,Reject,Abstain from,1.0,0.7777777777777778,0.41898148148148145,0.4722222222222222,4.819444444444445,0.45601851851851843,10,Latin,Latin,synonym
Hylätä,Överlämna,hylætæ,øːvɛrlɛmnɑː,Reject,Submit,0.9090909090909091,0.5555555555555556,0.36574074074074076,0.41203703703703703,3.513888888888889,0.40740740740740744,7,Latin,Latin,synonym
Hylätä,Utrymma,hylætæ,ɵtrʏmɑː,Reject,Vacate,1.0,0.5,0.21875,0.2569444444444445,3.9583333333333335,0.21875,7,Latin,Latin,synonym
Luopua,Ge upp,luopuɑ,jeː ɵp,luo PUA,Give up,1.0,0.3333333333333333,0.375,0.4166666666666667,3.5625,0.4131944444444445,6,Latin,Latin,synonym
Luopua,Avvisa,luopuɑ,ɐviːsɑː,luo PUA,Warn,0.8571428571428571,0.5,0.3055555555555555,0.34722222222222215,4.3125,0.3229166666666667,5,Latin,Latin,synonym
Luopua,Avsäga sig,luopuɑ,ɐvsɛːɡɑː siːɡ,luo PUA,Renounce,0.9230769230769231,0.6666666666666666,0.42824074074074076,0.4722222222222222,4.638888888888889,0.4606481481481482,9,Latin,Latin,synonym
Luopua,Släppa,luopuɑ,slɛpɑː,luo PUA,Drop,0.8333333333333334,0.5,0.2638888888888889,0.2916666666666667,3.2083333333333335,0.28125,4,Latin,Latin,synonym
Luopua,Öken,luopuɑ,øːɕeːn,luo PUA,Desert,1.0,0.6666666666666666,0.4583333333333333,0.5069444444444445,4.895833333333333,0.4895833333333334,6,Latin,Latin,synonym
Luopua,Sluta med,luopuɑ,slʉːtɑː meːd,luo PUA,Quit,0.9166666666666666,0.5,0.34895833333333337,0.3854166666666667,4.0,0.36979166666666674,8,Latin,Latin,synonym
Luopua,Överge,luopuɑ,øːvɛrjeː,luo PUA,Abandon,1.0,0.6666666666666666,0.23611111111111108,0.28472222222222227,4.458333333333333,0.23611111111111108,6,Latin,Latin,synonym
Luopua,Lämna,luopuɑ,lɛmnɑː,luo PUA,Leave,0.8333333333333334,0.5,0.27083333333333337,0.2986111111111111,3.375,0.2881944444444445,4,Latin,Latin,synonym
Luopua,Avstå från,luopuɑ,ɐvstoː froːn,luo PUA,Abstain from,0.9166666666666666,0.6666666666666666,0.4282407407407407,0.4861111111111111,5.013888888888889,0.4652777777777778,10,Latin,Latin,synonym
Luopua,Överlämna,luopuɑ,øːvɛrlɛmnɑː,luo PUA,Submit,0.9090909090909091,0.6666666666666666,0.4212962962962963,0.4722222222222222,4.527777777777778,0.46064814814814814,8,Latin,Latin,synonym
Luopua,Utrymma,luopuɑ,ɵtrʏmɑː,luo PUA,Vacate,0.8571428571428571,0.6666666666666666,0.3090277777777778,0.3680555555555556,4.958333333333333,0.3090277777777778,6,Latin,Latin,synonym
Pudota,Ge upp,pudotɑ,jeː ɵp,Drop,Give up,1.0,0.6666666666666666,0.40625,0.4444444444444445,4.1875,0.44097222222222227,6,Latin,Latin,synonym
Pudota,Avvisa,pudotɑ,ɐviːsɑː,Drop,Warn,0.8571428571428571,0.3333333333333333,0.2395833333333334,0.2638888888888889,2.4166666666666665,0.2569444444444445,5,Latin,Latin,synonym
Pudota,Avsäga sig,pudotɑ,ɐvsɛːɡɑː siːɡ,Drop,Renounce,0.9230769230769231,0.4444444444444444,0.4027777777777778,0.4444444444444444,3.6666666666666665,0.43518518518518523,9,Latin,Latin,synonym
Pudota,Släppa,pudotɑ,slɛpɑː,Drop,Drop,1.0,0.6666666666666666,0.23958333333333337,0.2638888888888889,2.625,0.2569444444444445,5,Latin,Latin,synonym
Pudota,Öken,pudotɑ,øːɕeːn,Drop,Desert,1.0,0.6666666666666666,0.40625,0.4444444444444445,3.9583333333333335,0.4444444444444445,6,Latin,Latin,synonym
Pudota,Sluta med,pudotɑ,slʉːtɑː meːd,Drop,Quit,0.8333333333333334,0.5,0.3307291666666667,0.36458333333333337,3.1875,0.3515625,8,Latin,Latin,synonym
Pudota,Överge,pudotɑ,øːvɛrjeː,Drop,Abandon,1.0,0.6666666666666666,0.2881944444444444,0.34722222222222215,4.333333333333333,0.2881944444444444,6,Latin,Latin,synonym
Pudota,Lämna,pudotɑ,lɛmnɑː,Drop,Leave,1.0,0.6666666666666666,0.2881944444444445,0.31250000000000006,3.5416666666666665,0.3055555555555555,5,Latin,Latin,synonym
Pudota,Avstå från,pudotɑ,ɐvstoː froːn,Drop,Abstain from,0.9166666666666666,0.5555555555555556,0.39814814814814814,0.4537037037037038,4.125,0.43750000000000006,10,Latin,Latin,synonym
Pudota,Överlämna,pudotɑ,øːvɛrlɛmnɑː,Drop,Submit,0.9090909090909091,0.5555555555555556,0.3726851851851852,0.41666666666666663,3.7083333333333335,0.41435185185185186,8,Latin,Latin,synonym
Pudota,Utrymma,pudotɑ,ɵtrʏmɑː,Drop,Vacate,0.8571428571428571,0.5,0.23611111111111116,0.2708333333333333,3.6041666666666665,0.23611111111111116,6,Latin,Latin,synonym
Aavikko,Ge upp,ɑːʋikko,jeː ɵp,Desert,Give up,1.0,0.6666666666666666,0.4201388888888889,0.4791666666666667,4.541666666666667,0.4583333333333333,7,Latin,Latin,synonym
Aavikko,Avvisa,ɑːʋikko,ɐviːsɑː,Desert,Warn,1.0,0.5,0.2673611111111111,0.31250000000000006,3.1666666666666665,0.2847222222222222,4,Latin,Latin,synonym
Aavikko,Avsäga sig,ɑːʋikko,ɐvsɛːɡɑː siːɡ,Desert,Renounce,0.8461538461538461,0.5555555555555556,0.3935185185185185,0.4444444444444444,3.861111111111111,0.4282407407407407,9,Latin,Latin,synonym
Aavikko,Släppa,ɑːʋikko,slɛpɑː,Desert,Drop,1.0,0.5,0.3298611111111111,0.3819444444444444,4.229166666666667,0.34722222222222227,7,Latin,Latin,synonym
Aavikko,Öken,ɑːʋikko,øːɕeːn,Desert,Desert,0.8571428571428571,0.6666666666666666,0.4479166666666667,0.5069444444444445,4.833333333333333,0.4826388888888889,6,Latin,Latin,synonym
Aavikko,Sluta med,ɑːʋikko,slʉːtɑː meːd,Desert,Quit,0.8333333333333334,0.625,0.4036458333333333,0.4583333333333333,4.78125,0.4296875,9,Latin,Latin,synonym
Aavikko,Överge,ɑːʋikko,øːvɛrjeː,Desert,Abandon,0.875,0.5,0.17708333333333334,0.2152777777777778,3.375,0.17708333333333334,6,Latin,Latin,synonym
Aavikko,Lämna,ɑːʋikko,lɛmnɑː,Desert,Leave,1.0,0.5,0.3298611111111111,0.375,4.0,0.3506944444444444,7,Latin,Latin,synonym
Aavikko,Avstå från,ɑːʋikko,ɐvstoː froːn,Desert,Abstain from,0.9166666666666666,0.6666666666666666,0.412037037037037,0.4768518518518518,4.347222222222222,0.449074074074074,9,Latin,Latin,synonym
Aavikko,Överlämna,ɑːʋikko,øːvɛrlɛmnɑː,Desert,Submit,0.9090909090909091,0.5555555555555556,0.4236111111111111,0.46759259259259267,4.305555555555555,0.4583333333333333,9,Latin,Latin,synonym
Aavikko,Utrymma,ɑːʋikko,ɵtrʏmɑː,Desert,Vacate,1.0,0.5,0.2638888888888889,0.3194444444444445,4.479166666666667,0.2638888888888889,7,Latin,Latin,synonym
Lopettaa,Ge upp,lopettɑː,jeː ɵp,Stop,Give up,0.875,0.5714285714285714,0.4672619047619047,0.5178571428571429,4.25,0.5119047619047619,7,Latin,Latin,synonym
Lopettaa,Avvisa,lopettɑː,ɐviːsɑː,Stop,Warn,0.75,0.2857142857142857,0.3005952380952381,0.3273809523809524,2.625,0.3244047619047619,7,Latin,Latin,synonym
Lopettaa,Avsäga sig,lopettɑː,ɐvsɛːɡɑː siːɡ,Stop,Renounce,0.8461538461538461,0.5555555555555556,0.33333333333333337,0.37962962962962954,4.055555555555555,0.35879629629629634,10,Latin,Latin,synonym
Lopettaa,Släppa,lopettɑː,slɛpɑː,Stop,Drop,0.625,0.5714285714285714,0.3363095238095238,0.36904761904761907,3.357142857142857,0.3630952380952381,7,Latin,Latin,synonym
Lopettaa,Öken,lopettɑː,øːɕeːn,Stop,Desert,0.875,0.7142857142857143,0.4613095238095238,0.505952380952381,4.232142857142857,0.5029761904761905,7,Latin,Latin,synonym
Lopettaa,Sluta med,lopettɑː,slʉːtɑː meːd,Stop,Quit,0.8333333333333334,0.625,0.2942708333333333,0.3333333333333333,3.875,0.3046875,9,Latin,Latin,synonym
Lopettaa,Överge,lopettɑː,øːvɛrjeː,Stop,Abandon,0.875,0.42857142857142855,0.2529761904761905,0.2857142857142857,3.1785714285714284,0.2648809523809524,7,Latin,Latin,synonym
Lopettaa,Lämna,lopettɑː,lɛmnɑː,Stop,Leave,0.625,0.5714285714285714,0.3125,0.3392857142857143,3.0357142857142856,0.3392857142857143,6,Latin,Latin,synonym
Lopettaa,Avstå från,lopettɑː,ɐvstoː froːn,Stop,Abstain from,0.8333333333333334,0.6666666666666666,0.3425925925925926,0.3935185185185185,4.097222222222222,0.36342592592592593,10,Latin,Latin,synonym
Lopettaa,Överlämna,lopettɑː,øːvɛrlɛmnɑː,Stop,Submit,0.8181818181818182,0.6666666666666666,0.3032407407407407,0.34259259259259256,3.4722222222222223,0.33333333333333326,8,Latin,Latin,synonym
Lopettaa,Utrymma,lopettɑː,ɵtrʏmɑː,Stop,Vacate,0.75,0.7142857142857143,0.27976190476190477,0.32738095238095244,3.9642857142857144,0.29166666666666663,7,Latin,Latin,synonym
Hylkää,Ge upp,hylkæː,jeː ɵp,Discard,Give up,1.0,0.6,0.3333333333333333,0.36666666666666664,4.1,0.35416666666666663,6,Latin,Latin,synonym
Hylkää,Avvisa,hylkæː,ɐviːsɑː,Discard,Warn,0.8571428571428571,0.8,0.21666666666666665,0.2583333333333333,4.575,0.21666666666666665,6,Latin,Latin,synonym
Hylkää,Avsäga sig,hylkæː,ɐvsɛːɡɑː siːɡ,Discard,Renounce,0.9230769230769231,0.7777777777777778,0.4791666666666667,0.537037037037037,4.902777777777778,0.5231481481481481,10,Latin,Latin,synonym
Hylkää,Släppa,hylkæː,slɛpɑː,Discard,Drop,0.8333333333333334,0.6,0.19166666666666665,0.225,3.675,0.19166666666666665,6,Latin,Latin,synonym
Hylkää,Öken,hylkæː,øːɕeːn,Discard,Desert,1.0,0.6,0.4083333333333334,0.45,5.275,0.4291666666666667,5,Latin,Latin,synonym
Hylkää,Sluta med,hylkæː,slʉːtɑː meːd,Discard,Quit,0.9166666666666666,0.625,0.4270833333333333,0.46875,4.171875,0.46354166666666663,9,Latin,Latin,synonym
Hylkää,Överge,hylkæː,øːvɛrjeː,Discard,Abandon,0.875,0.5,0.27083333333333337,0.3055555555555555,3.3541666666666665,0.2881944444444445,6,Latin,Latin,synonym
Hylkää,Lämna,hylkæː,lɛmnɑː,Discard,Leave,0.8333333333333334,0.4,0.19166666666666665,0.20833333333333331,2.475,0.19166666666666665,6,Latin,Latin,synonym
Hylkää,Avstå från,hylkæː,ɐvstoː froːn,Discard,Abstain from,0.9166666666666666,0.7777777777777778,0.49768518518518523,0.5601851851851851,5.0,0.5462962962962963,10,Latin,Latin,synonym
Hylkää,Överlämna,hylkæː,øːvɛrlɛmnɑː,Discard,Submit,0.8181818181818182,0.6666666666666666,0.4722222222222222,0.5277777777777777,4.402777777777778,0.5231481481481483,8,Latin,Latin,synonym
Hylkää,Utrymma,hylkæː,ɵtrʏmɑː,Discard,Vacate,0.8571428571428571,0.6666666666666666,0.34375,0.3958333333333333,4.791666666666667,0.3611111111111111,7,Latin,Latin,synonym
Lähde,Ge upp,læhde,jeː ɵp,Source,Give up,1.0,0.6,0.32083333333333336,0.3583333333333333,3.875,0.3416666666666667,6,Latin,Latin,synonym
Lähde,Avvisa,læhde,ɐviːsɑː,Source,Warn,1.0,0.6,0.20416666666666666,0.24166666666666664,4.375,0.20416666666666666,6,Latin,Latin,synonym
Lähde,Avsäga sig,læhde,ɐvsɛːɡɑː siːɡ,Source,Renounce,1.0,0.6666666666666666,0.46759259259259267,0.5138888888888888,4.388888888888889,0.5138888888888888,9,Latin,Latin,synonym
Lähde,Släppa,læhde,slɛpɑː,Source,Drop,0.8333333333333334,0.6,0.17083333333333334,0.19999999999999998,3.3,0.17083333333333334,5,Latin,Latin,synonym
Lähde,Öken,læhde,øːɕeːn,Source,Desert,1.0,0.8,0.36249999999999993,0.4083333333333333,5.35,0.37916666666666665,5,Latin,Latin,synonym
Lähde,Sluta med,læhde,slʉːtɑː meːd,Source,Quit,0.8333333333333334,0.625,0.41927083333333326,0.46354166666666663,4.09375,0.4557291666666667,8,Latin,Latin,synonym
Lähde,Överge,læhde,øːvɛrjeː,Source,Abandon,0.875,0.5,0.2881944444444445,0.3333333333333333,3.5416666666666665,0.3055555555555555,5,Latin,Latin,synonym
Lähde,Lämna,læhde,lɛmnɑː,Source,Leave,0.8333333333333334,0.4,0.10416666666666667,0.10833333333333332,1.55,0.10416666666666667,3,Latin,Latin,synonym
Lähde,Avstå från,læhde,ɐvstoː froːn,Source,Abstain from,1.0,0.7777777777777778,0.4861111111111111,0.537037037037037,4.708333333333333,0.5254629629629629,10,Latin,Latin,synonym
Lähde,Överlämna,læhde,øːvɛrlɛmnɑː,Source,Submit,0.9090909090909091,0.6666666666666666,0.451388888888889,0.5046296296296295,4.083333333333333,0.5023148148148147,8,Latin,Latin,synonym
Lähde,Utrymma,læhde,ɵtrʏmɑː,Source,Vacate,1.0,0.6666666666666666,0.3194444444444444,0.375,4.666666666666667,0.3368055555555556,7,Latin,Latin,synonym
Lopeta,Ge upp,lopetɑ,jeː ɵp,Stop it,Give up,1.0,0.5,0.39236111111111116,0.4375,3.75,0.4305555555555555,6,Latin,Latin,synonym
Lopeta,Avvisa,lopetɑ,ɐviːsɑː,Stop it,Warn,0.8571428571428571,0.16666666666666666,0.20486111111111113,0.22222222222222224,1.9375,0.21875000000000003,5,Latin,Latin,synonym
Lopeta,Avsäga sig,lopetɑ,ɐvsɛːɡɑː siːɡ,Stop it,Renounce,0.9230769230769231,0.5555555555555556,0.39814814814814814,0.4351851851851852,3.7222222222222223,0.4305555555555556,9,Latin,Latin,synonym
Lopeta,Släppa,lopetɑ,slɛpɑː,Stop it,Drop,0.8333333333333334,0.5,0.24652777777777782,0.27083333333333337,2.7916666666666665,0.2638888888888889,5,Latin,Latin,synonym
Lopeta,Öken,lopetɑ,øːɕeːn,Stop it,Desert,0.8333333333333334,0.6666666666666666,0.3854166666666667,0.42361111111111116,3.7291666666666665,0.42013888888888884,5,Latin,Latin,synonym
Lopeta,Sluta med,lopetɑ,slʉːtɑː meːd,Stop it,,0.8333333333333334,0.5,0.33072916666666663,0.36458333333333337,3.15625,0.3515625,8,Latin,Latin,synonym
Lopeta,Överge,lopetɑ,øːvɛrjeː,Stop it,Abandon,1.0,0.5,0.2743055555555555,0.3333333333333333,3.8541666666666665,0.2743055555555555,6,Latin,Latin,synonym
Lopeta,Lämna,lopetɑ,lɛmnɑː,Stop it,Leave,0.8333333333333334,0.5,0.21875000000000003,0.23611111111111113,2.4166666666666665,0.23611111111111113,4,Latin,Latin,synonym
Lopeta,Avstå från,lopetɑ,ɐvstoː froːn,Stop it,Abstain from,0.9166666666666666,0.6666666666666666,0.41666666666666674,0.4768518518518518,4.486111111111111,0.45601851851851855,10,Latin,Latin,synonym
