loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
Aufgeben,Abandonner,aʊfɡeːbən,abɑ̃dɔnəʀ,Give up,To give up,0.7777777777777778,0.625,0.19791666666666669,0.22395833333333334,3.34375,0.19791666666666669,8,Latin,Latin,synonym
Aufgeben,Rejeter,aʊfɡeːbən,ʀəʒɛtəʀ,Give up,To reject,0.8888888888888888,0.625,0.23697916666666663,0.265625,2.671875,0.24739583333333331,6,Latin,Latin,synonym
Aufgeben,Renoncer,aʊfɡeːbən,ʀənɔ̃səʀ,Give up,To renouncer,0.8888888888888888,0.625,0.26822916666666663,0.296875,3.3125,0.2786458333333333,7,Latin,Latin,synonym
Aufgeben,Laissez tomber,aʊfɡeːbən,lɛsəz tɔ̃bəʀ,Give up,Drop,0.8333333333333334,0.5,0.28541666666666665,0.3125,2.575,0.3020833333333333,11,Latin,Latin,synonym
Aufgeben,Désert,aʊfɡeːbən,dezɛʀ,Give up,Desert,0.8888888888888888,0.75,0.421875,0.46874999999999994,3.796875,0.4583333333333333,7,Latin,Latin,synonym
Aufgeben,Arrêter,aʊfɡeːbən,aʀʀə̂təʀ,Give up,Stop,0.7777777777777778,0.625,0.22656249999999997,0.25520833333333337,2.640625,0.23697916666666666,6,Latin,Latin,synonym
Aufgeben,Quitter,aʊfɡeːbən,kitəʀ,Give up,Quitter,0.8888888888888888,0.625,0.40364583333333337,0.44791666666666663,3.46875,0.4401041666666667,6,Latin,Latin,synonym
Aufgeben,Abandon,aʊfɡeːbən,abɑ̃dɔ̃,Give up,Abandon,0.8888888888888888,0.5,0.3984375,0.44270833333333337,3.4375,0.43489583333333337,6,Latin,Latin,synonym
Ablehnen,Abandonner,apleːnən,abɑ̃dɔnəʀ,Reject,To give up,0.6666666666666666,0.375,0.18229166666666666,0.20312500000000003,2.015625,0.19791666666666669,6,Latin,Latin,synonym
Ablehnen,Rejeter,apleːnən,ʀəʒɛtəʀ,Reject,To reject,0.875,0.7142857142857143,0.16964285714285715,0.1904761904761905,3.482142857142857,0.16964285714285715,6,Latin,Latin,synonym
Ablehnen,Renoncer,apleːnən,ʀənɔ̃səʀ,Reject,To renouncer,0.875,0.7142857142857143,0.1875,0.20833333333333334,3.6607142857142856,0.1875,7,Latin,Latin,synonym
Ablehnen,Laissez tomber,apleːnən,lɛsəz tɔ̃bəʀ,Reject,Drop,0.9166666666666666,0.7,0.36875,0.4041666666666667,3.6375,0.39583333333333337,12,Latin,Latin,synonym
Ablehnen,Désert,apleːnən,dezɛʀ,Reject,Desert,0.875,0.7142857142857143,0.3392857142857143,0.37499999999999994,3.392857142857143,0.369047619047619,7,Latin,Latin,synonym
Ablehnen,Arrêter,apleːnən,aʀʀə̂təʀ,Reject,Stop,0.75,0.42857142857142855,0.13988095238095238,0.1547619047619048,2.107142857142857,0.13988095238095238,6,Latin,Latin,synonym
Ablehnen,Quitter,apleːnən,kitəʀ,Reject,Quitter,0.875,0.7142857142857143,0.3482142857142857,0.380952380952381,3.375,0.37500000000000006,7,Latin,Latin,synonym
Ablehnen,Abandon,apleːnən,abɑ̃dɔ̃,Reject,Abandon,0.875,0.42857142857142855,0.31845238095238093,0.34523809523809523,2.9285714285714284,0.3422619047619047,5,Latin,Latin,synonym
Verzichten,Abandonner,fəʀt͡sɪxtən,abɑ̃dɔnəʀ,Dispense,To give up,0.9090909090909091,0.6666666666666666,0.25462962962962965,0.287037037037037,3.6666666666666665,0.2662037037037037,9,Latin,Latin,synonym
Verzichten,Rejeter,fəʀt͡sɪxtən,ʀəʒɛtəʀ,Dispense,To reject,0.7272727272727273,0.5555555555555556,0.2800925925925926,0.3148148148148148,2.7777777777777777,0.3009259259259259,7,Latin,Latin,synonym
Verzichten,Renoncer,fəʀt͡sɪxtən,ʀənɔ̃səʀ,Dispense,To renouncer,0.7272727272727273,0.5555555555555556,0.2939814814814815,0.32870370370370366,3.138888888888889,0.3194444444444444,7,Latin,Latin,synonym
Verzichten,Laissez tomber,fəʀt͡sɪxtən,lɛsəz tɔ̃bəʀ,Dispense,Drop,0.9166666666666666,0.7,0.25625,0.29166666666666663,3.4125,0.26458333333333334,12,Latin,Latin,synonym
Verzichten,Désert,fəʀt͡sɪxtən,dezɛʀ,Dispense,Desert,1.0,0.6666666666666666,0.4583333333333333,0.5092592592592593,3.9583333333333335,0.5046296296296297,9,Latin,Latin,synonym
Verzichten,Arrêter,fəʀt͡sɪxtən,aʀʀə̂təʀ,Dispense,Stop,0.7272727272727273,0.4444444444444444,0.2847222222222222,0.31481481481481477,2.8055555555555554,0.3055555555555556,7,Latin,Latin,synonym
Verzichten,Quitter,fəʀt͡sɪxtən,kitəʀ,Dispense,Quitter,0.8181818181818182,0.5555555555555556,0.45601851851851843,0.5046296296296297,3.9166666666666665,0.4976851851851851,7,Latin,Latin,synonym
Verzichten,Abandon,fəʀt͡sɪxtən,abɑ̃dɔ̃,Dispense,Abandon,1.0,0.5555555555555556,0.474537037037037,0.5231481481481483,3.986111111111111,0.5185185185185185,9,Latin,Latin,synonym
Tropfen,Abandonner,tʀoːp͡fən,abɑ̃dɔnəʀ,drops,To give up,0.8888888888888888,0.625,0.3489583333333333,0.39062500000000006,3.671875,0.3723958333333333,8,Latin,Latin,synonym
Tropfen,Rejeter,tʀoːp͡fən,ʀəʒɛtəʀ,drops,To reject,0.7777777777777778,0.7142857142857143,0.2767857142857143,0.3154761904761904,3.232142857142857,0.2886904761904762,6,Latin,Latin,synonym
Tropfen,Renoncer,tʀoːp͡fən,ʀənɔ̃səʀ,drops,To renouncer,0.7777777777777778,0.7142857142857143,0.27678571428571425,0.3154761904761904,3.3035714285714284,0.28869047619047616,6,Latin,Latin,synonym
Tropfen,Laissez tomber,tʀoːp͡fən,lɛsəz tɔ̃bəʀ,drops,Drop,0.9166666666666666,0.6,0.43125,0.4791666666666667,3.9375,0.4666666666666667,12,Latin,Latin,synonym
Tropfen,Désert,tʀoːp͡fən,dezɛʀ,drops,Desert,1.0,0.5,0.2638888888888889,0.29861111111111116,2.6458333333333335,0.28472222222222227,7,Latin,Latin,synonym
Tropfen,Arrêter,tʀoːp͡fən,aʀʀə̂təʀ,drops,Stop,0.7777777777777778,0.5714285714285714,0.24702380952380953,0.27976190476190477,2.6785714285714284,0.2619047619047619,5,Latin,Latin,synonym
Tropfen,Quitter,tʀoːp͡fən,kitəʀ,drops,Quitter,0.8888888888888888,0.6666666666666666,0.2743055555555556,0.3125,2.75,0.2951388888888889,6,Latin,Latin,synonym
Tropfen,Abandon,tʀoːp͡fən,abɑ̃dɔ̃,drops,Abandon,1.0,0.6666666666666666,0.3298611111111111,0.3680555555555555,4.333333333333333,0.34375,6,Latin,Latin,synonym
Wüste,Abandonner,vʏstə,abɑ̃dɔnəʀ,Desert,To give up,0.8888888888888888,0.5,0.4010416666666667,0.44791666666666663,3.734375,0.4427083333333333,9,Latin,Latin,synonym
