loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
Felad,Aufgeben,fɛlɒd,aʊfɡeːbən,Post,Give up,0.8888888888888888,0.625,0.4010416666666667,0.4427083333333333,3.859375,0.4401041666666667,7,Latin,Latin,synonym
Felad,Ablehnen,fɛlɒd,apleːnən,Post,Reject,0.875,0.5714285714285714,0.3273809523809524,0.3571428571428571,3.1607142857142856,0.3541666666666667,7,Latin,Latin,synonym
Felad,Verzichten,fɛlɒd,fəʀt͡sɪxtən,Post,Dispense,0.9090909090909092,0.4444444444444444,0.4444444444444444,0.4907407407407407,3.8194444444444446,0.4907407407407407,9,Latin,Latin,synonym
Felad,Tropfen,fɛlɒd,tʀoːp͡fən,Post,drops,1.0,0.6666666666666666,0.2916666666666667,0.3263888888888889,3.4166666666666665,0.3125,7,Latin,Latin,synonym
Felad,Wüste,fɛlɒd,vʏstə,Post,Desert,1.0,0.6,0.2,0.225,3.75,0.2,5,Latin,Latin,synonym
Felad,Aufhören,fɛlɒd,aufhøːʀən,Post,Stop,0.8888888888888888,0.5,0.4036458333333333,0.4479166666666667,3.640625,0.4427083333333333,8,Latin,Latin,synonym
Felad,Verlassen,fɛlɒd,fəʀlasən,Post,Leave,0.75,0.375,0.3619791666666666,0.4010416666666666,3.0625,0.4010416666666666,6,Latin,Latin,synonym
Felad,Räumen,fɛlɒd,ʀoːyːmən,Post,rooms,1.0,0.6666666666666666,0.2916666666666667,0.3194444444444445,3.333333333333333,0.3090277777777777,6,Latin,Latin,synonym
Elutasít,Aufgeben,ɛlutɒʃiːt,aʊfɡeːbən,He rejects,Give up,1.0,0.625,0.2135416666666667,0.234375,3.453125,0.2135416666666667,8,Latin,Latin,synonym
Elutasít,Ablehnen,ɛlutɒʃiːt,apleːnən,He rejects,Reject,1.0,0.625,0.265625,0.28125,3.453125,0.2786458333333333,8,Latin,Latin,synonym
Elutasít,Verzichten,ɛlutɒʃiːt,fəʀt͡sɪxtən,,Dispense,0.8181818181818182,0.5555555555555556,0.2638888888888889,0.2962962962962963,3.7222222222222223,0.2754629629629629,9,Latin,Latin,synonym
Elutasít,Tropfen,ɛlutɒʃiːt,tʀoːp͡fən,He rejects,drops,1.0,0.625,0.359375,0.3958333333333333,4.015625,0.3828125,8,Latin,Latin,synonym
Elutasít,Wüste,ɛlutɒʃiːt,vʏstə,He rejects,Desert,0.8888888888888888,0.5,0.421875,0.4635416666666667,3.90625,0.4583333333333333,7,Latin,Latin,synonym
Elutasít,Aufhören,ɛlutɒʃiːt,aufhøːʀən,He rejects,Stop,1.0,0.625,0.2057291666666666,0.2291666666666666,3.390625,0.2057291666666666,8,Latin,Latin,synonym
Elutasít,Verlassen,ɛlutɒʃiːt,fəʀlasən,He rejects,Leave,1.0,0.5,0.1796875,0.203125,3.421875,0.1796875,7,Latin,Latin,synonym
Elutasít,Verzichten,ɛlutɒʃiːt,fəʀt͡sɪxtən,He rejects,Dispense,0.8181818181818182,0.5555555555555556,0.2638888888888889,0.2962962962962963,3.7222222222222223,0.2754629629629629,9,Latin,Latin,synonym
Elutasít,Räumen,ɛlutɒʃiːt,ʀoːyːmən,He rejects,rooms,1.0,0.5,0.3645833333333333,0.4010416666666667,3.84375,0.3880208333333333,7,Latin,Latin,synonym
Lemond,Aufgeben,lɛmond,aʊfɡeːbən,Lemond,Give up,1.0,0.75,0.3463541666666667,0.3854166666666667,4.1875,0.3723958333333333,7,Latin,Latin,synonym
Lemond,Ablehnen,lɛmond,apleːnən,Lemond,Reject,0.875,0.5714285714285714,0.2708333333333333,0.3035714285714285,3.482142857142857,0.2857142857142857,7,Latin,Latin,synonym
Lemond,Verzichten,lɛmond,fəʀt͡sɪxtən,Lemond,Dispense,1.0,0.6666666666666666,0.400462962962963,0.4398148148148148,4.055555555555555,0.4328703703703704,9,Latin,Latin,synonym
Lemond,Tropfen,lɛmond,tʀoːp͡fən,Lemond,drops,1.0,0.5,0.2604166666666666,0.2986111111111111,3.7916666666666665,0.2604166666666666,7,Latin,Latin,synonym
Lemond,Wüste,lɛmond,vʏstə,Lemond,Desert,1.0,0.8333333333333334,0.3159722222222222,0.3541666666666667,4.6875,0.3333333333333333,6,Latin,Latin,synonym
Lemond,Aufhören,lɛmond,aufhøːʀən,Lemond,Stop,1.0,0.625,0.359375,0.4010416666666666,4.046875,0.3854166666666667,8,Latin,Latin,synonym
Lemond,Verlassen,lɛmond,fəʀlasən,Lemond,Leave,0.875,0.625,0.3333333333333333,0.3697916666666667,3.734375,0.3619791666666667,8,Latin,Latin,synonym
Lemond,Räumen,lɛmond,ʀoːyːmən,Lemond,rooms,0.875,0.3333333333333333,0.2395833333333333,0.2708333333333333,3.2291666666666665,0.2395833333333333,5,Latin,Latin,synonym
Csepp,Aufgeben,t͡ʃɛpː,aʊfɡeːbən,Drop,Give up,0.8888888888888888,0.625,0.6145833333333334,0.6770833333333334,5.015625,0.6744791666666667,7,Latin,Latin,synonym
Csepp,Ablehnen,t͡ʃɛpː,apleːnən,Drop,Reject,1.0,0.8571428571428571,0.5892857142857143,0.6488095238095238,5.142857142857143,0.6428571428571429,7,Latin,Latin,synonym
Csepp,Verzichten,t͡ʃɛpː,fəʀt͡sɪxtən,Drop,Dispense,0.8181818181818182,0.7777777777777778,0.6296296296296297,0.6990740740740741,5.152777777777778,0.6967592592592592,10,Latin,Latin,synonym
Csepp,Tropfen,t͡ʃɛpː,tʀoːp͡fən,Drop,drops,0.7777777777777778,0.6666666666666666,0.513888888888889,0.5694444444444445,4.3125,0.5659722222222222,6,Latin,Latin,synonym
Csepp,Wüste,t͡ʃɛpː,vʏstə,Drop,Desert,1.0,0.8,0.4666666666666666,0.5166666666666666,4.125,0.5041666666666667,5,Latin,Latin,synonym
