loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
Шу,шум,ʃw,ʂum,That's it,noise,1.0,0.6666666666666670,0.34027777777777800,0.3888888888888890,3.2916666666666700,0.375,2,Cyrillic,Cyrillic,synonym
Топ,Толпа,top,tolpa,Top,Crowd,0.4,0.4,0.3625,0.4,2.9,0.4,2,Cyrillic,Cyrillic,synonym
Топ,Рой,top,roj,Top,Roy,0.6666666666666670,0.6666666666666670,0.16666666666666700,0.19444444444444400,3.6666666666666700,0.16666666666666700,2,Cyrillic,Cyrillic,synonym
Стационарлық,Стационарный,stɑtsijonɑrləq,stat͡sionarnɨj,Stationary,Stationary,0.5,0.35714285714285700,0.17410714285714300,0.1904761904761910,1.8214285714285700,0.18750000000000000,2,Cyrillic,Cyrillic,synonym
Қалың,Наглый,qɑləŋ,naɡlɨj,Thick,Impudent,0.8333333333333330,0.5,0.2465277777777780,0.2708333333333330,2.8541666666666700,0.2638888888888890,3,Cyrillic,Cyrillic,synonym
максимум,Максим,mɑksijmwm,maksʲim,maximum,Maxim,0.5555555555555560,0.3333333333333330,0.31018518518518500,0.3472222222222220,2.5555555555555600,0.34490740740740700,3,Cyrillic,Cyrillic,synonym
Стерильді,Стерильный,stjerijlьdɪ,stʲerʲilʲnɨj,Sterile,Sterile,0.5833333333333330,0.4,0.17291666666666700,0.2,2.525,0.18333333333333300,3,Cyrillic,Cyrillic,synonym
Бата,Благо,bɑtɑ,blaɡo,Blessing,Treasure,0.8,0.4,0.2625,0.29166666666666700,2.325,0.2791666666666670,3,Cyrillic,Cyrillic,synonym
Бенисон,Орисон,bjenijson,orʲison,Benison,Orison,0.5555555555555560,0.4444444444444440,0.3263888888888890,0.36574074074074100,2.8055555555555600,0.3611111111111110,3,Cyrillic,Cyrillic,synonym
Орисон,Бенисон,orijson,bʲenison,Orison,Benison,0.625,0.42857142857142900,0.14880952380952400,0.1904761904761910,2.5714285714285700,0.14880952380952400,3,Cyrillic,Cyrillic,synonym
Кінә,Вина,kɪnæ,vʲina,Guilt,Guilt,0.8,0.25,0.06770833333333330,0.07291666666666670,0.78125,0.06770833333333330,3,Cyrillic,Cyrillic,synonym
Қате,Горе,qɑtje,ɡorʲe,Error,Up,0.8,0.2,0.2583333333333330,0.29166666666666700,2.575,0.275,3,Cyrillic,Cyrillic,synonym
Рационалды,Рациональный,rɑtsijonɑldə,rat͡sionalʲnɨj,Rational,Rational,0.5714285714285710,0.4166666666666670,0.21875,0.2465277777777780,2.2916666666666700,0.22916666666666700,3,Cyrillic,Cyrillic,synonym
