loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
دست برداشتن از,يستسلم,dst brdɒʃtn ɒz,iːstslm,give up,Give up,0.9285714285714286,0.75,0.5052083333333334,0.5659722222222222,4.791666666666667,0.5590277777777778,12,Arabic,Arabic,synonym
دست برداشتن از,رفض,dst brdɒʃtn ɒz,rfdˤ,give up,Refusal,0.9285714285714286,0.8333333333333334,0.7065972222222222,0.7777777777777777,5.6875,0.7743055555555557,13,Arabic,Arabic,synonym
دست برداشتن از,تنازل,dst brdɒʃtn ɒz,tnaːzl,give up,waiver,0.8571428571428571,0.75,0.5555555555555555,0.6145833333333333,4.8125,0.6145833333333333,11,Arabic,Arabic,synonym
دست برداشتن از,قطرة,dst brdɒʃtn ɒz,qtˤrt,give up,Drop,0.7857142857142857,0.75,0.6284722222222222,0.6909722222222222,5.072916666666667,0.689236111111111,13,Arabic,Arabic,synonym
دست برداشتن از,صحراء,dst brdɒʃtn ɒz,sˤħraːʔ,give up,desert,0.8571428571428571,0.75,0.5868055555555556,0.642361111111111,5.041666666666667,0.6388888888888888,12,Arabic,Arabic,synonym
دست برداشتن از,يقلع,dst brdɒʃtn ɒz,iːqlʕ,give up,take off,1.0,0.9166666666666666,0.65625,0.7256944444444445,5.520833333333333,0.7222222222222222,14,Arabic,Arabic,synonym
دست برداشتن از,تخلى,dst brdɒʃtn ɒz,txla,give up,give up,0.9285714285714286,0.75,0.6302083333333334,0.6979166666666666,5.21875,0.6961805555555555,13,Arabic,Arabic,synonym
دست برداشتن از,يترك,dst brdɒʃtn ɒz,iːtrk,give up,Leaves,0.8571428571428571,0.8333333333333334,0.6510416666666666,0.71875,5.53125,0.7118055555555557,12,Arabic,Arabic,synonym
دست برداشتن از,تخلوا,dst brdɒʃtn ɒz,txluːaː,give up,give up,0.9285714285714286,0.6666666666666666,0.5798611111111112,0.6388888888888888,4.84375,0.6371527777777778,12,Arabic,Arabic,synonym
دست برداشتن از,يخلى,dst brdɒʃtn ɒz,iːxla,give up,cleared,1.0,0.8333333333333334,0.6493055555555556,0.7152777777777777,5.427083333333333,0.7135416666666666,14,Arabic,Arabic,synonym
رد کردن,يستسلم,rd krdn,iːstslm,reject,Give up,1.0,0.8333333333333334,0.16319444444444442,0.20833333333333334,2.9583333333333335,0.16319444444444442,7,Arabic,Arabic,synonym
رد کردن,رفض,rd krdn,rfdˤ,reject,Refusal,0.7142857142857143,0.6666666666666666,0.4895833333333333,0.5555555555555556,4.208333333333333,0.548611111111111,6,Arabic,Arabic,synonym
رد کردن,تنازل,rd krdn,tnaːzl,reject,waiver,1.0,0.6666666666666666,0.2777777777777778,0.3333333333333333,3.6458333333333335,0.2951388888888889,7,Arabic,Arabic,synonym
رد کردن,قطرة,rd krdn,qtˤrt,reject,Drop,0.8571428571428571,0.5,0.36111111111111116,0.40972222222222215,3.125,0.40277777777777785,6,Arabic,Arabic,synonym
رد کردن,صحراء,rd krdn,sˤħraːʔ,reject,desert,1.0,0.5,0.2916666666666667,0.3333333333333333,4.104166666666667,0.3194444444444445,6,Arabic,Arabic,synonym
رد کردن,يقلع,rd krdn,iːqlʕ,reject,take off,1.0,0.6666666666666666,0.4166666666666667,0.48611111111111116,4.354166666666667,0.4513888888888889,7,Arabic,Arabic,synonym
رد کردن,تخلى,rd krdn,txla,reject,give up,1.0,0.5,0.3645833333333333,0.4305555555555556,4.041666666666667,0.4201388888888889,7,Arabic,Arabic,synonym
رد کردن,يترك,rd krdn,iːtrk,reject,Leaves,0.8571428571428571,0.6666666666666666,0.3993055555555556,0.4583333333333333,3.9375,0.4305555555555556,6,Arabic,Arabic,synonym
رد کردن,تخلوا,rd krdn,txluːaː,reject,give up,1.0,0.5,0.3125,0.375,4.666666666666667,0.34027777777777785,7,Arabic,Arabic,synonym
رد کردن,يخلى,rd krdn,iːxla,reject,cleared,1.0,0.6666666666666666,0.4166666666666667,0.4930555555555556,5.083333333333333,0.46527777777777785,7,Arabic,Arabic,synonym
دست بردارید,يستسلم,dst brdɒrjd,iːstslm,Give up,Give up,0.9090909090909091,0.6,0.42708333333333337,0.4916666666666667,4.4375,0.475,9,Arabic,Arabic,synonym
دست بردارید,رفض,dst brdɒrjd,rfdˤ,Give up,Refusal,0.9090909090909091,0.8,0.6562499999999999,0.7333333333333333,5.425,0.7291666666666666,10,Arabic,Arabic,synonym
دست بردارید,تنازل,dst brdɒrjd,tnaːzl,Give up,waiver,0.9090909090909091,0.7,0.4916666666666667,0.5541666666666666,4.675,0.5458333333333333,9,Arabic,Arabic,synonym
دست بردارید,قطرة,dst brdɒrjd,qtˤrt,Give up,Drop,0.8181818181818182,0.7,0.5666666666666667,0.6333333333333333,4.6625,0.63125,10,Arabic,Arabic,synonym
دست بردارید,صحراء,dst brdɒrjd,sˤħraːʔ,Give up,desert,0.8181818181818182,0.6,0.5083333333333334,0.5625,4.3875,0.5604166666666667,9,Arabic,Arabic,synonym
دست بردارید,يقلع,dst brdɒrjd,iːqlʕ,Give up,take off,1.0,0.8,0.6125,0.6916666666666667,5.65,0.6833333333333333,11,Arabic,Arabic,synonym
دست بردارید,تخلى,dst brdɒrjd,txla,Give up,give up,0.9090909090909091,0.7,0.5729166666666667,0.6458333333333334,4.8375,0.64375,10,Arabic,Arabic,synonym
دست بردارید,يترك,dst brdɒrjd,iːtrk,Give up,Leaves,0.8181818181818182,0.8,0.59375,0.6625,5.2625,0.65625,9,Arabic,Arabic,synonym
دست بردارید,تخلوا,dst brdɒrjd,txluːaː,Give up,give up,0.9090909090909091,0.7,0.5125,0.5791666666666666,4.6,0.5729166666666667,9,Arabic,Arabic,synonym
دست بردارید,يخلى,dst brdɒrjd,iːxla,Give up,cleared,1.0,0.8,0.6041666666666667,0.6833333333333333,5.7125,0.675,11,Arabic,Arabic,synonym
رها کردن,يستسلم,rhɒ krdn,iːstslm,to release,Give up,1.0,0.8571428571428571,0.2767857142857143,0.3333333333333333,3.8392857142857144,0.2916666666666667,8,Arabic,Arabic,synonym
رها کردن,رفض,rhɒ krdn,rfdˤ,to release,Refusal,0.75,0.7142857142857143,0.5386904761904762,0.6071428571428571,4.732142857142857,0.6041666666666666,7,Arabic,Arabic,synonym
رها کردن,تنازل,rhɒ krdn,tnaːzl,to release,waiver,1.0,0.7142857142857143,0.3511904761904762,0.40476190476190477,3.732142857142857,0.3898809523809524,7,Arabic,Arabic,synonym
رها کردن,قطرة,rhɒ krdn,qtˤrt,to release,Drop,0.875,0.7142857142857143,0.42857142857142855,0.48214285714285715,3.9464285714285716,0.47916666666666663,7,Arabic,Arabic,synonym
رها کردن,صحراء,rhɒ krdn,sˤħraːʔ,to release,desert,1.0,0.7142857142857143,0.3869047619047619,0.4404761904761904,4.696428571428571,0.41666666666666663,7,Arabic,Arabic,synonym
رها کردن,يقلع,rhɒ krdn,iːqlʕ,to release,take off,1.0,0.5714285714285714,0.4642857142857143,0.5297619047619048,4.196428571428571,0.5148809523809523,8,Arabic,Arabic,synonym
رها کردن,تخلى,rhɒ krdn,txla,to release,give up,1.0,0.7142857142857143,0.46130952380952384,0.5357142857142857,5.053571428571429,0.5238095238095238,8,Arabic,Arabic,synonym
رها کردن,يترك,rhɒ krdn,iːtrk,to release,Leaves,0.875,0.7142857142857143,0.4672619047619047,0.5238095238095238,4.107142857142857,0.5178571428571429,7,Arabic,Arabic,synonym
رها کردن,تخلوا,rhɒ krdn,txluːaː,to release,give up,1.0,0.7142857142857143,0.4166666666666667,0.488095238095238,5.589285714285714,0.4553571428571428,8,Arabic,Arabic,synonym
رها کردن,يخلى,rhɒ krdn,iːxla,to release,cleared,1.0,0.5714285714285714,0.4642857142857143,0.5357142857142857,4.821428571428571,0.5267857142857143,8,Arabic,Arabic,synonym
کویر,يستسلم,kvjr,iːstslm,desert,Give up,1.0,0.8333333333333334,0.4375,0.5,4.3125,0.47222222222222215,6,Arabic,Arabic,synonym
کویر,رفض,kvjr,rfdˤ,desert,Refusal,1.0,0.75,0.3541666666666667,0.42708333333333337,4.21875,0.38020833333333337,4,Arabic,Arabic,synonym
کویر,تنازل,kvjr,tnaːzl,desert,waiver,1.0,0.8,0.3375,0.39166666666666666,3.9,0.3541666666666667,5,Arabic,Arabic,synonym
کویر,قطرة,kvjr,qtˤrt,desert,Drop,0.8,0.5,0.19270833333333334,0.25,3.09375,0.19270833333333334,4,Arabic,Arabic,synonym
کویر,صحراء,kvjr,sˤħraːʔ,desert,desert,0.8571428571428571,0.6,0.3708333333333333,0.4416666666666667,4.45,0.3875,5,Arabic,Arabic,synonym
کویر,يقلع,kvjr,iːqlʕ,desert,take off,1.0,0.75,0.2552083333333333,0.3020833333333333,4.9375,0.2552083333333333,4,Arabic,Arabic,synonym
کویر,تخلى,kvjr,txla,desert,give up,1.0,0.75,0.22916666666666663,0.28125,3.65625,0.22916666666666663,4,Arabic,Arabic,synonym
کویر,يترك,kvjr,iːtrk,desert,Leaves,0.8,0.75,0.2708333333333333,0.34375,5.15625,0.2708333333333333,4,Arabic,Arabic,synonym
کویر,تخلوا,kvjr,txluːaː,desert,give up,1.0,0.8,0.3458333333333333,0.4083333333333334,4.475,0.3625,5,Arabic,Arabic,synonym
کویر,يخلى,kvjr,iːxla,desert,cleared,1.0,0.75,0.265625,0.3229166666666667,5.28125,0.265625,4,Arabic,Arabic,synonym
ترک,يستسلم,trk,iːstslm,Turkish,Give up,0.8571428571428571,0.6666666666666666,0.5243055555555555,0.5833333333333334,4.666666666666667,0.5694444444444444,5,Arabic,Arabic,synonym
ترک,رفض,trk,rfdˤ,Turkish,Refusal,1.0,1.0,0.24305555555555555,0.3194444444444445,3.7083333333333335,0.24305555555555555,3,Arabic,Arabic,synonym
ترک,تنازل,trk,tnaːzl,Turkish,waiver,0.8333333333333334,0.8,0.45,0.5083333333333334,4.075,0.4875,4,Arabic,Arabic,synonym
ترک,قطرة,trk,qtˤrt,Turkish,Drop,0.6,0.5,0.2916666666666667,0.32291666666666663,2.59375,0.3177083333333333,3,Arabic,Arabic,synonym
ترک,صحراء,trk,sˤħraːʔ,Turkish,desert,0.8571428571428571,0.6,0.4250000000000001,0.4666666666666667,4.35,0.4666666666666667,4,Arabic,Arabic,synonym
ترک,يقلع,trk,iːqlʕ,Turkish,take off,1.0,0.5,0.33333333333333337,0.3854166666666667,3.15625,0.359375,4,Arabic,Arabic,synonym
ترک,تخلى,trk,txla,Turkish,give up,0.75,0.5,0.34895833333333337,0.40625,4.375,0.375,3,Arabic,Arabic,synonym
ترک,يترك,trk,iːtrk,Turkish,Leaves,0.4,0.25,0.22395833333333334,0.25,1.8125,0.25,2,Arabic,Arabic,synonym
