loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
Poddaj się,Abandonner,pɔddaj ɕɛ,abɑ̃dɔnəʀ,Give up,To give up,1.0,0.625,0.2630208333333333,0.3020833333333333,4.6875,0.2630208333333333,10,Latin,Latin,synonym
Poddaj się,Rejeter,pɔddaj ɕɛ,ʀəʒɛtəʀ,Give up,To reject,1.0,0.5,0.2916666666666666,0.3229166666666667,4.125,0.3020833333333333,9,Latin,Latin,synonym
Poddaj się,Renoncer,pɔddaj ɕɛ,ʀənɔ̃səʀ,Give up,To renouncer,1.0,0.625,0.2968749999999999,0.328125,4.28125,0.3072916666666666,10,Latin,Latin,synonym
Poddaj się,Laissez tomber,pɔddaj ɕɛ,lɛsəz tɔ̃bəʀ,Give up,Drop,1.0,0.6,0.3125,0.3458333333333333,3.95,0.33125,13,Latin,Latin,synonym
Poddaj się,Désert,pɔddaj ɕɛ,dezɛʀ,Give up,Desert,0.8888888888888888,0.5,0.4088541666666667,0.4479166666666666,3.671875,0.4427083333333333,10,Latin,Latin,synonym
Poddaj się,Arrêter,pɔddaj ɕɛ,aʀʀə̂təʀ,Give up,Stop,1.0,0.75,0.3229166666666667,0.3645833333333333,4.71875,0.3359375,10,Latin,Latin,synonym
Poddaj się,Quitter,pɔddaj ɕɛ,kitəʀ,Give up,Quitter,1.0,0.5,0.421875,0.4583333333333333,3.78125,0.4557291666666666,10,Latin,Latin,synonym
Poddaj się,Abandon,pɔddaj ɕɛ,abɑ̃dɔ̃,Give up,Abandon,1.0,0.625,0.4322916666666666,0.4739583333333333,3.796875,0.46875,9,Latin,Latin,synonym
Odrzucić,Abandonner,ɔdʐut͡ɕit͡ɕ,abɑ̃dɔnəʀ,To reject,To give up,1.0,0.5,0.2578125,0.28125,2.96875,0.2734375,10,Latin,Latin,synonym
Odrzucić,Renoncer,ɔdʐut͡ɕit͡ɕ,ʀənɔ̃səʀ,To reject,To renouncer,1.0,0.7142857142857143,0.2083333333333333,0.2321428571428571,4.053571428571429,0.2083333333333333,7,Latin,Latin,synonym
Odrzucić,Laissez tomber,ɔdʐut͡ɕit͡ɕ,lɛsəz tɔ̃bəʀ,To reject,Drop,1.0,0.5,0.3791666666666666,0.4124999999999999,3.55,0.40625,13,Latin,Latin,synonym
Odrzucić,Désert,ɔdʐut͡ɕit͡ɕ,dezɛʀ,To reject,Desert,0.9090909090909092,0.5714285714285714,0.3720238095238096,0.4047619047619047,3.625,0.3988095238095238,8,Latin,Latin,synonym
Odrzucić,Arrêter,ɔdʐut͡ɕit͡ɕ,aʀʀə̂təʀ,To reject,Stop,0.9090909090909092,0.5714285714285714,0.1904761904761904,0.2083333333333333,2.8392857142857144,0.1904761904761904,7,Latin,Latin,synonym
Odrzucić,Quitter,ɔdʐut͡ɕit͡ɕ,kitəʀ,To reject,Quitter,0.8181818181818182,0.7142857142857143,0.3928571428571428,0.4285714285714285,3.7857142857142856,0.4196428571428571,8,Latin,Latin,synonym
Odrzucić,Abandon,ɔdʐut͡ɕit͡ɕ,abɑ̃dɔ̃,To reject,Abandon,1.0,0.5714285714285714,0.3928571428571428,0.4226190476190475,3.482142857142857,0.4166666666666666,8,Latin,Latin,synonym
Zrzec się,Abandonner,zʐɛt͡s ɕɛ,abɑ̃dɔnəʀ,Resign,To give up,1.0,0.75,0.3541666666666667,0.4010416666666667,4.171875,0.3828125,10,Latin,Latin,synonym
Zrzec się,Rejeter,zʐɛt͡s ɕɛ,ʀəʒɛtəʀ,Resign,To reject,0.8888888888888888,0.7142857142857143,0.2529761904761905,0.2916666666666667,3.678571428571429,0.2678571428571428,8,Latin,Latin,synonym
Zrzec się,Renoncer,zʐɛt͡s ɕɛ,ʀənɔ̃səʀ,Resign,To renouncer,0.8888888888888888,0.8571428571428571,0.2946428571428571,0.3333333333333333,4.446428571428571,0.3095238095238095,9,Latin,Latin,synonym
Zrzec się,Laissez tomber,zʐɛt͡s ɕɛ,lɛsəz tɔ̃bəʀ,Resign,Drop,0.9166666666666666,0.7,0.4145833333333334,0.4583333333333333,3.7625,0.4583333333333333,12,Latin,Latin,synonym
Zrzec się,Désert,zʐɛt͡s ɕɛ,dezɛʀ,Resign,Desert,1.0,0.6666666666666666,0.2777777777777778,0.3125,3.9375,0.2916666666666667,8,Latin,Latin,synonym
Zrzec się,Arrêter,zʐɛt͡s ɕɛ,aʀʀə̂təʀ,Resign,Stop,1.0,0.8571428571428571,0.2767857142857143,0.3214285714285714,4.196428571428571,0.2916666666666667,8,Latin,Latin,synonym
Zrzec się,Quitter,zʐɛt͡s ɕɛ,kitəʀ,Resign,Quitter,0.8888888888888888,0.8333333333333334,0.3090277777777777,0.3472222222222221,4.208333333333333,0.3229166666666667,9,Latin,Latin,synonym
Zrzec się,Abandon,zʐɛt͡s ɕɛ,abɑ̃dɔ̃,Resign,Abandon,1.0,0.6666666666666666,0.2951388888888889,0.3263888888888889,3.6041666666666665,0.3090277777777777,9,Latin,Latin,synonym
