,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
0,অংক,ফল,ɔŋkɔ,ɸɔlɔ,Math,Fruit,0.75,0.75,0.25,0.28125,4.65625,0.25,3,Bengali,Bengali,random
1,অংক,কথা,ɔŋkɔ,kɔt̪ʰa,Math,Talk,0.8333333333333334,0.75,0.2552083333333333,0.28125,4.65625,0.2552083333333333,3,Bengali,Bengali,random
2,আঁহ,বাউল,ãɦɔ,baulɔ,Fiber,Bowl,0.8,0.6,0.3958333333333333,0.4416666666666667,3.325,0.4375000000000001,4,Bengali,Bengali,random
3,অক্ষ,শিক্ষা,ɔkʰjɔ,ʃikkʰa,Axis,Education,0.8333333333333334,0.4,0.3083333333333333,0.325,3.4,0.325,3,Bengali,Bengali,random
4,অগ্নি,দুই,ɔgni,d̪ui,Fire,Two,0.75,0.6666666666666666,0.2638888888888889,0.3055555555555556,5.25,0.2638888888888889,5,Bengali,Bengali,random
5,আগুনি,কিন্তু,aguni,kin̪t̪u,Fire,But,1.0,0.4,0.3166666666666666,0.3416666666666667,3.925,0.3333333333333333,6,Bengali,Bengali,random
6,অগ্নি,কুটুম,ɔgni,kuʈum,Fire,Family,1.0,0.6,0.4416666666666667,0.4833333333333334,4.1,0.4833333333333334,5,Bengali,Bengali,random
7,আগুনি,শিক্ষা,aguni,ʃikkʰa,Fire,Education,1.0,0.6,0.3458333333333333,0.3833333333333333,4.475,0.3666666666666666,6,Bengali,Bengali,random
8,অনুবাদ,অনুমতি,ɔnubad,on̪umt̪i,Translation,Permission,0.75,0.5,0.1388888888888889,0.1597222222222222,2.895833333333333,0.1388888888888889,3,Bengali,Bengali,random
9,অনুমতি,আগুন,ɔnumti,aɡun̪,Permission,Fire,0.8333333333333334,0.6666666666666666,0.3923611111111111,0.4305555555555556,3.6666666666666665,0.4236111111111111,5,Bengali,Bengali,random
10,অৱতাৰ,এক,ɔwtaɹ,ek,The incarnation,One,1.0,0.8,0.6041666666666667,0.6666666666666666,5.025,0.6625,5,Bengali,Bengali,random
11,অশোক,কাঠ,ɔxʊk,kaʈʰɔ,Ashoka,Wood,1.0,0.75,0.3697916666666666,0.4166666666666666,4.90625,0.3697916666666666,4,Bengali,Bengali,random
12,অস্থি,পেঁচা,ɔxtʰi,pẽt͡ɕa,Bones,Owl,0.8333333333333334,0.5,0.25,0.2708333333333333,4.8125,0.25,5,Bengali,Bengali,random
13,আমি,গলা,ami,ɡɔla,I,Throat,1.0,0.5,0.34375,0.375,3.28125,0.3697916666666667,3,Bengali,Bengali,random
14,আমি,ধুমা,ami,d̪ʱuma,I,Smoke,0.8333333333333334,0.25,0.3020833333333333,0.3229166666666666,2.6875,0.3229166666666666,3,Bengali,Bengali,random
15,আঁক,ডিম,ãkɔ,ɖim,Draw,Eggs,1.0,0.6666666666666666,0.3263888888888889,0.375,6.041666666666667,0.3263888888888889,3,Bengali,Bengali,random
16,আঁঠু,হাট,ãtʰu,ɦaʈɔ,knee,Hat,1.0,0.5,0.2864583333333333,0.3125,2.4375,0.3125,4,Bengali,Bengali,random
17,আঁঠু,বহুত,ãtʰu,bɔɦut̪,knee,lot,0.8333333333333334,0.8,0.4583333333333333,0.5,4.275,0.4958333333333333,4,Bengali,Bengali,random
18,আকাশ,কান,akax,kan̪,The sky,Ears,0.75,0.5,0.3125,0.34375,3.28125,0.3385416666666667,2,Bengali,Bengali,random
19,আছে,অগ্নি,asɛ,oɡn̪i,There is,Fire,1.0,0.5,0.328125,0.3541666666666666,3.21875,0.3541666666666666,5,Bengali,Bengali,random
20,আজি,দাঁত,azi,d̪ãt̪ɔ,today,Teeth,1.0,0.3333333333333333,0.3125,0.3333333333333333,2.75,0.3333333333333333,4,Bengali,Bengali,random
21,আঠ,বাউল,atʰ,baulɔ,eight,Bowl,0.8,0.8,0.5791666666666667,0.6416666666666667,5.15,0.6416666666666667,4,Bengali,Bengali,random
22,আঠ,মকাই,atʰ,mɔkai,eight,Maize,1.0,0.8,0.6166666666666667,0.6833333333333333,5.175,0.6791666666666667,4,Bengali,Bengali,random
23,আদা,ছবি,ada,t͡ɕʰɔbi,Ginger,Pictures,1.0,0.5,0.3177083333333333,0.34375,2.78125,0.3385416666666667,3,Bengali,Bengali,random
24,আম,বিলাই,am,bilai,Mango,distribute,0.8,0.8,0.6,0.6666666666666666,5.175,0.6583333333333333,5,Bengali,Bengali,random
25,ইতিহাস,ব্যবহার,itiɦax,bd͡zɔbɔɦar,History,Use,0.8,0.5,0.3203125,0.3593749999999999,2.96875,0.34375,5,Bengali,Bengali,random
26,উট,জল,ut,d͡ʑɔlɔ,The camel,Water,1.0,0.75,0.5260416666666666,0.5729166666666667,4.875,0.5729166666666667,2,Bengali,Bengali,random
27,উত্তৰ,টেহা,uttɔɹɔ,ʈeɦa,answer,Teha,1.0,0.3333333333333333,0.4027777777777777,0.4374999999999999,3.7708333333333335,0.4340277777777777,5,Bengali,Bengali,random
28,উপত্যকা,চান,upɔtzɔka,t͡ɕan̪,Valley,Want,1.0,0.875,0.6328125,0.6979166666666667,5.453125,0.6953125,7,Bengali,Bengali,random
