,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
0,আঁহ,অংশুক,ãɦɔ,oŋʃuk,Fiber,Partial,1.0,0.8,0.4458333333333333,0.4916666666666666,4.05,0.4875,5,Bengali,Bengali,synonym
1,আঁহ,অংশুপট্ট,ãɦɔ,oŋʃupɔʈʈɔ,Fiber,Partial,0.8888888888888888,0.8888888888888888,0.636574074074074,0.7037037037037037,5.333333333333333,0.7013888888888888,8,Bengali,Bengali,synonym
2,অক্ষ,পাশা,ɔkʰjɔ,paʃa,Axis,Dice,1.0,0.75,0.296875,0.3229166666666667,5.21875,0.296875,4,Bengali,Bengali,synonym
3,অক্ষ,অক্ষক্রীড়া,ɔkʰjɔ,okkʰɔkriɽa,Axis,Axis,0.8,0.5555555555555556,0.5162037037037037,0.5925925925925926,4.513888888888889,0.5879629629629629,7,Bengali,Bengali,synonym
4,অক্ষ,অক্ষরেখা,ɔkʰjɔ,okkʰɔrekʰa,Axis,Axis,0.8,0.5,0.4817708333333333,0.5416666666666666,4.234375,0.5416666666666666,4,Bengali,Bengali,synonym
5,অক্ষ,মেরুরেখা,ɔkʰjɔ,merurekʰa,Axis,Polar line,0.8888888888888888,0.625,0.5312500000000001,0.609375,5.0625,0.5963541666666666,8,Bengali,Bengali,synonym
6,অক্ষ,অক্ষাংশ,ɔkʰjɔ,okkʰaŋʃɔ,Axis,Latitude,0.625,0.5714285714285714,0.4166666666666666,0.4583333333333333,3.625,0.4583333333333333,3,Bengali,Bengali,synonym
7,অক্ষ,অক্ষি,ɔkʰjɔ,okkʰi,Axis,Eye,0.8,0.25,0.125,0.125,2.0625,0.125,1,Bengali,Bengali,synonym
8,অক্ষ,রুদ্রাক্ষ,ɔkʰjɔ,rud̪rakkʰɔ,Axis,Rudraksha,0.8,0.625,0.4869791666666667,0.5520833333333334,4.53125,0.5520833333333334,6,Bengali,Bengali,synonym
9,অগ্নি,আগুন,ɔgni,aɡun̪,Fire,Fire,0.8,0.5,0.3697916666666666,0.3958333333333333,3.78125,0.390625,3,Bengali,Bengali,synonym
10,আগুনি,আগুন,aguni,aɡun̪,Fire,Fire,0.4,0.5,0.2604166666666667,0.3020833333333333,3.6875,0.2604166666666667,1,Bengali,Bengali,synonym
11,অগ্নি,তেজ,ɔgni,t̪ed͡ʑ,Fire,blood,1.0,1.0,0.3263888888888889,0.3888888888888888,6.0,0.3263888888888889,5,Bengali,Bengali,synonym
12,আগুনি,তেজ,aguni,t̪ed͡ʑ,Fire,blood,1.0,0.75,0.4166666666666667,0.4583333333333333,5.5625,0.4427083333333333,5,Bengali,Bengali,synonym
13,অগ্নি,জঠরাগ্নি,ɔgni,d͡ʑɔʈʰɔraɡn̪i,Fire,Gastritis,0.7692307692307693,0.6666666666666666,0.599537037037037,0.6712962962962963,4.861111111111111,0.6712962962962963,4,Bengali,Bengali,synonym
14,আগুনি,জঠরাগ্নি,aguni,d͡ʑɔʈʰɔraɡn̪i,Fire,Gastritis,0.8461538461538461,0.5555555555555556,0.5324074074074074,0.5925925925925927,4.388888888888889,0.5925925925925927,5,Bengali,Bengali,synonym
15,অগ্নি,অগ্নিকোণ,ɔgni,oɡn̪ikon,Fire,Southeast,0.75,0.5714285714285714,0.5267857142857143,0.5833333333333334,4.214285714285714,0.5833333333333334,3,Bengali,Bengali,synonym
16,আগুনি,অগ্নিকোণ,aguni,oɡn̪ikon,Fire,Southeast,0.875,0.5714285714285714,0.4523809523809524,0.5,4.446428571428571,0.494047619047619,5,Bengali,Bengali,synonym
17,অংক,সংখ্যা,ɔŋkɔ,ʃɔŋkʰæ,Math,Numbers,0.5,0.2,0.225,0.2416666666666667,1.85,0.2416666666666667,5,Bengali,Bengali,synonym
18,অংক,আঁক,ɔŋkɔ,ãkɔ,Math,Draw,0.5,0.5,0.2760416666666667,0.3020833333333333,2.375,0.3020833333333333,2,Bengali,Bengali,synonym
19,অনুবাদ,তর্জমা,ɔnubad,t̪ɔrd͡ʑɔma,Translation,Translation,0.9,0.7142857142857143,0.3511904761904761,0.4047619047619047,4.0,0.3630952380952381,6,Bengali,Bengali,synonym
20,অনুমতি,ইজাজত,ɔnumti,id͡ʑad͡ʑɔt̪ɔ,Permission,Permission,0.9166666666666666,0.4285714285714285,0.2916666666666667,0.3095238095238095,3.267857142857143,0.306547619047619,5,Bengali,Bengali,synonym
21,অস্থি,হাড়,ɔxtʰi,ɦaɽ,Bones,Bones,1.0,1.0,0.4322916666666666,0.5,6.375,0.4531249999999999,5,Bengali,Bengali,synonym
22,আঁঠু,জানু,ãtʰu,d͡ʑan̪u,knee,Knee,0.8571428571428571,0.75,0.2916666666666666,0.3125,2.75,0.3125,3,Bengali,Bengali,synonym
23,আঁঠু,হাঁটু,ãtʰu,ɦãʈu,knee,Knee,0.75,0.3333333333333333,0.2447916666666666,0.2708333333333333,2.0,0.2708333333333333,3,Bengali,Bengali,synonym
24,আকাশ,আসমান,akax,aʃman̪,The sky,The sky,0.6666666666666666,0.6,0.2875,0.3166666666666666,3.15,0.3083333333333333,3,Bengali,Bengali,synonym
25,আগুনি,অগ্নি,aguni,oɡn̪i,Fire,Fire,0.8,0.25,0.1145833333333333,0.125,2.53125,0.1145833333333333,2,Bengali,Bengali,synonym
26,অগ্নি,অনল,ɔgni,on̪ɔlɔ,Fire,Onal,1.0,0.4,0.4125,0.4499999999999999,3.35,0.4499999999999999,3,Bengali,Bengali,synonym
27,আগুনি,অনল,aguni,on̪ɔlɔ,Fire,Onal,1.0,0.4,0.2916666666666666,0.3083333333333333,2.75,0.3083333333333333,4,Bengali,Bengali,synonym
28,অগ্নি,আতশ,ɔgni,at̪ɔʃɔ,Fire,Fire,1.0,0.6,0.4458333333333333,0.4833333333333333,4.15,0.4833333333333333,5,Bengali,Bengali,synonym
29,আগুনি,আতশ,aguni,at̪ɔʃɔ,Fire,Fire,0.8333333333333334,0.4,0.2916666666666666,0.3083333333333333,2.95,0.3083333333333333,4,Bengali,Bengali,synonym
30,অগ্নি,হুতাশন,ɔgni,ɦut̪aʃɔn̪ɔ,Fire,Hutashan,0.9,0.625,0.5911458333333335,0.6510416666666667,4.78125,0.6510416666666667,6,Bengali,Bengali,synonym
31,আগুনি,হুতাশন,aguni,ɦut̪aʃɔn̪ɔ,Fire,Hutashan,0.8,0.5,0.4947916666666666,0.5416666666666667,4.03125,0.5416666666666667,6,Bengali,Bengali,synonym
32,অগ্নি,কৃশানু,ɔgni,kɽiʃan̪u,Fire,Krishanu,0.875,0.5714285714285714,0.5535714285714285,0.619047619047619,4.642857142857143,0.619047619047619,5,Bengali,Bengali,synonym
33,আগুনি,কৃশানু,aguni,kɽiʃan̪u,Fire,Krishanu,0.875,0.4285714285714285,0.4434523809523809,0.494047619047619,3.857142857142857,0.494047619047619,5,Bengali,Bengali,synonym
34,অগ্নি,বহ্নি,ɔgni,bɔɦn̪i,Fire,Bohni,0.5,0.4,0.3666666666666667,0.4083333333333333,2.95,0.4083333333333333,2,Bengali,Bengali,synonym
35,আগুনি,বহ্নি,aguni,bɔɦn̪i,Fire,Bohni,0.6666666666666666,0.4,0.2708333333333333,0.3,3.125,0.2916666666666667,3,Bengali,Bengali,synonym
36,আম,আম্র,am,amrɔ,Mango,Mango,0.5,0.5,0.4322916666666667,0.5,3.625,0.5,2,Bengali,Bengali,synonym
37,উত্তৰ,উদীচী,uttɔɹɔ,ud̪it͡ɕi,answer,Udichi,0.75,0.3333333333333333,0.2847222222222222,0.2986111111111111,3.125,0.2986111111111111,4,Bengali,Bengali,synonym
38,উত্তৰ,জবাব,uttɔɹɔ,d͡ʑɔbab,answer,The answer,0.8571428571428571,0.8333333333333334,0.3993055555555556,0.4444444444444445,5.520833333333333,0.4131944444444444,5,Bengali,Bengali,synonym
39,উত্তৰ,উদীচ্য,uttɔɹɔ,ud̪it͡ɕd͡zɔ,answer,Udichya,0.7272727272727273,0.5,0.2013888888888889,0.2222222222222222,3.9583333333333335,0.2013888888888889,5,Bengali,Bengali,synonym
40,উত্তৰ,উত্তুরে,uttɔɹɔ,ut̪t̪ure,answer,North,0.625,0.0,0.0833333333333333,0.0972222222222222,1.0833333333333333,0.0833333333333333,3,Bengali,Bengali,synonym
41,উপন্যাস,নভেল,upniax,n̪ɔbʱelɔ,Novel,Novel,1.0,0.6666666666666666,0.2673611111111111,0.3055555555555555,5.020833333333333,0.2673611111111111,6,Bengali,Bengali,synonym
42,একতা,ঐক্য,ɛkta,ojkd͡zɔ,Unity,Unity,0.8571428571428571,0.4,0.2541666666666667,0.275,2.2,0.275,3,Bengali,Bengali,synonym
43,একতা,একত্ব,ɛkta,ekɔt̪ɔ,Unity,Unity,0.6666666666666666,0.2,0.2291666666666666,0.25,1.9,0.25,2,Bengali,Bengali,synonym
44,কচু,সবুজ,kɔsu,ʃɔbud͡ʑ,Kachu,Green,0.7142857142857143,0.6,0.2583333333333333,0.2833333333333333,2.45,0.275,3,Bengali,Bengali,synonym
45,কহা,বলা,kɔɦa,bɔla,Say,To say,0.5,0.25,0.0885416666666666,0.09375,0.96875,0.0885416666666666,2,Bengali,Bengali,synonym
46,কাহ,বলা,kaɦ,bɔla,cough,To say,1.0,0.5,0.3541666666666667,0.3854166666666666,3.21875,0.3802083333333333,3,Bengali,Bengali,synonym
47,কাণ,কর্ণ,kan,kɔrnɔ,ear,Ears,0.6,0.4,0.3791666666666667,0.4333333333333334,3.25,0.4333333333333334,2,Bengali,Bengali,synonym
48,কুকুৰা,মোরগ,kukuɹa,morɔɡɔ,chicken,Cock,1.0,0.5,0.2083333333333333,0.2291666666666667,3.458333333333333,0.2083333333333333,6,Bengali,Bengali,synonym
49,কুকুৰা,মুরগা,kukuɹa,murɡa,chicken,Cock,0.6666666666666666,0.6666666666666666,0.2951388888888889,0.3333333333333333,4.0,0.3125,4,Bengali,Bengali,synonym
50,কুকুৰা,কুক্কুট,kukuɹa,kukkuʈɔ,chicken,Chicken,0.4285714285714285,0.2857142857142857,0.1994047619047619,0.2142857142857142,2.321428571428572,0.2142857142857142,4,Bengali,Bengali,synonym
51,কুটুম,আপন,kutum,apɔn̪ɔ,Family,Yours,1.0,0.8,0.3833333333333333,0.4333333333333334,4.1,0.3833333333333333,5,Bengali,Bengali,synonym
52,কুটুম,এগানা,kutum,eɡan̪a,Family,Egana,1.0,0.6,0.3416666666666667,0.3916666666666666,4.5,0.3416666666666667,5,Bengali,Bengali,synonym
53,কুটুম,খেশ,kutum,kʰeʃ,Family,Khesh,0.8,0.4,0.425,0.4666666666666666,3.7,0.4666666666666666,5,Bengali,Bengali,synonym
54,কুটুম,রিশতাদার,kutum,riʃt̪ad̪ar,Family,Relatives,0.9,0.625,0.4401041666666667,0.5,4.125,0.484375,8,Bengali,Bengali,synonym
55,কৃষ্ণ,কানাই,kɽixnɔ,kan̪ai,Krishna,Kanai,0.8333333333333334,0.5,0.2916666666666667,0.3333333333333333,3.8125,0.3194444444444445,4,Bengali,Bengali,synonym
56,কৃষ্ণ,কানু,kɽixnɔ,kan̪u,Krishna,Kanu,0.8333333333333334,0.3333333333333333,0.3298611111111111,0.3749999999999999,2.833333333333333,0.3749999999999999,4,Bengali,Bengali,synonym
57,কল,কে,kɔlɔ,ke,Call,Who,0.75,0.5,0.484375,0.53125,3.9375,0.53125,1,Bengali,Bengali,synonym
58,কল,কেগা,kɔlɔ,keɡa,Call,Kega,0.75,0.25,0.1510416666666666,0.15625,2.15625,0.1510416666666666,3,Bengali,Bengali,synonym
59,কল,কেডা,kɔlɔ,keɖa,Call,Keda,0.75,0.25,0.1145833333333333,0.1145833333333333,1.75,0.1145833333333333,3,Bengali,Bengali,synonym
60,কল,কেন,kɔlɔ,ken̪,Call,Why,0.75,0.5,0.296875,0.3229166666666666,2.6875,0.3229166666666666,2,Bengali,Bengali,synonym
61,কি,কেন,ki,ken̪,What?,Why,0.75,0.3333333333333333,0.3194444444444444,0.3472222222222222,2.583333333333333,0.3472222222222222,2,Bengali,Bengali,synonym
62,গলা,গলদেশ,gɔla,ɡɔlɔd̪eʃ,Throat,Neck,0.75,0.5714285714285714,0.5238095238095238,0.5773809523809523,4.214285714285714,0.5773809523809523,3,Bengali,Bengali,synonym
63,গিলা,গলদেশ,gila,ɡɔlɔd̪eʃ,Swallow,Neck,0.875,0.5714285714285714,0.5476190476190476,0.6011904761904763,4.464285714285714,0.6011904761904763,4,Bengali,Bengali,synonym
64,গেলা,গলদেশ,gɛla,ɡɔlɔd̪eʃ,Swallow,Neck,0.875,0.5714285714285714,0.5357142857142857,0.5892857142857143,4.357142857142857,0.5892857142857143,4,Bengali,Bengali,synonym
65,গলা,গ্রীবা,gɔla,ɡɔriba,Throat,The neck,0.6666666666666666,0.5,0.46875,0.5347222222222222,3.875,0.5208333333333334,4,Bengali,Bengali,synonym
66,গিলা,গ্রীবা,gila,ɡɔriba,Swallow,The neck,0.6666666666666666,0.5,0.4756944444444444,0.5416666666666666,4.166666666666667,0.5381944444444444,4,Bengali,Bengali,synonym
