,Bengali,Sanskrit,Assamese
0,অংক,अङ्क,অংক
1,অঙ্ক,अङ्क,অংক
2,অংশু,अंशु,আঁহ
3,অক্ষ,अक्ष,অক্ষ
4,অগ্নি,अग्नि,অগ্নি
5,অগ্নি,अग्नि,আগুনি
6,আগুন,अग्नि,অগ্নি
7,আগুন,अग्नि,আগুনি
8,অনুবাদ,अनुवाद,অনুবাদ
9,অনুমতি,अनुमति,অনুমতি
10,অবতার,अवतार,অৱতাৰ
11,অশোক,अशोक,অশোক
12,অস্থি,अस्थि,অস্থি
13,আঁই,अस्मे,আমি
14,আমি,अस्मे,আমি
15,আঁকা,अङ्कयति,আঁক
16,আঁঠু,अष्ठीवत्,আঁঠু
17,আঁডু,अष्ठीवत्,আঁঠু
18,আকাশ,आकाश,আকাশ
19,আছে,आक्षेति,আছে
20,আজি,अद्य,আজি
21,আট,अष्ट,আঠ
22,আষ্ট,अष्ट,আঠ
23,আদা,आद्रक,আদা
24,আম,आम्र,আম
25,ইতিহাস,इतिहास,ইতিহাস
26,উট,उष्ट्र,উট
27,উত্তর,उत्तर,উত্তৰ
28,উপত্যকা,उपत्यका,উপত্যকা
29,উপন্যাস,उपन्यास,উপন্যাস
30,ঋতু,ऋतु,ঋতু
31,এক,एक,আক
32,এক,एक,এক
33,একলা,एक,আক
34,একলা,एक,এক
35,একতা,एकता,একতা
36,ঔষধ,औषध,ঔষধ
37,কচু,कचु,কচু
38,কচুয়া,कचु,কচু
39,কথা,कथा,কথা
40,কবি,कवि,কবি
41,কম্বল,कम्बल,কম্বল
42,কর্ণ,कर्ण,কাণ
43,কান,कर्ण,কাণ
44,কলা,कल्य,কলা
45,কলা,कल्य,কালি
46,কালি,कल्य,কলা
47,কালি,कल्य,কালি
48,কহা,कासते,কহা
49,কহা,कासते,কাহ
50,কাঁচ,काच,কাঁচ
51,কাঁচ,काच,কাচ
52,কাছ,कच्छप,কাছ
53,কাছ,कच्छप,কাছু
54,কাটা,कर्तति,কটা
55,কাটা,कर्तति,কাট
56,কাটা,कर्तति,কাটা
57,কাঠ,काष्ठ,কাঠ
58,কাতি,कार्तिक,কাতি
59,কিন্তু,किन्तु,কিন্তু
60,কুঁকড়া,कुक्कुट,কুকুৰা
61,কুকুর,कुक्कुर,কুকুৰ
62,কুটুম,कुटुम्ब,কুটুম
63,কৃষ্ণ,कृष्ण,কৃষ্ণ
64,কেন্দ্ৰ,केन्द्र,কেন্দ্ৰ
65,কেলা,कदल,কল
66,কোটি,कोटि,কোটি
67,কোদাল,कुद्दाल,কোদাল
68,কোন,कः पुनर्,কোন
69,ক্যা,किम्,কি
70,ক্রিয়া,क्रिया,ক্ৰিয়া
71,খাট,खट्,খাট
72,খাদ্য,खाद्य,খানা
73,গম,गम्य,গম
74,গলা,गलति,গলা
75,গলা,गलति,গিলা
76,গলা,गलति,গেলা
77,গাঁও,ग्राम,গাঁউ
78,গাঁও,ग्राम,গাঁও
79,গু,गूथ,গু
80,গুহা,गुहा,গুহা
81,গোলন্দাজ,गोल,গুলী
82,গোলন্দাজ,गोल,গোল
83,গোসাঁই,गोस्वामिन्,গোসাঁই
84,গোসাঁই,गोस्वामिन्,গোসাঞি
85,গোসাঁই,गोस्वामिन्,গোহাঁই
86,ঘড়ি,घटिका,ঘড়ী
87,ঘাম,घर्म,ঘাম
88,ঘামা,घर्म,ঘমা
89,ঘামা,घर्म,ঘামা
90,ঘোড়া,घोटक,ঘোঁৰা
91,চলা,चलति,চলা
92,চাঁদ,चन्द्र,চন্দ্ৰ
93,চাঁদ,चन्द्र,চাঁদ
94,চাঁদ,चन्द्र,চান
95,চাঁদ,चन्द्र,চান্দ
96,চান,चन्द्र,চন্দ্ৰ
97,চান,चन्द्र,চাঁদ
98,চান,चन्द्र,চান
99,চান,चन्द्र,চান্দ
100,চাকা,चक्र,চকা
101,চাকা,चक्र,চকৰ
102,চাকা,चक्र,চাক
103,চাকা,चक्र,চাকা
104,চাকা,चक्र,চাকি
105,চিন্তা,चिन्ता,চিন্তা
106,চৈত,चैत्र,চ’ত
107,ছবি,छवि,ছবি
108,ছয়,षष्,ছয়
109,ছাগলী,छागल,ছাগলী
110,জন্তু,जन्तु,জন্তু
111,জল,जल,জল
112,জানা,जानाति,জনা
113,জানা,जानाति,জানা
114,জেঠ,ज्येष्ठ,জেঠ
115,জ্ঞান,ज्ञान,জ্ঞান
116,ঝিঙা,झिङ्गाक,জিকা
117,টাং,टङ्क,টকা
118,টাং,टङ्क,টাকা
119,টাং,टङ्क,ঠেং
120,টাকা,टङ्क,টকা
121,টাকা,टङ्क,টাকা
122,টাকা,टङ्क,ঠেং
123,টেহা,टङ्क,টকা
124,টেহা,टङ्क,টাকা
125,টেহা,टङ्क,ঠেং
126,ঠেং,टङ्क,টকা
127,ঠেং,टङ्क,টাকা
128,ঠেং,टङ्क,ঠেং
129,ডাঁশ,दंश,ডাঁহ
130,ডাঙর,दीर्घ,দীঘ
131,ডাঙর,दीर्घ,দীঘল
132,ডাঙর,दीर्घ,দীঘা
133,ডিম,डिम्,ডিম
134,ডিম,डिम्ब,ডিমা
135,ঢোল,ढोल,ঢোল
136,তাই,तया,তাই
137,তামা,ताम्र,তাম
138,তিতা,तिक्त,তিতা
139,তিমি,तिमि,তিমি
140,তুমি,युष्मान्,তুমি
141,তেল,तैल,তেল
142,দশ,दश,দহ
143,দাঁত,दन्त,দাঁত
144,দাউদাউ,दाव,দাউদাউ
145,দাড়ি,दाढिका,দাড়ি
