,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
0,অংক,বেংক,oŋkɔ,bɛŋkɔ,Math,bank,0.4,0.2,0.2041666666666667,0.225,1.7,0.225,2,Bengali,Bengali,hard_negative
1,অঙ্ক,বেংক,oŋkɔ,bɛŋkɔ,The numbers,bank,0.4,0.2,0.2041666666666667,0.225,1.7,0.225,3,Bengali,Bengali,hard_negative
2,অংশু,আংকুল,oŋʃu,aŋkul,Anshu,Uncle,0.6,0.4,0.2458333333333333,0.2666666666666667,2.275,0.2625,3,Bengali,Bengali,hard_negative
3,অক্ষ,নখ,okkʰɔ,nɔkʰɔ,Axis,Nails,0.4,0.5,0.171875,0.1979166666666666,3.6875,0.171875,4,Bengali,Bengali,hard_negative
4,অগ্নি,অক্ণি,oɡn̪i,ɔkni,Fire,Akni,0.6,0.0,0.03125,0.03125,0.1875,0.03125,2,Bengali,Bengali,hard_negative
5,আগুন,আপুনি,aɡun̪,apuni,Fire,you,0.4,0.4,0.2291666666666666,0.25,1.95,0.25,2,Bengali,Bengali,hard_negative
6,অনুবাদ,অনুবাদক,on̪ubad̪,ɔnubadɔkɔ,Translation,Translator,0.5555555555555556,0.3333333333333333,0.3125,0.3472222222222222,2.5,0.3472222222222222,1,Bengali,Bengali,hard_negative
7,অনুমতি,কুমটি,on̪umt̪i,kumti,Permission,Kumti,0.5,0.3333333333333333,0.2083333333333333,0.2291666666666666,2.0625,0.2256944444444444,3,Bengali,Bengali,hard_negative
8,অবতার,অটা,obt̪ar,ɔta,Avatar,Ata,0.6666666666666666,0.4,0.3625,0.4166666666666667,3.0,0.4166666666666667,3,Bengali,Bengali,hard_negative
9,অশোক,আক,oʃok,ak,Ashoka,Let's go,0.75,0.5,0.484375,0.53125,4.0,0.53125,3,Bengali,Bengali,hard_negative
