,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
0,অংক,ঔষধ,oŋkɔ,ɔʊxɔdʰɔ,Math,Medicine,0.8571428571428571,0.5,0.3576388888888889,0.3958333333333333,3.520833333333333,0.3888888888888889,3,Bengali,Bengali,random
1,অঙ্ক,বহুত,oŋkɔ,bɔɦut,The numbers,lot,1.0,0.8,0.3666666666666666,0.4083333333333333,5.15,0.3875,4,Bengali,Bengali,random
2,অংশু,শিকোৱা,oŋʃu,xikʊwa,Anshu,teaching,1.0,0.6666666666666666,0.4201388888888889,0.4722222222222221,4.6875,0.4548611111111111,6,Bengali,Bengali,random
3,অক্ষ,অস্থি,okkʰɔ,ɔxtʰi,Axis,Bones,0.8,0.25,0.109375,0.1145833333333333,1.28125,0.109375,3,Bengali,Bengali,random
4,অগ্নি,মুঠি,oɡn̪i,mutʰi,Fire,Fist,0.8,0.75,0.2083333333333333,0.2291666666666666,4.53125,0.2083333333333333,4,Bengali,Bengali,random
5,অগ্নি,খাট,oɡn̪i,kʰat,Fire,Bed,1.0,0.75,0.4114583333333333,0.46875,5.8125,0.4375,5,Bengali,Bengali,random
6,আগুন,কহা,aɡun̪,kɔɦa,Fire,Say,1.0,0.75,0.3177083333333333,0.3645833333333333,4.65625,0.3177083333333333,4,Bengali,Bengali,random
7,আগুন,দাউদাউ,aɡun̪,daudau,Fire,Daudau,0.8333333333333334,0.6666666666666666,0.4270833333333333,0.4791666666666667,4.604166666666667,0.4618055555555555,6,Bengali,Bengali,random
8,অনুবাদ,সাপ,on̪ubad̪,xap,Translation,Snake,0.875,0.6666666666666666,0.5173611111111112,0.5694444444444444,4.395833333333333,0.5659722222222222,5,Bengali,Bengali,random
9,অনুমতি,পানী,on̪umt̪i,pani,Permission,water,0.875,0.6666666666666666,0.3923611111111111,0.4305555555555555,3.6666666666666665,0.4236111111111111,6,Bengali,Bengali,random
10,অবতার,ঋতু,obt̪ar,ɽitu,Avatar,Season,0.8333333333333334,0.6,0.3375,0.4083333333333333,4.975,0.3708333333333333,4,Bengali,Bengali,random
11,অশোক,বেল,oʃok,bɛl,Ashoka,Bell,1.0,0.75,0.4010416666666667,0.4375,4.3125,0.4270833333333333,4,Bengali,Bengali,random
12,অস্থি,পুষ্প,oʃt̪ʰi,puxpɔ,Bones,Flowers,1.0,0.6,0.2875,0.3166666666666667,2.6,0.3083333333333333,5,Bengali,Bengali,random
13,আঁই,শ্রী,ãi,xɹi,I am,Mr.,0.6666666666666666,0.6666666666666666,0.4166666666666667,0.4722222222222222,4.25,0.4513888888888889,4,Bengali,Bengali,random
14,আমি,ধোঁৱা,ami,dʰʊ̃wa,I,smoke,1.0,0.5,0.3854166666666666,0.40625,4.125,0.40625,5,Bengali,Bengali,random
15,আঁকা,কালি,ãka,kali,Draw,yesterday,0.75,0.5,0.34375,0.375,3.65625,0.3697916666666667,4,Bengali,Bengali,random
16,আঁঠু,ছাগলী,ãʈʰu,sagɔli,knee,goat,1.0,0.6,0.4458333333333333,0.4833333333333334,4.2,0.4833333333333334,5,Bengali,Bengali,random
