,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,mbert_cos,xlm_cos,indic_bert_cos,muril_cos,ass_bertmbert,ass_bertxlm,ass_bertindic_bert,ass_bertmuril,label
0,All languages,গুহা,মুরহা,guɦa,murɦa,Cave,Murha,0.4,0.4,0.3458333333333333,0.4,2.9,0.4,2,0.9359173774719238,0.8975734114646912,0.9987619519233704,0.9985430240631104,0.94774675,0.94167066,0.99919266,0.9990634,hard_negative
1,All languages,বাল,বালক,bal,balɔkɔ,Baal,Boy,0.5,0.5,0.4479166666666667,0.5,3.625,0.5,1,0.8893966078758241,0.6674975752830505,0.9997479915618896,0.9996861815452576,0.9314343,0.8813733,0.99968934,0.99964195,synonym
2,All languages,কাঁচ,কাঁধ,kãsɔ,kãd̪ʱɔ,Glass,Shoulders,0.5,0.0,0.03125,0.03125,0.375,0.03125,1,0.9756945371627808,0.8913552761077881,0.9994810819625854,0.999087691307068,0.9359206,0.8488788,0.99987334,0.999679,hard_negative
3,All languages,ভাত,বাত,bʰat,bat̪,Rice,Arthritis,0.5,0.0,0.0277777777777777,0.0277777777777777,0.1666666666666666,0.0277777777777777,1,0.9271791577339172,0.8519701361656189,0.999599814414978,0.9998061656951904,0.9417679,0.9222977,0.99967176,0.9998469,hard_negative
4,All languages,ঠেং,ঠেঙ,tʰɛŋ,ʈʰeŋ,The tail,Stretch,0.5,0.0,0.0277777777777777,0.0277777777777777,0.25,0.0277777777777777,1,0.8803620338439941,0.8869635462760925,0.999634563922882,0.9972594976425172,0.9458081,0.92770076,0.9997352,0.9996924,hard_negative
5,All languages,চন্দ্ৰ,চন্দ্র,sɔndɹɔ,t͡ɕɔn̪d̪rɔ,moon,The moon,0.6,0.1666666666666666,0.0763888888888889,0.0902777777777777,1.125,0.0763888888888889,1,0.9180389046669006,0.95912504196167,0.999320387840271,0.9997469782829284,0.92705834,0.95926774,0.999383,0.99971515,synonym
6,All languages,বুদ্ধি,বুদ্ধ,buddʰi,bud̪d̪ʱɔ,Wisdom,Buddha,0.5,0.0,0.0583333333333333,0.0583333333333333,0.5,0.0583333333333333,1,0.9187913537025452,0.9308871030807496,0.9989298582077026,0.999509572982788,0.9664444,0.95474905,0.9996022,0.9996595,hard_negative
7,All languages,কুটুম,কুসুম,kutum,kuʃum,Family,Kusum,0.2,0.0,0.025,0.025,0.35,0.025,1,0.9368972182273864,0.8922144770622253,0.997387170791626,0.995192289352417,0.96543384,0.9558033,0.99959075,0.998106,hard_negative
8,All languages,কাছু,কানু,kasu,kan̪u,Something,Kanu,0.4,0.25,0.0520833333333333,0.0520833333333333,1.0,0.0520833333333333,1,0.9509975910186768,0.8996228575706482,0.99577397108078,0.9989251494407654,0.94038427,0.92243207,0.9982264,0.9997022,hard_negative
9,All languages,মুঠ,মুত,mutʰ,mut̪,total,Mut,0.25,0.0,0.0277777777777777,0.0277777777777777,0.1666666666666666,0.0277777777777777,1,0.9029541015625,0.9000879526138306,0.995318591594696,0.9990676045417786,0.94078535,0.93154657,0.9993549,0.9993695,hard_negative
