,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,DNN_logits,mbert_cos,xlm_cos,indic_bert_cos,muril_cos,ass_bertmbert,ass_bertxlm,ass_bertindic_bert,ass_bertmuril,label
0,,আঁক,আঁকা,ãkɔ,ãka,Draw,Draw,0.3333333333333333,0.0,0.0555555555555555,0.0555555555555555,0.5833333333333334,0.0555555555555555,1,-7.397648299999998,0.973859965801239,0.8461454510688782,0.9997291564941406,0.9988077878952026,0.956836,0.8881891,0.9996588,0.99973303,loan
1,,মৈহ,মহিষ,mɔɪɦ,mɔɦiʃ,Maih,The buffalo,0.6,0.4,0.2166666666666666,0.2416666666666667,2.075,0.2375,3,-6.537262999999999,0.93268483877182,0.6959085464477539,0.9946342706680298,0.9956295490264891,0.9560961,0.89396864,0.9989954,0.9990658,loan
2,,কি,ক্যা,ki,kæ,What?,Kya,0.5,0.0,0.0416666666666666,0.0416666666666666,0.5,0.0416666666666666,3,2.117496,0.9082254767417908,0.5702677965164185,0.9986161589622498,0.9986101984977722,0.9623913,0.8328999,0.9997392,0.99956375,loan
3,,ক্ৰিয়া,ক্রিয়া,kɹija,krie̯a,Action,Verbs,0.5,0.0,0.05,0.075,0.875,0.05,1,-9.542444,0.8471578359603882,0.8596051931381226,0.9985761642456056,0.9996260404586792,0.9345141,0.8728491,0.9993998,0.99968964,loan
4,,ৰচনা,রচনা,ɹɔsɔna,rɔt͡ɕɔn̪a,essay,Composition,0.5555555555555556,0.1666666666666666,0.0694444444444444,0.0833333333333333,1.0833333333333333,0.0694444444444444,1,-11.542226,0.8090748786926271,0.5042888522148132,0.9988536834716796,0.999408721923828,0.85401773,0.6219287,0.99895877,0.99944466,loan
5,,সন্ধিয়া,সাঁঝ,xɔndʰija,ʃãd͡ʑʱɔ,evening,Evening,0.875,0.7142857142857143,0.4851190476190475,0.5297619047619048,4.196428571428571,0.5238095238095237,7,6.4350653,0.8823111057281494,0.6917768120765686,0.9991691112518308,0.997950315475464,0.8752216,0.75064087,0.9995402,0.9988884,loan
6,,পানী,পানীয়,pani,pan̪ie̯,water,Drinks,0.4285714285714285,0.2,0.1875,0.2083333333333333,1.5,0.2083333333333333,2,-2.9705155,0.8847489953041077,0.7102280855178833,0.9993327856063844,0.999554455280304,0.932996,0.81398153,0.9997388,0.99966455,loan
7,,উত্তৰ,উত্তর,uttɔɹɔ,ut̪t̪ɔrɔ,answer,The answer,0.375,0.0,0.0416666666666666,0.0555555555555555,0.6666666666666666,0.0416666666666666,1,-10.67318,0.6989218592643738,0.7647960782051086,0.9989320635795592,0.9997406601905824,0.79059875,0.8328084,0.99948007,0.999758,loan
8,,মঙলবাৰ,মঙ্গলবার,mɔŋɔlɔbaɹ,mɔŋɡɔlɔbar,It's Tuesday,Tuesday,0.2,0.1,0.10625,0.125,1.075,0.1166666666666666,3,-26.669405,0.9409530758857728,0.7156404852867126,0.9988726973533628,0.9936495423316956,0.9473357,0.7908156,0.9995698,0.996911,loan
9,,দুৱাৰ,দ্বার,duwaɹ,d̪ar,The door,The door,0.6,0.4,0.4,0.4583333333333333,3.65,0.4416666666666667,3,-10.351538,0.8241453766822815,0.6474062204360962,0.9945068955421448,0.9995301365852356,0.86967784,0.82245815,0.9949902,0.9997317,loan
10,,শিকোৱা,শিক্ষা,xikʊwa,ʃikkʰa,teaching,Education,0.5,0.5,0.2222222222222222,0.2430555555555555,2.5625,0.2395833333333333,2,-6.1701155,0.62889564037323,0.8629765510559082,0.9993137121200562,0.9969102144241332,0.7069138,0.88446623,0.9992436,0.99822557,loan
11,,পোনা,পোলা,pʊna,pola,Pona,Pola,0.5,0.25,0.0520833333333333,0.0520833333333333,0.6875,0.0520833333333333,1,-2.2207596,0.8651359677314758,0.8859043121337891,0.9993057250976562,0.9992123246192932,0.8495796,0.879773,0.9998063,0.99946314,loan
12,,আমি,আঁই,ami,ãi,I,I am,0.6666666666666666,0.6666666666666666,0.3125,0.3472222222222222,2.583333333333333,0.3472222222222222,2,-8.13896,0.6824624538421631,0.6302908062934875,0.9985576868057252,0.99941086769104,0.8666801,0.8486177,0.9996959,0.99958885,loan
13,,শেলাই,শৈবাল,xɛlai,ʃojbalɔ,Seams,Algae,0.8571428571428571,0.4285714285714285,0.3541666666666666,0.3869047619047618,3.321428571428572,0.3809523809523809,3,-15.956443,0.8861422538757324,0.7273820638656616,0.9999330639839172,0.9984180927276612,0.94105077,0.90666616,0.99952894,0.99938756,loan
