,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,ass_bertmbert,ass_bertxlm,ass_bertindic_bert,ass_bertmuril,label
0,All languages,গুহা,মুরহা,guɦa,murɦa,Cave,Murha,0.4,0.4,0.3458333333333333,0.4,2.9,0.4,2,0.94774675,0.94167066,0.99919266,0.9990634,hard_negative
1,All languages,হাল,কাল,ɦal,kalɔ,Hello,Tomorrow,0.5,0.5,0.2760416666666667,0.3020833333333333,2.875,0.3020833333333333,1,0.97083783,0.86758274,0.9993315,0.9997868,hard_negative
2,All languages,ভাল,খাল,bʰal,kʰalɔ,Good,Canal,0.4,0.5,0.2760416666666667,0.3020833333333333,2.375,0.3020833333333333,1,0.84111625,0.82264555,0.9989537,0.99963796,hard_negative
3,All languages,বাল,বালক,bal,balɔkɔ,Baal,Boy,0.5,0.5,0.4479166666666667,0.5,3.625,0.5,1,0.9314343,0.8813733,0.99968934,0.99964195,synonym
4,All languages,বাল,বালি,bal,bali,Baal,Sand,0.25,0.25,0.2239583333333333,0.25,1.8125,0.25,1,0.9596992,0.8565545,0.999803,0.999768,hard_negative
5,All languages,কাহ,কাহই,kaɦ,kaɦi,cough,Anyway,0.25,0.25,0.2239583333333333,0.25,1.8125,0.25,1,0.97600883,0.87856406,0.9996148,0.99974716,hard_negative
6,All languages,কুটুম,কুসুম,kutum,kuʃum,Family,Kusum,0.2,0.0,0.025,0.025,0.35,0.025,1,0.96543384,0.9558033,0.99959075,0.998106,hard_negative
7,All languages,পাতা,পাত,pata,pat̪,Leaves,leaves,0.25,0.25,0.234375,0.2604166666666667,1.875,0.2604166666666667,1,0.95112723,0.83847344,0.9997082,0.99968445,synonym
8,All languages,গুহা,গুফা,guɦa,ɡuɸa,Cave,Cave,0.5,0.5,0.2708333333333333,0.3020833333333333,2.65625,0.296875,1,0.90041256,0.91487455,0.9994634,0.99961835,synonym
9,All languages,কলা,একলা,kɔla,ekɔla,Banana,Alone,0.2,0.2,0.1791666666666666,0.2,1.45,0.2,1,0.9631312,0.8844983,0.99974847,0.99941283,hard_negative
10,All languages,গম,অগম,gɔmɔ,oɡɔmɔ,Wheat,Incomprehensible,0.4,0.4,0.3583333333333333,0.4,2.9,0.4,1,0.94656885,0.8524053,0.9996329,0.99944973,hard_negative
11,All languages,মুহ,মাহ,muɦ,maɦ,Muh,month,0.3333333333333333,0.0,0.0694444444444444,0.0694444444444444,0.8333333333333334,0.0694444444444444,1,0.9706054,0.92038286,0.9985744,0.99853724,hard_negative
12,All languages,গুহা,গুফা,guɦa,ɡuɸa,Cave,Cave,0.5,0.5,0.2708333333333333,0.3020833333333333,2.65625,0.296875,1,0.9004127,0.91487443,0.9994633,0.99961835,synonym
13,All languages,কৃষ্ণ,অকৃষ্ণ,kɽixnɔ,okɽiʃnɔ,Krishna,Akrishna,0.2857142857142857,0.2857142857142857,0.1488095238095238,0.1666666666666666,1.2678571428571428,0.1636904761904762,1,0.9552657,0.8974098,0.9994111,0.998907,hard_negative
14,All languages,মাছ,মা,mas,ma,Fish,Mom,0.3333333333333333,0.3333333333333333,0.3055555555555555,0.3333333333333333,2.4166666666666665,0.3333333333333333,1,0.8629376,0.803108,0.9987098,0.99926805,hard_negative
15,All languages,গু,মু,gu,mu,Gu,Mu,0.5,0.5,0.4479166666666667,0.5,3.625,0.5,1,0.89571667,0.890297,0.99977374,0.99935275,hard_negative
