,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,ass_bertmbert,ass_bertxlm,ass_bertindic_bert,ass_bertmuril,label
0,,আগুনি,অগ্নি,aguni,oɡn̪i,Fire,Fire,0.8,0.25,0.1145833333333333,0.125,2.53125,0.1145833333333333,2,0.9356372,0.8051347,0.9967142,0.99907583,synonym
1,,চন্দ্ৰ,চন্দ্র,sɔndɹɔ,t͡ɕɔn̪d̪rɔ,moon,The moon,0.6,0.1666666666666666,0.0763888888888889,0.0902777777777777,1.125,0.0763888888888889,1,0.92705834,0.95926774,0.999383,0.99971515,synonym
2,,চন্দ্ৰ,চন্দ্র,sɔndɹɔ,t͡ɕɔn̪d̪rɔ,moon,The moon,0.6,0.1666666666666666,0.0763888888888889,0.0902777777777777,1.125,0.0763888888888889,1,0.92705834,0.95926774,0.99938303,0.9997151,synonym
3,,সাপ,সাত,xap,ʃat̪,Snake,Seven,0.75,0.6666666666666666,0.0833333333333333,0.0972222222222222,0.9166666666666666,0.0833333333333333,1,0.90809244,0.86694497,0.99965537,0.9995561,hard_negative
4,,মুহ,মাহ,muɦ,maɦ,Muh,month,0.3333333333333333,0.0,0.0694444444444444,0.0694444444444444,0.8333333333333334,0.0694444444444444,1,0.9706054,0.92038286,0.9985744,0.99853724,hard_negative
5,,চকা,কাছ,sɔka,kat͡ɕʰ,wheel,Near,1.0,0.5,0.3697916666666666,0.40625,3.5,0.3958333333333333,2,0.85390687,0.77562046,0.99962604,0.99932766,random
6,,আঠ,আব,atʰ,ab,eight,Ab,0.6666666666666666,0.5,0.09375,0.1041666666666666,0.8125,0.09375,1,0.8035332,0.84029186,0.99916404,0.99952346,hard_negative
7,,ধোঁৱা,ধোঁয়া,dʰʊ̃wa,d̪ʱõe̯a,smoke,Smoke,0.7142857142857143,0.25,0.09375,0.1041666666666666,0.90625,0.09375,2,0.95272005,0.8622763,0.99960953,0.9977081,synonym
8,,অগ্নি,আগুন,ɔgni,aɡun̪,Fire,Fire,0.8,0.5,0.3697916666666666,0.3958333333333333,3.78125,0.390625,3,0.8614723,0.6342858,0.9998816,0.99942446,synonym
9,,মৈহ,ভয়,mɔɪɦ,bʱe̯ɔ,Maih,Fear,1.0,0.75,0.3177083333333333,0.34375,3.625,0.34375,3,0.937099,0.8171737,0.99817055,0.9978598,random
10,,মূত,মাত,mut,mat̪,Urine,The voice,0.5,0.0,0.0833333333333333,0.0833333333333333,0.9166666666666666,0.0833333333333333,1,0.9804989,0.95339864,0.9996338,0.9998843,hard_negative
