,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,ass_bertmbert,label
0,All languages,হাল,কাল,ɦal,kalɔ,Hello,Tomorrow,0.5,0.5,0.2760416666666667,0.3020833333333333,2.875,0.3020833333333333,1,0.97083783,hard_negative
1,All languages,ভাল,খাল,bʰal,kʰalɔ,Good,Canal,0.4,0.5,0.2760416666666667,0.3020833333333333,2.375,0.3020833333333333,1,0.84111625,hard_negative
2,All languages,বাল,বালক,bal,balɔkɔ,Baal,Boy,0.5,0.5,0.4479166666666667,0.5,3.625,0.5,1,0.9314343,synonym
3,All languages,বাল,বালি,bal,bali,Baal,Sand,0.25,0.25,0.2239583333333333,0.25,1.8125,0.25,1,0.9596992,hard_negative
4,All languages,কাহ,কাহই,kaɦ,kaɦi,cough,Anyway,0.25,0.25,0.2239583333333333,0.25,1.8125,0.25,1,0.97600883,hard_negative
5,All languages,বহুত,বহুল,bɔɦut,bɔɦulɔ,lot,Extensive,0.3333333333333333,0.3333333333333333,0.1770833333333333,0.1944444444444444,1.8333333333333333,0.1944444444444444,1,0.97078073,hard_negative
6,All languages,উট,জল,ut,d͡ʑɔlɔ,The camel,Water,1.0,0.75,0.5260416666666666,0.5729166666666667,4.875,0.5729166666666667,2,0.9307456,random
7,All languages,বাজ,বা,baz,ba,Lightning,Or,0.3333333333333333,0.3333333333333333,0.3055555555555555,0.3333333333333333,2.4166666666666665,0.3333333333333333,1,0.92114925,hard_negative
8,All languages,পাতা,পাত,pata,pat̪,Leaves,leaves,0.25,0.25,0.234375,0.2604166666666667,1.875,0.2604166666666667,1,0.95112723,synonym
9,All languages,গুহা,গুফা,guɦa,ɡuɸa,Cave,Cave,0.5,0.5,0.2708333333333333,0.3020833333333333,2.65625,0.296875,1,0.90041256,synonym
10,All languages,কলা,একলা,kɔla,ekɔla,Banana,Alone,0.2,0.2,0.1791666666666666,0.2,1.45,0.2,1,0.9631312,hard_negative
11,All languages,গম,অগম,gɔmɔ,oɡɔmɔ,Wheat,Incomprehensible,0.4,0.4,0.3583333333333333,0.4,2.9,0.4,1,0.94656885,hard_negative
12,All languages,গুহা,গুফা,guɦa,ɡuɸa,Cave,Cave,0.5,0.5,0.2708333333333333,0.3020833333333333,2.65625,0.296875,1,0.9004127,synonym
13,All languages,কৃষ্ণ,অকৃষ্ণ,kɽixnɔ,okɽiʃnɔ,Krishna,Akrishna,0.2857142857142857,0.2857142857142857,0.1488095238095238,0.1666666666666666,1.2678571428571428,0.1636904761904762,1,0.9552657,hard_negative
14,All languages,মাছ,মা,mas,ma,Fish,Mom,0.3333333333333333,0.3333333333333333,0.3055555555555555,0.3333333333333333,2.4166666666666665,0.3333333333333333,1,0.8629376,hard_negative
15,All languages,গু,মু,gu,mu,Gu,Mu,0.5,0.5,0.4479166666666667,0.5,3.625,0.5,1,0.89571667,hard_negative
16,All languages,নাম,ইনাম,nam,in̪am,Name,Reward,0.4,0.25,0.234375,0.2604166666666667,1.875,0.2604166666666667,1,0.92015845,hard_negative
17,All languages,গলা,কলা,gɔla,kɔla,Throat,Banana,0.25,0.25,0.2239583333333333,0.25,1.8125,0.25,1,0.93796444,hard_negative
18,All languages,কল,কে,kɔlɔ,ke,Call,Who,0.75,0.5,0.484375,0.53125,3.9375,0.53125,1,0.8924999,synonym
19,All languages,কল,অকল,kɔlɔ,okɔlɔ,Call,Alone,0.2,0.2,0.1791666666666666,0.2,1.45,0.2,1,0.9561476,hard_negative
20,All languages,আম,আমি,am,ami,Mango,I,0.3333333333333333,0.3333333333333333,0.2986111111111111,0.3333333333333333,2.4166666666666665,0.3333333333333333,1,0.9165313,hard_negative
21,All languages,পুষ্প,পুষ্পক,puxpɔ,puʃpɔkɔ,Flowers,Flower,0.4285714285714285,0.4285714285714285,0.2767857142857143,0.3095238095238096,2.3035714285714284,0.3065476190476189,1,0.97640026,synonym
22,All languages,মাজ,মা,maz,ma,middle,Mom,0.3333333333333333,0.3333333333333333,0.3055555555555555,0.3333333333333333,2.4166666666666665,0.3333333333333333,1,0.92089915,hard_negative
23,All languages,টাং,গাং,ʈaŋ,gaŋ,Tang,Gang,0.3333333333333333,0.3333333333333333,0.3055555555555555,0.3333333333333333,2.4166666666666665,0.3333333333333333,1,0.98280716,hard_negative
24,All languages,বহুত,বহঁত,bɔɦut̪,bɔɦɔ̃tɔ,lot,A lot,0.4285714285714285,0.1666666666666666,0.1840277777777778,0.2013888888888888,1.5416666666666667,0.2013888888888888,1,0.9707744,hard_negative
25,All languages,মা,মাতা,ma,mata,Mom,Mother,0.5,0.5,0.453125,0.5,3.625,0.5,2,0.97144425,synonym
26,All languages,রাং,গাং,raŋ,gaŋ,Rang,Gang,0.3333333333333333,0.3333333333333333,0.2777777777777778,0.3333333333333333,2.4166666666666665,0.3333333333333333,1,0.98127735,hard_negative
27,All languages,কে,কল,ke,kɔlɔ,Who,Call,0.75,0.5,0.484375,0.53125,3.9375,0.53125,1,0.9581642,synonym
28,All languages,আম,আমি,am,ami,Mango,I,0.3333333333333333,0.3333333333333333,0.2986111111111111,0.3333333333333333,2.4166666666666665,0.3333333333333333,1,0.98945373,hard_negative
29,All languages,বালক,বাল,balɔkɔ,bal,Boy,Baal,0.5,0.5,0.4479166666666667,0.5,3.625,0.5,1,0.9659384,synonym
30,All languages,অনুবাদ,অনুবাদক,on̪ubad̪,ɔnubadɔkɔ,Translation,Translator,0.5555555555555556,0.3333333333333333,0.3125,0.3472222222222222,2.5,0.3472222222222222,1,0.9764626,hard_negative
31,All languages,পাত,পাতা,pat̪,pata,leaves,Leaves,0.25,0.25,0.234375,0.2604166666666667,1.875,0.2604166666666667,1,0.9673749,synonym
32,All languages,একলা,কলা,ekɔla,kɔla,Alone,Banana,0.2,0.2,0.1791666666666666,0.2,1.45,0.2,1,0.9810707,hard_negative
33,All languages,সহা,অহা,ʃɔɦa,ɔɦa,Saha,Come on,0.25,0.25,0.2291666666666666,0.25,1.8125,0.25,1,0.9821341,hard_negative
34,All languages,বোন,বন,bon̪,bɔnɔ,Sister,Forest,0.5,0.25,0.2447916666666666,0.2708333333333333,1.9375,0.2708333333333333,1,0.9876695,hard_negative
35,All languages,গুফা,গুহা,ɡuɸa,guɦa,Cave,Cave,0.5,0.5,0.2708333333333333,0.3020833333333333,2.65625,0.296875,1,0.9772036,synonym
36,All languages,হাট,বাঘ,ɦaʈɔ,bagʱ,Hat,Tiger,0.75,0.75,0.4947916666666666,0.5416666666666667,4.53125,0.5416666666666667,2,0.98709714,random
37,All languages,পাখ,পাখি,pakʰ,pakʰi,Wings,Birds,0.2,0.25,0.2239583333333333,0.25,1.8125,0.25,1,0.9787649,hard_negative
38,All languages,শেখা,খা,ʃekʰa,kʰa,Learning,Eat,0.4,0.5,0.453125,0.5,3.625,0.5,2,0.9818561,hard_negative
39,All languages,ধুমা,ঘুমা,d̪ʱuma,gʱuma,Smoke,Sleep,0.3333333333333333,0.25,0.2291666666666666,0.25,1.8125,0.25,1,0.9594945,hard_negative
