,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,mbert_cos,label
0,All languages,হাল,কাল,ɦal,kalɔ,Hello,Tomorrow,0.5,0.5,0.2760416666666667,0.3020833333333333,2.875,0.3020833333333333,1,0.9499322772026062,hard_negative
1,All languages,বাল,বালক,bal,balɔkɔ,Baal,Boy,0.5,0.5,0.4479166666666667,0.5,3.625,0.5,1,0.8893966078758241,synonym
2,All languages,কাঁচ,কাঁধ,kãsɔ,kãd̪ʱɔ,Glass,Shoulders,0.5,0.0,0.03125,0.03125,0.375,0.03125,1,0.9756945371627808,hard_negative
3,All languages,বাল,বালি,bal,bali,Baal,Sand,0.25,0.25,0.2239583333333333,0.25,1.8125,0.25,1,0.93649423122406,hard_negative
4,All languages,কাহ,কাহই,kaɦ,kaɦi,cough,Anyway,0.25,0.25,0.2239583333333333,0.25,1.8125,0.25,1,0.9554300904273988,hard_negative
5,All languages,অগ্নি,বহ্নি,ɔgni,bɔɦn̪i,Fire,Bohni,0.5,0.4,0.3666666666666667,0.4083333333333333,2.95,0.4083333333333333,2,0.9674126505851746,synonym
6,All languages,হাত,রাত,ɦat,rat̪,Hand,Night,0.5,0.0,0.0763888888888888,0.1111111111111111,0.7916666666666666,0.0763888888888888,1,0.9202653169631958,hard_negative
7,All languages,বহুত,বহুল,bɔɦut,bɔɦulɔ,lot,Extensive,0.3333333333333333,0.3333333333333333,0.1770833333333333,0.1944444444444444,1.8333333333333333,0.1944444444444444,1,0.9606322050094604,hard_negative
8,All languages,উট,জল,ut,d͡ʑɔlɔ,The camel,Water,1.0,0.75,0.5260416666666666,0.5729166666666667,4.875,0.5729166666666667,2,0.8978913426399231,random
9,All languages,বাজ,বা,baz,ba,Lightning,Or,0.3333333333333333,0.3333333333333333,0.3055555555555555,0.3333333333333333,2.4166666666666665,0.3333333333333333,1,0.9030148983001708,hard_negative
10,All languages,পাতা,পাত,pata,pat̪,Leaves,leaves,0.25,0.25,0.234375,0.2604166666666667,1.875,0.2604166666666667,1,0.9571576714515686,synonym
11,All languages,ফণী,ফনী,pʰɔni,ɸɔn̪i,comb,Fanny,0.6,0.0,0.0364583333333333,0.0416666666666666,0.40625,0.0364583333333333,1,0.9653584957122804,hard_negative
12,All languages,কলা,একলা,kɔla,ekɔla,Banana,Alone,0.2,0.2,0.1791666666666666,0.2,1.45,0.2,1,0.9139567613601683,hard_negative
13,All languages,গম,অগম,gɔmɔ,oɡɔmɔ,Wheat,Incomprehensible,0.4,0.4,0.3583333333333333,0.4,2.9,0.4,1,0.9308733344078064,hard_negative
14,All languages,জিকা,থিকা,zika,t̪ʰika,Zika,Thika,0.5,0.0,0.0416666666666666,0.0416666666666666,0.4375,0.0416666666666666,1,0.9697527885437012,hard_negative
