,all_language_evaluate,train_evaluate_pair,language_pair,class,precision,recall,f1_score,support,acc
0,True,False,,0,0.95,0.99,0.97,2728.0,
1,True,False,,1,0.94,0.74,0.83,603.0,0.94
2,False,False,Assamese-Bengali,0,0.95,0.99,0.97,1397.0,
3,False,False,Assamese-Bengali,1,0.92,0.75,0.83,303.0,0.94
4,False,False,Bengali-Assamese,0,0.94,0.99,0.97,1331.0,
5,False,False,Bengali-Assamese,1,0.96,0.74,0.83,300.0,0.95
6,False,True,Assamese-Bengali,0,0.95,0.98,0.96,1397.0,
7,False,True,Assamese-Bengali,1,0.9,0.74,0.81,303.0,0.94
8,False,True,Bengali-Assamese,0,0.95,0.99,0.97,1331.0,
9,False,True,Bengali-Assamese,1,0.96,0.75,0.84,300.0,0.95
