,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,ass_bertxlm,label
0,All languages,ডাঁহ,ডাঁশ,dãɦɔ,ɖãʃɔ,Duck,Bite,0.5,0.3333333333333333,0.046875,0.0520833333333333,0.84375,0.046875,1,0.93684673,loan
1,All languages,আক,একলা,ak,ekɔla,Let's go,Alone,0.8,0.6,0.55,0.6083333333333334,4.45,0.6083333333333334,3,0.88854694,loan
2,All languages,টকা,টাং,tɔka,ʈaŋ,Money,Tang,1.0,0.5,0.3072916666666667,0.3333333333333333,3.0625,0.3333333333333333,2,0.8071811,loan
3,All languages,মূত,মূত্র,mut,mut̪rɔ,Urine,Urine,0.5,0.4,0.3541666666666667,0.4083333333333334,2.95,0.4083333333333334,2,0.83682644,loan
4,All languages,অৱতাৰ,অবতার,ɔwtaɹ,obt̪ar,The incarnation,Avatar,0.6666666666666666,0.2,0.1083333333333333,0.125,2.2,0.1083333333333333,2,0.7682473,loan
5,All languages,শুকান,শুখা,xukan,ʃukʰa,dry,Dry,0.6,0.4,0.2208333333333333,0.2416666666666666,1.825,0.2375,2,0.9116907,loan
6,All languages,আঁক,আঁকা,ãkɔ,ãka,Draw,Draw,0.3333333333333333,0.0,0.0555555555555555,0.0555555555555555,0.5833333333333334,0.0555555555555555,1,0.8881891,loan
7,All languages,খানা,খাদ্য,kʰana,kʰad̪d͡zɔ,Food,Food,0.6666666666666666,0.4,0.2416666666666666,0.2583333333333333,2.35,0.2583333333333333,3,0.81625944,loan
8,All languages,সমান,সমানে,xɔman,ʃɔman̪e,Equal,Equally,0.4285714285714285,0.3333333333333333,0.1805555555555555,0.2013888888888888,1.5208333333333333,0.1979166666666666,1,0.83817863,loan
9,All languages,মৈহ,মহিষ,mɔɪɦ,mɔɦiʃ,Maih,The buffalo,0.6,0.4,0.2166666666666666,0.2416666666666667,2.075,0.2375,3,0.89396864,loan
10,All languages,কি,ক্যা,ki,kæ,What?,Kya,0.5,0.0,0.0416666666666666,0.0416666666666666,0.5,0.0416666666666666,3,0.8328999,loan
11,All languages,গোসাঞি,গোসাঁই,gʊxani,ɡoʃãi,Gosani,Gosain,0.8333333333333334,0.4,0.225,0.2666666666666666,3.475,0.225,2,0.9017656,loan
12,All languages,কাণ,কান,kan,kan̪,ear,Ears,0.25,0.0,0.0138888888888888,0.0138888888888888,0.0833333333333333,0.0138888888888888,1,0.87591827,loan
13,All languages,টকা,ঠেং,tɔka,ʈʰeŋ,Money,The tail,1.0,0.5,0.3072916666666667,0.3333333333333333,3.0,0.3333333333333333,3,0.78531396,loan
14,All languages,জনা,জানা,zɔna,d͡ʑan̪a,know,To know,0.7142857142857143,0.25,0.1041666666666666,0.1041666666666666,1.1875,0.1041666666666666,1,0.96312237,loan
15,All languages,ক্ৰিয়া,ক্রিয়া,kɹija,krie̯a,Action,Verbs,0.5,0.0,0.05,0.075,0.875,0.05,1,0.8728491,loan
16,All languages,ঠেং,টাকা,tʰɛŋ,ʈaka,The tail,Money,1.0,0.5,0.296875,0.3229166666666666,2.875,0.3229166666666666,4,0.75183165,loan
17,All languages,নিয়ৰ,নীহারিকা,nijɔɹɔ,n̪iɦarika,Snow,Nebula,0.7777777777777778,0.25,0.3020833333333333,0.3385416666666666,3.03125,0.3281249999999999,7,0.7621017,loan
18,All languages,বৃশ্চিক,বিছা,bɽixsik,bit͡ɕʰa,Scorpio,Scorpion,0.8571428571428571,0.4285714285714285,0.4226190476190476,0.4761904761904762,3.6607142857142856,0.4732142857142857,6,0.79704875,loan
19,All languages,পখিলা,পাখা,pɔkʰila,pakʰa,butterfly,Fan,0.4285714285714285,0.3333333333333333,0.3298611111111111,0.3611111111111111,2.708333333333333,0.3611111111111111,3,0.8273914,loan
20,All languages,ৰচনা,রচনা,ɹɔsɔna,rɔt͡ɕɔn̪a,essay,Composition,0.5555555555555556,0.1666666666666666,0.0694444444444444,0.0833333333333333,1.0833333333333333,0.0694444444444444,1,0.6219287,loan
21,All languages,ৰাং,রাং,ɹaŋ,raŋ,Rang,Rang,0.3333333333333333,0.0,0.0555555555555555,0.0833333333333333,1.1666666666666667,0.0555555555555555,1,0.7725835,loan
22,All languages,মুঠা,মুঠি,mutʰa,muʈʰi,A handful,Fist,0.4,0.0,0.03125,0.03125,0.375,0.03125,1,0.96069217,loan
23,All languages,শনিবাৰ,শনিবার,xɔnibaɹ,ʃɔn̪ibar,Saturday,Saturday,0.375,0.1428571428571428,0.0505952380952379,0.0654761904761904,0.7678571428571429,0.0505952380952379,1,0.81831557,loan
24,All languages,ধোঁৱা,ধোঁয়া,dʰʊ̃wa,d̪ʱõe̯a,smoke,Smoke,0.7142857142857143,0.25,0.09375,0.1041666666666666,0.90625,0.09375,2,0.8622763,loan
25,All languages,কালি,কলা,kali,kɔla,yesterday,Banana,0.5,0.0,0.0625,0.0625,0.6875,0.0625,2,0.9221633,loan
26,All languages,লাও,লাউ,laʊ,lau,Lao,Lau,0.3333333333333333,0.0,0.0277777777777777,0.0277777777777777,0.25,0.0277777777777777,1,0.8159199,loan
27,All languages,ৰঙা,রং,ɹɔŋa,rɔŋ,red,Color,0.5,0.25,0.265625,0.3125,2.6875,0.2916666666666667,3,0.76105523,loan
28,All languages,সন্ধিয়া,সাঁঝ,xɔndʰija,ʃãd͡ʑʱɔ,evening,Evening,0.875,0.7142857142857143,0.4851190476190475,0.5297619047619048,4.196428571428571,0.5238095238095237,7,0.75064087,loan
29,All languages,পানী,পানীয়,pani,pan̪ie̯,water,Drinks,0.4285714285714285,0.2,0.1875,0.2083333333333333,1.5,0.2083333333333333,2,0.81398153,loan
30,All languages,চকৰ,চাকা,sɔkɔɹɔ,t͡ɕaka,Chakar,The wheel,1.0,0.5,0.3923611111111111,0.4236111111111111,3.458333333333333,0.4236111111111111,2,0.7175317,loan
31,All languages,ঘড়ী,ঘড়ি,gʱɔɹi,gʱɔɽi,clock,The clock,0.2,0.0,0.0694444444444444,0.0972222222222222,1.3333333333333333,0.0694444444444444,1,0.92383754,loan
32,All languages,ব্যাকৰণ,ব্যাকরণ,biakɔɹɔnɔ,bækɔrɔnɔ,Grammar,Grammar,0.3333333333333333,0.1111111111111111,0.1180555555555555,0.1388888888888889,1.1944444444444444,0.1296296296296296,1,0.8631002,loan
33,All languages,আগুনি,আগুন,aguni,aɡun̪,Fire,Fire,0.4,0.5,0.2604166666666667,0.3020833333333333,3.6875,0.2604166666666667,1,0.8059337,loan
34,All languages,বৈনী,বোন,bɔɪni,bon̪,Baini,Sister,0.6,0.4,0.375,0.4166666666666667,3.0,0.4166666666666667,2,0.88425726,loan
35,All languages,চান,চাঁদ,san,t͡ɕãd̪ɔ,Want,The moon,1.0,0.6666666666666666,0.3177083333333333,0.34375,3.3125,0.34375,2,0.81431377,loan
36,All languages,শ্রী,শ্রীবৃক্ষ,xɹi,ʃribɽikkʰɔ,Mr.,Srivriksha,0.9,0.7777777777777778,0.625,0.7129629629629629,5.402777777777778,0.7013888888888888,5,0.84166485,loan
37,All languages,লহুন,রসুন,lɔɦun,rɔʃun̪,Blood,Garlic,0.5,0.2,0.0625,0.0833333333333333,0.925,0.0625,2,0.87619746,loan
38,All languages,ৰঙা,রাং,ɹɔŋa,raŋ,red,Rang,0.75,0.25,0.3072916666666667,0.3541666666666666,3.125,0.3333333333333333,3,0.8281311,loan
39,All languages,চকা,চাকা,sɔka,t͡ɕaka,wheel,The wheel,0.6666666666666666,0.25,0.09375,0.09375,1.125,0.09375,1,0.95549166,loan
40,All languages,আগুনি,অগ্নি,aguni,oɡn̪i,Fire,Fire,0.8,0.25,0.1145833333333333,0.125,2.53125,0.1145833333333333,2,0.8051347,loan
41,All languages,আঠ,আষ্ট,atʰ,aʃʈɔ,eight,Eight,0.75,0.5,0.4739583333333333,0.5208333333333333,3.8125,0.5208333333333333,3,0.87341493,loan
42,All languages,টকা,টেহা,tɔka,ʈeɦa,Money,Teha,0.75,0.25,0.09375,0.09375,1.5,0.09375,2,0.8372875,loan
43,All languages,চাকি,চাকা,saki,t͡ɕaka,Candles,The wheel,0.6666666666666666,0.25,0.0729166666666666,0.0729166666666666,0.9375,0.0729166666666666,1,0.95549166,loan
44,All languages,পুথি,পুস্তক,putʰi,puʃt̪ɔkɔ,The book,Books,0.625,0.4285714285714285,0.4226190476190476,0.4642857142857142,3.4285714285714284,0.4642857142857142,4,0.827914,loan
45,All languages,মাকৈ,মকাই,makɔɪ,mɔkai,corn,Maize,0.6,0.0,0.075,0.075,0.75,0.075,3,0.87430537,loan
46,All languages,সাপ,সর্প,xap,ʃɔrpɔ,Snake,The snake,0.8,0.6,0.4083333333333334,0.4666666666666666,3.575,0.4625,2,0.76228565,loan
47,All languages,আঁহ,অংশু,ãɦɔ,oŋʃu,Fiber,Anshu,1.0,0.75,0.3333333333333333,0.3645833333333333,3.25,0.359375,4,0.8946289,loan
48,All languages,মঙহ,মাংস,mɔŋɔɦɔ,maŋʃɔ,Meat,Meat,0.5,0.3333333333333333,0.2013888888888888,0.2222222222222222,1.9791666666666667,0.21875,3,0.8248816,loan
49,All languages,কলা,কালি,kɔla,kali,Banana,yesterday,0.5,0.0,0.0625,0.0625,0.6875,0.0625,2,0.9433569,loan
50,All languages,কাণ,কর্ণ,kan,kɔrnɔ,ear,Ears,0.6,0.4,0.3791666666666667,0.4333333333333334,3.25,0.4333333333333334,2,0.80045986,loan
51,All languages,সঁচা,হাচা,xɔ̃sa,ɦat͡ɕa,true,Hacha,0.8333333333333334,0.5,0.1458333333333333,0.1458333333333333,2.0625,0.1458333333333333,2,0.90832794,loan
52,All languages,পুৰুষ,পুরুষ,puɹux,puruʃ,male,Men,0.4,0.2,0.0625,0.0833333333333333,1.025,0.0625,1,0.7449043,loan
