,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,xlm_cos,label
0,,পোনা,পানা,pʊna,pan̪a,Pona,Pana,0.4,0.0,0.0625,0.0625,0.625,0.0625,1,0.8521267771720886,hard_negative
1,,আগুনি,অগ্নি,aguni,oɡn̪i,Fire,Fire,0.8,0.25,0.1145833333333333,0.125,2.53125,0.1145833333333333,2,0.7410076856613159,synonym
2,,নিয়ৰ,নিয়ম,nijɔɹɔ,n̪ie̯ɔmɔ,Snow,Rules,0.5,0.1666666666666666,0.0798611111111111,0.0902777777777777,1.2083333333333333,0.0798611111111111,1,0.6913940906524658,hard_negative
3,,আঠ,আণ,atʰ,an,eight,Bring,0.6666666666666666,0.5,0.0833333333333333,0.0833333333333333,1.5,0.0833333333333333,1,0.7938657999038696,hard_negative
4,,চন্দ্ৰ,চন্দ্র,sɔndɹɔ,t͡ɕɔn̪d̪rɔ,moon,The moon,0.6,0.1666666666666666,0.0763888888888889,0.0902777777777777,1.125,0.0763888888888889,1,0.95912504196167,synonym
5,,আকাশ,কান,akax,kan̪,The sky,Ears,0.75,0.5,0.3125,0.34375,3.28125,0.3385416666666667,2,0.573167085647583,random
6,,গুহা,গুফা,guɦa,ɡuɸa,Cave,Cave,0.5,0.5,0.2708333333333333,0.3020833333333333,2.65625,0.296875,1,0.8417081236839294,synonym
7,,চন্দ্ৰ,চন্দ্র,sɔndɹɔ,t͡ɕɔn̪d̪rɔ,moon,The moon,0.6,0.1666666666666666,0.0763888888888889,0.0902777777777777,1.125,0.0763888888888889,1,0.95912504196167,synonym
8,,পো,পা,pʊ,pa,Poe,Feet,0.5,0.0,0.1041666666666666,0.1041666666666666,1.125,0.1041666666666666,1,0.7929139733314514,hard_negative
9,,মুহ,মাহ,muɦ,maɦ,Muh,month,0.3333333333333333,0.0,0.0694444444444444,0.0694444444444444,0.8333333333333334,0.0694444444444444,1,0.8472293019294739,hard_negative
10,,মাই,মুই,mai,mui,My,Mui,0.3333333333333333,0.0,0.0694444444444444,0.0694444444444444,0.8333333333333334,0.0694444444444444,1,0.7475183010101318,hard_negative
11,,গুহা,গুফা,guɦa,ɡuɸa,Cave,Cave,0.5,0.5,0.2708333333333333,0.3020833333333333,2.65625,0.296875,1,0.8417081236839294,synonym
12,,চকা,কাছ,sɔka,kat͡ɕʰ,wheel,Near,1.0,0.5,0.3697916666666666,0.40625,3.5,0.3958333333333333,2,0.6506525874137878,random
13,,সন্ধিয়া,সন্ধ্যা,xɔndʰija,ʃɔn̪d̪ʱæ,evening,Evening,0.75,0.4285714285714285,0.2946428571428571,0.3273809523809524,2.4107142857142856,0.3244047619047618,2,0.8175927400588989,synonym
14,,যুদ্ধ,বুদ্ধ,zuddʰɔ,bud̪d̪ʱɔ,War,Buddha,0.5,0.2,0.0541666666666666,0.0583333333333333,0.575,0.0541666666666666,1,0.9200270771980286,hard_negative
15,,বেল,বেদ,bɛl,bed̪,Bell,Vedas,0.75,0.3333333333333333,0.0694444444444444,0.0694444444444444,1.3333333333333333,0.0694444444444444,1,0.566200852394104,hard_negative
16,,হাত,পাত,ɦat,pat̪,Hand,leaves,0.5,0.3333333333333333,0.0833333333333333,0.0833333333333333,1.5,0.0833333333333333,1,0.6841094493865967,hard_negative
17,,গু,মু,gu,mu,Gu,Mu,0.5,0.5,0.4479166666666667,0.5,3.625,0.5,1,0.8673340678215027,hard_negative
18,,কল,কে,kɔlɔ,ke,Call,Who,0.75,0.5,0.484375,0.53125,3.9375,0.53125,1,0.6492692828178406,synonym
19,,কল,কেন,kɔlɔ,ken̪,Call,Why,0.75,0.5,0.296875,0.3229166666666666,2.6875,0.3229166666666666,2,0.8042131066322327,synonym
20,,লাজ,লাই,laz,lai,Shame,Lai,0.3333333333333333,0.3333333333333333,0.0902777777777777,0.1111111111111111,2.5,0.0902777777777777,1,0.615936815738678,hard_negative
21,,হিয়া,শিয়া,ɦija,ʃie̯a,Heart,Shia,0.6,0.25,0.0572916666666666,0.0729166666666666,0.9375,0.0572916666666666,1,0.8900213837623596,hard_negative
22,,অক্ষ,অক্ষি,ɔkʰjɔ,okkʰi,Axis,Eye,0.8,0.25,0.125,0.125,2.0625,0.125,1,0.9301459789276124,synonym
23,,রাং,গাং,raŋ,gaŋ,Rang,Gang,0.3333333333333333,0.3333333333333333,0.2777777777777778,0.3333333333333333,2.4166666666666665,0.3333333333333333,1,0.8770114183425903,hard_negative
24,,কে,কল,ke,kɔlɔ,Who,Call,0.75,0.5,0.484375,0.53125,3.9375,0.53125,1,0.6492692828178406,synonym
25,,চন্দ্র,চন্দ্ৰ,t͡ɕɔn̪d̪rɔ,sɔndɹɔ,The moon,moon,0.6,0.1666666666666666,0.0763888888888889,0.0902777777777777,1.125,0.0763888888888889,1,0.95912504196167,synonym
26,,আম,উম,am,um,Mango,Um,0.5,0.0,0.1041666666666666,0.1041666666666666,1.25,0.1041666666666666,1,0.6152018308639526,hard_negative
27,,বোন,বন,bon̪,bɔnɔ,Sister,Forest,0.5,0.25,0.2447916666666666,0.2708333333333333,1.9375,0.2708333333333333,1,0.7396354079246521,hard_negative
