,all_language_evaluate,train_evaluate_pair,language_pair,class,precision,recall,f1_score,support,acc
0,True,False,,0,0.93,0.99,0.96,2728.0,
1,True,False,,1,0.91,0.68,0.78,603.0,0.93
2,False,False,Assamese-Bengali,0,0.93,0.98,0.96,1397.0,
3,False,False,Assamese-Bengali,1,0.9,0.68,0.77,303.0,0.93
4,False,False,Bengali-Assamese,0,0.93,0.99,0.96,1331.0,
5,False,False,Bengali-Assamese,1,0.92,0.68,0.78,300.0,0.93
6,False,True,Assamese-Bengali,0,0.93,0.98,0.96,1397.0,
7,False,True,Assamese-Bengali,1,0.9,0.66,0.76,303.0,0.93
8,False,True,Bengali-Assamese,0,0.93,0.99,0.96,1331.0,
9,False,True,Bengali-Assamese,1,0.94,0.68,0.79,300.0,0.93
