,language_pair,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,mbert_cos,xlm_cos,indic_bert_cos,muril_cos,ass_bertmbert,ass_bertxlm,ass_bertindic_bert,ass_bertmuril,label
0,All languages,গুহা,মুরহা,guɦa,murɦa,Cave,Murha,0.4,0.4,0.3458333333333333,0.4,2.9,0.4,0.9359173774719238,0.8975734114646912,0.9987619519233704,0.9985430240631104,0.94774675,0.94167066,0.99919266,0.9990634,hard_negative
1,All languages,কাঁচ,কাঁধ,kãsɔ,kãd̪ʱɔ,Glass,Shoulders,0.5,0.0,0.03125,0.03125,0.375,0.03125,0.9756945371627808,0.8913552761077881,0.9994810819625854,0.999087691307068,0.9359206,0.8488788,0.99987334,0.999679,hard_negative
2,All languages,আঁক,পাঁক,ãkɔ,pãkɔ,Draw,Mud,0.25,0.3333333333333333,0.2239583333333333,0.25,1.8125,0.25,0.9304207563400269,0.8305512070655823,0.9973052740097046,0.9994453191757202,0.9115161,0.9324068,0.9994885,0.99967927,hard_negative
3,All languages,চন্দ্ৰ,চন্দ্র,sɔndɹɔ,t͡ɕɔn̪d̪rɔ,moon,The moon,0.6,0.1666666666666666,0.0763888888888889,0.0902777777777777,1.125,0.0763888888888889,0.9180389046669006,0.95912504196167,0.999320387840271,0.9997469782829284,0.92705834,0.95926774,0.999383,0.99971515,synonym
4,All languages,বুদ্ধি,বুদ্ধ,buddʰi,bud̪d̪ʱɔ,Wisdom,Buddha,0.5,0.0,0.0583333333333333,0.0583333333333333,0.5,0.0583333333333333,0.9187913537025452,0.9308871030807496,0.9989298582077026,0.999509572982788,0.9664444,0.95474905,0.9996022,0.9996595,hard_negative
5,All languages,কাছু,কানু,kasu,kan̪u,Something,Kanu,0.4,0.25,0.0520833333333333,0.0520833333333333,1.0,0.0520833333333333,0.9509975910186768,0.8996228575706482,0.99577397108078,0.9989251494407654,0.94038427,0.92243207,0.9982264,0.9997022,hard_negative
6,All languages,মুঠ,মুত,mutʰ,mut̪,total,Mut,0.25,0.0,0.0277777777777777,0.0277777777777777,0.1666666666666666,0.0277777777777777,0.9029541015625,0.9000879526138306,0.995318591594696,0.9990676045417786,0.94078535,0.93154657,0.9993549,0.9993695,hard_negative
7,All languages,কাচ,কাক,kas,kak,Glass,The crow,0.3333333333333333,0.3333333333333333,0.0763888888888888,0.0833333333333333,1.0416666666666667,0.0763888888888888,0.9370312094688416,0.8516723513603209,0.999710738658905,0.9997313618659972,0.9516102,0.8856389,0.9997426,0.99910957,hard_negative
8,All languages,ফণী,ফনী,pʰɔni,ɸɔn̪i,comb,Fanny,0.6,0.0,0.0364583333333333,0.0416666666666666,0.40625,0.0364583333333333,0.9653584957122804,0.9141634702682496,0.9999058246612548,0.9990726709365844,0.9749547,0.92618155,0.99959636,0.9997346,hard_negative
9,All languages,মুঠি,মুদি,mutʰi,mud̪i,Fist,Grocer,0.4,0.0,0.03125,0.03125,0.1875,0.03125,0.9305834174156188,0.9040932059288024,0.997811496257782,0.998702108860016,0.96436054,0.92066354,0.9984157,0.9995445,hard_negative
10,All languages,চন্দ্ৰ,চন্দ্র,sɔndɹɔ,t͡ɕɔn̪d̪rɔ,moon,The moon,0.6,0.1666666666666666,0.0763888888888889,0.0902777777777777,1.125,0.0763888888888889,0.9180389046669006,0.95912504196167,0.999320387840271,0.9997469782829284,0.92705834,0.95926774,0.99938303,0.9997151,synonym
11,All languages,মিঠা,মিতা,mitʰa,mit̪a,sweet,Mita,0.2,0.0,0.0208333333333333,0.0208333333333333,0.125,0.0208333333333333,0.9487576484680176,0.8200885653495789,0.998378336429596,0.9992241263389589,0.9553218,0.8993622,0.99953985,0.9996288,hard_negative
12,All languages,বাট,বাত,bat,bat̪,The road,Arthritis,0.25,0.0,0.0138888888888888,0.0138888888888888,0.0833333333333333,0.0138888888888888,0.9532134532928468,0.8323407769203186,0.999444305896759,0.9993176460266112,0.9636425,0.91162395,0.9995487,0.99976367,hard_negative
13,All languages,মুঠা,মুতা,mutʰa,mut̪a,A handful,Muta,0.2,0.0,0.0208333333333333,0.0208333333333333,0.125,0.0208333333333333,0.9400131106376648,0.8367257714271545,0.9994292259216307,0.9988723397254944,0.96878946,0.946977,0.99951005,0.9994086,hard_negative
14,All languages,মুহ,মাহ,muɦ,maɦ,Muh,month,0.3333333333333333,0.0,0.0694444444444444,0.0694444444444444,0.8333333333333334,0.0694444444444444,0.9517714977264404,0.8472293019294739,0.9995965361595154,0.9982008337974548,0.9706054,0.92038286,0.9985744,0.99853724,hard_negative
15,All languages,কচু,কদু,kɔsu,kɔd̪u,Kachu,Pumpkin,0.4,0.0,0.03125,0.03125,0.375,0.03125,0.9584205746650696,0.8983414173126221,0.9993979334831238,0.9985718131065368,0.95996994,0.92996204,0.99983734,0.9995543,hard_negative
16,All languages,অগ্নি,অগ্নিকোণ,ɔgni,oɡn̪ikon,Fire,Southeast,0.75,0.5714285714285714,0.5267857142857143,0.5833333333333334,4.214285714285714,0.5833333333333334,0.9377369284629822,0.8641679286956787,0.9984448552131652,0.9991738796234132,0.96308786,0.922374,0.9993259,0.99932367,synonym
17,All languages,কৃষ্ণ,অকৃষ্ণ,kɽixnɔ,okɽiʃnɔ,Krishna,Akrishna,0.2857142857142857,0.2857142857142857,0.1488095238095238,0.1666666666666666,1.2678571428571428,0.1636904761904762,0.939158856868744,0.8242132663726807,0.9989521503448486,0.9985716342926024,0.9552657,0.8974098,0.9994111,0.998907,hard_negative
